#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Mirza Begic,OLI,1,10.7,19.1,28.7,0.667,0.0,0.0,0.0,9.6,14.3,0.667,4.8,4.8,4.8,19.1,23.9,0.0,4.8,0.0,47.8,2019,ABA Liga Supercup
2,Dusan Ristic,ZVE,3,5.9,19.8,28.3,0.7,0.0,0.0,0.0,5.7,11.3,0.5,2.8,14.2,5.7,11.3,17.0,0.0,2.8,5.7,45.3,2019,ABA Liga Supercup
3,Blaz Mesicek,OLI,1,19.9,12.9,18.1,0.7140000000000001,7.7,7.7,1.0,5.2,5.2,1.0,12.9,0.0,0.0,5.2,5.2,10.3,0.0,0.0,38.7,2019,ABA Liga Supercup
4,Sime Spralja,ZAD,1,14.8,6.3,15.7,0.4,3.1,12.6,0.25,22.0,28.3,0.778,0.0,6.3,0.0,3.1,3.1,6.3,0.0,0.0,37.7,2019,ABA Liga Supercup
5,Dorde Gagic,PAR,2,20.4,15.0,24.3,0.619,0.0,0.0,0.0,6.9,9.3,0.75,6.9,8.1,6.9,4.6,11.6,0.0,1.2,0.0,37.0,2019,ABA Liga Supercup
6,Tomislav Zubcic,IGO,1,27.0,11.7,23.4,0.5,1.7,8.4,0.2,10.0,11.7,0.857,1.7,3.3,3.3,6.7,10.0,3.3,1.7,0.0,35.2,2019,ABA Liga Supercup
7,Malcolm Grant,ZAD,1,28.1,9.9,19.8,0.5,5.0,8.3,0.6,9.9,9.9,1.0,6.6,0.0,0.0,3.3,3.3,3.3,0.0,0.0,34.7,2019,ABA Liga Supercup
8,Filip Barovic,BUD,3,13.1,12.3,21.0,0.588,0.0,0.0,0.0,7.4,11.1,0.667,3.7,9.9,6.2,8.6,14.8,1.2,1.2,0.0,32.1,2019,ABA Liga Supercup
9,Maik Zirbes,ZVE,3,18.3,14.5,24.5,0.593,0.0,0.0,0.0,2.7,2.7,1.0,1.8,5.4,5.4,8.2,13.6,2.7,2.7,0.9,31.8,2019,ABA Liga Supercup
10,Danilo Nikolic,BUD,2,19.0,10.6,18.5,0.5710000000000001,7.9,11.9,0.667,2.6,2.6,1.0,4.0,9.2,2.6,2.6,5.3,1.3,2.6,0.0,31.7,2019,ABA Liga Supercup
11,Jock Landale,PAR,2,23.5,11.1,19.1,0.579,1.0,3.0,0.33299999999999996,8.1,10.1,0.8,7.0,4.0,4.0,7.0,11.1,3.0,0.0,2.0,31.2,2019,ABA Liga Supercup
12,Uros Lukovic,MOR,1,18.4,12.6,15.1,0.833,0.0,0.0,0.0,5.0,10.1,0.5,2.5,5.0,5.0,17.6,22.6,2.5,0.0,5.0,30.2,2019,ABA Liga Supercup
13,Orlando Johnson,IGO,1,27.3,10.0,24.9,0.4,1.7,5.0,0.33299999999999996,8.3,10.0,0.833,1.7,5.0,0.0,8.3,8.3,5.0,1.7,1.7,29.9,2019,ABA Liga Supercup
14,Dalibor Ilic,IGO,1,6.1,14.9,14.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,14.9,14.9,0.0,0.0,0.0,29.8,2019,ABA Liga Supercup
15,Andrija Stipanovic,CED,2,19.0,11.2,18.6,0.6,0.0,0.0,0.0,7.4,11.2,0.667,3.7,6.2,5.0,7.4,12.4,3.7,1.2,3.7,29.8,2019,ABA Liga Supercup
16,Augusto Cesar Lima,CED,2,18.1,14.4,19.6,0.733,0.0,1.3,0.0,0.0,1.3,0.0,6.5,7.8,3.9,10.4,14.4,0.0,2.6,1.3,28.7,2019,ABA Liga Supercup
17,Stratos Perperoglou,ZVE,3,20.3,9.0,21.3,0.423,6.6,12.3,0.5329999999999999,3.3,3.3,1.0,4.9,9.0,0.8,5.7,6.6,5.7,3.3,0.0,27.9,2019,ABA Liga Supercup
18,Winston Shepard,MOR,1,16.6,11.1,25.0,0.444,0.0,0.0,0.0,5.6,5.6,1.0,5.6,5.6,5.6,0.0,5.6,2.8,2.8,2.8,27.8,2019,ABA Liga Supercup
19,Nemanja Nenadic,ZVE,1,14.9,6.8,13.7,0.5,3.4,6.8,0.5,10.3,13.7,0.75,0.0,10.3,3.4,3.4,6.8,17.1,10.3,0.0,27.4,2019,ABA Liga Supercup
20,Khadeen Carrington,MOR,1,33.9,9.6,17.7,0.5379999999999999,5.5,8.2,0.667,2.7,2.7,1.0,9.6,2.7,0.0,4.1,4.1,6.8,0.0,0.0,27.3,2019,ABA Liga Supercup
21,Mouhammad Faye,ZVE,3,24.2,7.6,13.7,0.55,4.1,8.9,0.462,6.9,10.3,0.667,6.2,4.8,2.1,11.0,13.1,4.8,2.7,2.7,26.1,2019,ABA Liga Supercup
22,Vanja Marinkovic,PAR,2,31.7,10.4,18.6,0.56,3.0,7.5,0.4,2.2,2.2,1.0,3.0,3.7,1.5,4.5,6.0,2.2,0.7,0.0,26.1,2019,ABA Liga Supercup
23,Joe Ragland,ZVE,3,26.4,9.4,16.4,0.5770000000000001,3.8,5.7,0.667,3.1,5.7,0.556,3.1,6.3,0.6,2.5,3.1,8.8,1.9,0.0,25.8,2019,ABA Liga Supercup
24,Ognjen Dobric,ZVE,2,15.5,8.2,14.8,0.556,8.2,14.8,0.556,0.0,0.0,0.0,3.3,4.9,1.6,3.3,4.9,4.9,1.6,0.0,24.7,2019,ABA Liga Supercup
25,James Bell,CED,2,28.9,9.8,22.9,0.429,4.1,13.1,0.312,0.8,1.6,0.5,3.3,4.1,0.8,2.5,3.3,0.8,1.6,0.0,24.5,2019,ABA Liga Supercup
26,Earl Clark,BUD,3,29.1,8.9,19.4,0.457,2.2,6.6,0.33299999999999996,3.9,6.1,0.636,3.3,5.5,0.0,5.0,5.0,2.2,0.0,1.7,23.8,2019,ABA Liga Supercup
27,Sava Lesic,IGO,1,23.6,7.7,13.4,0.5710000000000001,1.9,1.9,1.0,5.8,7.7,0.75,0.0,3.8,1.9,7.7,9.6,1.9,0.0,0.0,23.0,2019,ABA Liga Supercup
28,Jure Planinic,ZAD,1,18.7,5.0,9.9,0.5,0.0,2.5,0.0,12.4,14.9,0.833,0.0,9.9,0.0,2.5,2.5,0.0,2.5,2.5,22.3,2019,ABA Liga Supercup
29,Marko Keselj,ZVE,1,4.5,10.8,10.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,0.0,10.8,10.8,0.0,0.0,21.5,2019,ABA Liga Supercup
30,Aleksa Ilic,BUD,3,10.6,9.1,19.7,0.462,0.0,3.0,0.0,3.0,3.0,1.0,3.0,7.6,4.5,12.1,16.7,0.0,1.5,3.0,21.2,2019,ABA Liga Supercup
31,Justin Cobbs,CED,2,21.3,8.9,15.5,0.5710000000000001,2.2,3.3,0.667,1.1,1.1,1.0,6.7,5.5,0.0,3.3,3.3,10.0,4.4,0.0,21.1,2019,ABA Liga Supercup
32,Nemanja Gordic,BUD,3,29.1,7.7,14.4,0.5379999999999999,1.1,5.0,0.222,4.4,5.5,0.8,2.2,6.1,1.1,1.1,2.2,5.0,2.8,0.0,21.0,2019,ABA Liga Supercup
33,Nikola Ivanovic,BUD,3,19.6,7.4,14.8,0.5,2.5,6.6,0.375,3.3,4.1,0.8,4.1,3.3,1.6,4.1,5.8,4.9,4.9,0.0,20.5,2019,ABA Liga Supercup
34,Petar Popovic,BUD,3,17.4,7.4,16.7,0.444,0.0,2.8,0.0,5.6,6.5,0.857,1.9,3.7,0.9,1.9,2.8,0.0,1.9,0.0,20.4,2019,ABA Liga Supercup
35,Aleksandar Lazic,OLI,1,25.2,4.1,10.2,0.4,4.1,8.1,0.5,8.1,8.1,1.0,0.0,2.0,4.1,2.0,6.1,2.0,4.1,2.0,20.3,2019,ABA Liga Supercup
