#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Nikola Miskovic,MEG,1,1.1,45.8,45.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.5,2018,Adriatic Junior Liga ABA
2,Marko Pecarski,PAR,4,30.3,18.6,34.3,0.541,2.0,6.1,0.33299999999999996,9.3,11.3,0.821,5.2,3.6,6.5,9.3,15.7,2.0,1.6,2.4,48.5,2018,Adriatic Junior Liga ABA
3,Borjan Stojanovski,SK19,2,2.1,22.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,22.0,0.0,0.0,0.0,44.1,2018,Adriatic Junior Liga ABA
4,Antonio Jordano,CED,4,33.2,11.4,23.9,0.47700000000000004,8.4,18.7,0.451,5.1,5.5,0.9329999999999999,2.9,1.8,0.4,4.0,4.4,5.9,3.7,0.0,36.3,2018,Adriatic Junior Liga ABA
5,Andrija Slavkovic,BUD,6,35.6,12.4,22.8,0.546,1.4,5.4,0.261,8.2,10.3,0.795,4.5,4.2,1.4,4.5,5.9,2.8,3.8,0.0,34.5,2018,Adriatic Junior Liga ABA
6,Dino Bistrovic,CIB,3,26.9,12.5,27.6,0.455,3.8,10.7,0.353,4.4,6.9,0.636,4.4,3.1,1.9,3.1,5.0,1.9,1.9,0.0,33.2,2018,Adriatic Junior Liga ABA
7,Danijel Sedlo,CIB,3,8.9,16.5,18.3,0.9,0.0,0.0,0.0,0.0,1.8,0.0,9.2,3.7,1.8,9.2,11.0,3.7,3.7,0.0,33.0,2018,Adriatic Junior Liga ABA
8,Amar Mehic,MEG,5,7.4,15.5,28.4,0.545,0.0,0.0,0.0,1.3,2.6,0.5,1.3,5.2,5.2,9.0,14.2,0.0,1.3,1.3,32.3,2018,Adriatic Junior Liga ABA
9,Goga Bitadze,MEG,3,26.1,11.4,18.4,0.621,0.0,0.6,0.0,8.3,14.0,0.591,2.5,5.1,7.6,13.4,21.0,2.5,1.3,3.2,31.2,2018,Adriatic Junior Liga ABA
10,Dalibor Ilic,IG19,6,34.0,11.2,22.0,0.511,1.0,3.6,0.267,6.4,8.6,0.75,3.6,2.9,6.0,9.3,15.3,5.0,1.9,1.2,29.9,2018,Adriatic Junior Liga ABA
11,David Kralj,OLI,4,29.4,10.6,25.4,0.41700000000000004,3.4,7.6,0.444,4.7,6.4,0.733,7.2,4.2,1.3,3.4,4.7,4.7,3.4,0.4,29.2,2018,Adriatic Junior Liga ABA
12,Darko Bajo,CED,4,28.2,9.1,14.3,0.636,2.2,4.8,0.455,8.7,11.7,0.741,7.4,5.6,2.6,10.8,13.4,4.8,1.7,0.9,29.0,2018,Adriatic Junior Liga ABA
13,Aljosa Jankovic,IG19,6,29.5,10.7,19.3,0.557,0.8,2.5,0.33299999999999996,5.2,11.0,0.475,11.0,4.7,4.1,8.8,12.9,12.1,5.0,0.3,27.5,2018,Adriatic Junior Liga ABA
14,Sandro Rasic,CIB,4,17.0,10.9,19.5,0.556,3.6,8.0,0.455,2.2,2.2,1.0,2.2,6.5,2.9,2.2,5.1,6.5,1.4,0.0,27.5,2018,Adriatic Junior Liga ABA
15,Damjan Krstevski,SK19,4,34.7,10.1,25.1,0.40299999999999997,4.6,13.7,0.33299999999999996,2.6,2.9,0.889,1.3,2.0,2.0,6.2,8.1,2.0,3.6,0.0,27.3,2018,Adriatic Junior Liga ABA
16,Antonio Jularic,CIB,4,20.2,7.9,20.6,0.382,6.1,10.9,0.556,5.5,7.3,0.75,7.3,4.9,0.6,1.2,1.8,6.1,3.6,0.0,27.3,2018,Adriatic Junior Liga ABA
17,Dusan Tanaskovic,PAR,4,7.2,10.2,22.0,0.462,0.0,0.0,0.0,6.8,10.2,0.667,3.4,10.2,5.1,5.1,10.2,1.7,1.7,1.7,27.1,2018,Adriatic Junior Liga ABA
18,Novak Miskovic,MEG,3,4.7,10.0,16.7,0.6,0.0,0.0,0.0,6.7,6.7,1.0,6.7,0.0,3.3,13.4,16.7,13.4,0.0,3.3,26.7,2018,Adriatic Junior Liga ABA
19,Nemanja Scekic,OLI,4,23.8,11.5,19.9,0.579,0.5,1.0,0.5,3.1,3.7,0.857,6.3,4.7,2.6,8.4,11.0,3.1,1.0,0.0,26.7,2018,Adriatic Junior Liga ABA
