#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Nenad Miljenovic,PAR,1,1.5,30.7,61.3,0.5,30.7,61.3,0.5,0.0,0.0,0.0,30.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.0,2012,Adriatic League Liga ABA
2,Domen Bratoz,KRK,2,1.0,26.2,26.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,26.2,26.2,0.0,0.0,0.0,0.0,26.2,0.0,52.4,2012,Adriatic League Liga ABA
3,Ratko Varda,OLI,10,17.5,12.8,20.7,0.622,1.1,2.5,0.444,5.9,8.1,0.7240000000000001,6.7,9.2,3.9,5.6,9.5,2.2,1.4,0.3,32.7,2012,Adriatic League Liga ABA
4,Nikola Pekovic,PAR,10,20.2,10.6,15.3,0.6920000000000001,0.0,0.0,0.0,11.1,15.3,0.723,4.0,5.4,6.1,6.8,12.9,1.4,1.4,1.9,32.2,2012,Adriatic League Liga ABA
5,Filip Kraljevic,CED,3,3.0,15.7,15.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.4,15.7,10.4,0.0,10.4,0.0,0.0,0.0,31.3,2012,Adriatic League Liga ABA
6,David Simon,SWI,26,29.2,13.1,20.6,0.637,0.2,0.6,0.3,4.5,7.8,0.575,2.5,4.9,3.4,7.0,10.4,1.9,1.7,2.3,31.0,2012,Adriatic League Liga ABA
7,Mario Kasun,ZAG,20,27.9,12.3,18.4,0.667,0.0,0.0,0.0,6.3,9.8,0.6459999999999999,4.8,6.0,6.2,8.0,14.3,1.9,0.8,1.0,30.8,2012,Adriatic League Liga ABA
8,Nikola Vucevic,BUD,10,28.6,12.5,23.6,0.53,1.1,4.1,0.261,3.7,5.3,0.7,4.6,5.5,6.2,10.9,17.1,1.8,1.9,1.9,29.8,2012,Adriatic League Liga ABA
9,Matjaz Smodis,CED,26,15.8,9.8,16.6,0.59,3.7,7.0,0.525,5.3,6.8,0.78,2.3,9.1,3.1,6.1,9.2,2.6,1.7,0.8,28.6,2012,Adriatic League Liga ABA
10,Lior Eliyahu,MAC,24,19.5,12.8,21.6,0.594,0.0,0.1,0.0,2.3,4.8,0.479,2.7,3.3,2.4,7.2,9.6,3.9,2.6,0.5,28.0,2012,Adriatic League Liga ABA
11,Miroslav Raduljica,PAR,27,19.8,9.9,15.4,0.64,0.0,0.0,0.0,8.2,11.2,0.736,4.8,6.6,4.0,5.9,9.9,2.5,1.7,1.5,27.9,2012,Adriatic League Liga ABA
12,Sofoklis Schortsanitis,MAC,24,16.9,10.3,17.0,0.604,0.0,0.0,0.0,6.4,10.2,0.629,4.5,8.1,4.1,7.3,11.4,3.1,1.5,1.3,27.0,2012,Adriatic League Liga ABA
13,Jerome Jordan,KRK,11,21.2,10.1,16.2,0.625,0.0,0.0,0.0,6.5,9.1,0.711,3.4,5.1,3.8,7.5,11.3,1.4,1.4,1.4,26.7,2012,Adriatic League Liga ABA
14,Bogdan Bogdanovic,PAR,6,5.0,11.0,23.6,0.467,1.6,7.9,0.2,3.1,4.7,0.667,1.6,6.3,0.0,7.9,7.9,11.0,3.1,1.6,26.7,2012,Adriatic League Liga ABA
15,Boban Marjanovic,SWI,6,9.2,7.7,15.4,0.5,0.0,0.0,0.0,11.1,12.0,0.929,2.6,5.1,4.3,8.5,12.8,0.0,0.9,1.7,26.5,2012,Adriatic League Liga ABA
16,Drago Pasalic,DOM,26,26.2,10.3,20.9,0.491,2.5,7.3,0.34700000000000003,3.3,4.2,0.7759999999999999,3.4,7.2,3.5,8.1,11.6,2.5,0.8,1.2,26.3,2012,Adriatic League Liga ABA
17,Jure Lalic,KRK,12,17.9,9.2,12.7,0.727,0.2,0.7,0.33299999999999996,7.4,11.1,0.667,2.5,6.2,3.5,6.7,10.1,1.6,0.7,0.5,26.0,2012,Adriatic League Liga ABA
18,Coleman Collins,SIR,24,17.3,9.4,14.3,0.653,0.0,0.2,0.0,7.2,9.6,0.753,3.2,6.5,5.7,9.5,15.2,1.4,2.6,2.0,25.9,2012,Adriatic League Liga ABA
19,Casey Mitchell,OLI,6,9.7,8.5,17.0,0.5,5.9,10.2,0.583,2.5,4.2,0.6,3.4,8.5,3.4,4.2,7.6,1.7,1.7,0.0,25.5,2012,Adriatic League Liga ABA
20,Richard Hendrix,MAC,25,17.8,10.5,16.1,0.652,0.0,0.2,0.0,4.5,6.5,0.6829999999999999,2.9,6.1,4.7,8.5,13.2,2.1,3.2,2.6,25.5,2012,Adriatic League Liga ABA
21,Miro Bilan,CED,28,18.8,10.1,15.3,0.659,0.0,0.0,0.0,5.3,9.0,0.59,3.2,6.8,4.4,9.4,13.8,0.6,0.8,0.9,25.4,2012,Adriatic League Liga ABA
22,Nemanja Radovic,BUD,4,1.0,12.7,38.1,0.33299999999999996,0.0,25.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.4,2012,Adriatic League Liga ABA
23,Mladen Pantic,SWIS,25,20.4,8.8,16.8,0.525,0.0,0.1,0.0,7.2,9.8,0.74,4.1,6.1,3.1,7.6,10.7,2.2,1.1,1.1,24.9,2012,Adriatic League Liga ABA
24,Petar Popovic,ZVE,25,20.9,10.4,19.3,0.539,0.0,0.2,0.0,3.9,5.0,0.772,3.0,6.7,4.5,7.2,11.7,1.8,0.1,0.1,24.7,2012,Adriatic League Liga ABA
25,Sean May,ZAG,18,25.4,8.3,15.4,0.537,1.7,3.5,0.47100000000000003,6.0,8.4,0.716,2.9,4.0,3.7,6.5,10.3,2.1,0.9,0.4,24.3,2012,Adriatic League Liga ABA
26,Bojan Dubljevic,BUD,26,19.7,8.9,18.8,0.47600000000000003,1.9,5.9,0.317,4.5,6.7,0.6759999999999999,3.0,7.0,5.3,7.1,12.4,0.9,1.9,0.8,24.3,2012,Adriatic League Liga ABA
27,Goran Suton,CIB,24,18.5,9.1,15.9,0.574,0.8,1.7,0.43799999999999994,5.0,6.4,0.7829999999999999,3.1,8.3,5.6,7.7,13.3,1.1,2.4,0.3,24.0,2012,Adriatic League Liga ABA
28,Keith Langford,MAC,19,23.2,8.7,15.6,0.562,1.2,3.6,0.324,5.2,8.1,0.645,2.8,3.2,1.2,5.4,6.6,3.6,1.4,0.2,23.9,2012,Adriatic League Liga ABA
29,Nemanja Besovic,PAR,9,4.1,11.9,17.2,0.6920000000000001,0.0,0.0,0.0,0.0,0.0,0.0,2.7,9.3,2.7,5.3,8.0,1.3,0.0,4.0,23.9,2012,Adriatic League Liga ABA
30,Adam Morrison,ZVE,8,29.3,9.0,18.8,0.48,1.7,4.4,0.391,4.0,4.6,0.875,2.5,3.1,0.2,4.6,4.8,2.3,1.0,0.2,23.8,2012,Adriatic League Liga ABA
31,Vladimir Panic,ZLA,8,35.3,7.5,15.4,0.484,1.4,3.9,0.348,7.5,9.1,0.815,2.9,1.9,2.0,1.5,3.6,4.6,1.4,0.0,23.7,2012,Adriatic League Liga ABA
32,Milan Macvan,MAC,2,13.2,10.1,11.8,0.857,1.7,3.4,0.5,1.7,6.8,0.25,1.7,5.1,1.7,5.1,6.8,3.4,0.0,1.7,23.7,2012,Adriatic League Liga ABA
33,Fran Pilepic,SIR,25,30.6,7.3,14.5,0.502,3.7,8.8,0.42,5.5,6.2,0.887,3.9,4.0,1.0,2.6,3.6,3.7,1.8,0.1,23.6,2012,Adriatic League Liga ABA
34,Damjan Rudez,CIB,26,23.6,8.4,15.8,0.534,3.5,7.2,0.484,3.2,3.5,0.9109999999999999,2.9,7.0,1.5,3.8,5.3,2.2,1.5,0.2,23.5,2012,Adriatic League Liga ABA
35,Mike Scott,SWI,22,35.1,8.8,17.8,0.493,1.4,3.9,0.359,4.4,6.8,0.652,3.3,2.4,2.6,6.2,8.8,2.9,1.8,1.0,23.4,2012,Adriatic League Liga ABA
36,David Blu,MAC,19,21.2,7.8,15.7,0.496,4.2,8.6,0.493,3.4,3.7,0.938,1.9,4.2,1.7,3.5,5.3,2.7,1.6,0.1,23.2,2012,Adriatic League Liga ABA
37,Ivan Maras,SWIS,22,23.0,8.9,16.9,0.525,0.3,2.2,0.13,5.2,7.5,0.696,3.7,4.2,3.3,6.7,10.0,1.6,1.5,0.6,23.2,2012,Adriatic League Liga ABA
38,Shawn James,MAC,23,12.8,9.0,13.7,0.655,0.0,0.0,0.0,5.1,7.4,0.6809999999999999,3.8,7.9,4.6,10.4,15.0,2.4,3.5,5.1,23.0,2012,Adriatic League Liga ABA
39,Dorde Milosevic,SWIS,4,2.6,9.2,9.2,1.0,0.0,0.0,0.0,4.6,4.6,1.0,9.2,9.2,4.6,4.6,9.2,0.0,0.0,0.0,22.9,2012,Adriatic League Liga ABA
40,Deon Thompson,OLI,26,25.1,9.2,17.4,0.528,0.1,0.2,0.33299999999999996,4.1,6.0,0.679,2.6,5.0,3.9,6.0,9.9,1.0,1.4,1.6,22.6,2012,Adriatic League Liga ABA
41,Dominic James,PAR,8,29.7,8.2,18.1,0.456,2.0,4.2,0.47600000000000003,4.0,4.8,0.833,4.0,3.6,0.4,2.0,2.4,5.8,1.8,0.0,22.5,2012,Adriatic League Liga ABA
42,Sava Lesic,ZVE,23,19.5,7.1,14.3,0.496,1.3,4.4,0.302,6.6,8.8,0.753,2.4,5.6,3.7,6.8,10.5,1.1,0.8,0.2,22.5,2012,Adriatic League Liga ABA
43,Devin Smith,MAC,26,22.3,8.1,14.5,0.5579999999999999,3.5,7.3,0.484,2.7,3.1,0.872,1.8,4.9,1.0,6.5,7.6,2.7,1.9,1.0,22.4,2012,Adriatic League Liga ABA
44,Klemen Prepelic,DOM,26,31.4,6.3,17.1,0.36700000000000005,3.3,10.9,0.298,6.5,7.8,0.831,3.1,3.1,0.8,3.0,3.8,4.5,1.4,0.1,22.3,2012,Adriatic League Liga ABA
