#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Yacine Baeri,SALE,1,2.8,17.4,34.9,0.5,17.4,34.9,0.5,0.0,0.0,0.0,0.0,17.4,0.0,0.0,0.0,0.0,0.0,0.0,52.3,2019,African Basketball League
2,Elhadj Mbodji,RAD,4,15.7,16.3,22.0,0.741,0.0,0.8,0.0,7.3,12.2,0.6,2.4,6.5,5.7,10.6,16.3,0.8,0.0,3.3,39.9,2019,African Basketball League
3,Reggie Holmes,AHLY,5,28.2,9.4,25.1,0.37200000000000005,6.1,17.1,0.358,7.7,9.0,0.857,1.6,3.9,1.6,7.7,9.4,1.3,4.2,0.0,32.6,2019,African Basketball League
4,Mohamed Abbassi,RAD,2,10.3,13.5,24.2,0.556,2.7,8.1,0.33299999999999996,2.7,5.4,0.5,8.1,8.1,2.7,10.8,13.5,5.4,0.0,2.7,32.3,2019,African Basketball League
5,Hamad Abouelrish,SMOU,2,8.5,11.7,20.5,0.5710000000000001,0.0,0.0,0.0,8.8,14.7,0.6,2.9,2.9,5.9,5.9,11.7,2.9,2.9,0.0,32.3,2019,African Basketball League
6,Deondre Parks,RAD,2,30.1,10.1,28.5,0.355,3.7,14.7,0.25,8.3,10.1,0.818,2.8,1.8,1.8,0.9,2.8,1.8,0.9,0.0,32.2,2019,African Basketball League
7,Gege Kizubanata,MAZ,3,32.0,10.9,26.9,0.40399999999999997,0.0,4.7,0.0,9.3,12.4,0.75,2.1,4.1,7.8,6.2,14.0,0.0,1.0,0.0,31.1,2019,African Basketball League
8,Ibe Abuchi Agu,CIVIL,5,27.9,11.6,21.8,0.531,2.0,6.5,0.316,5.4,8.8,0.615,3.4,3.7,3.4,8.2,11.6,4.1,2.0,1.0,30.6,2019,African Basketball League
9,Abderrahim Najah,SALE,6,23.7,10.8,18.9,0.5710000000000001,0.7,2.7,0.25,7.7,10.4,0.742,2.4,6.1,4.4,11.5,15.8,3.0,1.3,1.3,30.0,2019,African Basketball League
10,Abdulwahab Yahaya,RIVE,3,27.9,11.1,26.3,0.42200000000000004,2.3,8.8,0.267,4.7,5.9,0.8,6.4,3.5,6.4,5.9,12.3,3.5,0.6,0.0,29.3,2019,African Basketball League
11,James Justice,SMOU,7,34.1,10.1,21.6,0.467,3.5,9.3,0.37799999999999995,4.5,6.6,0.688,4.3,2.3,2.9,6.2,9.1,7.6,1.4,0.4,28.2,2019,African Basketball League
12,Manny Quezada,AGO,7,29.1,8.1,24.1,0.337,4.1,11.9,0.34,7.9,9.5,0.825,4.1,2.9,1.2,5.0,6.2,8.8,3.1,0.0,28.2,2019,African Basketball League
13,Freddy Kalama Luyeye,TERR,3,19.1,13.1,28.8,0.457,0.0,5.8,0.0,1.6,4.9,0.33299999999999996,5.8,6.6,4.1,10.7,14.8,6.6,4.1,0.0,27.9,2019,African Basketball League
14,Soufiane Kourodu,SALE,7,20.5,10.0,16.4,0.612,0.7,1.0,0.667,6.7,10.0,0.667,4.0,6.0,3.3,6.0,9.4,2.7,1.0,2.3,27.4,2019,African Basketball League
15,Lawrence Gilbert,KAIR,7,32.5,7.7,20.9,0.368,4.8,13.9,0.349,6.6,8.8,0.75,2.9,2.4,2.4,7.3,9.7,1.5,1.5,0.2,26.9,2019,African Basketball League
16,Ocheibi Okpe,CIVIL,5,30.1,10.4,21.7,0.478,1.6,5.7,0.278,4.4,9.4,0.467,3.5,4.4,5.0,10.1,15.1,3.5,2.2,0.0,26.7,2019,African Basketball League
