#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Shawn Ray,ATL,1,14.7,19.3,19.3,1.0,0.0,0.0,0.0,3.9,3.9,1.0,0.0,7.7,0.0,3.9,3.9,0.0,0.0,0.0,42.6,2019,Alpe-Adria Cup
2,Justin Martin,SLU,2,19.6,15.5,20.2,0.765,4.8,8.3,0.5710000000000001,3.6,4.8,0.75,4.8,8.3,1.2,5.9,7.1,1.2,2.4,0.0,39.3,2019,Alpe-Adria Cup
3,Jason Detrick,VIE,4,38.7,10.7,25.1,0.42700000000000005,3.7,10.7,0.34299999999999997,11.9,13.2,0.907,3.1,2.4,1.2,6.7,8.0,3.4,1.2,2.1,37.0,2019,Alpe-Adria Cup
4,Predrag Miletic,DUKE,3,20.7,13.8,23.0,0.6,1.5,6.1,0.25,7.7,7.7,1.0,3.8,3.8,2.3,5.4,7.7,6.9,3.8,0.8,36.8,2019,Alpe-Adria Cup
5,Daniel Szatkowski,BRN,1,3.9,12.2,12.2,1.0,12.2,12.2,1.0,0.0,0.0,0.0,0.0,0.0,12.2,0.0,12.2,12.2,0.0,0.0,36.7,2019,Alpe-Adria Cup
6,Bernard Thompson,ZTE,7,26.0,13.9,22.9,0.607,2.6,4.9,0.526,5.7,7.4,0.759,3.9,5.1,3.6,7.4,11.0,6.2,2.6,0.3,36.0,2019,Alpe-Adria Cup
7,Reggie Keely,BRN,5,23.2,12.3,18.6,0.659,3.4,5.5,0.615,8.0,10.2,0.792,2.1,3.8,1.7,6.3,8.0,5.5,1.3,1.3,36.0,2019,Alpe-Adria Cup
8,Jakub Dloniak,GLIW,6,14.7,13.0,23.9,0.5429999999999999,8.3,16.1,0.516,0.5,0.5,1.0,2.1,3.6,1.0,3.1,4.2,3.6,1.6,0.0,34.8,2019,Alpe-Adria Cup
9,Nikola Gacesa,PATR,7,22.7,13.5,21.5,0.629,2.8,4.6,0.6,4.3,5.5,0.778,3.1,3.1,3.4,7.1,10.5,4.6,1.2,0.6,34.1,2019,Alpe-Adria Cup
10,Jozo Rados,ATL,2,18.3,14.1,22.5,0.625,0.0,0.0,0.0,5.6,16.9,0.33299999999999996,5.6,2.8,1.4,15.5,16.9,5.6,0.0,0.0,33.8,2019,Alpe-Adria Cup
11,Mateusz Szlachetka,GLIW,6,7.4,11.2,19.3,0.579,4.1,8.1,0.5,6.1,7.1,0.857,5.1,5.1,0.0,3.0,3.0,7.1,5.1,1.0,32.5,2019,Alpe-Adria Cup
