#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Zac Delaney,ILL,3,0.9,19.2,19.2,1.0,19.2,19.2,1.0,0.0,0.0,0.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.5,2012,Australian NBL
2,Tom Wright,SYD,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,45.9,61.3,0.75,0.0,0.0,0.0,15.3,15.3,0.0,0.0,0.0,45.9,2012,Australian NBL
3,Shane McDonald,MEL,1,5.1,9.1,9.1,1.0,0.0,0.0,0.0,18.1,18.1,1.0,18.1,0.0,0.0,0.0,0.0,9.1,0.0,0.0,36.2,2012,Australian NBL
4,Gary Wilkinson,NZB,33,25.9,12.0,22.8,0.525,2.7,6.4,0.41200000000000003,4.6,5.6,0.828,3.3,4.0,3.4,7.3,10.7,2.3,0.5,0.7,31.0,2012,Australian NBL
5,Jesse Wagstaff,PER,34,19.0,9.4,21.0,0.447,3.3,8.6,0.387,6.1,7.1,0.848,4.0,6.9,2.9,6.0,8.9,3.2,1.4,0.6,27.9,2012,Australian NBL
6,Karl Nilsson,GCB,4,1.3,9.2,27.7,0.33299999999999996,0.0,9.2,0.0,9.2,18.5,0.5,0.0,9.2,0.0,0.0,0.0,0.0,9.2,0.0,27.7,2012,Australian NBL
7,Diamon Simpson,ADE,27,24.6,11.0,18.7,0.59,0.0,0.0,0.0,5.5,10.2,0.542,3.5,5.2,7.1,9.5,16.6,1.7,1.6,2.9,27.6,2012,Australian NBL
8,Adris DeLeon,GCB,28,28.8,9.2,22.3,0.414,3.1,8.4,0.368,5.7,7.1,0.795,4.7,3.8,1.9,5.1,7.1,5.2,2.6,0.2,27.1,2012,Australian NBL
9,Alex Pledger,NZB,34,15.3,11.2,19.1,0.5870000000000001,0.0,0.0,0.0,4.6,6.5,0.7,4.2,4.3,7.8,8.9,16.7,1.0,1.1,2.4,27.0,2012,Australian NBL
10,Cameron Tragardh,MEL,28,29.3,12.3,22.9,0.535,0.0,0.0,0.0,2.5,4.9,0.512,2.1,3.9,3.0,5.9,8.8,2.4,0.5,0.7,27.0,2012,Australian NBL
11,Shawn Redhage,PER,34,23.9,10.1,22.1,0.456,2.2,6.0,0.371,4.5,6.6,0.687,4.8,5.6,3.6,4.9,8.5,5.0,1.4,0.6,26.9,2012,Australian NBL
12,Greg Vanderjagt,TOW,7,8.8,8.3,16.6,0.5,0.0,0.0,0.0,9.8,12.1,0.812,2.3,7.6,6.8,2.3,9.1,0.8,0.0,1.5,26.4,2012,Australian NBL
