#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Georg Florian,OBE,1,0.4,0.0,0.0,0.0,0.0,0.0,0.0,223.3,223.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.3,2012,Austrian A Bundesliga
2,Duro Bjegovic,CGK,1,12.0,22.9,26.8,0.857,0.0,3.8,0.0,7.6,11.5,0.667,7.6,0.0,0.0,3.8,3.8,3.8,3.8,0.0,53.5,2012,Austrian A Bundesliga
3,Roy Booker,STP,11,31.0,10.2,22.0,0.462,5.1,12.2,0.419,7.6,10.2,0.75,6.1,2.7,1.4,4.2,5.7,3.2,1.4,0.1,33.1,2012,Austrian A Bundesliga
4,Stjepan Stazic,VIE,31,38.3,9.9,22.5,0.44,5.1,14.2,0.363,6.8,8.3,0.8220000000000001,4.7,3.0,1.0,6.0,7.0,5.7,1.5,0.4,31.8,2012,Austrian A Bundesliga
5,Tiras Wade,ATL,8,37.6,9.6,19.5,0.49200000000000005,3.7,8.6,0.426,8.3,10.4,0.8,3.8,3.2,1.9,4.2,6.1,3.2,1.9,0.0,31.2,2012,Austrian A Bundesliga
6,Adam Leonard,ATL,2,30.2,10.9,24.1,0.452,7.0,17.9,0.391,2.3,3.9,0.6,4.7,4.7,0.0,6.2,6.2,2.3,0.8,0.0,31.1,2012,Austrian A Bundesliga
7,Drake Reed,OBE,17,31.5,11.7,23.3,0.504,1.2,4.3,0.271,5.4,7.1,0.762,4.2,4.2,3.5,8.3,11.7,2.5,1.3,0.3,30.1,2012,Austrian A Bundesliga
8,Dorde Drenovac,ATL,25,38.2,10.4,22.3,0.469,1.5,5.3,0.292,6.2,8.0,0.7759999999999999,4.3,3.3,0.9,4.9,5.8,2.8,1.5,0.4,28.7,2012,Austrian A Bundesliga
9,Joey Shaw,OBE,33,33.2,9.1,20.3,0.45,2.0,6.5,0.315,6.7,8.1,0.831,2.6,4.2,1.9,5.9,7.8,2.0,1.3,0.6,27.0,2012,Austrian A Bundesliga
10,Elmir Brkic,ASG,6,1.2,6.7,33.6,0.2,0.0,0.0,0.0,13.4,13.4,1.0,0.0,33.6,0.0,6.7,6.7,0.0,0.0,0.0,26.8,2012,Austrian A Bundesliga
11,Deteri Jabbar Mayes,KAP,38,25.3,8.8,20.0,0.439,3.7,9.8,0.371,5.6,6.8,0.828,2.9,4.8,0.5,3.8,4.3,3.1,1.6,0.0,26.8,2012,Austrian A Bundesliga
12,Milan Stegnjaic,GRZ,27,29.8,10.0,18.6,0.539,2.8,6.7,0.426,3.8,5.1,0.75,2.8,5.9,2.1,7.5,9.6,3.3,0.7,0.3,26.7,2012,Austrian A Bundesliga
13,Morris Curry,ASG,41,33.0,8.7,20.1,0.435,2.8,7.7,0.368,6.4,8.3,0.77,5.4,4.2,1.3,3.3,4.6,7.4,2.0,0.1,26.7,2012,Austrian A Bundesliga
14,Aleksandar Djuric,CGK,33,30.9,9.5,18.9,0.501,1.5,4.4,0.33,6.1,8.5,0.7240000000000001,3.7,1.9,1.4,7.5,8.9,1.7,0.6,0.2,26.5,2012,Austrian A Bundesliga
15,Ramiz Suljanovic,DUKE,41,29.7,11.3,18.5,0.613,0.0,0.1,0.5,3.8,6.4,0.6,2.5,3.2,4.2,6.5,10.7,1.4,0.8,0.7,26.5,2012,Austrian A Bundesliga
16,Marko Moric,GRZ,23,30.9,9.3,16.7,0.5529999999999999,0.7,1.9,0.35700000000000004,6.7,9.3,0.716,4.4,3.0,3.2,7.7,10.9,4.3,1.4,0.9,25.9,2012,Austrian A Bundesliga
17,Carleton Scott,CGK,27,25.9,9.2,18.7,0.494,1.7,5.9,0.294,5.0,6.9,0.73,3.2,5.9,2.8,9.4,12.3,2.6,2.2,1.6,25.2,2012,Austrian A Bundesliga
18,Gary Ware,RPF,33,29.9,10.8,18.0,0.601,0.0,0.0,0.0,3.5,5.8,0.612,3.0,4.7,4.6,6.6,11.2,1.2,1.0,1.8,25.2,2012,Austrian A Bundesliga
19,Bryant Matthews,VIE,13,32.0,8.8,16.5,0.537,0.9,2.0,0.444,6.2,9.4,0.659,5.4,5.6,3.9,4.9,8.7,2.7,2.9,0.6,24.8,2012,Austrian A Bundesliga
20,Christoph Nagler,DUKE,43,30.5,7.7,15.3,0.506,2.9,6.8,0.424,6.3,7.5,0.8420000000000001,2.4,2.5,1.1,5.8,6.9,4.3,1.0,0.1,24.7,2012,Austrian A Bundesliga
21,Jeremy Fears,KAP,34,34.2,8.8,18.8,0.469,2.3,7.2,0.326,4.2,5.6,0.748,4.1,2.8,0.8,3.5,4.3,9.2,3.5,0.3,24.3,2012,Austrian A Bundesliga
22,Elvis Kadic,CGK,34,25.4,8.7,17.7,0.489,2.6,6.9,0.384,4.2,5.1,0.8370000000000001,3.8,5.3,2.4,5.1,7.5,1.4,1.5,0.1,24.2,2012,Austrian A Bundesliga
