#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Boris Lalovic,ZRI,1,26.0,15.6,26.0,0.6,0.0,3.5,0.0,8.7,8.7,1.0,3.5,6.9,1.7,5.2,6.9,0.0,0.0,0.0,39.8,2012,Balkan BIBL
2,Alen Djeljosevic,ULC,1,18.0,12.7,17.8,0.7140000000000001,5.1,7.6,0.667,5.1,7.6,0.667,10.2,5.1,0.0,7.6,7.6,2.5,0.0,0.0,35.6,2012,Balkan BIBL
3,Joseph Jones,GAL,11,21.2,14.3,21.6,0.6629999999999999,0.0,0.6,0.0,5.0,6.4,0.774,3.9,6.0,2.3,8.3,10.6,3.3,2.1,1.7,33.7,2012,Balkan BIBL
4,Miko Golubovic,NAP,2,8.0,14.5,20.3,0.7140000000000001,0.0,0.0,0.0,2.9,11.6,0.25,11.6,8.7,2.9,5.8,8.7,0.0,5.8,2.9,31.9,2012,Balkan BIBL
5,Denis Agre,LEV,3,3.3,10.1,15.1,0.667,0.0,0.0,0.0,10.1,10.1,1.0,0.0,20.1,0.0,15.1,15.1,0.0,0.0,0.0,30.2,2012,Balkan BIBL
6,Robert Sarovic,TIM,5,22.6,11.3,22.5,0.5,3.6,11.3,0.32,3.6,4.1,0.889,1.8,4.5,3.2,7.2,10.4,3.2,0.9,0.0,29.7,2012,Balkan BIBL
7,Dejan Ivkovic,MOR,1,16.0,11.8,29.5,0.4,0.0,8.8,0.0,5.9,5.9,1.0,5.9,8.8,5.9,5.9,11.8,0.0,0.0,0.0,29.5,2012,Balkan BIBL
8,Aco Mandic,NAP,9,23.4,11.4,20.0,0.57,1.2,3.3,0.35700000000000004,5.1,7.0,0.733,2.1,5.1,3.7,7.0,10.7,2.6,0.9,0.5,29.0,2012,Balkan BIBL
9,Branko Mirkovic,RIL,13,30.8,8.4,16.2,0.519,4.9,8.6,0.5710000000000001,6.5,7.4,0.883,4.6,3.8,0.9,4.2,5.1,8.0,2.8,0.0,28.3,2012,Balkan BIBL
10,Sime Spralja,TIM,5,34.0,11.0,21.4,0.514,4.6,8.4,0.552,1.4,2.0,0.7140000000000001,2.9,4.0,3.2,5.5,8.7,1.7,1.7,0.6,28.0,2012,Balkan BIBL
