#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Jasper Verbeeck,LEU,2,1.0,0.0,21.8,0.0,0.0,0.0,0.0,43.6,43.6,1.0,0.0,0.0,0.0,0.0,0.0,21.8,0.0,0.0,43.6,2012,Belgium-Scooore League
2,Chris Copeland,OKA,34,32.9,10.2,19.1,0.535,2.5,5.7,0.449,7.7,9.7,0.7979999999999999,4.2,3.2,1.6,6.2,7.8,2.5,0.8,0.7,30.7,2012,Belgium-Scooore League
3,Rik Vandenberghe,OKA,7,2.0,9.7,25.9,0.375,6.5,16.2,0.4,0.0,0.0,0.0,0.0,6.5,6.5,6.5,13.0,3.2,3.2,0.0,25.9,2012,Belgium-Scooore League
4,Brandon Freeman,LEU,35,23.9,8.0,17.3,0.462,3.9,9.2,0.424,5.0,5.9,0.8490000000000001,2.8,4.0,0.5,1.9,2.4,1.7,1.9,0.1,24.9,2012,Belgium-Scooore League
5,Faycal Lait,LEU,9,1.9,8.2,35.6,0.231,5.5,19.2,0.28600000000000003,2.7,5.5,0.5,2.7,11.0,2.7,5.5,8.2,0.0,0.0,0.0,24.7,2012,Belgium-Scooore League
6,"Alan Wiggins, Jr.",ANT,1,17.0,12.2,18.4,0.667,0.0,3.1,0.0,0.0,0.0,0.0,0.0,6.1,9.2,6.1,15.3,0.0,0.0,0.0,24.5,2012,Belgium-Scooore League
7,Caleb Green,SPI,42,23.6,7.9,17.4,0.452,2.3,6.2,0.374,5.6,7.8,0.713,3.7,4.8,2.1,8.7,10.9,2.7,2.1,0.4,23.7,2012,Belgium-Scooore League
8,Josh Bostic,LIE,32,32.3,7.8,18.6,0.42100000000000004,3.0,8.0,0.373,5.0,6.4,0.789,5.0,4.2,1.6,6.5,8.1,4.0,2.2,0.4,23.6,2012,Belgium-Scooore League
9,Matt Lojeski,OOS,29,29.2,8.5,15.2,0.5579999999999999,2.3,5.4,0.418,4.1,4.8,0.86,1.7,4.0,1.4,6.2,7.6,2.8,1.7,0.2,23.4,2012,Belgium-Scooore League
10,Jason Rich,OOS,10,31.6,9.1,18.5,0.49200000000000005,1.7,5.6,0.297,3.3,4.7,0.71,5.5,4.7,0.2,4.5,4.7,4.1,1.5,0.0,23.2,2012,Belgium-Scooore League
11,Brent Wright,OOS,26,23.1,8.8,16.9,0.519,0.9,2.4,0.36700000000000005,4.6,7.1,0.644,4.5,6.6,2.7,8.0,10.7,2.7,2.0,0.2,23.0,2012,Belgium-Scooore League
12,Sean Singletary,MON,11,24.2,7.4,14.2,0.525,1.2,3.7,0.33299999999999996,6.6,8.0,0.8220000000000001,2.1,5.7,0.9,4.4,5.3,5.8,4.8,0.0,22.7,2012,Belgium-Scooore League
13,Bryan Hopkins,ANT,22,21.5,7.9,19.3,0.409,2.6,7.9,0.32899999999999996,4.2,5.3,0.804,3.3,4.8,2.3,4.9,7.1,3.3,4.5,0.0,22.6,2012,Belgium-Scooore League
14,Demond Mallet,SPI,26,31.4,7.2,16.9,0.426,3.4,9.5,0.35700000000000004,4.5,5.3,0.84,2.5,2.8,0.9,3.0,3.9,4.1,2.6,0.0,22.2,2012,Belgium-Scooore League
15,Ahmad Nivins,MON,36,24.1,8.9,14.6,0.612,0.0,0.2,0.0,4.3,5.5,0.7879999999999999,4.0,5.0,3.2,6.7,9.9,0.7,1.8,1.2,22.1,2012,Belgium-Scooore League
16,Tornike Shengelia,SPI,29,18.4,8.2,18.1,0.45,1.0,3.7,0.27899999999999997,4.7,7.5,0.628,4.5,7.0,3.5,8.6,12.1,2.8,2.8,0.9,22.0,2012,Belgium-Scooore League
17,Ade Dagunduro,LEU,32,24.7,8.2,17.4,0.47100000000000003,1.1,3.5,0.3,4.6,7.2,0.629,3.9,5.5,2.2,4.6,6.8,4.0,4.6,0.1,22.0,2012,Belgium-Scooore League
18,Dwayne Broyles,SPI,32,25.2,7.7,16.0,0.48200000000000004,4.1,9.1,0.45799999999999996,2.4,3.0,0.7879999999999999,2.5,4.4,1.3,4.8,6.1,1.9,1.6,0.2,22.0,2012,Belgium-Scooore League
19,Christophe Beghin,SPI,35,19.8,8.3,14.8,0.564,0.5,1.1,0.43799999999999994,4.7,7.0,0.67,3.7,6.1,3.1,5.5,8.5,3.2,2.0,0.2,21.8,2012,Belgium-Scooore League
20,Jason Love,PEP,26,29.1,8.0,16.3,0.49,0.0,0.0,0.0,5.8,8.4,0.691,2.9,3.8,5.4,8.6,13.9,0.4,1.1,1.4,21.8,2012,Belgium-Scooore League
21,Ronell Taylor,MON,36,31.0,8.5,16.9,0.506,1.1,3.0,0.35200000000000004,3.4,3.9,0.867,4.9,4.5,1.4,5.6,7.0,4.1,1.8,0.4,21.5,2012,Belgium-Scooore League
22,Dusan Sakota,OOS,12,20.3,7.4,15.2,0.48700000000000004,3.9,8.6,0.455,2.3,2.9,0.8,1.9,6.6,0.8,3.9,4.7,0.4,2.3,0.2,21.4,2012,Belgium-Scooore League
23,A.J. Slaughter,MON,36,26.1,6.9,16.5,0.42100000000000004,2.1,6.0,0.34700000000000003,5.4,6.7,0.8029999999999999,4.1,4.5,0.5,4.2,4.7,5.4,2.7,0.1,21.4,2012,Belgium-Scooore League
24,Michael Jenkins,GEN,31,29.7,7.6,19.8,0.38299999999999995,2.7,8.4,0.321,3.4,4.7,0.73,3.4,4.9,0.9,4.9,5.8,2.3,2.1,0.0,21.3,2012,Belgium-Scooore League
25,Michael Roll,ANT,27,28.1,7.9,17.3,0.457,2.0,5.5,0.369,2.4,2.7,0.878,3.2,5.5,1.6,5.4,7.0,2.6,1.7,0.1,21.2,2012,Belgium-Scooore League
26,Chris Hill,SPI,36,22.2,7.2,18.4,0.39,2.7,8.2,0.33299999999999996,4.1,5.0,0.8140000000000001,3.2,6.0,2.3,5.5,7.8,3.2,2.3,0.0,21.2,2012,Belgium-Scooore League
27,Jermaine Beal,PEP,31,25.0,7.1,17.4,0.406,2.2,7.3,0.308,4.6,5.9,0.784,3.5,3.5,1.2,2.8,3.9,3.0,1.4,0.1,21.0,2012,Belgium-Scooore League
28,Michael Haynes,GEN,30,32.6,7.7,19.6,0.392,2.2,8.3,0.26899999999999996,3.3,6.1,0.5489999999999999,4.1,4.2,1.5,5.1,6.6,2.4,2.2,0.4,21.0,2012,Belgium-Scooore League
29,Yannick Moray,SPI,2,2.5,0.0,10.4,0.0,0.0,10.4,0.0,20.8,20.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.8,2012,Belgium-Scooore League
30,Kennedy Winston,OOS,32,28.8,6.8,16.9,0.39899999999999997,1.4,4.1,0.33799999999999997,5.7,7.7,0.74,3.0,2.9,0.9,5.5,6.4,4.3,1.9,0.1,20.6,2012,Belgium-Scooore League
31,Dominic Waters,LIE,30,28.6,7.7,15.6,0.493,1.5,3.9,0.375,3.5,4.5,0.7709999999999999,5.2,5.3,0.9,3.5,4.4,6.6,1.4,0.2,20.3,2012,Belgium-Scooore League
