#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Nikola Radicevic,PAR,5,26.0,13.7,27.0,0.507,0.7,3.3,0.222,7.0,8.9,0.792,2.6,3.7,1.5,4.8,6.3,4.4,1.5,0.4,35.1,2012,Belgrade Tournament (ANGT)
2,Dusan Ristic,ZVE,5,23.7,13.6,22.9,0.593,0.0,0.4,0.0,6.6,8.5,0.773,1.9,3.9,5.8,8.1,14.0,0.4,0.8,1.9,33.7,2012,Belgrade Tournament (ANGT)
3,Brano Dukanovic,ZVE,5,21.8,10.5,19.4,0.5429999999999999,6.7,13.1,0.516,2.1,2.5,0.833,5.1,5.1,1.3,1.7,3.0,5.1,3.0,0.4,29.9,2012,Belgrade Tournament (ANGT)
4,Jusuf Nurkic,OLI,5,30.1,9.1,20.1,0.45299999999999996,2.2,4.7,0.467,9.1,11.6,0.784,1.9,3.5,4.7,12.6,17.3,0.9,2.2,3.1,29.6,2012,Belgrade Tournament (ANGT)
5,Mouhammadou Jaiteh,INS,5,24.5,11.5,22.2,0.519,0.0,1.2,0.0,5.8,10.3,0.56,2.9,3.7,8.2,14.8,23.1,4.5,1.6,3.3,28.8,2012,Belgrade Tournament (ANGT)
6,Nikola Majic,PAR,5,26.3,11.3,25.9,0.43700000000000006,1.1,5.5,0.2,4.4,9.1,0.48,4.0,2.9,5.8,10.2,16.1,4.4,1.8,1.1,28.1,2012,Belgrade Tournament (ANGT)
7,Petar Aranitovic,ZVE,5,11.2,10.6,20.4,0.52,1.6,7.4,0.222,4.9,5.7,0.857,2.5,5.7,1.6,4.9,6.5,5.7,1.6,0.0,27.8,2012,Belgrade Tournament (ANGT)
8,Tim Leonhardt,BRO,5,11.6,10.5,17.4,0.6,2.6,6.1,0.429,2.6,4.4,0.6,2.6,5.2,1.7,3.5,5.2,0.9,0.9,0.9,26.1,2012,Belgrade Tournament (ANGT)
9,Marko Tejic,ZVE,5,17.9,10.3,17.5,0.588,4.1,7.7,0.5329999999999999,1.5,2.1,0.75,2.6,8.7,3.1,5.7,8.7,2.1,1.5,1.0,25.2,2012,Belgrade Tournament (ANGT)
10,Luka Kamber,BER,3,24.0,8.1,16.1,0.5,2.7,5.4,0.5,6.0,6.7,0.9,6.0,1.3,7.4,6.0,13.4,2.7,2.0,0.0,24.8,2012,Belgrade Tournament (ANGT)
11,Dusan Stankovic,MEG,4,30.5,9.0,18.3,0.49,3.0,6.3,0.47100000000000003,3.7,4.5,0.833,1.9,5.2,4.5,6.3,10.8,1.1,1.9,0.7,24.6,2012,Belgrade Tournament (ANGT)
12,Luka Andjusic,HEM,5,24.3,9.0,23.0,0.39,4.3,10.1,0.423,1.9,3.1,0.625,5.1,2.7,0.0,4.3,4.3,4.7,1.2,0.0,24.1,2012,Belgrade Tournament (ANGT)
13,Nikola Jankovic,ZVE,4,25.5,8.6,20.5,0.42200000000000004,0.5,0.5,1.0,5.9,8.2,0.722,4.1,4.1,10.0,14.1,24.1,4.1,3.6,3.6,23.7,2012,Belgrade Tournament (ANGT)
14,Ismet Akpinar,BER,4,29.5,7.7,21.4,0.36,1.7,6.9,0.25,6.9,9.0,0.762,3.9,2.6,0.4,5.6,6.0,3.0,0.9,0.4,23.1,2012,Belgrade Tournament (ANGT)
15,Dino Dizdarevic,BRO,5,24.6,7.4,19.3,0.38299999999999995,1.6,4.9,0.33299999999999996,6.6,10.7,0.615,3.3,1.6,1.2,4.1,5.3,2.9,0.8,0.0,23.0,2012,Belgrade Tournament (ANGT)
16,Rade Zagorac,MEG,5,21.3,6.8,17.9,0.381,2.1,6.0,0.35700000000000004,6.8,8.9,0.762,1.7,0.4,1.7,5.1,6.8,6.0,2.6,0.4,22.5,2012,Belgrade Tournament (ANGT)
17,Aleksa Avramovic,MEG,4,20.9,8.7,19.7,0.444,1.6,7.1,0.231,3.3,4.9,0.667,4.4,2.7,0.5,5.5,6.0,6.6,3.8,0.5,22.4,2012,Belgrade Tournament (ANGT)
18,Mauricio Marin,BER,5,31.3,8.6,20.8,0.415,3.2,8.3,0.385,1.9,2.6,0.75,5.4,5.1,1.0,1.0,1.9,3.5,1.3,0.0,22.4,2012,Belgrade Tournament (ANGT)
19,Lucas Paoletti,INS,5,11.7,7.8,12.1,0.643,6.0,8.6,0.7,0.0,0.0,0.0,2.6,4.3,3.5,12.1,15.5,0.0,2.6,0.0,21.6,2012,Belgrade Tournament (ANGT)
20,Nikola Milutinov,HEM,5,32.6,8.7,17.6,0.49200000000000005,0.3,1.7,0.16699999999999998,3.8,5.8,0.65,2.9,2.0,6.1,13.9,20.0,1.4,1.4,3.8,21.4,2012,Belgrade Tournament (ANGT)
21,Ognjen Dobric,ZVE,5,14.6,8.2,14.5,0.565,4.4,8.8,0.5,0.6,2.5,0.25,3.8,2.5,3.1,7.5,10.7,3.8,3.1,0.6,21.4,2012,Belgrade Tournament (ANGT)
22,Anthony Racine,INS,4,28.4,7.1,14.2,0.5,3.5,6.6,0.5329999999999999,3.1,4.0,0.778,6.6,4.4,0.4,2.2,2.7,4.4,1.8,0.4,20.8,2012,Belgrade Tournament (ANGT)
23,Nikola Rebic,ZVE,4,27.4,7.6,17.8,0.429,2.5,8.5,0.3,2.5,3.0,0.857,1.7,1.7,0.4,3.4,3.8,7.6,3.0,0.0,20.3,2012,Belgrade Tournament (ANGT)
24,Boris Dallo,INS,5,29.4,8.3,18.2,0.45299999999999996,1.0,4.1,0.25,2.4,3.4,0.7,7.2,2.4,1.7,5.5,7.2,5.2,2.8,0.7,19.9,2012,Belgrade Tournament (ANGT)
25,Nikola Jovanovic,PAR,5,25.2,8.0,14.1,0.568,0.4,1.1,0.33299999999999996,3.0,3.4,0.889,1.5,6.5,4.6,8.0,12.5,2.7,1.9,1.5,19.4,2012,Belgrade Tournament (ANGT)
26,Marko Guduric,ZVE,5,16.6,7.7,18.8,0.41200000000000003,1.1,7.2,0.154,2.8,3.9,0.7140000000000001,1.7,5.0,4.4,7.7,12.2,8.3,2.2,0.6,19.3,2012,Belgrade Tournament (ANGT)
27,Milos Jankovic,MEG,4,29.9,8.4,17.6,0.478,0.4,1.1,0.33299999999999996,1.5,2.7,0.5710000000000001,3.1,3.4,3.8,7.6,11.4,3.4,2.3,1.1,18.7,2012,Belgrade Tournament (ANGT)
28,Leonard Asan,BRO,4,5.4,9.1,22.8,0.4,0.0,6.8,0.0,0.0,0.0,0.0,4.6,9.1,2.3,4.6,6.8,2.3,2.3,0.0,18.2,2012,Belgrade Tournament (ANGT)
29,Terry Thomas,BRO,4,12.5,4.0,13.8,0.28600000000000003,0.0,4.0,0.0,9.9,16.8,0.588,4.0,4.0,0.0,4.9,4.9,1.0,0.0,1.0,17.8,2012,Belgrade Tournament (ANGT)
30,Erjon Kastrati,OLI,5,28.3,6.0,20.4,0.295,2.0,10.7,0.188,3.7,5.3,0.688,6.7,4.7,2.0,3.0,5.0,2.7,1.7,0.3,17.7,2012,Belgrade Tournament (ANGT)
31,Stanko Ilic,ZVE,4,17.2,7.4,14.1,0.524,1.3,4.7,0.28600000000000003,1.3,1.3,1.0,0.0,4.0,2.0,8.0,10.0,6.7,5.4,0.7,17.4,2012,Belgrade Tournament (ANGT)
32,Jaka Fingust,OLI,3,12.1,6.6,15.8,0.41700000000000004,2.6,6.6,0.4,1.3,1.3,1.0,1.3,4.0,0.0,4.0,4.0,1.3,1.3,0.0,17.2,2012,Belgrade Tournament (ANGT)
33,Jovan Novak,HEM,5,26.1,6.9,16.3,0.42200000000000004,0.4,2.9,0.125,2.9,3.6,0.8,4.0,2.2,1.8,3.3,5.1,7.3,2.2,0.0,17.0,2012,Belgrade Tournament (ANGT)
34,Luka Popovic,PAR,2,15.2,7.7,16.9,0.455,0.0,0.0,0.0,1.5,3.1,0.5,4.6,6.1,3.1,3.1,6.1,1.5,0.0,3.1,16.9,2012,Belgrade Tournament (ANGT)
35,Luka Nikolic,HEM,5,16.4,6.9,16.7,0.414,0.6,1.2,0.5,2.3,2.9,0.8,3.5,4.6,3.5,6.9,10.4,1.7,0.6,0.0,16.7,2012,Belgrade Tournament (ANGT)
36,Ognjen Jaramaz,PAR,4,10.9,6.7,16.7,0.4,0.0,4.5,0.0,3.3,4.5,0.75,7.8,3.3,3.3,1.1,4.5,2.2,2.2,1.1,16.7,2012,Belgrade Tournament (ANGT)
