#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Dzenan Rahimic,BOS,23,28.6,13.4,22.3,0.599,0.0,0.1,0.0,7.9,12.4,0.633,3.5,2.8,3.7,9.8,13.4,2.3,1.6,0.8,34.6,2012,Bosnian BiH Liga
2,Milos Komatina,IGO,41,19.7,13.2,19.6,0.6759999999999999,0.2,0.7,0.364,6.7,9.6,0.696,3.7,5.9,4.3,7.2,11.5,2.7,2.5,0.4,33.4,2012,Bosnian BiH Liga
3,Sead Hadzifejzovic,VOG,24,30.7,10.8,16.6,0.647,1.2,3.5,0.32799999999999996,9.4,15.4,0.614,3.8,4.6,6.1,8.0,14.1,3.4,2.3,0.2,32.1,2012,Bosnian BiH Liga
4,Nemanja Vranjes,BOR,7,29.4,11.6,28.3,0.408,3.3,13.4,0.24600000000000002,5.7,8.0,0.706,3.5,3.5,0.9,6.1,7.1,3.3,3.1,0.2,32.1,2012,Bosnian BiH Liga
5,Nikola Mitric,MLA,2,3.4,7.9,15.7,0.5,7.9,15.7,0.5,7.9,15.7,0.5,0.0,7.9,0.0,0.0,0.0,0.0,0.0,0.0,31.5,2012,Bosnian BiH Liga
6,Boris Lalovic,HEO,5,38.0,11.1,19.7,0.562,1.6,4.3,0.375,7.5,8.6,0.875,4.6,3.2,3.0,6.5,9.4,2.2,3.0,0.0,31.3,2012,Bosnian BiH Liga
7,Milan Dozet,IGO,40,22.9,10.6,19.8,0.535,2.8,6.3,0.45,6.3,8.3,0.759,3.1,5.5,1.3,5.2,6.5,3.5,1.9,0.8,30.3,2012,Bosnian BiH Liga
8,Darko Planinic,SIR,17,21.2,10.6,13.3,0.7959999999999999,0.0,0.0,0.0,8.2,11.4,0.7140000000000001,4.8,7.5,4.1,6.5,10.6,1.5,1.4,1.1,29.4,2012,Bosnian BiH Liga
9,Milos Radujko,BOR,3,2.8,11.2,11.2,1.0,5.6,5.6,1.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,5.6,0.0,0.0,28.1,2012,Bosnian BiH Liga
10,Boris Previsic,CAP,8,4.2,7.0,14.0,0.5,4.2,9.8,0.429,9.8,14.0,0.7,0.0,11.2,1.4,5.6,7.0,4.2,0.0,0.0,28.1,2012,Bosnian BiH Liga
11,Milos Tripkovic,SER,6,14.2,9.6,18.1,0.529,4.8,10.6,0.45,3.2,5.3,0.6,4.3,4.8,1.6,2.7,4.3,3.7,1.1,1.1,27.1,2012,Bosnian BiH Liga
12,Coleman Collins,SIR,17,14.4,10.6,18.5,0.5760000000000001,0.0,0.8,0.0,5.8,8.8,0.659,3.6,5.6,5.4,7.6,13.0,2.8,1.8,3.2,27.1,2012,Bosnian BiH Liga
13,Mujo Tuljkovic,VOG,8,35.4,10.3,22.0,0.469,1.7,7.6,0.22,4.7,5.9,0.795,5.0,3.0,1.8,6.4,8.2,2.9,1.5,0.3,27.0,2012,Bosnian BiH Liga
14,Marko Jagodic-Kuridza,CAP,33,36.6,9.4,16.3,0.5770000000000001,0.7,3.0,0.237,6.5,9.2,0.7090000000000001,3.9,3.6,4.8,10.9,15.7,4.0,1.6,1.5,26.0,2012,Bosnian BiH Liga
15,Jozo Brkic,CAP,32,28.4,9.7,15.9,0.611,0.0,0.1,0.0,6.1,8.8,0.6890000000000001,3.5,5.3,4.6,8.5,13.1,2.2,1.4,0.7,25.5,2012,Bosnian BiH Liga
16,Nenad Sulovic,IGO,41,17.8,9.1,14.7,0.619,0.3,0.9,0.35700000000000004,6.9,9.6,0.7240000000000001,4.6,7.3,4.9,8.4,13.4,5.9,2.8,0.5,25.5,2012,Bosnian BiH Liga
17,Nenad Doric,SER,20,28.4,7.8,19.1,0.408,4.6,12.0,0.386,5.0,5.3,0.935,4.7,4.9,0.4,5.9,6.3,6.3,3.3,0.1,25.2,2012,Bosnian BiH Liga
18,Peda Loncar,BOR,7,8.2,6.9,16.4,0.42100000000000004,5.2,11.2,0.462,6.0,7.8,0.778,5.2,6.9,0.0,0.9,0.9,2.6,0.9,0.0,25.0,2012,Bosnian BiH Liga
19,Igor Josipovic,TAK,24,29.6,9.9,15.5,0.639,0.1,0.1,0.5,5.0,7.6,0.652,3.1,4.8,3.8,6.1,9.9,1.3,1.7,0.1,24.8,2012,Bosnian BiH Liga
20,Dragan Duranovic,MLA,6,8.3,8.2,14.4,0.5710000000000001,0.0,0.0,0.0,8.2,11.3,0.727,6.2,9.3,4.1,9.3,13.4,3.1,2.1,2.1,24.7,2012,Bosnian BiH Liga
21,Igor Bjelic,MLA,12,17.5,7.7,13.8,0.5589999999999999,0.0,0.2,0.0,9.2,10.8,0.848,2.8,7.5,3.8,6.6,10.3,1.2,0.7,0.5,24.6,2012,Bosnian BiH Liga
22,Goran Gajovic,HEO,23,37.3,9.2,19.3,0.47600000000000003,2.7,7.5,0.35700000000000004,3.5,5.2,0.6629999999999999,2.6,4.3,2.3,6.0,8.3,1.6,3.4,0.4,24.5,2012,Bosnian BiH Liga
23,Goran Ignjatovic,MLA,10,15.7,10.0,17.5,0.574,1.3,7.8,0.16699999999999998,1.9,3.2,0.6,1.9,6.2,3.2,6.5,9.7,0.6,1.0,0.6,24.0,2012,Bosnian BiH Liga
24,Marcel Jones,ZRI,23,29.0,10.3,18.0,0.5710000000000001,0.6,2.4,0.273,2.7,4.6,0.594,3.4,3.8,3.6,10.2,13.8,2.2,1.5,0.5,23.9,2012,Bosnian BiH Liga
25,Darko Kastratovic,BOR,22,30.9,7.4,19.6,0.37799999999999995,2.3,8.3,0.271,6.7,7.6,0.88,4.7,4.0,0.6,2.8,3.5,6.2,1.8,0.1,23.8,2012,Bosnian BiH Liga
26,Jakov Vladovic,SIR,17,23.8,8.3,17.8,0.469,2.5,7.4,0.344,4.4,5.4,0.8,4.7,3.6,1.5,4.7,6.2,10.2,2.8,0.1,23.6,2012,Bosnian BiH Liga
27,Bojan Pelkic,TAK,24,29.5,8.5,16.4,0.516,1.1,4.1,0.27399999999999997,5.5,7.6,0.7190000000000001,4.1,3.1,3.3,6.8,10.1,4.3,1.7,0.5,23.6,2012,Bosnian BiH Liga
28,Diego Kapelan,ZRI,13,31.9,7.5,16.5,0.45399999999999996,4.0,9.5,0.42,4.4,5.7,0.7759999999999999,2.3,4.7,1.1,3.2,4.2,2.6,1.3,0.0,23.4,2012,Bosnian BiH Liga
29,Edi Sinadinovic,ZRI,8,34.6,7.1,13.9,0.512,3.0,6.9,0.439,6.1,7.3,0.8370000000000001,4.6,3.7,0.8,4.7,5.6,8.3,1.0,0.2,23.3,2012,Bosnian BiH Liga
30,Branko Zotovic,TAK,24,25.9,7.2,16.8,0.43,3.2,8.8,0.36200000000000004,5.7,6.9,0.8240000000000001,3.9,4.9,1.5,2.7,4.3,2.6,2.8,0.0,23.3,2012,Bosnian BiH Liga
31,Mario Planinic,BRO,18,22.8,8.8,14.2,0.617,0.1,0.6,0.2,5.7,6.6,0.857,2.2,5.9,3.3,4.3,7.6,1.2,1.4,0.5,23.3,2012,Bosnian BiH Liga
32,Nikola Lalic,HEO,18,32.6,8.9,19.8,0.45299999999999996,0.7,3.7,0.18600000000000003,4.7,6.2,0.753,4.9,3.9,1.4,2.3,3.7,7.0,2.9,0.0,23.3,2012,Bosnian BiH Liga
33,Jure Zubac,BRO,4,1.5,7.7,15.4,0.5,0.0,7.7,0.0,7.7,7.7,1.0,15.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.2,2012,Bosnian BiH Liga
34,Boris Lalovic,ZRI,6,33.6,7.4,12.5,0.593,1.4,2.5,0.545,6.9,7.6,0.909,3.0,4.6,5.1,9.5,14.6,1.6,1.4,0.2,23.1,2012,Bosnian BiH Liga
35,Nermin Hujdurovic,VOG,20,23.1,8.1,16.0,0.506,1.0,2.9,0.33299999999999996,5.9,7.5,0.779,2.4,4.0,2.3,5.0,7.3,0.9,0.6,0.7,23.1,2012,Bosnian BiH Liga
36,Almin Hodzic,CEL,9,21.4,10.2,14.3,0.7140000000000001,0.0,0.0,0.0,2.3,5.0,0.455,2.3,5.2,4.3,6.4,10.7,0.9,1.4,1.6,22.7,2012,Bosnian BiH Liga
37,Marko Brkic,IGO,37,18.8,8.2,17.1,0.48,3.2,9.4,0.33799999999999997,3.1,3.3,0.938,3.2,5.3,1.9,6.7,8.6,2.8,1.3,0.6,22.7,2012,Bosnian BiH Liga
38,Milan Kezic,MLA,36,24.4,8.0,15.3,0.522,0.5,1.6,0.28600000000000003,6.3,7.8,0.804,2.6,5.8,2.8,5.8,8.6,3.1,1.9,0.8,22.7,2012,Bosnian BiH Liga
39,Mirza Hrncic,CEL,23,34.0,8.1,18.7,0.433,2.4,8.2,0.29600000000000004,4.0,5.2,0.767,1.6,4.9,2.3,6.3,8.6,1.4,1.7,0.6,22.6,2012,Bosnian BiH Liga
40,Ivan Bakovic,SER,23,31.6,7.0,16.4,0.426,2.9,9.0,0.319,5.8,7.6,0.754,2.6,4.2,1.4,3.9,5.3,3.1,1.5,0.0,22.6,2012,Bosnian BiH Liga
