#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Fahrudin Manjgafic,SPA,2,16.0,16.7,21.2,0.7859999999999999,10.6,15.1,0.7,0.0,0.0,0.0,1.5,4.5,0.0,4.5,4.5,1.5,1.5,0.0,43.9,2019,Bosnian Cup
2,Sava Lesic,IGO,2,22.2,11.8,25.8,0.45799999999999996,3.2,10.8,0.3,7.5,9.7,0.778,5.4,5.4,4.3,12.9,17.2,3.2,6.5,0.0,34.4,2019,Bosnian Cup
3,Marko Lukovic,IGO,2,23.0,13.5,24.0,0.565,3.1,9.4,0.33299999999999996,1.0,3.1,0.33299999999999996,1.0,6.2,1.0,3.1,4.2,2.1,2.1,0.0,31.2,2019,Bosnian Cup
4,Robert Rikic,IGO,2,13.3,14.4,19.8,0.727,0.0,0.0,0.0,1.8,1.8,1.0,1.8,5.4,7.2,9.0,16.2,1.8,0.0,1.8,30.6,2019,Bosnian Cup
5,Marko Ljujic,ZRI,1,9.6,10.0,15.1,0.667,5.0,5.0,1.0,5.0,10.0,0.5,10.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,30.1,2019,Bosnian Cup
6,Danilo Andjusic,IGO,2,21.4,9.0,14.6,0.615,5.6,7.8,0.7140000000000001,3.4,3.4,1.0,4.5,1.1,0.0,9.0,9.0,2.2,1.1,0.0,26.9,2019,Bosnian Cup
7,Dorde Aleksic,MLA,1,26.8,10.5,15.8,0.667,5.3,8.8,0.6,0.0,0.0,0.0,1.8,1.8,1.8,0.0,1.8,0.0,0.0,0.0,26.3,2019,Bosnian Cup
8,Milan Luzajic,ZRI,1,28.4,6.8,15.3,0.444,1.7,8.5,0.2,10.2,10.2,1.0,1.7,6.8,0.0,3.4,3.4,5.1,0.0,0.0,25.5,2019,Bosnian Cup
9,Nemanja Protic,SPA,2,29.1,9.2,19.1,0.478,4.2,10.0,0.41700000000000004,2.5,2.5,1.0,3.3,5.0,0.0,9.2,9.2,5.0,0.8,0.0,25.0,2019,Bosnian Cup
10,Vuk Radivojevic,IGO,2,15.8,9.1,15.1,0.6,6.0,12.1,0.5,0.0,0.0,0.0,4.5,3.0,0.0,4.5,4.5,6.0,3.0,0.0,24.2,2019,Bosnian Cup
