#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Demarius Bolds,LON,29,34.8,11.3,23.6,0.48,1.7,5.2,0.33299999999999996,5.3,6.7,0.7809999999999999,5.6,4.4,2.4,4.9,7.4,6.1,3.6,0.3,29.6,2012,British BBL
2,Richie Gordon,WOR,31,30.7,12.4,21.3,0.5820000000000001,0.0,0.2,0.0,4.8,7.2,0.672,3.7,5.7,5.3,10.0,15.2,2.6,1.8,1.9,29.6,2012,British BBL
3,Bradd Wierzbicki,LEI,35,28.7,10.9,22.9,0.47700000000000004,3.1,8.0,0.389,4.3,5.8,0.738,2.2,1.5,0.9,3.1,4.0,4.4,1.6,0.0,29.3,2012,British BBL
4,Jason Helsby,CHE,3,1.1,14.2,14.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.2,0.0,0.0,0.0,0.0,0.0,0.0,28.3,2012,British BBL
5,Cameron Rundles,LEI,35,33.7,10.5,23.2,0.45299999999999996,3.1,8.3,0.373,3.5,6.1,0.584,3.5,2.4,1.3,3.9,5.1,6.2,1.4,0.0,27.7,2012,British BBL
6,Tommy Freeman,WOR,30,35.2,8.0,19.5,0.409,4.7,12.2,0.384,6.6,7.7,0.8640000000000001,3.2,3.5,1.1,4.4,5.5,3.8,0.9,0.0,27.3,2012,British BBL
7,Mychal Green,GLA,31,34.2,9.8,22.0,0.444,2.8,7.5,0.369,4.5,5.8,0.785,4.1,3.1,2.4,6.4,8.8,6.6,2.1,0.4,26.8,2012,British BBL
8,Mike Copeland,SUR,2,15.4,9.3,18.7,0.5,4.7,6.2,0.75,3.1,6.2,0.5,0.0,6.2,6.2,9.3,15.6,1.6,1.6,1.6,26.5,2012,British BBL
9,Joe Chapman,NEW,30,35.3,9.5,20.8,0.456,4.5,11.6,0.39,2.7,4.1,0.653,4.6,2.9,1.1,3.6,4.8,5.1,1.0,0.2,26.2,2012,British BBL
10,Justin Dobbins,OHS,14,29.2,10.2,18.6,0.5489999999999999,0.0,0.1,0.0,5.7,8.9,0.644,4.1,3.5,6.2,9.7,15.9,1.5,0.9,1.5,26.1,2012,British BBL
11,Jimmy Langhurst,OHS,27,35.5,8.6,18.1,0.473,3.2,7.0,0.456,5.3,5.8,0.92,3.2,2.2,1.3,4.2,5.5,3.9,1.2,0.0,25.6,2012,British BBL
12,Myles Hesson,MER,29,28.4,9.1,20.7,0.43799999999999994,2.2,6.5,0.336,5.2,8.4,0.623,4.8,5.6,5.9,7.0,12.9,2.0,1.9,1.1,25.6,2012,British BBL
13,Tayo Ogedegebe,SUR,32,32.4,8.8,17.1,0.518,0.9,3.0,0.292,7.0,10.6,0.664,3.9,2.8,2.9,4.0,6.9,2.0,1.4,0.4,25.6,2012,British BBL
14,Justin Dobbins,LON,7,32.9,11.2,17.6,0.636,0.0,0.0,0.0,3.0,4.6,0.652,3.4,3.6,6.4,7.6,14.0,1.2,0.2,1.2,25.4,2012,British BBL
15,Kris Douse,MER,14,30.0,9.5,21.1,0.452,0.2,2.4,0.095,6.0,11.2,0.535,6.4,5.2,4.6,6.2,10.9,2.7,1.2,0.2,25.3,2012,British BBL
16,Paul Gause,NEW,32,25.2,9.3,20.1,0.461,2.2,6.4,0.345,4.5,6.6,0.6779999999999999,4.1,5.3,2.3,6.1,8.4,5.9,3.1,0.5,25.3,2012,British BBL
17,Adam Brown,CHE,33,38.5,9.9,22.4,0.44299999999999995,1.8,5.3,0.33799999999999997,3.5,4.2,0.826,5.2,3.8,1.4,4.3,5.7,6.5,2.7,0.1,25.1,2012,British BBL
18,Nate Reinking,OHS,20,30.9,8.8,22.0,0.39899999999999997,3.3,10.5,0.311,4.1,4.7,0.8640000000000001,3.4,2.9,0.5,4.5,4.9,4.2,1.4,0.2,24.9,2012,British BBL
19,Jeremy Bell,UCP,32,36.6,9.0,21.5,0.42100000000000004,1.0,4.3,0.245,5.7,7.5,0.769,3.3,3.2,1.2,4.7,5.9,3.8,2.1,0.0,24.8,2012,British BBL
20,Martelle McLemore,SUR,32,31.5,9.6,23.8,0.40399999999999997,2.2,8.1,0.268,3.4,5.1,0.664,2.8,4.8,3.7,4.9,8.6,3.2,1.9,0.2,24.8,2012,British BBL
21,Sam Attah,DUR,6,8.6,10.9,22.7,0.478,1.0,4.9,0.2,2.0,2.0,1.0,4.9,3.9,3.0,5.9,8.9,3.0,0.0,1.0,24.7,2012,British BBL
22,Samuel Cricelli,MER,14,25.9,11.1,19.7,0.565,0.2,0.5,0.5,2.1,3.1,0.68,3.8,5.5,4.2,11.1,15.3,2.2,2.7,0.5,24.6,2012,British BBL
23,Michael Ojo,UCP,27,25.4,8.2,19.5,0.419,3.8,10.0,0.384,4.3,4.8,0.9,2.5,4.9,2.0,4.4,6.4,1.2,1.2,0.1,24.5,2012,British BBL
24,Mike Capocci,DUR,30,30.5,10.0,19.1,0.522,2.5,7.3,0.348,1.5,2.4,0.628,3.4,5.4,3.4,4.5,7.9,3.9,2.9,0.5,23.9,2012,British BBL
25,Charles Smith,NEW,30,33.5,8.6,21.6,0.4,3.0,9.0,0.335,3.6,4.6,0.775,3.0,3.5,1.9,5.5,7.4,3.8,2.5,0.9,23.9,2012,British BBL
26,Paul Williams,UCP,31,31.2,10.4,17.7,0.588,0.0,0.1,0.0,2.8,5.5,0.513,3.5,4.0,5.7,11.3,17.1,2.2,1.1,1.8,23.6,2012,British BBL
27,Fred Hinnenkamp,DUR,9,20.8,9.2,22.2,0.415,3.2,9.7,0.33299999999999996,1.9,2.4,0.778,5.1,8.1,1.9,2.4,4.3,2.2,0.3,0.3,23.5,2012,British BBL
28,Mario Flaherty,DUR,29,30.6,9.2,21.9,0.41700000000000004,0.4,1.8,0.226,4.5,5.8,0.775,4.4,5.6,6.3,6.8,13.1,2.9,1.3,0.6,23.2,2012,British BBL
29,Darrius Defoe,NEW,35,26.0,9.4,18.6,0.504,0.1,0.4,0.125,4.4,6.4,0.693,3.2,5.9,5.6,9.5,15.1,1.8,1.9,1.1,23.2,2012,British BBL
30,Jordan Seeley,UCP,2,3.1,7.7,30.6,0.25,7.7,23.0,0.33299999999999996,0.0,0.0,0.0,15.3,0.0,0.0,0.0,0.0,7.7,0.0,0.0,23.0,2012,British BBL
31,E.J. Harrison,GLA,19,32.4,8.8,18.5,0.475,2.6,7.1,0.365,2.7,3.3,0.825,1.7,2.5,1.2,3.0,4.2,4.8,1.2,0.4,22.9,2012,British BBL
