#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Georgi Stankov,SPA,2,27.0,13.5,22.6,0.6,8.1,13.5,0.6,8.1,10.8,0.75,1.8,3.6,0.9,8.1,9.0,4.5,2.7,0.0,43.3,2012,Bulgarian NBL
2,Kris Minkov,LUK,3,1.7,20.0,30.1,0.667,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.1,2012,Bulgarian NBL
3,Gjorgje Jovanovic,RIL,6,12.8,12.3,21.0,0.588,0.0,0.0,0.0,6.8,8.6,0.7859999999999999,3.1,9.3,4.9,6.8,11.7,3.1,0.0,0.0,31.5,2012,Bulgarian NBL
4,Aaron Harper,LEV,34,31.2,11.4,21.9,0.518,2.6,7.0,0.373,5.8,7.4,0.784,3.2,3.2,1.6,5.7,7.4,5.0,2.8,0.2,31.2,2012,Bulgarian NBL
5,Filip Vukosavljevic,RIL,28,24.4,12.7,22.0,0.578,0.1,0.4,0.16699999999999998,4.4,7.5,0.581,4.4,4.4,4.0,7.2,11.2,2.6,1.6,0.4,29.8,2012,Bulgarian NBL
6,Ilia Stankov,SPA,27,29.8,8.0,20.2,0.396,3.8,10.1,0.377,6.8,8.4,0.813,3.1,2.1,1.4,5.6,7.0,2.7,1.4,0.2,26.7,2012,Bulgarian NBL
7,Bruno Sundov,LUK,36,23.9,10.1,17.2,0.589,2.6,6.4,0.402,3.0,3.6,0.812,3.1,5.2,3.1,9.0,12.1,2.0,1.1,1.7,25.8,2012,Bulgarian NBL
8,John Ofoegbu,TUN,33,29.4,9.7,17.4,0.557,0.0,0.2,0.0,6.2,9.0,0.6859999999999999,4.5,6.0,5.1,9.3,14.4,1.0,2.2,1.4,25.6,2012,Bulgarian NBL
9,Lamont Mack,LUK,36,22.6,9.6,18.4,0.521,2.8,6.8,0.42,3.4,4.2,0.8140000000000001,3.3,6.3,1.3,8.7,10.0,2.7,2.4,0.5,25.4,2012,Bulgarian NBL
10,Martin Durchev,TUN,34,34.9,8.6,18.5,0.46299999999999997,3.5,8.9,0.397,4.2,4.9,0.8690000000000001,3.7,2.9,0.9,3.2,4.1,4.6,2.1,0.1,24.9,2012,Bulgarian NBL
11,Stanislav Govedarov,TUN,34,30.2,9.4,17.7,0.53,1.9,4.5,0.418,4.1,5.6,0.7440000000000001,4.9,4.7,0.9,4.3,5.2,4.7,2.2,0.1,24.8,2012,Bulgarian NBL
12,Aleksandar Yanev,EUR,23,33.4,8.7,16.9,0.519,2.3,6.1,0.37799999999999995,4.8,7.2,0.67,2.4,3.7,4.2,8.1,12.3,2.0,1.7,0.7,24.6,2012,Bulgarian NBL
