#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Xavier Rathan-Mayes,HHB,6,31.9,13.4,28.3,0.474,3.4,9.8,0.35,3.9,6.8,0.5710000000000001,5.1,3.2,1.5,6.8,8.3,7.6,2.9,0.0,34.1,2019,Canadian Elite Basketball League
2,Kimbal Mackenzie,GN,7,29.0,11.3,23.4,0.485,3.7,8.6,0.43200000000000005,7.6,8.1,0.943,3.2,3.9,0.7,3.2,3.9,6.9,1.6,0.0,34.0,2019,Canadian Elite Basketball League
3,Ricky Tarrant,HHB,22,29.9,10.7,20.9,0.512,3.0,7.9,0.376,6.4,8.0,0.8,3.4,5.5,1.0,4.6,5.6,6.9,2.4,0.0,30.7,2019,Canadian Elite Basketball League
4,Travis Daniels,ES,17,28.3,11.4,18.8,0.61,2.0,4.5,0.444,5.1,6.6,0.773,4.4,3.8,5.2,8.6,13.8,4.1,0.7,1.0,30.0,2019,Canadian Elite Basketball League
5,Tay Dawson,SR,14,32.5,11.0,22.0,0.5,2.3,5.9,0.382,5.4,7.1,0.758,2.2,3.2,3.0,6.9,9.9,2.9,1.8,0.3,29.6,2019,Canadian Elite Basketball League
6,Ryan Anderson,NIA,21,22.9,8.7,21.5,0.406,6.8,16.9,0.401,4.8,5.6,0.86,3.8,5.8,2.1,7.0,9.0,6.8,3.8,0.0,29.0,2019,Canadian Elite Basketball League
7,Xavier Moon,ES,13,32.3,11.1,21.1,0.527,3.1,7.1,0.44299999999999995,3.7,4.4,0.8420000000000001,4.6,3.0,1.5,5.7,7.2,8.3,3.2,0.3,29.0,2019,Canadian Elite Basketball League
8,Tyrell Corbin,GN,6,18.6,8.0,18.0,0.442,5.4,10.5,0.52,7.1,8.8,0.81,4.6,5.4,0.8,3.4,4.2,6.3,2.5,0.0,28.5,2019,Canadian Elite Basketball League
9,Sampson Carter,HHB,15,19.8,9.6,20.8,0.462,2.4,8.2,0.28800000000000003,6.8,9.1,0.741,1.9,6.3,4.2,8.2,12.4,2.2,1.7,0.8,28.3,2019,Canadian Elite Basketball League
10,Diego Kapelan,FVB,6,17.7,9.2,23.1,0.4,6.9,18.0,0.385,2.8,4.6,0.6,0.0,2.8,0.9,5.1,6.0,6.9,0.9,0.0,28.1,2019,Canadian Elite Basketball League
11,Demetrius Denzel-Dyson,HHB,22,31.7,9.3,21.6,0.43,4.1,11.4,0.361,4.9,6.1,0.809,3.7,3.3,2.1,6.2,8.4,2.9,1.6,0.0,27.7,2019,Canadian Elite Basketball League
12,Bruce Massey,SR,11,35.3,9.4,20.3,0.465,1.5,6.8,0.226,7.0,8.9,0.7859999999999999,3.3,3.6,1.9,5.1,7.0,5.5,2.8,0.0,27.4,2019,Canadian Elite Basketball League
13,Rodney Pryor,FVB,4,26.0,10.8,22.4,0.48100000000000004,3.5,9.9,0.348,2.2,3.9,0.556,5.2,5.6,1.3,4.7,6.0,4.3,3.5,1.3,27.2,2019,Canadian Elite Basketball League
14,Chris McLaughlin,FVB,6,21.9,9.2,16.9,0.5429999999999999,0.0,0.7,0.0,8.1,10.7,0.759,4.4,6.3,5.5,11.8,17.3,1.8,1.5,1.8,26.5,2019,Canadian Elite Basketball League
15,Gentrey Thomas,SR,7,23.4,9.5,24.8,0.384,4.3,12.1,0.35700000000000004,2.3,3.2,0.727,3.7,6.1,0.6,3.7,4.3,3.2,2.3,0.0,25.6,2019,Canadian Elite Basketball League
16,Justin Edwards,HHB,13,26.7,9.3,21.6,0.43200000000000005,2.4,7.7,0.309,4.2,5.0,0.833,6.1,3.6,2.1,5.0,7.1,6.3,2.6,0.4,25.2,2019,Canadian Elite Basketball League
17,Shaquille Keith,SR,8,30.6,8.7,18.0,0.484,1.8,5.5,0.321,5.9,8.1,0.732,5.5,5.5,4.4,4.9,9.3,6.1,3.4,0.4,25.1,2019,Canadian Elite Basketball League
18,Connor Wood,GN,10,29.9,8.3,17.1,0.48200000000000004,5.8,12.6,0.457,2.8,3.7,0.75,3.4,5.3,0.3,3.6,3.9,5.8,1.9,0.8,25.1,2019,Canadian Elite Basketball League
19,Mamadou Gueye,ES,20,23.3,8.3,17.9,0.465,3.6,8.8,0.405,4.8,6.3,0.767,2.8,4.7,2.0,5.5,7.5,3.2,1.5,0.3,25.0,2019,Canadian Elite Basketball League
