#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Shamari Spears,LON,38,22.6,9.6,21.3,0.452,0.0,0.2,0.0,9.1,10.8,0.838,3.5,6.2,3.6,5.3,8.9,1.7,1.5,0.6,28.3,2012,Canadian NBL
2,Jermaine Blackburn,STJ,7,29.5,10.6,18.4,0.5770000000000001,1.9,2.8,0.667,4.5,5.7,0.792,1.2,2.8,2.4,4.7,7.1,3.1,2.1,0.5,27.6,2012,Canadian NBL
3,Justin Garris,STO,9,8.2,10.2,24.1,0.42100000000000004,1.3,7.6,0.16699999999999998,5.7,7.0,0.818,5.7,5.1,3.2,5.7,8.9,1.3,1.3,0.0,27.3,2012,Canadian NBL
4,Eric Gilchrese,STO,25,21.9,6.4,17.4,0.371,1.6,6.5,0.247,12.6,16.0,0.7879999999999999,3.2,5.3,2.8,4.7,7.5,6.4,2.7,0.3,27.1,2012,Canadian NBL
5,Ralphy Holmes,LAV,35,31.2,8.9,18.3,0.488,1.8,3.8,0.47700000000000004,7.8,8.9,0.875,4.5,3.3,4.2,9.2,13.5,5.3,2.4,0.3,27.0,2012,Canadian NBL
6,Eddie Smith,LON,43,31.1,8.6,18.2,0.474,0.0,0.2,0.0,9.7,12.2,0.794,5.1,4.3,1.3,4.9,6.3,6.4,2.6,0.3,26.9,2012,Canadian NBL
7,Greg Plummer,STJ,14,33.4,8.1,18.5,0.439,4.7,10.6,0.444,5.7,7.4,0.768,2.0,3.5,2.0,5.5,7.5,3.7,2.6,0.2,26.7,2012,Canadian NBL
8,Lawrence Wright,HAL,44,28.0,9.3,20.6,0.45,2.9,7.8,0.377,5.2,6.9,0.7490000000000001,3.7,3.8,3.5,5.0,8.6,2.2,1.8,0.7,26.7,2012,Canadian NBL
9,Brandon Robinson,MISS,36,35.2,9.1,21.3,0.428,2.6,7.9,0.332,5.7,7.7,0.74,4.4,4.3,2.0,7.1,9.0,3.5,2.2,0.5,26.5,2012,Canadian NBL
10,Stephen McDowell,STO,20,27.5,8.7,24.1,0.36200000000000004,3.3,10.7,0.307,5.5,6.7,0.812,4.0,2.9,1.4,2.8,4.2,4.2,1.4,0.3,26.2,2012,Canadian NBL
11,Tristan Martin,MON,10,18.6,10.0,21.3,0.469,1.6,5.3,0.3,4.5,8.4,0.531,5.3,4.5,1.1,1.6,2.6,4.7,2.9,0.5,26.0,2012,Canadian NBL
12,Julian Allen,STO,31,26.0,10.0,23.2,0.431,1.1,3.3,0.32799999999999996,4.0,6.1,0.66,4.8,3.9,4.5,5.6,10.1,5.1,2.0,0.9,25.1,2012,Canadian NBL
13,Gabe Freeman,LON,42,35.2,9.6,19.6,0.489,1.0,3.6,0.275,4.8,6.8,0.71,2.2,5.1,4.2,12.7,16.9,2.3,1.7,1.0,25.0,2012,Canadian NBL
14,Joey Haywood,HAL,43,25.0,9.6,20.0,0.48100000000000004,0.7,2.4,0.28300000000000003,4.7,6.0,0.78,3.3,5.6,1.9,3.0,4.9,4.6,2.5,0.0,24.5,2012,Canadian NBL
15,Darren Duncan,STJ,18,36.3,6.3,15.4,0.41200000000000003,2.4,6.0,0.4,9.3,12.1,0.769,3.9,3.5,1.2,3.6,4.8,10.5,2.6,0.2,24.4,2012,Canadian NBL
16,Cedric Moodie,LAV,22,26.0,8.1,20.6,0.39399999999999996,3.8,10.7,0.36,4.2,5.0,0.831,2.5,3.3,1.2,6.8,8.0,4.7,1.6,0.5,24.2,2012,Canadian NBL
17,Tommy Mitchell,LAV,12,23.0,5.8,17.3,0.337,2.7,8.2,0.33299999999999996,9.8,10.8,0.905,3.9,3.9,1.0,3.9,5.0,3.9,1.4,0.0,24.1,2012,Canadian NBL
18,Darnell Hugee,HAL,16,19.4,8.5,16.5,0.515,0.3,1.1,0.28600000000000003,6.7,11.6,0.583,3.2,10.1,5.9,5.9,11.9,2.2,1.1,1.9,24.1,2012,Canadian NBL
19,Tyrone Levett,HAL,39,30.5,7.4,16.9,0.439,2.2,5.2,0.41700000000000004,6.6,7.8,0.852,2.5,5.0,3.4,7.4,10.9,2.8,1.2,1.6,23.6,2012,Canadian NBL
20,Darrell Wonge,MON,36,33.9,7.5,17.8,0.425,4.1,10.4,0.397,4.3,5.6,0.764,2.3,3.8,2.1,3.0,5.1,2.2,1.4,0.6,23.5,2012,Canadian NBL
21,Anthony Anderson,STJ,31,38.8,7.7,17.1,0.45299999999999996,2.3,6.1,0.369,5.8,7.8,0.733,3.0,2.8,1.0,4.4,5.5,7.7,1.9,0.3,23.5,2012,Canadian NBL
22,Chris Hagan,HAL,36,23.2,7.6,20.0,0.37799999999999995,1.2,4.2,0.29600000000000004,7.0,9.3,0.755,5.7,6.1,1.4,2.9,4.3,8.1,3.2,0.4,23.4,2012,Canadian NBL
23,Taylor King,LAV,9,12.8,8.0,24.5,0.32799999999999996,4.6,15.2,0.306,2.5,4.2,0.6,5.5,4.6,3.4,7.2,10.5,2.5,3.4,0.0,23.2,2012,Canadian NBL
24,Royce Parran,LAV,39,26.2,7.6,17.1,0.446,2.7,7.6,0.35600000000000004,4.9,6.4,0.77,3.6,4.0,1.0,6.6,7.6,9.1,2.5,0.7,22.9,2012,Canadian NBL
25,DeAnthony Bowden,LON,39,29.9,7.7,17.5,0.44,3.8,10.0,0.376,3.7,5.2,0.706,4.4,4.1,0.9,3.9,4.8,7.1,2.1,0.3,22.9,2012,Canadian NBL
26,Antoine Tisby,STJ,26,30.5,8.9,19.0,0.47,0.0,0.3,0.0,4.8,9.1,0.527,4.0,4.3,4.5,8.5,13.0,1.6,0.9,2.3,22.7,2012,Canadian NBL
27,Morgan Lewis,MISS,25,34.8,7.9,16.9,0.46799999999999997,1.6,4.9,0.326,5.2,6.5,0.802,4.7,5.0,1.6,7.6,9.2,4.9,3.1,0.5,22.6,2012,Canadian NBL
28,Rodney Buford,LON,37,24.4,8.7,21.6,0.40399999999999997,2.5,7.3,0.348,2.5,3.2,0.78,2.4,4.4,1.5,7.3,8.8,3.1,1.8,1.0,22.4,2012,Canadian NBL
29,Taylor King,LON,23,12.4,7.8,20.7,0.377,3.9,11.7,0.33299999999999996,2.9,3.4,0.85,3.4,7.3,3.7,6.8,10.5,3.7,1.9,1.4,22.4,2012,Canadian NBL
30,Omari Johnson,MISS,36,37.1,8.8,17.9,0.493,2.0,4.6,0.431,2.6,4.0,0.6579999999999999,3.0,3.9,3.5,7.4,10.9,2.4,1.8,2.0,22.2,2012,Canadian NBL
31,Carl Krauser,LAV,16,15.0,5.8,15.2,0.37799999999999995,1.9,4.9,0.375,8.9,11.3,0.782,5.6,11.3,1.6,4.1,5.8,7.8,3.1,0.2,22.2,2012,Canadian NBL
32,Rick Bodiford,LAV,17,12.0,8.2,16.3,0.5,1.2,4.2,0.278,4.7,8.2,0.5710000000000001,3.7,4.0,1.2,4.7,5.8,3.0,1.9,0.2,22.2,2012,Canadian NBL
33,Akeem Wright,MON,16,40.2,7.5,23.0,0.324,1.8,6.0,0.306,5.4,9.7,0.551,4.9,3.0,2.2,6.1,8.2,4.5,2.3,0.9,22.1,2012,Canadian NBL
34,E.J. Kusnyer,MISS,10,11.3,7.6,22.0,0.34600000000000003,4.2,13.1,0.32299999999999995,2.5,4.7,0.545,3.0,6.8,1.3,2.5,3.8,2.1,0.4,0.0,22.0,2012,Canadian NBL
35,Akeem Wright,MISS,22,35.1,7.5,19.5,0.386,1.2,4.0,0.297,5.6,9.7,0.578,6.3,3.4,2.7,8.2,10.9,4.0,1.9,0.9,21.8,2012,Canadian NBL
36,Eddie Robinson,HAL,9,20.9,9.0,18.9,0.474,1.0,4.5,0.222,2.7,3.2,0.846,2.2,3.7,1.5,5.0,6.5,2.5,4.7,1.5,21.7,2012,Canadian NBL
37,Orien Greene,HAL,7,19.2,7.3,17.8,0.41200000000000003,1.4,6.3,0.222,5.6,6.3,0.889,6.3,7.3,1.4,5.9,7.3,8.0,3.1,0.3,21.6,2012,Canadian NBL
38,Chris Cayole,STO,16,26.4,8.4,18.2,0.46299999999999997,3.4,7.4,0.455,1.3,1.9,0.706,3.4,3.9,2.1,3.4,5.5,2.5,0.9,1.3,21.5,2012,Canadian NBL
39,Courtland Bluford,STJ,18,18.6,7.1,15.3,0.462,0.7,2.5,0.294,6.6,9.9,0.672,4.0,4.9,1.9,3.5,5.4,5.9,2.4,0.1,21.5,2012,Canadian NBL
40,Trayvon Lathan,MON,26,37.0,8.1,18.5,0.441,0.3,1.3,0.222,4.9,7.9,0.621,5.4,3.6,4.2,8.1,12.3,6.1,2.1,0.9,21.5,2012,Canadian NBL
41,Antonio Burks,STJ,30,19.2,8.1,18.5,0.43700000000000006,4.8,11.6,0.415,0.4,0.7,0.625,1.7,5.2,0.9,5.1,6.0,4.1,0.9,0.2,21.4,2012,Canadian NBL
42,Mike Williams,STO,36,35.6,7.6,15.2,0.499,0.1,0.1,0.5,6.1,8.5,0.72,3.9,5.1,4.9,7.0,11.9,3.6,0.8,0.7,21.3,2012,Canadian NBL
