#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Josip Zupic,ALK,2,1.4,0.0,0.0,0.0,0.0,0.0,0.0,67.3,84.2,0.8,0.0,16.8,16.8,0.0,16.8,0.0,0.0,0.0,67.3,2012,Croatian A-1 Liga
2,Pavle Matusko,SLA,1,3.2,14.1,14.1,1.0,14.1,14.1,1.0,14.1,14.1,1.0,0.0,0.0,0.0,14.1,14.1,0.0,14.1,0.0,56.3,2012,Croatian A-1 Liga
3,Toni Bizaca,DUB,9,35.4,13.1,21.4,0.611,4.4,9.3,0.474,5.9,7.2,0.818,5.1,3.6,1.6,8.5,10.1,2.3,1.3,2.0,34.8,2012,Croatian A-1 Liga
4,Miro Bilan,CED,21,22.1,11.7,16.1,0.723,0.0,0.0,0.0,9.9,14.5,0.685,3.7,6.0,6.0,6.8,12.8,1.3,1.0,1.4,33.3,2012,Croatian A-1 Liga
5,Sime Olivari,ZAD,4,8.8,14.3,19.5,0.733,1.3,3.9,0.33299999999999996,2.6,3.9,0.667,3.9,7.8,6.5,13.0,19.5,6.5,1.3,0.0,32.4,2012,Croatian A-1 Liga
6,Ivan Grgat,KRI,28,22.1,10.9,16.2,0.67,0.4,0.9,0.455,8.8,10.9,0.809,3.8,5.8,3.9,9.6,13.5,1.9,0.2,0.4,31.0,2012,Croatian A-1 Liga
7,Pankracije Barac,SLA,11,30.4,8.9,18.5,0.48,2.2,4.3,0.517,8.5,10.2,0.826,5.6,3.6,1.0,5.8,6.8,3.4,2.4,0.1,28.5,2012,Croatian A-1 Liga
8,Goran Vrbanc,ZAD,33,24.2,9.0,22.8,0.39299999999999996,3.7,11.9,0.313,6.6,8.1,0.818,5.1,4.7,1.4,3.5,4.8,2.7,1.8,0.1,28.2,2012,Croatian A-1 Liga
9,Andrija Turk,ZAB,4,0.9,14.0,28.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0,28.1,2012,Croatian A-1 Liga
10,Filip Gacesa,KVA,1,1.8,0.0,0.0,0.0,0.0,0.0,0.0,28.0,56.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2012,Croatian A-1 Liga
11,Krunoslav Simon,ZAG,10,31.3,9.6,18.3,0.525,3.8,8.9,0.431,4.3,5.3,0.8,4.0,4.0,0.8,6.9,7.6,4.3,1.1,0.6,27.9,2012,Croatian A-1 Liga
12,Filip Kruslin,ZAB,25,25.1,8.8,20.4,0.431,1.8,7.2,0.245,8.6,10.9,0.79,5.5,5.1,1.5,4.6,6.1,4.9,2.7,0.2,27.8,2012,Croatian A-1 Liga
13,Marko Arapovic,CIB,4,1.9,20.6,13.7,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.7,0.0,13.7,0.0,0.0,0.0,27.4,2012,Croatian A-1 Liga
14,Roko Ciklic,DUB,10,29.6,9.7,19.0,0.508,1.4,4.1,0.34600000000000003,5.3,6.9,0.773,4.7,3.6,1.2,6.4,7.6,2.8,1.1,0.9,27.0,2012,Croatian A-1 Liga
15,Robert Rikic,ZAG,10,8.0,8.3,12.5,0.667,0.0,0.0,0.0,10.1,13.1,0.773,4.8,7.7,7.2,8.9,16.1,2.4,0.6,0.6,26.8,2012,Croatian A-1 Liga
16,Ivan Mimica,SPL,33,34.3,8.4,18.1,0.46399999999999997,2.8,8.1,0.353,7.0,8.3,0.841,3.4,4.1,1.0,3.9,4.9,3.1,1.9,0.2,26.6,2012,Croatian A-1 Liga
17,Dalibor Bagaric,CED,14,9.6,11.1,16.9,0.653,0.0,0.0,0.0,4.1,7.6,0.545,6.9,10.0,3.8,10.0,13.8,2.1,0.3,1.7,26.3,2012,Croatian A-1 Liga
18,Teo Simovic,KVA,27,28.1,9.6,14.9,0.645,0.0,0.0,0.0,6.9,10.0,0.6940000000000001,4.5,5.8,3.8,7.6,11.4,1.7,1.1,0.3,26.1,2012,Croatian A-1 Liga
19,Luka Drezga,PUN,13,26.2,8.9,20.0,0.44299999999999995,2.7,8.4,0.322,5.3,7.2,0.74,3.4,3.1,1.0,5.7,6.7,2.0,1.6,0.3,25.7,2012,Croatian A-1 Liga
20,Goran Suton,CIB,20,19.1,10.1,18.7,0.537,2.3,4.4,0.514,3.3,4.1,0.7879999999999999,4.0,7.9,6.5,10.1,16.6,2.5,3.0,0.8,25.6,2012,Croatian A-1 Liga
21,Damir Markota,ZAG,13,32.4,9.4,16.8,0.56,1.7,4.9,0.341,5.1,7.1,0.73,3.2,2.8,3.7,7.2,10.9,2.4,1.7,0.6,25.6,2012,Croatian A-1 Liga
22,Ivo Josipovic,JOL,34,16.6,10.1,20.4,0.496,1.6,5.3,0.297,3.6,6.5,0.564,4.6,5.7,3.6,6.8,10.4,2.6,1.2,0.8,25.4,2012,Croatian A-1 Liga
23,Ivan Buva,KRI,30,19.6,9.5,16.6,0.574,0.3,0.8,0.3,5.6,7.6,0.7440000000000001,4.0,4.5,4.3,8.2,12.5,0.9,1.3,2.0,24.9,2012,Croatian A-1 Liga
24,Luka Zitko,KRI,29,24.4,8.8,17.2,0.512,1.7,5.4,0.321,5.7,7.3,0.7709999999999999,5.0,6.2,2.7,6.6,9.3,3.4,1.4,0.1,24.9,2012,Croatian A-1 Liga
25,Damjan Rudez,CIB,20,23.4,8.8,16.1,0.5479999999999999,3.7,7.8,0.474,3.0,4.0,0.7440000000000001,2.3,4.3,0.9,3.7,4.6,2.4,2.2,0.3,24.7,2012,Croatian A-1 Liga
26,Domagoj Basic,ZAB,31,21.1,8.7,18.1,0.48,5.2,11.8,0.444,2.1,2.2,0.9329999999999999,2.9,3.5,0.3,2.1,2.4,2.3,1.5,0.1,24.7,2012,Croatian A-1 Liga
27,Ronald Ross,JOL,34,33.9,9.7,20.3,0.478,1.5,4.5,0.345,3.6,5.1,0.72,4.3,4.3,1.9,5.8,7.7,5.9,3.9,0.2,24.6,2012,Croatian A-1 Liga
28,Andrija Zizic,CIB,19,16.3,8.5,15.2,0.561,0.0,0.0,0.0,7.4,10.1,0.738,4.0,9.6,4.5,6.7,11.1,2.0,1.4,0.2,24.5,2012,Croatian A-1 Liga
29,Filip Kraljevic,ZAB,20,25.6,9.4,15.3,0.616,0.0,0.1,0.0,5.6,6.9,0.8109999999999999,3.6,5.3,3.3,7.6,10.9,1.1,0.4,3.4,24.4,2012,Croatian A-1 Liga
30,Matija Ceskovic,KVA,25,35.5,8.4,17.9,0.47100000000000003,3.3,8.5,0.386,4.0,5.3,0.765,3.9,3.4,0.2,2.1,2.4,4.0,1.7,0.1,24.2,2012,Croatian A-1 Liga
31,Tomislav Zubcic,CIB,20,11.7,7.6,17.6,0.43,1.4,7.0,0.20600000000000002,5.7,6.6,0.875,3.9,7.8,3.7,4.9,8.6,2.9,2.5,0.6,24.0,2012,Croatian A-1 Liga
32,Veljko Budimir,VRI,30,29.9,9.0,18.6,0.48700000000000004,2.4,6.5,0.364,3.3,4.9,0.674,2.5,4.2,1.6,6.1,7.7,1.4,1.9,0.5,23.7,2012,Croatian A-1 Liga
33,Josip Sobin,SPL,37,31.0,10.7,15.3,0.698,0.0,0.0,0.0,2.1,6.4,0.331,2.9,5.2,4.5,6.5,11.0,3.8,2.3,1.0,23.5,2012,Croatian A-1 Liga
