#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Marios Georgiou,AEK,1,1.5,30.9,61.8,0.5,30.9,61.8,0.5,0.0,0.0,0.0,30.9,0.0,0.0,61.8,61.8,0.0,0.0,0.0,92.7,2012,Cypriot Division A
2,Stefanos Iliadis,APO,3,1.0,31.8,47.6,0.667,15.9,31.8,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.9,0.0,0.0,79.4,2012,Cypriot Division A
3,Yannis Gagaloudis,APO,7,31.1,7.1,17.0,0.41600000000000004,2.4,8.4,0.289,13.5,15.2,0.884,6.8,3.1,0.9,3.1,4.0,9.0,2.6,0.0,30.0,2012,Cypriot Division A
4,Giannis Yiannaras,KER,1,12.4,11.1,33.4,0.33299999999999996,0.0,7.4,0.0,7.4,11.1,0.667,7.4,11.1,0.0,3.7,3.7,3.7,3.7,3.7,29.7,2012,Cypriot Division A
5,Nicolas Constantinou,ETH,9,11.1,10.8,24.4,0.442,3.3,11.3,0.292,2.8,4.2,0.667,2.3,8.0,0.9,3.8,4.7,4.7,3.8,0.0,27.7,2012,Cypriot Division A
6,Troy Gillenwater,APO,17,28.5,10.0,20.8,0.48100000000000004,2.1,5.4,0.382,5.2,7.1,0.736,2.8,4.0,3.3,6.7,10.0,0.8,1.0,1.0,27.3,2012,Cypriot Division A
7,Winsome Frazier,KER,24,25.8,9.2,18.8,0.49,5.0,10.5,0.474,3.5,4.3,0.804,2.4,4.3,1.9,6.7,8.6,2.2,3.0,1.0,26.9,2012,Cypriot Division A
8,Charron Fisher,AEK,21,28.4,9.4,22.1,0.425,1.7,6.3,0.273,6.3,8.7,0.7170000000000001,4.0,5.3,3.3,6.4,9.7,1.6,1.0,0.4,26.8,2012,Cypriot Division A
9,Jerome Beasley,APO,8,24.2,10.9,16.9,0.6459999999999999,0.0,0.0,0.0,4.9,6.5,0.76,4.1,6.0,5.4,8.6,14.0,1.3,1.3,0.5,26.7,2012,Cypriot Division A
10,Adam McCoy,AEL,3,34.6,8.9,19.2,0.46299999999999997,5.6,13.1,0.429,3.3,3.7,0.875,2.8,2.8,1.9,1.9,3.7,1.9,0.5,0.0,26.7,2012,Cypriot Division A
11,Darryl Watkins,ETH,22,25.4,9.9,15.7,0.634,0.0,0.0,0.0,6.6,10.0,0.6579999999999999,3.8,6.0,5.0,9.3,14.2,2.6,2.4,2.8,26.5,2012,Cypriot Division A
12,Tyler Laser,ENAD,3,35.5,10.5,21.1,0.5,2.6,6.2,0.429,2.6,3.1,0.857,4.0,4.0,0.0,4.4,4.4,3.1,1.3,0.0,26.4,2012,Cypriot Division A
13,Georgios Palalas,AEL,10,35.6,8.9,22.0,0.40399999999999997,2.5,8.4,0.302,6.0,9.6,0.625,4.1,4.3,1.2,4.0,5.2,7.2,2.5,0.3,26.3,2012,Cypriot Division A
14,Lazar Trifunovic,OMO,4,37.3,9.0,18.1,0.5,0.0,0.3,0.0,7.8,11.2,0.703,3.0,3.3,4.5,9.9,14.5,2.7,2.1,0.0,25.9,2012,Cypriot Division A
15,DeWayne Reed,ENAD,14,30.0,8.9,16.7,0.534,0.7,2.8,0.24,7.0,10.5,0.667,4.8,4.4,1.7,4.2,5.9,5.5,1.9,0.5,25.6,2012,Cypriot Division A
16,Vujadin Subotic,AEK,18,34.2,8.1,19.1,0.42700000000000005,2.3,6.2,0.37200000000000005,6.7,8.8,0.764,4.0,4.4,3.1,5.3,8.4,2.9,1.7,0.6,25.3,2012,Cypriot Division A
17,Lewis Sims,APO,13,27.3,10.2,20.4,0.5,0.6,2.4,0.235,3.8,5.3,0.711,3.5,4.2,3.5,5.7,9.2,2.1,1.0,0.1,24.7,2012,Cypriot Division A
18,Devron Bostick,OMO,11,28.4,9.7,17.7,0.547,1.1,3.3,0.318,4.2,5.6,0.757,2.9,5.9,4.4,4.2,8.6,2.1,1.7,0.3,24.7,2012,Cypriot Division A
19,Vukasin Mandic,APO,16,22.3,7.0,18.1,0.385,3.5,8.8,0.397,6.3,6.7,0.938,3.2,5.4,1.3,4.6,5.9,3.5,1.8,0.3,23.7,2012,Cypriot Division A
20,Gordon Watt,OMO,7,26.6,8.1,18.9,0.431,2.6,8.7,0.303,4.5,10.8,0.415,1.8,6.0,2.1,8.9,11.0,1.1,1.3,0.0,23.4,2012,Cypriot Division A
21,Savo Djikanovic,ETH,13,11.2,9.4,21.7,0.433,0.3,0.6,0.5,4.2,6.1,0.684,7.1,11.0,6.8,10.0,16.8,2.6,1.3,0.3,23.3,2012,Cypriot Division A
22,Valdas Dabkus,ETH,11,19.0,8.0,16.5,0.486,2.3,5.7,0.4,4.8,6.0,0.8079999999999999,3.2,6.2,2.3,9.0,11.2,2.5,3.2,0.0,23.2,2012,Cypriot Division A
23,Paul Carter,AEL,4,30.1,8.2,21.2,0.389,1.6,7.1,0.222,5.1,7.4,0.684,4.7,5.1,3.9,6.3,10.2,2.4,1.6,0.8,23.1,2012,Cypriot Division A
24,Strahinja Dragicevic,KER,24,20.7,8.3,18.1,0.46,3.4,8.2,0.41200000000000003,3.1,4.4,0.711,1.7,3.8,1.8,7.0,8.8,1.5,1.3,0.2,23.1,2012,Cypriot Division A
25,Marcus Moore,KER,23,25.4,6.8,17.0,0.40299999999999997,1.6,5.5,0.284,7.5,9.6,0.784,6.6,5.1,0.9,6.3,7.2,7.3,2.9,0.0,22.7,2012,Cypriot Division A
26,Aleksandar Matic,ENAD,13,18.2,6.6,13.0,0.508,3.6,6.2,0.581,6.0,7.6,0.789,2.6,7.2,1.0,6.2,7.2,1.6,2.0,1.0,22.7,2012,Cypriot Division A
27,Kevin Houston,APO,9,25.9,8.0,18.5,0.43,2.2,6.5,0.33299999999999996,4.5,5.4,0.84,2.6,4.7,1.3,5.4,6.7,5.6,1.9,0.0,22.6,2012,Cypriot Division A
28,Nikos Papadopoulos,OMO,11,32.8,7.6,18.0,0.423,3.4,10.0,0.342,3.9,5.0,0.789,4.2,3.5,0.7,5.4,6.0,6.8,2.0,0.0,22.6,2012,Cypriot Division A
29,Alex Liatsos,AEL,8,33.6,8.3,18.1,0.456,1.2,6.2,0.2,4.7,5.8,0.818,4.0,4.4,1.8,4.6,6.3,2.6,0.7,0.7,22.5,2012,Cypriot Division A
30,Mike King,ETH,11,23.6,7.6,17.3,0.436,2.2,5.9,0.375,5.2,6.6,0.778,5.2,4.6,1.1,4.6,5.7,3.3,2.4,0.2,22.5,2012,Cypriot Division A
31,Aleksandar Damjanovic,ENAD,14,26.5,8.6,14.8,0.578,0.0,0.1,0.0,5.1,9.5,0.541,3.7,3.1,2.9,4.5,7.4,2.6,0.5,0.4,22.2,2012,Cypriot Division A
32,B.J. Raymond,APO,12,28.8,6.4,15.0,0.42700000000000005,2.1,6.0,0.341,7.3,9.2,0.7909999999999999,2.5,4.0,2.5,7.9,10.4,2.1,1.1,0.4,22.2,2012,Cypriot Division A
33,William Hatcher,KER,24,28.2,7.7,18.4,0.42100000000000004,2.7,7.7,0.35200000000000004,3.7,5.3,0.703,3.4,3.8,1.3,4.5,5.9,4.7,2.3,0.1,21.9,2012,Cypriot Division A
34,Shawn Ray,ETH,10,24.2,9.0,16.3,0.556,1.2,1.8,0.667,2.6,3.2,0.812,3.2,6.0,1.8,5.6,7.4,2.6,1.8,0.6,21.9,2012,Cypriot Division A
35,Jamal Boykin,OMO,7,32.6,9.0,19.9,0.452,0.4,1.9,0.222,3.2,4.1,0.789,3.4,4.9,3.6,8.5,12.2,3.4,0.9,0.4,21.6,2012,Cypriot Division A
36,Pavels Veselovs,KER,23,14.3,8.6,14.0,0.615,0.0,0.9,0.0,4.4,6.7,0.652,3.6,10.2,4.2,5.2,9.5,1.5,1.2,1.3,21.5,2012,Cypriot Division A
37,Jontae Sherrod,APO,1,21.7,4.8,14.4,0.33299999999999996,0.0,2.4,0.0,12.0,14.4,0.833,2.4,4.8,0.0,7.2,7.2,2.4,0.0,0.0,21.5,2012,Cypriot Division A
38,Tomas Gaidamavicius,APO,1,11.2,4.3,8.6,0.5,4.3,8.6,0.5,8.6,8.6,1.0,8.6,8.6,0.0,4.3,4.3,8.6,0.0,0.0,21.5,2012,Cypriot Division A
39,Brandon Wallace,APO,4,19.6,8.1,16.2,0.5,0.0,2.5,0.0,5.0,5.0,1.0,3.1,6.9,5.0,7.5,12.5,0.6,2.5,0.6,21.2,2012,Cypriot Division A
40,Maksim Kovacevic,APO,3,10.5,8.1,16.2,0.5,1.6,6.5,0.25,3.2,3.2,1.0,3.2,8.1,3.2,9.7,12.9,1.6,0.0,1.6,21.0,2012,Cypriot Division A
