#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Michael Medvecky,NHO,1,0.7,65.3,65.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.5,2012,Czech NBL
2,Tomas Kyzlink,PRA,9,9.8,10.7,21.4,0.5,2.5,5.7,0.444,8.8,13.8,0.636,1.9,4.4,4.4,1.3,5.7,3.8,1.3,0.0,32.7,2012,Czech NBL
3,Peter Sedmak,PRA,36,31.8,12.6,26.3,0.479,1.6,4.5,0.36,4.9,7.7,0.632,4.5,3.2,5.1,3.1,8.2,2.0,1.6,0.6,31.7,2012,Czech NBL
4,Esian Henderson,LEV,10,30.1,10.8,20.3,0.529,2.4,6.4,0.368,6.9,8.1,0.8540000000000001,3.9,4.5,7.1,3.4,10.4,3.2,2.4,1.3,30.8,2012,Czech NBL
5,Josh Dollard,SLU,7,22.3,10.8,21.6,0.5,0.3,3.3,0.091,8.7,9.3,0.935,3.0,7.2,5.7,3.9,9.6,1.5,2.4,0.9,30.7,2012,Czech NBL
6,Keaton Grant,LEV,36,29.8,11.0,23.4,0.46799999999999997,2.0,6.6,0.308,6.0,7.7,0.7829999999999999,4.3,4.5,6.6,3.0,9.6,3.4,2.5,1.4,30.0,2012,Czech NBL
7,Vojtech Hruban,PRA,35,30.2,10.5,21.8,0.48200000000000004,2.0,5.7,0.35700000000000004,6.4,8.2,0.787,4.4,3.9,4.4,2.1,6.6,4.3,2.0,0.2,29.5,2012,Czech NBL
8,Lamyan Wilson,NYM,34,23.7,10.7,20.3,0.529,2.4,6.3,0.389,4.2,5.5,0.768,1.5,3.5,5.2,4.8,9.9,2.4,2.8,0.7,28.1,2012,Czech NBL
9,David Subert,NHO,2,4.2,6.9,34.5,0.2,0.0,13.8,0.0,13.8,13.8,1.0,13.8,6.9,0.0,6.9,6.9,6.9,0.0,0.0,27.6,2012,Czech NBL
10,Tre Simmons,NYM,20,21.1,10.6,21.3,0.498,1.7,5.5,0.308,4.3,5.7,0.759,3.4,3.2,4.7,3.5,8.2,5.6,3.5,0.4,27.2,2012,Czech NBL
