#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Oliver Schultz-Barentzen,VAE,7,2.1,12.7,19.0,0.667,9.5,9.5,1.0,6.3,6.3,1.0,3.2,9.5,0.0,3.2,3.2,0.0,0.0,0.0,41.2,2012,Danish Basketligaen
2,Josh Alexander,BAK,25,31.4,12.2,24.0,0.507,4.0,10.8,0.374,5.7,6.9,0.818,4.3,3.7,4.3,6.7,11.0,2.6,2.8,0.7,34.0,2012,Danish Basketligaen
3,Adam Weber,VAE,1,4.8,11.0,22.0,0.5,11.0,22.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,11.0,11.0,0.0,0.0,0.0,33.0,2012,Danish Basketligaen
4,Will Harris,HOR,34,34.4,12.2,25.1,0.488,2.5,6.6,0.377,6.0,8.2,0.7390000000000001,2.7,3.2,3.9,6.1,10.0,2.7,0.9,0.5,33.0,2012,Danish Basketligaen
5,Ryan White,AAL,28,36.0,10.0,23.4,0.428,2.9,9.1,0.316,8.1,10.4,0.778,4.8,3.4,1.2,4.8,6.0,6.0,3.5,0.0,30.9,2012,Danish Basketligaen
6,D'Mario Curry,AAR,29,33.7,10.9,20.6,0.532,0.3,1.0,0.33299999999999996,7.8,10.6,0.736,7.7,5.2,5.7,11.1,16.8,5.1,2.6,2.4,30.0,2012,Danish Basketligaen
7,Matt Kingsley,SVE,39,27.2,12.5,24.9,0.502,0.4,1.1,0.375,4.4,5.9,0.74,2.8,4.2,2.4,7.8,10.2,1.5,0.6,0.9,29.8,2012,Danish Basketligaen
8,Donald Rutherford,SISU,29,34.2,12.0,23.2,0.519,0.9,1.9,0.462,4.5,6.4,0.7070000000000001,2.2,3.8,3.8,7.4,11.2,2.3,2.3,1.0,29.5,2012,Danish Basketligaen
9,Corin Henry,FOG,37,36.1,10.7,21.9,0.488,1.7,5.3,0.313,6.2,7.9,0.795,5.1,2.6,1.3,4.6,5.9,6.8,4.5,0.1,29.3,2012,Danish Basketligaen
10,Mads Rasmussen,VAE,28,33.9,8.6,21.0,0.41,2.0,6.6,0.305,7.4,11.4,0.649,4.0,3.3,0.7,2.8,3.5,3.4,1.6,0.2,26.6,2012,Danish Basketligaen
11,Chad Gray,BAK,7,23.7,10.3,21.5,0.479,1.8,5.5,0.33299999999999996,3.9,7.0,0.565,2.7,4.2,4.5,2.7,7.3,0.6,1.8,0.9,26.3,2012,Danish Basketligaen
12,Christopher Sprinker,VAE,13,32.0,10.7,20.8,0.514,0.0,0.2,0.0,4.8,7.6,0.631,2.4,4.7,3.4,6.9,10.2,1.5,1.2,1.9,26.2,2012,Danish Basketligaen
13,Bonell Colas,HOR,27,30.8,10.1,19.3,0.526,0.2,0.7,0.25,5.5,6.5,0.8440000000000001,4.3,5.0,4.7,7.9,12.7,2.3,1.5,2.8,25.9,2012,Danish Basketligaen
14,Chris Christoffersen,BAK,35,19.9,11.3,20.8,0.5429999999999999,0.0,0.0,0.0,3.1,7.8,0.39799999999999996,3.7,5.0,5.8,9.8,15.6,2.2,0.8,4.1,25.7,2012,Danish Basketligaen
15,Reginald Delk,VAE,14,33.1,9.0,23.9,0.376,3.0,9.3,0.326,3.6,4.7,0.7559999999999999,3.6,3.8,1.3,7.4,8.7,6.7,2.0,1.1,24.6,2012,Danish Basketligaen
16,Tony Bishop,AAL,26,34.6,10.1,21.2,0.479,0.1,1.0,0.095,4.1,5.6,0.726,3.2,3.4,4.6,10.0,14.6,2.0,2.9,2.1,24.4,2012,Danish Basketligaen
17,Chris Nielsen,BAK,34,22.6,8.2,20.2,0.40399999999999997,4.2,11.1,0.381,3.8,4.5,0.838,3.9,4.1,0.9,6.5,7.4,4.4,1.7,0.3,24.3,2012,Danish Basketligaen
18,Chanan Colman,SVE,40,32.7,8.2,16.9,0.486,2.5,6.2,0.409,4.7,6.4,0.725,4.2,4.1,1.1,5.0,6.1,6.8,1.7,0.3,23.6,2012,Danish Basketligaen
19,Nicolai Iversen,BAK,38,32.1,8.8,19.5,0.452,1.2,4.3,0.28300000000000003,4.7,6.6,0.708,3.0,3.6,2.7,8.7,11.4,4.1,1.8,0.6,23.5,2012,Danish Basketligaen
20,Robert Fields,WOLF,14,34.5,8.7,20.4,0.426,3.0,9.3,0.32299999999999995,3.0,3.5,0.857,1.4,1.8,1.4,3.1,4.5,5.4,3.0,0.2,23.4,2012,Danish Basketligaen
21,Mickey Dennis,SISU,30,34.7,8.4,19.7,0.429,2.6,8.4,0.313,3.8,4.5,0.847,2.9,3.4,2.4,3.7,6.0,4.4,3.6,0.5,23.4,2012,Danish Basketligaen
22,Jenar Harrison,SISU,11,26.9,10.4,18.9,0.5529999999999999,0.0,0.0,0.0,2.2,6.3,0.342,4.6,4.8,1.8,7.5,9.3,2.2,1.0,4.1,23.0,2012,Danish Basketligaen
23,Adama Darboe,SVE,40,33.4,7.8,15.5,0.507,3.0,6.6,0.45,3.8,4.5,0.846,3.2,3.0,1.5,5.6,7.1,5.2,2.3,0.2,22.5,2012,Danish Basketligaen
24,Peter Johansen,FOG,35,27.7,7.5,16.7,0.449,1.4,4.4,0.33,5.8,8.2,0.6990000000000001,4.5,5.8,4.7,9.0,13.7,3.9,1.0,1.5,22.2,2012,Danish Basketligaen
25,Julian McFarlane,WOLF,30,33.0,7.1,18.0,0.39299999999999996,2.3,7.3,0.322,5.3,7.5,0.7120000000000001,3.6,3.2,1.3,4.8,6.2,5.6,2.6,0.1,21.8,2012,Danish Basketligaen
26,Jordan Glynn,FOG,37,32.2,8.6,16.1,0.53,0.1,0.3,0.28600000000000003,4.4,5.3,0.8320000000000001,2.9,2.9,6.3,9.2,15.5,2.0,1.8,0.5,21.6,2012,Danish Basketligaen
27,Lukas Jensen,AAR,4,2.4,10.7,21.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.4,0.0,0.0,0.0,5.4,5.4,0.0,21.4,2012,Danish Basketligaen
28,Joe Benjamin,HOR,32,33.3,8.4,15.6,0.537,0.9,2.4,0.358,3.7,4.9,0.755,2.4,5.1,5.0,7.3,12.2,1.8,2.3,0.6,21.3,2012,Danish Basketligaen
29,Kasper Nielsen,SISU,4,11.5,8.5,21.2,0.4,2.1,5.3,0.4,2.1,2.1,1.0,3.2,4.2,4.2,1.1,5.3,3.2,2.1,1.1,21.2,2012,Danish Basketligaen
30,Alexander Bak,HOR,30,34.2,7.5,19.6,0.385,3.4,9.1,0.37,2.6,3.9,0.667,4.1,3.0,0.3,3.9,4.2,3.4,1.5,0.1,21.0,2012,Danish Basketligaen
31,Darko Jukic,AAR,30,31.5,8.4,16.8,0.503,1.3,3.9,0.33299999999999996,2.8,5.5,0.509,4.1,3.9,2.8,6.2,9.0,3.4,1.2,0.6,21.0,2012,Danish Basketligaen
32,Hans Schur,HOR,34,27.2,7.6,15.5,0.49,0.4,1.0,0.4,5.1,6.9,0.746,2.4,3.5,4.7,6.6,11.4,2.4,1.3,0.4,20.8,2012,Danish Basketligaen
33,Andreas Jakobsen,BAK,32,24.5,6.4,14.8,0.431,4.0,9.7,0.414,4.0,5.2,0.7559999999999999,3.1,3.6,1.5,5.0,6.6,6.8,2.0,0.1,20.8,2012,Danish Basketligaen
