#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Kaspars Kambala,JUR,1,19.3,17.8,43.2,0.41200000000000003,0.0,0.0,0.0,15.3,20.4,0.75,7.6,10.2,5.1,10.2,15.3,0.0,2.5,2.5,50.9,2019,Estonian-Latvian Basketball League
2,Gustavs Zebers,JEK,2,1.7,13.3,26.6,0.5,13.3,13.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,2019,Estonian-Latvian Basketball League
3,Arnett Moultrie,KCT,20,19.0,12.8,21.3,0.6,0.1,0.4,0.33299999999999996,8.3,10.1,0.8190000000000001,4.1,5.7,4.4,9.2,13.6,3.4,1.8,1.5,33.9,2019,Estonian-Latvian Basketball League
4,Justin Johnson,LPJ,24,31.7,11.7,22.2,0.527,2.2,6.1,0.368,6.5,7.9,0.821,4.7,3.6,1.1,5.7,6.8,6.2,2.1,0.2,32.1,2019,Estonian-Latvian Basketball League
5,Reggie Lynch,KCT,30,19.7,12.4,20.9,0.595,0.0,0.0,0.0,7.0,8.9,0.779,2.8,6.3,5.9,8.4,14.3,2.5,1.1,5.3,31.8,2019,Estonian-Latvian Basketball League
6,Kaspars Berzins,OGRE,11,19.1,9.8,20.3,0.484,3.3,8.7,0.375,7.8,9.6,0.818,3.9,9.6,3.1,12.9,15.9,2.6,0.7,3.5,30.7,2019,Estonian-Latvian Basketball League
7,Artjoms Butjankovs,JUR,1,23.3,11.7,30.5,0.385,2.3,16.4,0.14300000000000002,4.7,9.4,0.5,11.7,7.0,4.7,9.4,14.1,2.3,2.3,2.3,30.5,2019,Estonian-Latvian Basketball League
8,Linards Jaunzems,LU,25,29.7,11.2,21.8,0.514,2.2,5.9,0.36700000000000005,5.8,9.7,0.591,3.7,5.1,4.2,8.1,12.4,4.6,2.9,0.5,30.3,2019,Estonian-Latvian Basketball League
9,Verners Kohs,JEK,12,31.6,8.9,20.1,0.44299999999999995,4.8,9.8,0.494,7.4,8.4,0.879,3.3,4.7,0.9,5.2,6.1,1.7,0.9,0.6,30.1,2019,Estonian-Latvian Basketball League
10,Stephen Brown,VAL,9,29.1,10.8,21.1,0.514,2.7,6.8,0.389,5.5,7.6,0.725,2.7,4.6,0.4,4.0,4.4,6.3,4.6,0.0,29.9,2019,Estonian-Latvian Basketball League
11,Janis Kaufmanis,VAL,28,32.1,10.4,22.7,0.45899999999999996,4.2,12.6,0.331,4.6,5.1,0.905,2.9,3.2,0.4,4.9,5.3,4.2,1.3,0.1,29.6,2019,Estonian-Latvian Basketball League
12,Toomas Raadik,TTU,30,28.8,10.6,18.4,0.5770000000000001,2.3,4.2,0.547,6.0,6.6,0.9079999999999999,2.1,4.4,3.3,6.0,9.3,2.0,0.9,1.1,29.5,2019,Estonian-Latvian Basketball League
13,R.J. McGhee,KLV,12,21.8,10.8,23.8,0.455,1.3,3.2,0.389,6.5,8.1,0.8,4.9,5.6,2.5,4.0,6.5,6.5,3.8,0.0,29.3,2019,Estonian-Latvian Basketball League
14,Ousmane Drame,VEN,26,18.8,10.7,17.5,0.611,0.1,0.6,0.16699999999999998,7.6,10.9,0.6970000000000001,3.1,5.2,7.3,11.9,19.2,2.2,1.7,2.0,29.1,2019,Estonian-Latvian Basketball League
15,Jurijs Aleksejevs,JUR,4,19.0,11.9,25.1,0.474,2.0,9.3,0.214,3.3,5.3,0.625,7.3,5.9,4.0,11.9,15.9,2.6,2.0,0.7,29.1,2019,Estonian-Latvian Basketball League
16,Ronalds Zakis,VEN,21,17.1,11.9,20.2,0.588,0.0,0.4,0.0,4.8,7.1,0.6729999999999999,4.2,4.4,3.7,10.6,14.3,1.8,0.5,0.5,28.5,2019,Estonian-Latvian Basketball League
17,Josh Nofflet,KLV,2,22.6,12.2,25.4,0.48,1.0,6.1,0.16699999999999998,3.1,4.1,0.75,5.1,6.1,0.0,8.1,8.1,4.1,4.1,0.0,28.5,2019,Estonian-Latvian Basketball League
18,Kregor Hermet,TUK,29,27.6,11.2,23.8,0.46799999999999997,1.9,6.1,0.317,4.2,5.3,0.795,2.8,5.1,2.7,7.2,9.8,2.2,1.4,0.3,28.5,2019,Estonian-Latvian Basketball League
19,Chavaughn Lewis,KCT,23,21.8,9.6,21.1,0.456,1.7,4.8,0.353,7.4,10.2,0.725,3.8,4.8,1.0,6.0,7.0,7.5,3.3,0.7,28.4,2019,Estonian-Latvian Basketball League
20,Arnas Velicka,TUK,28,32.9,8.2,22.9,0.358,4.0,13.7,0.292,7.9,11.0,0.7140000000000001,4.2,2.6,0.7,5.5,6.2,8.2,2.6,0.3,28.3,2019,Estonian-Latvian Basketball League
21,Landen Lucas,KCT,7,19.4,9.5,19.6,0.48200000000000004,0.0,0.4,0.0,8.4,11.9,0.706,5.3,7.7,8.4,7.0,15.4,2.8,1.4,0.7,27.3,2019,Estonian-Latvian Basketball League
22,Jonathan Arledge,VEN,30,21.9,9.0,17.0,0.528,2.0,4.9,0.409,7.4,9.2,0.8059999999999999,3.2,6.5,3.6,8.4,11.9,2.4,2.3,1.7,27.3,2019,Estonian-Latvian Basketball League
23,Arturs Ausejs,RIG,31,19.8,9.6,20.8,0.462,5.9,15.1,0.389,2.3,2.7,0.8290000000000001,2.6,4.2,1.0,5.9,6.9,3.9,1.6,0.5,27.3,2019,Estonian-Latvian Basketball League
24,Kaspars Vecvagars,JUR,5,28.7,9.2,20.4,0.45,1.7,5.1,0.33299999999999996,7.1,9.2,0.778,3.7,4.4,1.7,5.4,7.1,5.1,0.7,0.0,27.1,2019,Estonian-Latvian Basketball League
25,Ivan Almeida,KCT,5,22.2,9.7,18.9,0.511,4.2,10.5,0.4,3.4,5.5,0.615,4.6,5.5,2.5,8.4,10.9,6.7,4.2,0.4,26.9,2019,Estonian-Latvian Basketball League
26,Glenn Cosey,RIG,10,26.0,8.9,19.1,0.466,6.1,13.0,0.47100000000000003,2.8,3.1,0.882,2.8,3.0,0.9,6.8,7.8,12.0,1.7,0.2,26.7,2019,Estonian-Latvian Basketball League
27,Steve Zack,RIG,30,22.2,9.8,16.8,0.586,0.1,0.1,1.0,6.7,9.5,0.71,3.4,4.8,4.8,11.8,16.6,5.9,1.8,1.4,26.4,2019,Estonian-Latvian Basketball League
28,Hunter Mickelson,RAP,29,26.4,10.9,18.5,0.589,0.1,0.2,0.33299999999999996,4.2,5.7,0.7390000000000001,2.7,6.0,4.4,9.0,13.3,2.0,2.1,2.2,26.1,2019,Estonian-Latvian Basketball League
29,Justin Alston,PAR,9,24.5,11.3,19.0,0.593,0.0,0.7,0.0,3.5,4.9,0.727,2.2,6.2,3.8,8.8,12.6,1.8,0.9,1.1,26.1,2019,Estonian-Latvian Basketball League
30,Demetre Rivers,PAR,16,33.1,9.5,18.0,0.526,4.0,8.1,0.494,3.2,3.7,0.85,2.1,3.1,2.6,5.7,8.3,2.0,0.3,0.2,26.0,2019,Estonian-Latvian Basketball League
31,Ronald Delph,RAP,27,14.7,10.9,17.6,0.619,0.1,0.2,0.5,3.8,6.2,0.615,4.0,8.6,6.1,10.8,16.9,2.4,1.4,2.9,25.8,2019,Estonian-Latvian Basketball League
32,Elvis Brokans,VAL,5,3.3,11.4,22.8,0.5,0.0,2.9,0.0,2.9,5.7,0.5,8.6,5.7,0.0,0.0,0.0,5.7,5.7,0.0,25.7,2019,Estonian-Latvian Basketball League
33,Jurijs Aleksejevs,JEK,22,29.1,9.3,19.6,0.47700000000000004,2.5,6.1,0.402,4.5,6.5,0.69,3.8,2.5,6.0,10.8,16.8,4.7,2.0,0.3,25.6,2019,Estonian-Latvian Basketball League
34,Rain Veideman,RAP,11,33.4,9.0,18.3,0.489,1.8,6.0,0.304,5.7,6.9,0.83,3.4,3.0,0.9,5.8,6.8,5.8,2.6,0.5,25.5,2019,Estonian-Latvian Basketball League
35,Andraz Kavas,LPJ,11,30.4,9.8,19.9,0.493,2.2,5.5,0.395,3.6,4.9,0.735,2.2,5.2,2.7,6.2,9.0,2.0,0.4,1.2,25.4,2019,Estonian-Latvian Basketball League
36,Mareks Mejeris,RIG,25,23.0,9.3,16.0,0.583,0.7,2.7,0.25,5.8,8.2,0.7040000000000001,2.8,3.1,6.0,5.0,11.0,4.4,2.7,1.5,25.1,2019,Estonian-Latvian Basketball League
37,Rihards Lomazs,VEN,28,27.8,8.1,15.8,0.51,4.2,8.9,0.469,4.6,5.2,0.8809999999999999,2.4,3.1,0.6,4.6,5.2,7.7,1.8,0.2,24.9,2019,Estonian-Latvian Basketball League
38,Andris Misters,RIG,31,18.7,8.6,17.4,0.498,4.7,11.1,0.429,2.3,2.9,0.8,2.7,4.2,1.7,6.7,8.4,3.9,2.2,0.2,24.3,2019,Estonian-Latvian Basketball League
