#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Brant Bailey,PYR,2,24.7,11.9,21.0,0.565,0.9,3.7,0.25,10.1,13.7,0.733,2.7,9.1,2.7,1.8,4.6,1.8,0.9,0.9,34.8,2012,Finnish Korisliiga
2,Tim Blue,KTP,45,35.0,11.9,22.4,0.532,1.6,4.2,0.39299999999999996,5.1,7.9,0.653,4.5,4.5,4.6,9.4,14.0,2.4,1.4,1.9,31.1,2012,Finnish Korisliiga
3,Kelly Beidler,KAR,44,31.5,10.4,19.5,0.532,1.4,3.8,0.37200000000000005,6.3,8.9,0.708,3.9,4.2,3.6,11.0,14.5,2.1,3.4,2.9,28.4,2012,Finnish Korisliiga
4,Allen Durham,SAL,25,33.4,11.6,20.9,0.557,0.2,1.2,0.19,4.6,7.3,0.626,4.1,3.5,7.2,9.4,16.6,1.9,1.4,0.6,28.1,2012,Finnish Korisliiga
5,Jerice Crouch,KOR,9,20.2,9.3,20.4,0.457,3.0,8.3,0.364,6.3,8.8,0.7140000000000001,4.0,4.0,0.5,5.0,5.5,2.5,0.8,0.0,27.9,2012,Finnish Korisliiga
6,Tyler Tiedeman,NMKY,42,31.2,9.4,19.8,0.475,3.0,7.8,0.379,6.1,7.4,0.82,5.0,4.2,1.6,5.8,7.3,3.4,0.9,0.3,27.8,2012,Finnish Korisliiga
7,Aleksi Peltonen,KOR,3,1.8,9.1,9.1,1.0,9.1,9.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,18.3,0.0,0.0,0.0,27.4,2012,Finnish Korisliiga
8,Justin Hawkins,POJ,21,31.0,10.1,21.7,0.467,2.3,5.9,0.39,4.7,6.4,0.742,5.1,4.2,2.7,7.4,10.1,4.6,2.2,0.6,27.3,2012,Finnish Korisliiga
9,Brant Bailey,NAM,26,29.5,9.6,19.2,0.5,2.0,5.2,0.39299999999999996,5.8,7.4,0.782,3.7,5.2,2.7,6.4,9.1,1.1,1.3,0.9,27.1,2012,Finnish Korisliiga
10,Clevin Hannah,KAR,44,31.7,9.3,17.7,0.522,3.9,8.3,0.46799999999999997,4.6,5.1,0.89,4.7,3.4,0.9,4.0,4.9,6.6,2.1,0.1,27.0,2012,Finnish Korisliiga
11,Anthony Brown,KOU,40,28.1,10.8,20.3,0.534,0.6,2.4,0.245,4.5,6.1,0.741,4.3,4.2,5.8,8.7,14.5,2.7,1.7,1.0,26.8,2012,Finnish Korisliiga
12,Tony Crocker,KTP,32,34.4,9.1,19.9,0.457,2.9,7.5,0.385,5.6,6.9,0.818,4.7,4.6,2.5,5.3,7.8,3.0,2.0,0.4,26.7,2012,Finnish Korisliiga
13,Emmanuel Holloway,SAL,38,33.8,9.2,21.9,0.42200000000000004,2.4,7.9,0.311,5.6,7.8,0.721,4.0,3.9,1.5,4.4,5.9,4.8,2.6,0.5,26.5,2012,Finnish Korisliiga
14,Martin Zeno,NIL,48,36.3,9.6,21.8,0.44,0.9,4.1,0.23,6.0,8.0,0.753,4.0,2.4,2.0,9.0,10.9,4.7,1.7,1.1,26.2,2012,Finnish Korisliiga
15,Cory Johnson,KOR,30,31.3,9.8,19.9,0.49,1.4,4.6,0.311,4.6,6.6,0.695,3.5,3.9,3.0,6.1,9.1,2.1,1.6,0.3,25.7,2012,Finnish Korisliiga
16,Kenneth Lowe,PYR,49,30.3,9.1,17.4,0.524,0.6,1.7,0.33299999999999996,6.7,8.0,0.8420000000000001,3.6,5.7,1.2,4.9,6.2,3.1,1.5,0.0,25.5,2012,Finnish Korisliiga
17,Jonathan Heard,KOR,8,33.7,8.8,20.8,0.424,1.9,5.5,0.355,5.6,9.3,0.604,4.8,3.7,1.8,7.6,9.3,3.5,3.0,0.9,25.2,2012,Finnish Korisliiga
18,Amal McCaskill,KTP,5,28.2,9.7,16.3,0.596,0.0,0.0,0.0,5.6,7.0,0.8,3.8,4.5,5.9,9.4,15.3,2.1,0.7,1.0,25.0,2012,Finnish Korisliiga
19,Ryan Brooks,NAM,40,35.4,9.0,19.5,0.462,2.8,7.5,0.371,4.2,5.1,0.816,3.1,3.6,1.0,6.4,7.4,2.2,1.7,0.4,25.0,2012,Finnish Korisliiga
20,Riku Ahonen,SAL,5,31.1,7.8,16.9,0.462,4.5,9.7,0.467,4.9,5.2,0.938,2.6,3.9,1.3,2.3,3.6,5.5,1.0,0.0,25.0,2012,Finnish Korisliiga
21,Chase Griffin,POJ,46,31.0,8.4,18.3,0.457,3.0,7.4,0.401,4.6,5.3,0.87,3.9,4.3,1.1,4.3,5.4,4.1,1.7,0.1,24.5,2012,Finnish Korisliiga
22,Todd Hendley,KAR,34,28.3,9.9,17.4,0.5710000000000001,1.0,3.0,0.33899999999999997,3.6,4.6,0.787,3.5,5.1,2.8,7.0,9.8,1.5,1.5,0.4,24.5,2012,Finnish Korisliiga
23,Hanno Mottola,POJ,28,23.3,9.0,19.1,0.47200000000000003,1.6,5.1,0.319,4.6,4.9,0.9279999999999999,4.1,3.6,2.2,7.9,10.1,2.0,0.8,1.6,24.3,2012,Finnish Korisliiga
24,Josh Gonner,KOU,34,32.3,8.2,17.3,0.47200000000000003,3.5,9.2,0.38299999999999995,4.0,5.1,0.7909999999999999,3.4,3.6,1.0,4.3,5.3,3.0,1.9,0.5,23.9,2012,Finnish Korisliiga
25,Lawrence Hamm,NMKY,43,34.6,9.5,20.3,0.465,2.1,6.5,0.318,2.7,4.0,0.68,2.7,3.6,3.5,7.4,10.9,1.8,1.4,1.2,23.7,2012,Finnish Korisliiga
26,Jeremy Price,KAT,48,23.2,9.9,16.2,0.611,0.0,0.0,0.0,3.8,5.5,0.688,4.7,7.1,4.2,7.8,12.0,1.3,1.8,1.1,23.6,2012,Finnish Korisliiga
