#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,William Mensah,ENAN,1,16.0,17.1,27.3,0.625,10.2,13.6,0.75,20.5,20.5,1.0,0.0,10.2,0.0,3.4,3.4,3.4,0.0,0.0,64.8,2018,French LNB Espoirs
2,Melvyn Govindy,EC,25,20.8,13.8,20.8,0.6609999999999999,0.3,1.5,0.222,5.4,9.2,0.583,5.9,5.3,6.0,12.1,18.1,2.0,1.4,1.7,33.2,2018,French LNB Espoirs
3,Sylvain Francisco,EL,17,29.1,10.8,25.8,0.42,4.3,13.1,0.32899999999999996,6.3,8.2,0.7609999999999999,4.8,3.1,1.0,6.5,7.6,5.5,4.7,0.0,32.2,2018,French LNB Espoirs
4,Issa Boutinane,EL,3,7.3,12.7,29.6,0.429,0.0,10.6,0.0,6.3,8.4,0.75,4.2,6.3,6.3,6.3,12.7,0.0,0.0,4.2,31.7,2018,French LNB Espoirs
5,Luc Loubaki,EMON,7,25.3,8.3,20.3,0.408,0.8,5.3,0.15,12.3,18.7,0.657,6.1,3.7,2.9,6.9,9.9,6.4,6.1,0.8,29.6,2018,French LNB Espoirs
6,Etienne Ca,ECS,34,30.0,11.4,18.9,0.604,0.3,1.0,0.33299999999999996,5.6,9.2,0.608,5.7,4.4,4.8,8.9,13.7,2.7,2.1,3.0,28.8,2018,French LNB Espoirs
7,Ivan Fevrier,EL,29,31.3,10.0,23.3,0.43200000000000005,1.8,6.3,0.293,6.5,7.3,0.8809999999999999,4.9,3.7,2.8,7.4,10.1,2.8,2.3,0.4,28.4,2018,French LNB Espoirs
8,Dylan Affo Mama,EBOU,34,26.4,11.1,21.3,0.522,0.5,2.1,0.25,5.3,9.1,0.5870000000000001,4.0,4.7,5.9,5.7,11.6,1.1,3.2,0.2,28.1,2018,French LNB Espoirs
9,Louis Cassier,ECR,32,27.0,10.0,17.9,0.5589999999999999,0.8,2.9,0.28300000000000003,7.2,9.3,0.774,5.0,4.2,4.4,12.4,16.8,2.9,2.5,0.8,28.0,2018,French LNB Espoirs
10,Merveille Muninga,ELIM,26,27.2,10.5,19.0,0.552,0.4,1.5,0.273,5.7,9.1,0.629,5.6,5.1,5.5,13.0,18.5,2.4,1.6,1.4,27.1,2018,French LNB Espoirs
