#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Soria Bangura,LEM,1,2.0,25.7,77.2,0.33299999999999996,0.0,0.0,0.0,0.0,0.0,0.0,51.5,51.5,25.7,0.0,25.7,0.0,0.0,0.0,51.5,2013,French Leaders Cup LNB
2,Alexis Ajinca,STR,3,25.3,14.2,20.1,0.71,0.0,0.0,0.0,3.2,5.2,0.625,5.8,5.8,5.2,5.8,11.0,3.2,1.3,0.6,31.7,2013,French Leaders Cup LNB
3,Ludovic Vaty,GRV,3,24.0,12.6,21.2,0.594,0.0,0.7,0.0,4.6,5.3,0.875,2.7,4.0,4.0,8.6,12.6,1.3,0.7,2.0,29.9,2013,French Leaders Cup LNB
4,Jahmar Young,ORL,1,31.0,10.5,24.0,0.43799999999999994,3.0,10.5,0.28600000000000003,4.5,4.5,1.0,3.0,3.0,0.0,3.0,3.0,3.0,1.5,0.0,28.5,2013,French Leaders Cup LNB
5,Cuthbert Victor,LEM,2,14.0,12.7,18.1,0.7,0.0,1.8,0.0,1.8,3.6,0.5,5.4,10.9,1.8,7.2,9.0,1.8,3.6,0.0,27.1,2013,French Leaders Cup LNB
6,Marcus Denmon,CHA,1,23.0,9.7,25.1,0.385,5.8,13.5,0.429,1.9,1.9,1.0,1.9,7.7,3.9,3.9,7.7,1.9,1.9,0.0,27.1,2013,French Leaders Cup LNB
7,Shelden Williams,CHA,1,33.0,12.1,24.2,0.5,0.0,0.0,0.0,2.7,2.7,1.0,5.4,5.4,5.4,6.7,12.1,0.0,2.7,1.3,26.9,2013,French Leaders Cup LNB
8,Antoine Diot,PLV,2,29.0,9.0,15.5,0.579,3.3,7.4,0.444,4.9,7.4,0.667,2.5,4.9,0.8,5.7,6.5,7.4,0.8,0.0,26.2,2013,French Leaders Cup LNB
9,Amara Sy,LYV,1,29.0,7.6,19.7,0.385,3.0,4.5,0.667,6.0,7.6,0.8,4.5,6.0,3.0,7.6,10.6,1.5,0.0,1.5,24.2,2013,French Leaders Cup LNB
10,Alexandre Chassang,LYV,1,11.0,12.0,15.9,0.75,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,4.0,8.0,0.0,4.0,0.0,23.9,2013,French Leaders Cup LNB
11,J.P. Batista,LEM,2,23.5,11.9,29.1,0.40700000000000003,0.0,0.0,0.0,0.0,0.0,0.0,3.2,5.4,3.2,6.5,9.7,3.2,1.1,0.0,23.7,2013,French Leaders Cup LNB
12,Ricardo Greer,STR,3,29.7,8.8,14.9,0.593,2.2,3.9,0.5710000000000001,3.3,3.3,1.0,3.3,3.9,1.1,8.3,9.4,6.1,0.6,0.0,23.2,2013,French Leaders Cup LNB
13,Sean May,PLV,2,28.0,9.3,15.2,0.611,0.8,0.8,1.0,3.4,3.4,1.0,6.8,1.7,0.8,11.9,12.7,5.1,0.8,0.8,22.9,2013,French Leaders Cup LNB
14,Romain Duport,STR,3,14.7,10.1,21.2,0.474,0.0,1.1,0.0,2.2,2.2,1.0,3.4,3.4,4.5,6.7,11.2,1.1,0.0,1.1,22.4,2013,French Leaders Cup LNB
15,Dwight Buycks,GRV,3,35.7,7.1,17.9,0.4,1.3,4.0,0.33299999999999996,6.7,8.5,0.789,3.1,2.7,0.4,3.1,3.6,2.7,4.0,0.0,22.3,2013,French Leaders Cup LNB
16,Louis Campbell,STR,3,31.7,7.8,16.6,0.469,3.1,7.2,0.429,3.6,4.1,0.875,1.6,2.6,1.0,4.1,5.2,5.2,1.6,0.5,22.3,2013,French Leaders Cup LNB
17,Jawad Williams,PLV,1,28.0,7.9,15.9,0.5,4.8,7.9,0.6,1.6,3.2,0.5,1.6,6.4,0.0,1.6,1.6,3.2,0.0,0.0,22.2,2013,French Leaders Cup LNB
18,Jonathan Aka,PLV,2,7.5,9.5,19.0,0.5,0.0,0.0,0.0,3.2,6.3,0.5,6.3,15.8,3.2,6.3,9.5,0.0,3.2,3.2,22.1,2013,French Leaders Cup LNB
19,Kennedy Winston,GRV,3,22.3,9.3,17.1,0.542,1.4,3.6,0.4,1.4,1.4,1.0,2.1,0.7,0.0,3.6,3.6,5.0,1.4,0.0,21.4,2013,French Leaders Cup LNB
20,Aldo Curti,GRV,3,7.0,6.8,18.2,0.375,0.0,2.3,0.0,6.8,9.1,0.75,6.8,18.2,0.0,2.3,2.3,2.3,0.0,0.0,20.5,2013,French Leaders Cup LNB
21,Alain Koffi,LEM,2,20.0,8.9,21.5,0.41200000000000003,0.0,0.0,0.0,2.5,3.8,0.667,1.3,5.1,3.8,11.4,15.2,2.5,0.0,1.3,20.3,2013,French Leaders Cup LNB
22,Antoine Eito,ORL,1,14.0,6.6,10.0,0.667,3.3,6.6,0.5,3.3,6.6,0.5,6.6,10.0,3.3,3.3,6.6,3.3,3.3,0.0,19.9,2013,French Leaders Cup LNB
23,Gerald Fitch,STR,2,28.0,7.8,13.8,0.562,3.5,6.9,0.5,0.9,0.9,1.0,6.0,2.6,0.9,5.2,6.0,6.0,1.7,0.0,19.9,2013,French Leaders Cup LNB
24,Khalid El-Amin,LEM,2,27.0,5.6,14.1,0.4,4.7,9.4,0.5,3.8,3.8,1.0,3.8,3.8,0.9,2.8,3.8,4.7,1.9,0.0,19.7,2013,French Leaders Cup LNB
25,Abodulaye M'Baye,GRV,3,9.0,5.3,10.6,0.5,1.8,3.5,0.5,7.1,7.1,1.0,5.3,7.1,0.0,1.8,1.8,3.5,3.5,0.0,19.5,2013,French Leaders Cup LNB
26,Blake Schilb,CHA,1,40.0,6.7,15.6,0.429,2.2,5.6,0.4,3.3,3.3,1.0,1.1,2.2,3.3,6.7,10.0,4.4,1.1,0.0,18.9,2013,French Leaders Cup LNB
27,John Shurna,STR,3,21.0,7.8,18.0,0.435,2.3,8.6,0.273,0.8,1.6,0.5,0.8,3.1,3.1,7.0,10.1,0.0,2.3,0.8,18.7,2013,French Leaders Cup LNB
28,Brian Greene,ORL,1,35.0,6.6,14.6,0.455,1.3,6.6,0.2,4.0,5.3,0.75,5.3,5.3,2.7,4.0,6.6,2.7,5.3,0.0,18.6,2013,French Leaders Cup LNB
29,J.K. Edwards,GRV,3,23.3,6.1,10.9,0.562,0.0,0.7,0.0,4.8,6.1,0.778,2.7,5.5,2.0,6.8,8.9,3.4,2.0,1.4,17.1,2013,French Leaders Cup LNB
30,Edwin Jackson,LYV,1,31.0,5.7,17.0,0.33299999999999996,1.4,5.7,0.25,4.2,4.2,1.0,5.7,4.2,1.4,5.7,7.1,14.1,0.0,0.0,17.0,2013,French Leaders Cup LNB
31,Sarra Camara,GRV,3,13.3,4.8,7.2,0.667,0.0,0.0,0.0,7.2,9.6,0.75,0.0,3.6,7.2,11.9,19.1,0.0,0.0,0.0,16.7,2013,French Leaders Cup LNB
32,Kevin Houston,CHA,1,16.0,5.6,16.7,0.33299999999999996,5.6,13.9,0.4,0.0,0.0,0.0,0.0,5.6,0.0,5.6,5.6,11.1,0.0,0.0,16.7,2013,French Leaders Cup LNB
33,Jordan Aboudou,CHA,1,16.0,8.3,19.4,0.429,0.0,0.0,0.0,0.0,0.0,0.0,2.8,13.9,5.6,5.6,11.1,0.0,2.8,0.0,16.7,2013,French Leaders Cup LNB
34,Coleman Collins,ROA,1,19.0,8.1,16.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,5.4,5.4,8.1,2.7,10.8,2.7,0.0,0.0,16.3,2013,French Leaders Cup LNB
35,Pape Sy,LEM,2,13.0,3.9,5.8,0.667,0.0,1.9,0.0,7.8,9.7,0.8,0.0,3.9,3.9,5.8,9.7,0.0,1.9,0.0,15.6,2013,French Leaders Cup LNB
36,Ryan Reid,ROA,1,17.0,6.1,21.2,0.28600000000000003,0.0,0.0,0.0,3.0,3.0,1.0,3.0,6.1,12.1,12.1,24.2,0.0,0.0,3.0,15.1,2013,French Leaders Cup LNB
37,Fernando Raposo,ORL,1,25.0,7.4,9.3,0.8,0.0,0.0,0.0,0.0,1.9,0.0,1.9,1.9,1.9,9.3,11.2,0.0,0.0,0.0,14.9,2013,French Leaders Cup LNB
