#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Nate Bowie,RUS,22,30.2,13.7,27.4,0.499,2.9,7.6,0.38299999999999995,4.0,6.7,0.606,3.8,3.0,2.1,7.0,9.1,7.4,4.4,0.0,34.2,2013,Georgian Super Liga
2,Omar Wattad,RUS,4,11.6,11.7,21.5,0.545,7.8,15.7,0.5,0.0,1.0,0.0,5.9,5.9,2.9,2.9,5.9,4.9,4.9,1.0,31.3,2013,Georgian Super Liga
3,Richard Matiashvili,KUT,27,32.0,10.4,21.1,0.49200000000000005,0.7,2.4,0.293,8.3,13.7,0.605,5.1,5.9,4.4,14.4,18.8,3.1,1.5,2.5,29.7,2013,Georgian Super Liga
4,Kirk Archibeque,MIA,29,31.0,11.4,20.2,0.564,0.0,0.1,0.0,6.9,9.9,0.693,3.3,4.2,7.1,11.5,18.6,3.6,1.0,1.5,29.7,2013,Georgian Super Liga
5,Keyon Carter,DIN,11,30.9,12.7,24.3,0.522,0.5,1.4,0.33299999999999996,2.6,3.8,0.68,2.1,2.4,4.1,8.6,12.7,2.4,2.6,0.6,29.0,2013,Georgian Super Liga
6,Sergo Atuashvili,SOK,12,34.2,10.6,21.1,0.503,2.2,5.4,0.4,4.6,7.5,0.613,4.1,3.1,6.5,14.6,21.1,1.8,0.6,2.5,27.9,2013,Georgian Super Liga
7,Lamyan Wilson,ARM,9,23.0,10.7,21.8,0.49,3.9,9.8,0.395,1.8,3.0,0.615,1.4,3.4,3.0,12.9,15.9,3.9,1.6,1.8,27.0,2013,Georgian Super Liga
8,Joakim Kjellbom,ARM,10,15.5,11.8,18.2,0.65,0.0,0.0,0.0,3.3,6.1,0.55,4.2,7.3,7.3,8.8,16.0,2.1,2.7,3.9,26.9,2013,Georgian Super Liga
9,Curtis Millage,ARM,9,20.6,10.7,22.5,0.47700000000000004,1.8,6.6,0.26899999999999996,3.6,5.9,0.609,1.8,3.3,3.3,6.9,10.2,9.2,5.4,0.0,26.8,2013,Georgian Super Liga
10,Irakli Chlaidze,SOK,17,34.3,9.1,24.5,0.369,2.9,10.3,0.28600000000000003,5.6,8.2,0.6829999999999999,4.2,3.0,1.1,2.6,3.8,3.8,1.1,0.2,26.7,2013,Georgian Super Liga
11,Tariel Tavartkiladze,OLI,12,7.2,8.5,18.6,0.457,8.0,15.9,0.5,1.6,2.1,0.75,1.1,4.2,1.6,5.8,7.4,9.0,5.3,0.0,26.6,2013,Georgian Super Liga
12,Darren Moore,OLI,10,24.7,9.0,17.9,0.505,1.9,4.6,0.41700000000000004,6.5,8.1,0.81,3.1,4.4,2.1,4.2,6.3,2.7,1.9,0.2,26.5,2013,Georgian Super Liga
13,Kakha Jincharadze,SOK,2,5.1,10.4,20.7,0.5,5.2,5.2,1.0,0.0,0.0,0.0,0.0,10.4,0.0,5.2,5.2,0.0,0.0,0.0,25.9,2013,Georgian Super Liga
14,Akaki Dvalishvili,OLI,30,18.8,10.4,17.3,0.599,0.0,0.2,0.0,4.5,7.3,0.621,2.4,4.7,6.9,8.3,15.1,2.8,2.8,1.2,25.2,2013,Georgian Super Liga
15,Lasha Keshelava,BAT,20,31.4,7.7,20.4,0.375,5.2,12.5,0.41600000000000004,4.4,5.6,0.792,1.6,3.6,3.3,9.9,13.2,2.2,1.5,0.5,24.8,2013,Georgian Super Liga
16,Levan Patsatsia,OLI,31,29.4,8.3,20.0,0.413,3.1,9.1,0.341,4.8,6.9,0.687,2.6,2.6,2.7,7.8,10.6,5.5,2.0,0.6,24.4,2013,Georgian Super Liga
17,Lasha Parghalava,ARM,26,21.9,8.8,22.0,0.4,3.1,8.6,0.363,3.6,4.6,0.7959999999999999,3.7,4.1,1.4,6.6,7.9,5.1,2.5,0.1,24.3,2013,Georgian Super Liga
18,Kyle Nelson,RUS,22,33.0,9.8,18.7,0.526,2.0,5.6,0.35600000000000004,2.6,4.2,0.631,1.4,2.8,4.2,8.7,12.9,3.7,1.6,0.6,24.3,2013,Georgian Super Liga
19,Stevan Milosevic,OLI,26,27.4,9.8,16.7,0.585,0.0,0.1,0.0,4.6,7.2,0.642,4.5,3.0,5.7,15.0,20.7,3.0,0.8,2.4,24.2,2013,Georgian Super Liga
20,Ivo Hoger,OLI,8,9.6,10.3,14.5,0.708,0.0,0.0,0.0,3.6,5.4,0.667,4.2,6.0,1.8,10.3,12.1,0.6,0.0,1.2,24.2,2013,Georgian Super Liga
21,Ilia Londaridze,MIA,31,16.1,8.9,18.2,0.49200000000000005,0.0,0.1,0.0,6.2,9.6,0.642,5.1,8.2,5.1,8.9,14.0,3.7,1.8,1.0,24.1,2013,Georgian Super Liga
