#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Elias Harris,BRO,1,3.3,28.3,28.3,1.0,0.0,0.0,0.0,14.1,28.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.7,2017,German Cup
2,Filip Barovic,TBB,1,10.6,13.5,22.5,0.6,0.0,0.0,0.0,13.5,18.0,0.75,0.0,18.0,0.0,4.5,4.5,0.0,4.5,0.0,40.5,2017,German Cup
3,Peyton Siva,BER,1,8.7,10.7,21.4,0.5,5.4,10.7,0.5,10.7,10.7,1.0,16.1,10.7,0.0,0.0,0.0,5.4,0.0,0.0,37.5,2017,German Cup
4,Daniel Theis,BRO,3,19.4,12.6,18.5,0.682,0.8,3.4,0.25,9.2,9.2,1.0,5.0,10.1,5.0,10.9,16.0,1.7,0.8,4.2,35.3,2017,German Cup
5,De'Mon Brooks,BAY,1,32.0,11.9,18.7,0.636,0.0,0.0,0.0,8.5,11.9,0.7140000000000001,1.7,3.4,8.5,1.7,10.2,0.0,1.7,1.7,32.2,2017,German Cup
6,Raymar Morgan,RUL,1,21.0,9.2,30.1,0.308,2.3,4.6,0.5,9.2,9.2,1.0,6.9,11.6,6.9,0.0,6.9,0.0,0.0,2.3,30.1,2017,German Cup
7,Da'Sean Butler,RUL,1,30.9,9.4,25.1,0.375,4.7,11.0,0.429,4.7,6.3,0.75,1.6,0.0,7.9,3.1,11.0,0.0,0.0,0.0,28.3,2017,German Cup
8,David Gonzalvez,BAY,1,15.4,10.5,28.1,0.375,0.0,14.1,0.0,7.0,7.0,1.0,0.0,3.5,7.0,7.0,14.1,0.0,3.5,0.0,28.1,2017,German Cup
9,Augustine Rubit,RUL,1,24.9,5.8,13.6,0.429,0.0,0.0,0.0,15.6,17.5,0.889,3.9,1.9,7.8,5.8,13.6,1.9,1.9,0.0,27.2,2017,German Cup
10,Fabien Causeur,BRO,3,26.7,10.4,21.4,0.486,3.1,8.6,0.35700000000000004,2.4,2.4,1.0,2.4,3.7,0.6,6.7,7.3,6.7,4.3,0.0,26.3,2017,German Cup
11,Anton Gavel,BAY,3,19.8,12.0,17.5,0.682,0.0,1.6,0.0,2.4,2.4,1.0,1.6,6.4,0.8,1.6,2.4,8.0,1.6,0.0,26.3,2017,German Cup
12,Janis Strelnieks,BRO,3,16.8,8.7,13.6,0.643,4.9,8.7,0.556,3.9,3.9,1.0,1.9,2.9,0.0,1.9,1.9,6.8,2.9,0.0,26.2,2017,German Cup
13,Carl English,BER,2,17.5,8.0,24.0,0.33299999999999996,5.3,13.4,0.4,4.0,4.0,1.0,2.7,2.7,1.3,6.7,8.0,5.3,0.0,0.0,25.4,2017,German Cup
14,Nick Johnson,BAY,3,22.6,6.3,22.9,0.273,1.4,7.6,0.182,11.1,13.9,0.8,2.8,3.5,0.7,6.3,7.0,7.6,4.2,0.7,25.0,2017,German Cup
15,Florian Koch,TBB,1,9.6,10.0,19.9,0.5,5.0,10.0,0.5,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,24.9,2017,German Cup
16,Bogdan Radosavljevic,BER,2,11.3,6.2,8.3,0.75,0.0,0.0,0.0,12.4,16.6,0.75,8.3,14.5,0.0,4.1,4.1,0.0,0.0,0.0,24.9,2017,German Cup
17,Engin Atsur,BER,2,18.0,7.8,15.5,0.5,3.9,7.8,0.5,5.2,5.2,1.0,5.2,5.2,1.3,3.9,5.2,7.8,0.0,0.0,24.6,2017,German Cup
18,Julian Gamble,TBB,1,29.4,9.7,19.5,0.5,0.0,0.0,0.0,4.9,8.1,0.6,1.6,3.2,3.2,4.9,8.1,4.9,0.0,1.6,24.4,2017,German Cup
19,Danilo Barthel,BAY,3,16.2,6.8,10.7,0.636,1.9,3.9,0.5,7.8,10.7,0.727,7.8,7.8,2.9,5.8,8.7,1.9,1.0,1.0,23.3,2017,German Cup
20,Devin Booker,BAY,3,17.4,7.3,15.4,0.47100000000000003,2.7,4.5,0.6,5.4,6.3,0.857,3.6,7.3,0.9,10.0,10.9,4.5,0.0,0.0,22.7,2017,German Cup
21,Assem Marei,BAY,1,21.6,7.5,10.0,0.75,0.0,0.0,0.0,7.5,15.1,0.5,2.5,2.5,5.0,5.0,10.0,2.5,0.0,0.0,22.6,2017,German Cup
22,Vladimir Veremeenko,BRO,1,12.1,9.0,17.9,0.5,0.0,0.0,0.0,4.5,9.0,0.5,0.0,13.4,13.4,0.0,13.4,0.0,9.0,0.0,22.4,2017,German Cup
23,Drew Crawford,LUD,3,24.4,7.7,16.7,0.462,0.0,3.2,0.0,6.4,7.1,0.909,1.3,3.2,2.6,9.0,11.6,2.6,0.6,0.0,21.8,2017,German Cup
24,Leon Kratzer,BRO,1,10.1,5.4,16.2,0.33299999999999996,0.0,0.0,0.0,10.8,10.8,1.0,0.0,10.8,10.8,5.4,16.2,5.4,0.0,0.0,21.6,2017,German Cup
25,Dragan Milosavljevic,BER,2,32.2,7.2,14.5,0.5,1.4,6.5,0.222,5.1,8.0,0.636,5.1,5.1,2.2,3.6,5.8,5.1,2.9,0.0,21.0,2017,German Cup
26,David McCray,LUD,3,12.0,9.1,18.3,0.5,1.3,5.2,0.25,1.3,2.6,0.5,3.9,7.8,0.0,5.2,5.2,3.9,0.0,0.0,20.9,2017,German Cup
27,Jack Cooley,LUD,3,17.4,7.2,13.6,0.5329999999999999,0.0,0.0,0.0,6.3,8.1,0.778,3.6,11.7,7.2,6.3,13.6,2.7,1.8,0.9,20.8,2017,German Cup
28,Elmedin Kikanovic,BER,2,20.7,7.9,21.4,0.368,0.0,3.4,0.0,4.5,6.8,0.667,3.4,6.8,3.4,4.5,7.9,3.4,0.0,0.0,20.3,2017,German Cup
29,Reggie Redding,BAY,3,28.0,7.3,14.6,0.5,1.7,3.9,0.429,3.9,6.7,0.583,3.4,2.8,0.6,7.9,8.4,4.5,0.0,0.6,20.2,2017,German Cup
30,Lucca Staiger,BRO,2,10.1,7.5,15.0,0.5,5.0,10.0,0.5,0.0,0.0,0.0,0.0,2.5,0.0,2.5,2.5,0.0,0.0,0.0,20.0,2017,German Cup
31,Josh Mayo,TBB,1,28.6,6.7,10.0,0.667,5.0,5.0,1.0,1.7,3.3,0.5,8.3,3.3,0.0,5.0,5.0,5.0,0.0,0.0,20.0,2017,German Cup
32,Ryan Thompson,TBB,1,29.8,6.4,11.2,0.5710000000000001,1.6,4.8,0.33299999999999996,4.8,6.4,0.75,4.8,3.2,0.0,4.8,4.8,4.8,1.6,0.0,19.2,2017,German Cup
33,Tekele Cotton,LUD,3,23.9,6.6,17.1,0.385,0.7,5.3,0.125,5.3,6.6,0.8,5.3,3.9,0.7,2.6,3.3,3.3,2.0,1.3,19.1,2017,German Cup
34,Ojars Silins,TBB,1,17.6,8.2,16.3,0.5,2.7,8.2,0.33299999999999996,0.0,0.0,0.0,0.0,10.9,2.7,0.0,2.7,0.0,0.0,0.0,19.0,2017,German Cup
35,Niels Giffey,BER,2,26.3,7.1,13.3,0.5329999999999999,3.5,6.2,0.5710000000000001,0.9,0.9,1.0,1.8,5.3,1.8,5.3,7.1,2.7,1.8,0.0,18.6,2017,German Cup
36,Maodo Lo,BRO,3,20.1,6.5,18.7,0.348,0.8,7.3,0.111,4.1,4.9,0.833,4.1,7.3,0.8,5.7,6.5,7.3,0.8,0.0,17.9,2017,German Cup
37,Cliff Hammonds,LUD,3,24.2,6.5,13.6,0.47600000000000003,1.9,7.1,0.273,2.6,3.9,0.667,5.2,1.3,0.6,2.6,3.2,5.8,1.9,0.0,17.5,2017,German Cup
38,Darius Miller,BRO,3,25.6,4.5,11.5,0.389,2.6,5.7,0.444,5.7,5.7,1.0,3.8,3.2,0.6,6.4,7.0,3.2,1.3,0.0,17.2,2017,German Cup
39,Johannes Thiemann,LUD,3,21.1,5.9,14.1,0.42100000000000004,0.0,0.7,0.0,5.2,6.7,0.778,3.7,6.7,3.7,8.9,12.6,0.7,1.5,0.7,17.1,2017,German Cup
40,Vladimir Lucic,BAY,3,21.5,5.1,10.2,0.5,0.0,2.2,0.0,6.6,8.1,0.818,2.2,7.3,2.9,4.4,7.3,1.5,2.2,0.0,16.8,2017,German Cup
41,Martin Breunig,LUD,2,14.2,8.4,11.7,0.7140000000000001,0.0,0.0,0.0,0.0,0.0,0.0,5.0,11.7,3.4,3.4,6.7,3.4,5.0,1.7,16.8,2017,German Cup
42,Andreas Seiferth,BAY,1,10.1,0.0,5.4,0.0,0.0,0.0,0.0,16.2,32.4,0.5,10.8,21.6,0.0,5.4,5.4,0.0,0.0,0.0,16.2,2017,German Cup
43,Leon Radosevic,BRO,2,16.2,4.3,5.8,0.75,0.0,0.0,0.0,7.2,11.5,0.625,4.3,7.2,4.3,1.4,5.8,1.4,0.0,0.0,15.9,2017,German Cup
44,Alex King,BAY,3,9.5,5.0,6.6,0.75,3.3,5.0,0.667,1.7,3.3,0.5,0.0,6.6,1.7,1.7,3.3,5.0,1.7,0.0,14.9,2017,German Cup
45,Nate Linhart,BAY,1,25.7,6.3,14.8,0.429,2.1,4.2,0.5,0.0,0.0,0.0,2.1,4.2,4.2,4.2,8.5,8.5,2.1,2.1,14.8,2017,German Cup
46,Chad Toppert,LUD,3,21.3,4.4,11.0,0.4,4.4,10.3,0.429,1.5,1.5,1.0,0.7,4.4,0.0,4.4,4.4,0.7,2.2,0.0,14.7,2017,German Cup
47,Bryce Taylor,BAY,3,19.4,4.9,13.0,0.375,3.2,7.3,0.444,1.6,1.6,1.0,3.2,4.1,0.0,4.1,4.1,3.2,1.6,0.0,14.6,2017,German Cup
48,Chris Babb,RUL,1,34.1,4.3,19.9,0.214,1.4,8.5,0.16699999999999998,4.3,4.3,1.0,1.4,1.4,0.0,4.3,4.3,2.8,4.3,0.0,14.2,2017,German Cup
49,Rocky Trice,LUD,2,19.9,4.7,11.9,0.4,1.2,2.4,0.5,3.6,3.6,1.0,4.7,1.2,1.2,4.7,5.9,4.7,2.4,1.2,14.2,2017,German Cup
50,Kelvin Martin,LUD,2,15.1,6.2,14.0,0.444,1.6,6.2,0.25,0.0,0.0,0.0,7.8,7.8,1.6,7.8,9.4,4.7,4.7,0.0,14.0,2017,German Cup
51,Yorman Polas,TBB,1,25.0,3.8,11.5,0.33299999999999996,0.0,0.0,0.0,5.7,7.6,0.75,3.8,3.8,1.9,9.6,11.5,0.0,1.9,0.0,13.4,2017,German Cup
52,Nicolo Melli,BRO,3,24.5,4.0,14.7,0.273,0.7,3.3,0.2,4.7,5.3,0.875,3.3,4.7,3.3,8.0,11.3,4.0,2.7,0.7,13.3,2017,German Cup
53,Ismet Akpinar,BER,2,22.9,5.1,12.2,0.41700000000000004,1.0,6.1,0.16699999999999998,2.0,2.0,1.0,2.0,8.2,3.1,2.0,5.1,4.1,2.0,0.0,13.3,2017,German Cup
54,Maxi Kleber,BAY,3,27.2,4.6,7.5,0.615,3.5,5.8,0.6,0.0,0.0,0.0,2.9,3.5,1.2,7.5,8.7,2.9,0.6,1.2,12.7,2017,German Cup
55,Mateo Seric,LUD,1,15.8,5.9,17.7,0.33299999999999996,0.0,2.9,0.0,0.0,0.0,0.0,0.0,5.9,2.9,2.9,5.9,2.9,0.0,0.0,11.8,2017,German Cup
56,Brad Loesing,LUD,3,17.6,4.4,15.1,0.294,0.9,5.3,0.16699999999999998,1.8,1.8,1.0,1.8,6.2,1.8,1.8,3.6,5.3,1.8,0.0,11.6,2017,German Cup
57,Malcolm Miller,BER,1,24.8,3.8,11.3,0.33299999999999996,0.0,3.8,0.0,3.8,5.6,0.667,0.0,5.6,0.0,5.6,5.6,0.0,0.0,0.0,11.3,2017,German Cup
58,Patrick Heckmann,BRO,3,20.4,4.0,7.2,0.556,0.8,2.4,0.33299999999999996,1.6,1.6,1.0,0.8,4.8,0.8,1.6,2.4,0.8,2.4,0.0,10.4,2017,German Cup
59,Braydon Hobbs,RUL,1,24.0,4.0,10.1,0.4,2.0,8.1,0.25,0.0,0.0,0.0,8.1,6.1,0.0,4.0,4.0,8.1,2.0,2.0,10.1,2017,German Cup
60,Tony Gaffney,BER,2,17.1,2.7,8.2,0.33299999999999996,0.0,4.1,0.0,4.1,5.5,0.75,1.4,0.0,2.7,12.3,15.0,5.5,0.0,5.5,9.5,2017,German Cup
61,Nihad Djedovic,BAY,2,12.8,1.8,11.0,0.16699999999999998,0.0,5.5,0.0,5.5,5.5,1.0,5.5,5.5,0.0,5.5,5.5,1.8,0.0,0.0,9.1,2017,German Cup
62,Maik Zirbes,BAY,2,13.1,1.8,8.9,0.2,0.0,0.0,0.0,5.4,7.2,0.75,1.8,7.2,1.8,5.4,7.2,1.8,1.8,0.0,8.9,2017,German Cup
63,Johannes Richter,TBB,1,11.3,4.2,8.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2,8.5,4.2,12.7,4.2,0.0,0.0,8.5,2017,German Cup
64,Nikos Zisis,BRO,2,20.9,1.1,5.6,0.2,1.1,2.2,0.5,4.5,6.7,0.667,2.2,2.2,0.0,5.6,5.6,7.8,0.0,0.0,7.8,2017,German Cup
65,Karsten Tadda,RUL,1,21.2,2.3,6.9,0.33299999999999996,2.3,6.9,0.33299999999999996,0.0,0.0,0.0,0.0,6.9,0.0,2.3,2.3,6.9,4.6,0.0,6.9,2017,German Cup
66,Steve Wachalski,BAY,1,16.4,3.3,16.6,0.2,0.0,9.9,0.0,0.0,0.0,0.0,0.0,9.9,0.0,9.9,9.9,0.0,0.0,0.0,6.6,2017,German Cup
67,Akeem Vargas,BER,1,21.9,2.1,2.1,1.0,2.1,2.1,1.0,0.0,0.0,0.0,0.0,6.4,2.1,4.3,6.4,10.7,0.0,0.0,6.4,2017,German Cup
68,Taylor Braun,RUL,1,32.7,3.0,7.4,0.4,0.0,3.0,0.0,0.0,0.0,0.0,1.5,4.4,1.5,4.4,5.9,1.5,4.4,0.0,5.9,2017,German Cup
69,Kyan Anderson,BAY,1,19.4,2.8,25.2,0.111,0.0,8.4,0.0,0.0,2.8,0.0,5.6,0.0,2.8,2.8,5.6,2.8,0.0,0.0,5.6,2017,German Cup
70,Trey Lewis,BAY,1,19.9,2.7,19.1,0.14300000000000002,0.0,10.9,0.0,0.0,5.5,0.0,8.2,10.9,0.0,2.7,2.7,0.0,0.0,0.0,5.5,2017,German Cup
71,Ken Horton,TBB,1,26.8,1.8,12.4,0.14300000000000002,1.8,10.7,0.16699999999999998,0.0,0.0,0.0,3.6,5.3,0.0,17.8,17.8,7.1,3.6,0.0,5.3,2017,German Cup
72,Jerel McNeal,BRO,1,19.4,0.0,13.9,0.0,0.0,5.6,0.0,0.0,5.6,0.0,5.6,2.8,2.8,8.4,11.2,5.6,2.8,0.0,0.0,2017,German Cup
73,T.J. DiLeo,TBB,1,11.4,0.0,12.6,0.0,0.0,4.2,0.0,0.0,0.0,0.0,0.0,4.2,0.0,0.0,0.0,8.4,4.2,0.0,0.0,2017,German Cup
74,Karim Jallow,BAY,1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,German Cup
75,Bastian Doreth,BAY,1,20.6,0.0,5.3,0.0,0.0,2.6,0.0,0.0,0.0,0.0,0.0,5.3,0.0,0.0,0.0,5.3,0.0,0.0,0.0,2017,German Cup
76,Per Guenther,RUL,1,7.8,0.0,6.2,0.0,0.0,6.2,0.0,0.0,0.0,0.0,12.4,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,German Cup
77,Jonas Wohlfarth-Bottermann,RUL,1,3.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,14.6,0.0,0.0,0.0,0.0,2017,German Cup
78,Robin Amaize,BAY,1,17.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,3.1,3.1,12.4,15.4,12.4,6.2,0.0,0.0,2017,German Cup
79,Georg Beyschlag,BAY,1,2.1,0.0,22.5,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,German Cup
80,Marius Adler,BAY,1,1.5,0.0,37.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,German Cup
81,Jonathan Malu,BER,1,10.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.1,0.0,0.0,9.1,0.0,0.0,0.0,0.0,0.0,4.5,0.0,2017,German Cup
82,Jannes Hundt,BER,1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2017,German Cup
1,Konstantin Schubert,FRA,1,0.8,58.1,58.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,116.2,2018,German Cup
2,Jared Cunningham,BAY,3,26.8,9.7,17.6,0.552,2.4,7.3,0.33299999999999996,13.4,15.8,0.846,2.4,6.1,3.0,1.2,4.3,0.6,2.4,1.2,35.3,2018,German Cup
3,Isaac Fotu,RUL,2,18.4,15.3,19.1,0.8,0.0,1.3,0.0,3.8,3.8,1.0,3.8,11.5,2.5,2.5,5.1,1.3,1.3,0.0,34.4,2018,German Cup
4,Daniel Hackett,BRO,1,30.1,9.7,19.5,0.5,1.6,6.5,0.25,13.0,16.2,0.8,1.6,3.2,1.6,4.9,6.5,6.5,4.9,0.0,34.1,2018,German Cup
5,Tai Webster,FRA,1,23.2,14.6,20.9,0.7,2.1,6.3,0.33299999999999996,0.0,2.1,0.0,6.3,6.3,2.1,8.4,10.4,12.5,0.0,2.1,31.3,2018,German Cup
