#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Nicolas Burgard,URS,2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,115.6,115.6,1.0,0.0,0.0,0.0,0.0,0.0,57.8,0.0,0.0,115.6,2013,German Pro A
2,Alex Jones,BVC,29,17.0,12.4,20.5,0.605,0.1,0.8,0.125,9.7,14.8,0.653,5.9,9.4,5.6,8.6,14.3,1.1,1.1,0.8,34.6,2013,German Pro A
3,Marvin Adu,RAS,3,3.4,13.8,18.4,0.75,0.0,0.0,0.0,4.6,4.6,1.0,13.8,23.0,4.6,4.6,9.2,0.0,0.0,0.0,32.2,2013,German Pro A
4,Logan Stutz,ETB,28,30.8,12.2,20.0,0.61,0.6,1.9,0.324,7.1,9.6,0.74,4.0,3.9,4.4,8.5,12.9,1.9,1.0,0.3,32.2,2013,German Pro A
5,Anthony Hitchens,GOE,30,11.0,11.2,26.1,0.42700000000000005,5.4,15.1,0.355,3.7,5.7,0.65,3.2,5.2,1.3,2.4,3.7,3.7,0.8,0.0,31.4,2013,German Pro A
6,Lennart Stechmann,GOE,3,2.5,12.2,36.7,0.33299999999999996,6.1,18.3,0.33299999999999996,0.0,12.2,0.0,0.0,0.0,6.1,0.0,6.1,0.0,0.0,0.0,30.6,2013,German Pro A
7,Devin White,MLP,29,26.0,11.3,21.4,0.525,2.3,5.8,0.387,5.7,7.7,0.74,5.6,7.1,2.9,8.6,11.5,2.4,4.1,3.6,30.4,2013,German Pro A
8,Nikita Khartchenkov,NUE,18,23.8,10.1,22.1,0.456,4.9,12.0,0.41,5.3,6.3,0.836,1.9,3.7,1.3,3.7,4.9,1.9,0.7,0.1,30.4,2013,German Pro A
9,Scott Thomas,CUX,32,31.8,11.6,23.7,0.49,3.1,9.2,0.332,3.5,4.6,0.755,1.9,3.8,3.4,6.3,9.7,2.3,1.7,0.7,29.8,2013,German Pro A
10,Jermaine Dixon,MLP,4,23.1,8.3,23.9,0.34700000000000003,1.9,6.3,0.308,9.7,11.2,0.87,4.9,5.4,0.5,2.4,2.9,5.8,1.9,0.0,28.2,2013,German Pro A
11,Zamal Nixon,NUE,25,29.5,8.8,18.9,0.465,2.7,7.7,0.353,7.5,9.0,0.825,3.3,4.3,0.7,3.6,4.2,5.7,1.8,0.2,27.7,2013,German Pro A
12,Tyrone Brazelton,NUE,9,31.5,9.3,19.5,0.475,3.7,9.9,0.377,5.4,7.2,0.75,5.4,2.9,0.3,5.9,6.2,7.2,2.1,0.2,27.7,2013,German Pro A
13,Eike Kerfs,FIN,2,1.9,13.7,13.7,1.0,0.0,0.0,0.0,0.0,27.3,0.0,0.0,0.0,0.0,13.7,13.7,0.0,0.0,13.7,27.3,2013,German Pro A
14,Jacob Doerksen,RAS,34,23.6,10.9,18.6,0.584,1.0,3.4,0.31,4.3,6.9,0.627,2.0,4.2,3.8,5.2,9.0,1.6,2.3,1.0,27.2,2013,German Pro A
15,Chase Griffin,BIG,25,32.1,9.2,17.6,0.524,4.0,7.3,0.545,4.7,5.6,0.84,2.3,3.7,0.4,3.8,4.2,4.1,1.4,0.2,27.1,2013,German Pro A
16,Sanijay Watts,SCJ,36,16.3,11.1,19.5,0.569,0.0,0.0,0.0,4.5,5.9,0.76,2.6,6.1,3.5,6.3,9.7,1.1,1.5,0.5,26.6,2013,German Pro A
17,Adam Waleskowski,DUE,24,25.1,10.7,20.6,0.522,2.2,5.9,0.375,2.7,4.0,0.688,4.2,7.6,3.7,8.5,12.2,2.1,1.9,1.2,26.4,2013,German Pro A
18,Evan Harris,CUX,33,23.2,8.4,12.9,0.6459999999999999,0.1,0.1,1.0,9.5,12.5,0.764,4.6,7.2,3.6,8.7,12.3,1.8,1.9,1.9,26.3,2013,German Pro A
19,Adam Sollazzo,UNI,14,33.8,7.8,18.0,0.43200000000000005,1.6,4.6,0.34,9.1,11.4,0.7929999999999999,5.3,4.1,1.7,7.7,9.4,6.2,1.2,0.6,26.2,2013,German Pro A
20,Jereal Scott,RAS,8,15.6,9.9,16.8,0.591,0.0,0.8,0.0,5.7,8.0,0.7140000000000001,3.0,4.6,5.0,2.3,7.2,2.3,1.9,1.1,25.5,2013,German Pro A
21,Andre Calvin,URS,33,31.2,9.3,19.2,0.485,3.2,7.7,0.40700000000000003,3.7,5.0,0.75,2.8,3.6,2.9,9.0,11.9,2.6,1.6,1.0,25.5,2013,German Pro A
22,Jonathan Moore,CRA,28,26.4,8.6,20.2,0.426,3.0,9.7,0.313,5.1,6.2,0.823,4.1,4.2,2.0,10.3,12.3,2.9,2.1,1.0,25.4,2013,German Pro A
23,Corey Hassan,RAS,40,23.6,8.5,20.1,0.42200000000000004,4.9,13.3,0.369,3.5,4.7,0.747,1.9,3.7,2.1,4.7,6.8,2.7,1.7,0.1,25.3,2013,German Pro A
24,Stevie Johnson,CRA,17,28.2,11.1,16.0,0.6940000000000001,0.0,0.4,0.0,3.1,4.6,0.674,2.8,2.3,5.8,7.4,13.2,2.9,2.1,1.5,25.3,2013,German Pro A
25,Nikita Khartchenkov,UNI,13,28.8,8.9,22.4,0.397,3.7,10.2,0.366,3.7,4.7,0.789,2.4,3.5,2.2,4.2,6.5,3.0,0.7,0.0,25.2,2013,German Pro A
26,Dustin Mitchell,BIG,4,12.2,10.6,21.1,0.5,1.9,7.7,0.25,1.9,2.9,0.667,1.9,4.8,1.0,5.8,6.7,3.8,1.0,3.8,25.0,2013,German Pro A
27,Jason Jamerson,FIN,20,27.2,8.9,19.6,0.452,4.1,10.6,0.387,2.9,3.9,0.75,3.2,4.3,0.8,4.7,5.5,4.8,1.3,0.3,24.8,2013,German Pro A
28,Ramon Harris,GOE,29,22.0,8.4,20.4,0.41100000000000003,4.4,12.3,0.361,3.6,5.7,0.623,2.1,5.2,2.7,9.6,12.3,2.4,2.6,1.2,24.7,2013,German Pro A
29,Dirk Madrich,RAS,36,24.0,9.0,17.9,0.502,1.9,5.0,0.38,4.6,6.2,0.748,3.6,5.9,4.6,7.9,12.5,2.2,1.6,1.8,24.5,2013,German Pro A
30,Justin Stommes,VFL,13,28.4,8.4,16.2,0.519,3.8,8.5,0.441,3.9,5.0,0.775,2.5,4.3,1.4,4.4,5.8,3.0,1.6,0.4,24.5,2013,German Pro A
31,Marius Rutkauskas,DUE,14,1.6,8.9,22.3,0.4,2.2,11.1,0.2,4.5,4.5,1.0,4.5,4.5,2.2,8.9,11.1,2.2,0.0,0.0,24.5,2013,German Pro A
32,Kelvin Okundaye,MLP,4,1.9,6.1,18.3,0.33299999999999996,6.1,12.2,0.5,6.1,12.2,0.5,0.0,12.2,0.0,0.0,0.0,6.1,0.0,0.0,24.4,2013,German Pro A
33,Kenny Barker,SCJ,37,29.1,7.9,17.4,0.45399999999999996,2.0,5.8,0.34299999999999997,6.5,7.9,0.8220000000000001,4.0,5.5,1.5,6.1,7.6,6.7,1.7,0.2,24.3,2013,German Pro A
34,Trayvon Lathan,BIG,12,16.5,10.3,19.0,0.544,0.2,1.7,0.14300000000000002,3.4,5.8,0.583,5.3,4.8,2.9,6.0,8.9,4.6,1.2,1.9,24.3,2013,German Pro A
35,Cooper Land,VFL,15,20.0,8.6,19.7,0.435,3.7,8.9,0.41100000000000003,3.3,5.1,0.6559999999999999,3.3,6.3,2.5,4.3,6.8,1.0,1.4,0.2,24.1,2013,German Pro A
36,Chris Alexander,VFL,30,29.1,8.4,17.8,0.473,0.8,3.5,0.23399999999999999,6.3,7.6,0.83,3.8,4.2,1.8,3.3,5.2,4.9,2.9,0.1,24.0,2013,German Pro A
37,Dewayne Richardson,KAR,24,21.6,9.5,16.8,0.565,0.3,1.3,0.214,4.6,6.3,0.727,3.2,5.7,3.9,10.6,14.5,1.8,1.0,0.3,23.9,2013,German Pro A
38,Jake Anderson,URS,15,26.2,8.2,19.6,0.41700000000000004,2.3,7.8,0.29,5.0,6.2,0.816,5.2,3.9,1.0,5.4,6.4,3.8,1.5,0.1,23.7,2013,German Pro A
39,Marquise Carter,BIG,2,13.2,5.4,8.9,0.6,0.0,0.0,0.0,12.5,14.3,0.875,1.8,5.4,3.6,0.0,3.6,3.6,0.0,0.0,23.2,2013,German Pro A
40,Chris Gadley,DUE,18,22.5,8.6,16.1,0.531,0.0,0.0,0.0,6.1,11.2,0.544,5.7,6.0,6.2,9.8,16.0,2.6,1.6,2.0,23.2,2013,German Pro A
41,Patrick Flomo,DUE,40,20.9,8.6,14.0,0.612,0.0,0.0,0.0,6.0,9.4,0.635,3.6,4.0,4.7,6.6,11.3,1.8,0.9,2.6,23.1,2013,German Pro A
42,Kendall Chones,DUE,39,18.5,9.3,14.5,0.64,0.0,0.1,0.0,4.4,7.1,0.621,4.9,5.8,4.8,6.1,10.9,1.9,1.2,0.5,23.0,2013,German Pro A
43,Rouven Roessler,KAR,39,34.0,7.1,17.7,0.4,4.0,11.1,0.359,4.9,6.3,0.774,3.3,3.7,1.2,5.3,6.5,3.2,1.3,0.1,23.0,2013,German Pro A
44,Michael Stockton,KAR,39,30.5,8.2,15.7,0.525,1.8,4.7,0.384,4.4,6.0,0.7290000000000001,3.0,4.1,1.7,4.7,6.4,5.6,2.6,0.1,22.6,2013,German Pro A
45,Richie Williams,RAS,38,32.1,7.0,16.8,0.418,2.1,6.1,0.35200000000000004,6.4,8.0,0.799,4.2,3.5,1.8,5.8,7.6,9.8,3.6,0.0,22.6,2013,German Pro A
46,Sebastian Greene,DUE,6,27.5,7.4,14.7,0.5,1.2,4.1,0.28600000000000003,6.5,8.8,0.733,5.6,5.9,0.6,10.3,10.9,2.9,1.5,0.0,22.4,2013,German Pro A
47,Taylor Rohde,URS,18,24.2,8.6,14.7,0.588,0.0,0.0,0.0,5.0,8.6,0.584,4.1,5.6,4.0,5.9,10.0,1.3,1.0,0.4,22.3,2013,German Pro A
48,Haakim Johnson,CRA,9,22.2,8.8,18.1,0.48700000000000004,0.7,2.6,0.273,3.8,5.7,0.667,5.2,6.4,5.5,6.0,11.4,2.1,3.3,0.2,22.2,2013,German Pro A
49,Jan Lipke,BIG,18,25.9,7.0,17.0,0.41600000000000004,1.4,5.9,0.24100000000000002,6.6,8.5,0.7829999999999999,4.8,5.3,0.5,3.5,4.0,3.4,1.4,0.1,22.2,2013,German Pro A
50,Josten Crow,CRA,30,23.9,7.6,15.4,0.494,2.3,5.7,0.4,4.5,6.2,0.7390000000000001,2.4,5.9,1.5,3.8,5.3,1.8,2.3,0.1,22.1,2013,German Pro A
51,Ronald Thompson,NUE,35,22.3,9.1,15.2,0.599,0.0,0.1,0.0,3.7,6.6,0.57,6.8,7.5,5.3,9.0,14.3,2.6,2.2,2.3,21.9,2013,German Pro A
52,Jason Adams,FIN,26,29.9,8.1,17.7,0.45799999999999996,1.8,6.1,0.29,3.7,5.3,0.69,3.7,2.8,1.8,4.2,6.0,2.3,2.2,0.9,21.7,2013,German Pro A
53,Radivoj Tomasevic,VFL,30,23.5,6.8,17.5,0.389,3.5,9.5,0.364,4.6,5.9,0.784,2.5,5.0,1.1,2.8,3.9,3.7,1.5,0.0,21.7,2013,German Pro A
54,Terren Harbut,ETB,30,18.0,6.4,16.5,0.387,3.3,9.2,0.35600000000000004,5.6,6.7,0.838,3.4,8.0,2.2,7.2,9.4,2.7,1.7,0.4,21.6,2013,German Pro A
55,Benjamin David Lischka,CRA,26,18.1,8.9,14.6,0.611,0.3,0.7,0.429,3.4,6.4,0.54,5.6,8.0,2.5,6.0,8.5,1.5,1.1,1.3,21.6,2013,German Pro A
56,Sajmen Hauer,KAR,39,19.8,8.3,16.9,0.491,2.4,6.5,0.363,2.6,3.4,0.755,3.8,4.9,1.0,4.8,5.8,4.7,1.9,0.0,21.6,2013,German Pro A
