#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Thanasis Antetokounmpo,PAN,1,3.9,24.8,24.8,1.0,12.4,12.4,1.0,0.0,0.0,0.0,12.4,12.4,0.0,0.0,0.0,0.0,0.0,12.4,62.1,2019,Greek Cup
2,Keith Langford,PAN,1,19.9,16.9,24.1,0.7,7.2,14.5,0.5,0.0,0.0,0.0,4.8,2.4,0.0,12.1,12.1,9.6,2.4,0.0,41.0,2019,Greek Cup
3,William Hatcher,PAOK,1,31.8,10.6,22.6,0.467,6.0,9.1,0.667,7.5,9.1,0.833,4.5,1.5,0.0,4.5,4.5,9.1,1.5,0.0,34.7,2019,Greek Cup
4,Nick Calathes,PAN,1,34.0,8.5,19.7,0.429,2.8,7.0,0.4,7.0,8.5,0.833,7.0,2.8,1.4,5.6,7.0,12.7,2.8,1.4,26.8,2019,Greek Cup
5,Phil Goss,PAOK,1,28.0,6.9,25.7,0.267,6.9,17.1,0.4,5.1,6.9,0.75,1.7,3.4,0.0,6.9,6.9,3.4,0.0,0.0,25.7,2019,Greek Cup
6,James Gist,PAN,1,27.3,10.6,15.8,0.667,0.0,1.8,0.0,3.5,5.3,0.667,0.0,7.0,0.0,14.1,14.1,1.8,0.0,0.0,24.6,2019,Greek Cup
7,Darrius Garrett,PAOK,1,23.7,8.1,14.2,0.5710000000000001,0.0,0.0,0.0,4.1,8.1,0.5,4.1,6.1,12.2,18.3,30.4,0.0,0.0,2.0,20.3,2019,Greek Cup
8,Evaggelis Margaritis,PAOK,1,31.5,9.1,19.8,0.462,0.0,0.0,0.0,1.5,1.5,1.0,0.0,6.1,1.5,3.0,4.6,1.5,1.5,3.0,19.8,2019,Greek Cup
9,Deshaun Thomas,PAN,1,34.0,5.6,9.9,0.5710000000000001,2.8,4.2,0.667,2.8,2.8,1.0,1.4,1.4,2.8,11.3,14.1,1.4,0.0,1.4,16.9,2019,Greek Cup
10,Jamal Jones,PAOK,1,25.8,5.6,13.0,0.429,5.6,11.1,0.5,0.0,3.7,0.0,0.0,3.7,0.0,1.9,1.9,1.9,1.9,0.0,16.7,2019,Greek Cup
11,Kostas Mitoglou,PAN,1,6.2,7.7,15.4,0.5,0.0,7.7,0.0,0.0,0.0,0.0,0.0,7.7,0.0,0.0,0.0,0.0,0.0,0.0,15.4,2019,Greek Cup
12,Thodoris Zaras,PAOK,1,10.6,4.6,18.2,0.25,4.6,13.7,0.33299999999999996,0.0,0.0,0.0,4.6,4.6,0.0,4.6,4.6,9.1,4.6,0.0,13.7,2019,Greek Cup
13,Ioannis Papapetrou,PAN,1,36.1,2.7,9.3,0.28600000000000003,1.3,5.3,0.25,6.6,8.0,0.833,1.3,2.7,2.7,5.3,8.0,2.7,2.7,1.3,13.3,2019,Greek Cup
14,Johndre Jefferson,PAOK,1,4.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.3,10.3,0.0,0.0,0.0,10.3,0.0,0.0,0.0,2019,Greek Cup
15,Linos Chrysikopoulos,PAOK,1,9.1,0.0,5.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.6,0.0,0.0,0.0,0.0,5.3,0.0,0.0,2019,Greek Cup
16,Lukas Lekavicius,PAN,1,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.1,0.0,0.0,0.0,8.1,0.0,0.0,0.0,2019,Greek Cup
17,Milenko Tepic,PAOK,1,26.1,0.0,3.7,0.0,0.0,3.7,0.0,0.0,0.0,0.0,0.0,7.4,1.8,7.4,9.2,1.8,0.0,0.0,0.0,2019,Greek Cup
18,Antonios Koniaris,PAOK,1,8.8,0.0,10.9,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,0.0,0.0,0.0,5.5,0.0,5.5,0.0,2019,Greek Cup
19,Adreian Payne,PAN,1,6.7,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,7.2,0.0,0.0,0.0,21.6,0.0,0.0,0.0,2019,Greek Cup
20,Sean Kilpatrick,PAN,1,20.1,0.0,9.6,0.0,0.0,9.6,0.0,0.0,0.0,0.0,4.8,9.6,0.0,4.8,4.8,0.0,2.4,0.0,0.0,2019,Greek Cup
21,Ian Vougioukas,PAN,1,5.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3,8.3,0.0,0.0,0.0,0.0,2019,Greek Cup
