#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Zoltan Czinger,ATO,3,1.7,18.4,18.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.2,9.2,0.0,0.0,0.0,36.9,2012,Hungarian NBIA
2,Adam Varga,FAC,2,3.0,15.2,30.5,0.5,0.0,7.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.9,22.9,0.0,0.0,0.0,30.5,2012,Hungarian NBIA
3,Justin Ingram,FAC,26,37.6,10.3,25.0,0.41100000000000003,2.5,9.4,0.268,7.3,8.2,0.89,3.5,3.1,0.8,3.8,4.6,7.0,3.0,0.2,30.4,2012,Hungarian NBIA
4,Marko Derasimovic,KSE,15,30.9,9.7,17.0,0.5710000000000001,1.4,3.7,0.382,9.5,12.3,0.77,3.2,3.6,2.8,5.7,8.5,2.3,2.6,0.1,30.2,2012,Hungarian NBIA
5,Andrija Ciric,PVSK,26,34.3,10.3,21.4,0.479,4.2,9.7,0.429,5.4,6.7,0.8029999999999999,3.4,3.5,1.6,5.3,6.8,2.5,2.4,0.2,30.0,2012,Hungarian NBIA
6,Chad Timberlake,FAL,36,34.2,11.7,18.6,0.627,1.0,2.8,0.361,5.4,7.6,0.708,3.3,2.9,2.1,4.9,7.0,4.4,2.1,0.7,29.7,2012,Hungarian NBIA
7,Gergely Gruda,KSE,4,3.2,14.5,18.1,0.8,0.0,0.0,0.0,0.0,7.2,0.0,7.2,14.5,0.0,0.0,0.0,0.0,0.0,0.0,28.9,2012,Hungarian NBIA
8,Lee Nailon,ATO,2,17.0,12.1,18.1,0.667,0.0,0.0,0.0,4.5,6.0,0.75,4.5,10.6,3.0,10.6,13.6,4.5,0.0,0.0,28.7,2012,Hungarian NBIA
9,Rashad Bell,EGIS,34,31.7,10.0,21.1,0.474,1.6,6.4,0.25,7.0,9.4,0.741,2.4,2.9,3.4,8.3,11.7,3.5,2.7,1.2,28.6,2012,Hungarian NBIA
10,Nik Raivio,KAP,23,35.7,9.8,21.8,0.449,1.7,5.7,0.303,6.9,9.1,0.7559999999999999,3.4,2.9,2.3,9.3,11.6,4.5,3.1,0.3,28.2,2012,Hungarian NBIA
11,Zsolt Lakosa,SZO,3,2.3,7.0,28.0,0.25,0.0,7.0,0.0,14.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,2012,Hungarian NBIA
12,Damian Hollis,ALB,31,27.0,10.8,18.8,0.5770000000000001,2.1,5.5,0.375,3.9,4.7,0.84,4.6,4.9,2.1,7.8,9.9,2.1,3.1,0.9,27.7,2012,Hungarian NBIA
13,Marton Bader,SZO,30,24.1,9.5,14.8,0.644,0.0,0.2,0.0,8.4,10.3,0.8190000000000001,2.6,4.1,6.4,10.5,16.9,1.9,2.0,1.3,27.4,2012,Hungarian NBIA
14,Jara Doyne,PVSK,23,34.2,9.9,21.1,0.47200000000000003,2.2,5.7,0.381,5.3,7.6,0.698,3.8,3.5,1.4,6.7,8.1,3.4,2.8,0.4,27.4,2012,Hungarian NBIA
15,Donald Cole,ATO,8,27.4,9.7,22.5,0.431,3.1,8.4,0.368,4.8,6.8,0.71,3.3,3.7,3.5,6.4,9.9,2.0,2.6,1.8,27.3,2012,Hungarian NBIA
16,Jonathan Jones,JAS,9,34.8,10.7,20.5,0.522,0.0,1.0,0.0,5.6,8.9,0.633,4.4,3.7,7.1,9.6,16.7,1.5,1.9,1.9,27.0,2012,Hungarian NBIA
17,Kyle Austin,JAS,15,35.4,9.6,20.5,0.47100000000000003,1.8,5.7,0.318,5.8,7.9,0.728,2.4,2.4,3.7,6.7,10.4,2.6,3.3,0.3,26.9,2012,Hungarian NBIA
18,Mike Schachtner,FAC,14,35.4,10.1,18.8,0.5379999999999999,1.5,4.0,0.381,4.9,5.7,0.867,2.9,4.4,3.5,4.6,8.1,1.5,1.5,0.0,26.7,2012,Hungarian NBIA
19,Esian Henderson,ZTE,7,32.0,9.0,21.1,0.426,3.3,8.1,0.41,5.0,6.9,0.727,3.8,4.2,2.5,8.6,11.1,1.0,2.5,1.3,26.3,2012,Hungarian NBIA
20,Tomislav Ivosev,NAT,25,35.6,8.9,17.4,0.513,1.9,5.7,0.336,6.5,8.9,0.733,4.1,4.4,3.2,7.9,11.1,2.9,2.8,1.2,26.3,2012,Hungarian NBIA
21,Muhammad El-Amin,ALB,32,32.3,9.3,20.1,0.462,2.6,8.0,0.327,4.3,5.9,0.738,3.8,3.1,0.6,5.0,5.6,5.0,2.0,0.2,25.6,2012,Hungarian NBIA
22,Ivan Miskovic,MAR,24,31.5,10.6,18.0,0.589,0.0,0.3,0.0,4.3,7.6,0.5670000000000001,2.9,4.2,6.0,8.6,14.6,1.5,2.6,1.2,25.5,2012,Hungarian NBIA
23,Obie Trotter,SZO,36,30.5,8.8,17.6,0.501,3.3,7.2,0.461,4.4,5.3,0.843,3.4,3.6,1.1,5.5,6.6,9.0,3.7,0.5,25.4,2012,Hungarian NBIA
24,Janou Rubin,KIS,30,32.8,9.2,20.7,0.446,2.1,6.8,0.316,4.8,6.1,0.775,3.4,3.5,2.3,6.1,8.4,3.5,2.4,0.2,25.3,2012,Hungarian NBIA
25,Darian Townes,EGIS,34,29.6,10.1,17.4,0.579,0.2,0.3,0.667,4.7,7.2,0.6509999999999999,3.2,4.3,6.5,8.0,14.5,2.2,2.0,3.2,25.0,2012,Hungarian NBIA
26,Mujo Tuljkovic,SZO,3,17.0,9.5,18.0,0.524,2.6,8.6,0.3,3.4,3.4,1.0,2.6,0.9,2.6,8.6,11.2,2.6,1.7,0.0,24.9,2012,Hungarian NBIA
27,Brandon Fields,MAR,8,35.0,9.6,21.8,0.43799999999999994,1.0,5.7,0.17600000000000002,4.7,7.6,0.622,3.4,2.5,1.7,2.9,4.5,4.0,2.0,0.7,24.8,2012,Hungarian NBIA
28,Benson Egemonye,KIS,30,28.1,9.2,14.4,0.64,0.0,0.1,0.0,6.4,9.7,0.652,3.7,5.6,6.2,8.1,14.4,0.8,2.2,1.6,24.8,2012,Hungarian NBIA
29,Michael Fey,KAP,15,34.7,10.5,20.8,0.502,0.2,0.3,0.667,3.6,4.5,0.7959999999999999,3.5,4.0,4.8,7.8,12.6,1.5,1.7,1.1,24.7,2012,Hungarian NBIA
30,Jonathan Levy,NAT,22,36.0,10.3,19.6,0.524,0.3,1.8,0.156,3.5,5.1,0.674,2.6,3.5,1.7,5.7,7.5,4.6,1.7,1.2,24.3,2012,Hungarian NBIA
31,Rastko Dramicanin,JAS,13,35.6,9.8,18.6,0.529,2.1,6.0,0.35,2.5,3.6,0.6940000000000001,3.5,3.6,2.2,6.0,8.1,1.5,2.2,0.2,24.2,2012,Hungarian NBIA
32,Bryquis Perine,ZTE,18,30.6,8.3,19.1,0.435,2.4,6.7,0.35600000000000004,4.8,6.9,0.6970000000000001,2.6,4.9,1.2,3.0,4.2,5.0,3.6,0.1,23.8,2012,Hungarian NBIA
33,Nick Williams,ATO,21,30.4,8.2,16.9,0.48700000000000004,2.7,6.8,0.396,4.5,5.8,0.779,2.9,3.8,0.7,4.3,5.0,4.0,2.2,0.1,23.7,2012,Hungarian NBIA
34,Dontay Thomas,KIS,30,34.2,7.0,17.0,0.41,2.8,8.6,0.324,7.1,7.9,0.889,3.6,4.3,1.2,3.7,4.9,6.7,1.9,0.0,23.7,2012,Hungarian NBIA
35,Josh Wilson,KAP,14,36.1,9.2,19.7,0.467,2.1,6.4,0.324,3.1,4.1,0.75,5.0,2.8,0.8,2.4,3.3,7.7,2.6,0.4,23.5,2012,Hungarian NBIA
36,Chris Grimm,ZTE,2,29.0,9.2,15.0,0.611,0.0,0.0,0.0,5.0,7.5,0.667,2.5,5.9,3.3,2.5,5.9,0.8,1.7,0.0,23.4,2012,Hungarian NBIA
37,Tim Frost,ATO,10,22.6,10.8,19.4,0.5539999999999999,0.0,0.0,0.0,1.7,3.0,0.5710000000000001,2.5,4.9,5.1,6.7,11.8,2.5,1.5,0.6,23.2,2012,Hungarian NBIA
38,Milan Csorvasi,KSE,25,19.1,9.1,14.6,0.624,0.0,0.0,0.0,4.9,6.8,0.7120000000000001,3.7,8.1,6.7,6.5,13.2,1.3,3.2,0.8,23.0,2012,Hungarian NBIA
39,Chris Hines,ZTE,10,24.8,9.6,20.4,0.47,0.8,3.7,0.222,2.9,4.1,0.7,4.3,7.3,5.5,10.4,15.9,3.5,2.7,1.8,22.8,2012,Hungarian NBIA
40,David Puszta,KSE,3,2.0,7.6,22.7,0.33299999999999996,7.6,15.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.7,2012,Hungarian NBIA
41,Hristo Nikolov,SZO,36,26.9,8.9,18.3,0.488,1.7,5.8,0.28800000000000003,3.2,4.6,0.688,2.9,4.6,3.2,5.5,8.7,3.5,2.4,0.7,22.7,2012,Hungarian NBIA
42,Ivan Vukadinov,KSE,22,24.9,8.3,19.6,0.423,1.8,6.4,0.278,3.9,5.5,0.71,2.9,3.4,1.3,5.9,7.2,3.1,2.9,0.4,22.3,2012,Hungarian NBIA
43,Kejuan Johnson,JAS,3,32.7,6.8,16.8,0.405,1.8,6.8,0.267,6.8,7.3,0.938,6.4,4.1,1.4,5.0,6.4,5.5,2.7,0.0,22.3,2012,Hungarian NBIA
