#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Shammell Stallworth,PIN,2,37.5,12.1,21.0,0.5760000000000001,3.8,8.9,0.429,5.7,7.0,0.818,3.8,1.9,0.0,3.2,3.2,3.8,0.0,0.0,33.8,2014,Intercontinental Cup
2,Joe Smith,PIN,2,23.5,9.2,18.3,0.5,2.0,8.1,0.25,11.2,12.2,0.917,3.1,6.1,0.0,1.0,1.0,7.1,7.1,0.0,31.6,2014,Intercontinental Cup
3,Cedric Simmons,OLY,2,8.0,14.9,17.9,0.833,0.0,0.0,0.0,0.0,3.0,0.0,0.0,9.0,3.0,0.0,3.0,0.0,0.0,0.0,29.9,2014,Intercontinental Cup
4,Brent Petway,OLY,2,13.5,10.6,17.7,0.6,1.8,5.3,0.33299999999999996,5.3,7.1,0.75,3.5,5.3,3.5,14.2,17.7,1.8,1.8,1.8,28.3,2014,Intercontinental Cup
5,Georgios Printezis,OLY,2,20.0,9.6,14.4,0.667,2.4,2.4,1.0,4.8,7.2,0.667,3.6,1.2,0.0,8.4,8.4,1.2,1.2,0.0,26.3,2014,Intercontinental Cup
6,Bryant Dunston,OLY,2,19.0,10.1,11.3,0.889,0.0,0.0,0.0,3.8,5.0,0.75,5.0,3.8,12.6,21.4,34.0,1.3,0.0,2.5,23.9,2014,Intercontinental Cup
7,Mirza Begic,OLY,2,12.5,9.6,15.3,0.625,0.0,0.0,0.0,3.8,3.8,1.0,1.9,5.7,0.0,3.8,3.8,1.9,0.0,1.9,23.0,2014,Intercontinental Cup
8,Vassilis Spanoulis,OLY,2,25.5,7.5,17.8,0.42100000000000004,3.8,11.3,0.33299999999999996,3.8,4.7,0.8,5.6,1.9,0.0,1.9,1.9,15.0,2.8,0.0,22.5,2014,Intercontinental Cup
9,Stratos Perperoglou,OLY,2,21.5,10.0,11.1,0.9,1.1,1.1,1.0,0.0,0.0,0.0,5.6,2.2,2.2,2.2,4.5,4.5,0.0,0.0,21.1,2014,Intercontinental Cup
10,Dimitrios Agravanis,OLY,1,12.0,8.2,12.2,0.667,4.1,8.2,0.5,0.0,0.0,0.0,8.2,12.2,0.0,0.0,0.0,0.0,0.0,0.0,20.4,2014,Intercontinental Cup
11,Guillermo Araujo,PIN,1,32.0,5.8,19.0,0.308,5.8,19.0,0.308,0.0,0.0,0.0,2.9,5.8,2.9,4.4,7.3,1.5,5.8,0.0,17.5,2014,Intercontinental Cup
12,Paulinho Boracini,PIN,2,27.5,7.0,22.6,0.308,0.0,7.0,0.0,2.6,3.5,0.75,3.5,5.2,1.7,3.5,5.2,0.9,0.0,0.0,16.5,2014,Intercontinental Cup
13,Evangelos Mantzaris,OLY,2,27.5,3.5,7.0,0.5,3.5,6.1,0.5710000000000001,5.2,5.2,1.0,2.6,4.3,0.0,7.8,7.8,5.2,0.0,0.0,15.7,2014,Intercontinental Cup
14,Matt Lojeski,OLY,2,23.0,5.2,10.4,0.5,1.0,4.2,0.25,3.1,4.2,0.75,3.1,4.2,1.0,3.1,4.2,4.2,1.0,0.0,14.6,2014,Intercontinental Cup
15,Dimitrios Katsivelis,OLY,2,9.0,0.0,5.3,0.0,0.0,5.3,0.0,10.6,15.9,0.667,8.0,5.3,2.7,10.6,13.3,5.3,2.7,0.0,10.6,2014,Intercontinental Cup
16,Jonathan Tavernari,PIN,1,29.0,1.7,13.5,0.125,1.7,8.4,0.2,3.4,3.4,1.0,1.7,3.4,1.7,5.1,6.7,0.0,0.0,0.0,8.4,2014,Intercontinental Cup
17,Rafael Mineiro,PIN,2,32.5,2.9,12.5,0.235,0.7,2.9,0.25,0.7,2.2,0.33299999999999996,5.2,5.9,5.2,4.4,9.6,1.5,3.7,1.5,7.4,2014,Intercontinental Cup
18,Steve Toyloy,PIN,2,20.0,3.6,9.6,0.375,0.0,0.0,0.0,0.0,0.0,0.0,3.6,2.4,4.8,8.4,13.2,1.2,0.0,1.2,7.2,2014,Intercontinental Cup
19,Kostas Sloukas,OLY,2,14.5,0.0,6.6,0.0,0.0,1.6,0.0,6.6,6.6,1.0,6.6,14.8,0.0,9.9,9.9,8.2,0.0,0.0,6.6,2014,Intercontinental Cup
20,Andre Bambu,PIN,2,11.0,2.2,13.0,0.16699999999999998,2.2,4.3,0.5,0.0,0.0,0.0,0.0,13.0,2.2,2.2,4.3,0.0,2.2,0.0,6.5,2014,Intercontinental Cup
21,Leonardo Morro,PIN,2,15.0,0.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,11.2,0.0,3.2,3.2,1.6,0.0,1.6,0.0,2014,Intercontinental Cup
22,Bruno Caboclo,PIN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,Intercontinental Cup
23,Bruno Mortari,PIN,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,Intercontinental Cup
24,Lucas Dias,PIN,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2014,Intercontinental Cup
1,Jeremy Pargo,MAC,2,32.5,12.5,22.0,0.5670000000000001,5.9,11.8,0.5,3.7,5.9,0.625,3.7,2.2,1.5,6.6,8.1,6.6,1.5,0.7,36.0,2015,Intercontinental Cup
2,Olivinha Rodriguez,FLA,2,21.0,9.2,20.7,0.444,0.0,3.5,0.0,6.9,8.1,0.857,2.3,3.5,9.2,4.6,13.8,3.5,1.2,0.0,25.3,2015,Intercontinental Cup
3,Jerome Meyinsse,FLA,2,23.0,9.5,15.8,0.6,0.0,0.0,0.0,6.3,9.5,0.667,2.1,3.2,6.3,5.3,11.6,1.1,1.1,4.2,25.2,2015,Intercontinental Cup
4,Cristiano Felicio,FLA,1,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.3,48.5,0.5,0.0,48.5,24.3,0.0,24.3,0.0,0.0,0.0,24.3,2015,Intercontinental Cup
5,Nicolas Laprovittola,FLA,2,29.0,7.5,19.2,0.391,2.5,11.7,0.214,6.7,7.5,0.889,4.2,6.7,0.0,0.0,0.0,5.8,1.7,0.0,24.2,2015,Intercontinental Cup
6,Keith Haynes,MAC,2,21.0,9.1,18.2,0.5,2.3,9.1,0.25,2.3,3.4,0.667,1.1,2.3,1.1,3.4,4.5,8.0,1.1,0.0,22.7,2015,Intercontinental Cup
7,Derrick Caracter,FLA,2,16.0,9.1,12.1,0.75,0.0,0.0,0.0,3.0,3.0,1.0,3.0,6.0,7.6,12.1,19.6,3.0,0.0,0.0,21.2,2015,Intercontinental Cup
8,Guy Pnini,MAC,2,25.0,5.7,11.5,0.5,3.8,9.6,0.4,4.8,5.7,0.833,1.9,8.6,1.0,3.8,4.8,2.9,1.0,0.0,20.1,2015,Intercontinental Cup
9,Vitor Benite,FLA,2,20.5,7.1,20.0,0.353,1.2,10.6,0.111,4.7,4.7,1.0,1.2,7.1,1.2,7.1,8.3,1.2,1.2,0.0,20.0,2015,Intercontinental Cup
10,Sylven Landesberg,MAC,2,24.5,6.8,19.5,0.35,1.0,6.8,0.14300000000000002,1.9,1.9,1.0,2.9,3.9,1.0,8.8,9.7,1.9,1.0,0.0,16.6,2015,Intercontinental Cup
11,Jake Cohen,MAC,2,1.5,0.0,0.0,0.0,0.0,0.0,0.0,15.9,31.8,0.5,0.0,15.9,15.9,0.0,15.9,0.0,0.0,0.0,15.9,2015,Intercontinental Cup
12,Marquinhos Vinicius,FLA,2,31.0,5.5,14.8,0.368,2.3,7.0,0.33299999999999996,2.3,2.3,1.0,2.3,2.3,0.0,6.2,6.2,1.6,1.6,0.0,15.6,2015,Intercontinental Cup
13,Alex Tyus,MAC,2,20.5,7.0,10.5,0.667,0.0,0.0,0.0,0.0,2.3,0.0,2.3,5.8,2.3,4.7,7.0,0.0,0.0,1.2,14.0,2015,Intercontinental Cup
14,Walter Herrmann,FLA,2,30.0,5.6,10.5,0.5379999999999999,2.4,4.8,0.5,0.0,0.0,0.0,1.6,2.4,0.0,8.1,8.1,1.6,0.8,0.0,13.7,2015,Intercontinental Cup
15,Brian Randle,MAC,2,26.0,6.4,10.1,0.636,0.0,0.0,0.0,0.0,4.6,0.0,2.8,9.2,2.8,7.3,10.1,1.8,3.7,1.8,12.9,2015,Intercontinental Cup
16,Marcelinho Machado,FLA,2,18.5,2.6,19.6,0.133,1.3,15.7,0.083,5.2,6.5,0.8,1.3,3.9,0.0,5.2,5.2,2.6,0.0,0.0,11.8,2015,Intercontinental Cup
17,Aleks Maric,MAC,2,14.0,5.1,11.9,0.429,0.0,0.0,0.0,0.0,0.0,0.0,1.7,3.4,3.4,8.5,11.9,0.0,1.7,1.7,10.2,2015,Intercontinental Cup
18,Nate Linhart,MAC,2,5.5,4.3,4.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.3,4.3,4.3,8.7,0.0,0.0,4.3,8.7,2015,Intercontinental Cup
19,Gege Chaia,FLA,2,11.0,2.2,4.4,0.5,2.2,4.4,0.5,0.0,0.0,0.0,2.2,8.8,0.0,2.2,2.2,2.2,6.6,0.0,6.6,2015,Intercontinental Cup
20,Yogev Ohayon,MAC,2,9.5,2.5,15.1,0.16699999999999998,0.0,5.0,0.0,0.0,0.0,0.0,5.0,5.0,2.5,5.0,7.5,5.0,0.0,0.0,5.0,2015,Intercontinental Cup
21,Devin Smith,MAC,2,20.5,1.2,15.1,0.077,0.0,10.5,0.0,0.0,0.0,0.0,2.3,4.7,0.0,2.3,2.3,1.2,1.2,0.0,2.3,2015,Intercontinental Cup
22,Daniel Lorio,FLA,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2015,Intercontinental Cup
1,Jaycee Carroll,RMB,2,27.5,10.5,17.5,0.6,4.4,8.7,0.5,9.6,10.5,0.917,7.0,4.4,1.7,4.4,6.1,0.0,2.6,0.9,34.9,2016,Intercontinental Cup
2,Trey Thompkins,RMB,2,20.5,14.0,17.6,0.8,4.7,5.9,0.8,1.2,1.2,1.0,2.3,7.0,0.0,3.5,3.5,2.3,0.0,0.0,33.9,2016,Intercontinental Cup
3,Rafael Hettsheimer,BAU,2,36.0,8.7,21.3,0.406,4.7,8.7,0.5379999999999999,7.3,9.3,0.7859999999999999,4.0,4.0,0.7,5.3,6.0,0.7,0.7,0.0,29.3,2016,Intercontinental Cup
4,Sergio Llull,RMB,2,32.0,9.7,21.7,0.44799999999999995,4.5,10.5,0.429,4.5,5.2,0.857,3.7,3.0,0.7,6.0,6.7,9.0,1.5,0.0,28.5,2016,Intercontinental Cup
5,Sergio Rodriguez,RMB,2,13.5,7.1,16.0,0.444,1.8,5.3,0.33299999999999996,12.4,14.2,0.875,7.1,7.1,1.8,3.6,5.3,3.6,3.6,0.0,28.4,2016,Intercontinental Cup
6,Ricardo Fischer,BAU,2,34.0,7.8,15.5,0.5,4.2,7.8,0.545,7.1,7.8,0.909,2.1,4.2,1.4,3.5,4.9,9.9,0.7,0.0,26.8,2016,Intercontinental Cup
7,Leonardo Meindl,BAU,2,26.0,7.4,11.1,0.667,2.8,4.6,0.6,4.6,7.4,0.625,5.5,6.5,0.9,3.7,4.6,1.8,2.8,0.0,22.1,2016,Intercontinental Cup
8,Felipe Reyes,RMB,2,15.5,6.2,18.6,0.33299999999999996,0.0,1.5,0.0,7.7,15.5,0.5,3.1,9.3,6.2,10.8,17.0,1.5,0.0,1.5,20.1,2016,Intercontinental Cup
9,Rudy Fernandez,RMB,1,19.0,7.4,14.8,0.5,4.9,7.4,0.667,0.0,0.0,0.0,2.5,7.4,0.0,14.8,14.8,7.4,0.0,2.5,19.7,2016,Intercontinental Cup
10,Alex Garcia,BAU,2,33.0,7.3,13.1,0.556,2.2,5.8,0.375,2.2,5.8,0.375,2.9,4.4,1.5,6.5,8.0,8.0,1.5,0.7,18.9,2016,Intercontinental Cup
11,Andres Nocioni,RMB,2,17.0,5.6,18.3,0.308,2.8,9.9,0.28600000000000003,4.2,5.6,0.75,0.0,2.8,4.2,5.6,9.9,1.4,1.4,0.0,18.3,2016,Intercontinental Cup
12,Paulinho Boracini,BAU,2,5.5,8.7,21.8,0.4,0.0,4.4,0.0,0.0,0.0,0.0,4.4,8.7,0.0,0.0,0.0,0.0,0.0,0.0,17.5,2016,Intercontinental Cup
13,Rafael Mineiro,BAU,2,14.0,8.6,10.3,0.833,0.0,1.7,0.0,0.0,0.0,0.0,1.7,13.7,3.4,3.4,6.9,1.7,3.4,0.0,17.1,2016,Intercontinental Cup
14,Robert Day,BAU,2,17.0,5.6,16.9,0.33299999999999996,4.2,14.1,0.3,0.0,0.0,0.0,4.2,8.5,2.8,2.8,5.6,0.0,0.0,0.0,15.5,2016,Intercontinental Cup
15,Willy Hernangomez,RMB,2,7.0,6.9,6.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,3.4,0.0,6.9,6.9,0.0,0.0,3.4,13.7,2016,Intercontinental Cup
16,Guilherme Santos,BAU,2,5.5,4.4,13.1,0.33299999999999996,4.4,8.7,0.5,0.0,0.0,0.0,0.0,4.4,0.0,4.4,4.4,4.4,4.4,0.0,13.1,2016,Intercontinental Cup
17,Gustavo Ayon,RMB,2,28.0,4.3,6.9,0.625,0.0,0.0,0.0,2.6,3.4,0.75,0.0,1.7,6.9,7.7,14.6,0.0,2.6,0.9,11.1,2016,Intercontinental Cup
