#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Adrian Banks,NET,23,33.6,10.3,23.1,0.444,2.2,6.3,0.35,7.1,8.7,0.823,4.1,3.5,0.8,3.1,3.9,4.5,2.1,0.1,30.4,2012,Israeli BSL
2,Rashaun Freeman,HAB,16,27.2,11.4,20.6,0.5529999999999999,0.0,0.2,0.0,6.6,8.9,0.7440000000000001,4.9,5.0,5.3,6.6,11.9,2.0,2.5,0.3,29.4,2012,Israeli BSL
3,Romeo Travis,GAL,28,29.9,11.5,20.8,0.552,0.3,1.1,0.278,6.0,7.9,0.7559999999999999,2.9,3.7,3.4,7.4,10.8,4.1,1.8,1.1,29.3,2012,Israeli BSL
4,Ekpe Udoh,BHS,1,37.0,13.2,15.8,0.833,1.3,1.3,1.0,1.3,1.3,1.0,1.3,6.6,5.3,15.8,21.1,4.0,0.0,5.3,29.0,2012,Israeli BSL
5,Uri Zohar,HAP,5,1.0,9.7,19.3,0.5,9.7,19.3,0.5,0.0,0.0,0.0,0.0,9.7,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2012,Israeli BSL
6,J.J. Hickson,BHS,1,32.0,11.2,16.8,0.667,0.0,0.0,0.0,5.6,7.0,0.8,4.2,0.0,2.8,8.4,11.2,7.0,1.4,0.0,28.1,2012,Israeli BSL
7,David Shamriz,ASH,14,3.6,10.3,15.9,0.647,7.5,12.2,0.615,0.0,0.0,0.0,1.9,10.3,2.8,0.0,2.8,0.9,0.9,0.0,28.0,2012,Israeli BSL
8,Sylven Landesberg,HAI,23,35.0,9.6,18.8,0.514,1.9,5.6,0.33299999999999996,6.8,9.1,0.747,3.6,4.1,2.6,4.8,7.4,3.7,1.3,0.5,27.9,2012,Israeli BSL
9,Troy Gillenwater,HAB,8,24.5,9.8,20.8,0.47100000000000003,1.2,5.0,0.23800000000000002,7.2,9.5,0.75,3.1,2.9,3.3,4.5,7.9,1.4,1.2,1.7,27.9,2012,Israeli BSL
10,Raymar Morgan,ASH,7,25.9,10.6,18.9,0.562,1.5,5.4,0.28600000000000003,5.2,7.7,0.667,3.1,7.0,4.6,8.8,13.4,2.8,1.8,0.3,27.9,2012,Israeli BSL
11,Tyler Wilkerson,HAI,20,28.0,10.5,18.9,0.556,1.3,3.9,0.326,5.1,7.8,0.652,3.1,6.7,3.1,7.4,10.5,1.7,1.3,1.6,27.4,2012,Israeli BSL
12,Devin Smith,MAC,21,23.9,10.2,18.9,0.5379999999999999,3.8,8.8,0.435,2.7,3.5,0.757,2.4,5.4,1.8,6.9,8.8,3.0,1.9,1.0,26.8,2012,Israeli BSL
13,Joe Crawford,MRL,27,37.1,9.0,21.8,0.41100000000000003,3.0,9.4,0.319,5.5,7.9,0.6990000000000001,3.4,2.4,1.0,4.2,5.1,4.4,1.0,0.3,26.4,2012,Israeli BSL
14,Joseph Jones,GAL,28,24.5,9.7,16.2,0.599,0.0,0.0,0.0,7.0,10.2,0.685,2.6,6.4,4.6,6.8,11.3,3.2,1.9,0.7,26.3,2012,Israeli BSL
15,LaceDarius Dunn,BHS,23,32.9,8.7,19.5,0.44799999999999995,3.3,7.9,0.419,4.9,6.0,0.816,3.7,5.0,1.8,6.1,7.9,2.4,2.1,0.3,25.7,2012,Israeli BSL
16,Ramel Bradley,ASH,12,32.3,8.3,19.2,0.433,2.1,6.5,0.321,6.9,10.5,0.6509999999999999,4.4,4.0,1.5,3.4,4.9,4.8,2.2,0.5,25.6,2012,Israeli BSL
17,Brian Asbury,NET,24,33.5,9.4,17.6,0.532,0.8,2.1,0.4,6.0,7.8,0.765,1.6,3.8,3.1,7.7,10.7,2.4,1.9,0.5,25.5,2012,Israeli BSL
18,Tweety Carter,BHS,23,37.7,8.2,20.3,0.406,3.2,9.2,0.345,5.8,7.2,0.8059999999999999,3.3,2.3,0.7,2.3,3.1,8.7,1.1,0.0,25.4,2012,Israeli BSL
19,Lior Eliyahu,MAC,25,24.7,11.5,19.7,0.581,0.1,0.2,0.33299999999999996,2.4,4.3,0.564,2.9,3.2,2.7,7.2,10.0,6.2,2.0,0.5,25.4,2012,Israeli BSL
20,Shawn James,MAC,21,18.4,9.5,13.0,0.733,0.1,0.1,1.0,6.2,9.1,0.6759999999999999,2.6,7.7,4.4,9.8,14.2,3.0,1.9,5.7,25.3,2012,Israeli BSL
21,Richard Hendrix,MAC,28,21.6,9.8,15.5,0.633,0.1,0.2,0.33299999999999996,5.2,7.1,0.733,3.0,5.3,5.4,9.9,15.3,2.8,2.0,2.7,25.0,2012,Israeli BSL
22,Ron Lewis,HAP,31,35.1,7.4,19.5,0.376,2.4,8.0,0.297,7.8,9.6,0.8079999999999999,4.1,3.0,1.2,4.9,6.2,5.1,1.9,0.3,24.9,2012,Israeli BSL
23,Paul Delaney,HAB,24,32.3,8.4,17.1,0.491,1.3,4.4,0.292,6.4,7.4,0.8759999999999999,4.9,4.0,1.5,4.0,5.5,6.3,2.4,0.3,24.5,2012,Israeli BSL
24,Keith Langford,MAC,22,28.3,9.1,17.0,0.536,2.0,4.9,0.406,3.7,5.2,0.706,3.1,3.4,1.7,5.0,6.6,5.3,1.7,0.3,23.8,2012,Israeli BSL
25,Sofoklis Schortsanitis,MAC,10,18.3,8.1,13.3,0.608,0.0,0.0,0.0,7.6,12.0,0.63,4.7,8.1,5.5,5.8,11.3,2.6,1.0,1.8,23.8,2012,Israeli BSL
26,Josh Carter,ASH,30,35.3,7.4,15.0,0.491,3.1,8.0,0.389,6.0,7.2,0.8290000000000001,2.0,2.5,1.1,4.1,5.3,2.3,1.2,0.3,23.8,2012,Israeli BSL
27,Marco Killingsworth,ASH,30,33.6,9.4,17.2,0.5489999999999999,0.0,0.1,0.5,4.5,6.3,0.72,3.9,4.9,2.8,7.7,10.5,2.3,1.6,0.3,23.4,2012,Israeli BSL
28,Idan Zalmanson,MAC,6,4.3,10.8,23.4,0.462,0.0,0.0,0.0,1.8,3.6,0.5,3.6,9.0,3.6,7.2,10.8,0.0,0.0,0.0,23.4,2012,Israeli BSL
29,Josh Duncan,ASH,25,33.5,7.8,16.1,0.484,2.1,4.6,0.456,5.6,6.8,0.8220000000000001,3.8,4.1,2.6,9.2,11.8,2.7,1.0,0.2,23.3,2012,Israeli BSL
30,Barak Hadad,ASH,8,5.6,8.4,17.9,0.47100000000000003,4.2,6.3,0.667,2.1,2.1,1.0,4.2,2.1,4.2,2.1,6.3,3.2,1.1,1.1,23.2,2012,Israeli BSL
31,Delroy James,BHS,10,32.0,7.9,17.4,0.455,1.6,4.2,0.379,5.8,8.9,0.645,2.9,3.6,2.7,8.3,11.1,2.4,2.3,0.7,23.2,2012,Israeli BSL
32,D.J. Strawberry,HAPJ,29,32.2,8.0,18.7,0.429,2.3,6.9,0.331,4.6,7.2,0.636,3.3,3.8,1.1,4.6,5.7,3.3,2.4,0.3,22.9,2012,Israeli BSL
33,Alex Tyus,ASH,30,26.7,9.9,14.6,0.675,0.0,0.0,0.0,3.1,6.5,0.47200000000000003,2.8,3.7,5.2,10.1,15.3,0.8,1.4,2.5,22.8,2012,Israeli BSL
34,Christian Burns,NET,9,30.0,8.4,16.3,0.516,0.9,2.6,0.33299999999999996,4.9,5.6,0.875,2.5,5.4,3.0,8.8,11.8,3.7,2.3,0.7,22.7,2012,Israeli BSL
35,Tasmin Mitchell,HAP,31,32.4,8.2,15.7,0.52,1.7,4.5,0.38299999999999995,4.5,5.8,0.777,2.8,4.7,2.4,6.7,9.1,2.6,2.2,0.4,22.5,2012,Israeli BSL
36,Derwin Kitchen,MRL,32,34.3,7.8,14.5,0.54,1.8,4.7,0.396,4.6,6.1,0.763,3.1,3.7,3.4,7.0,10.3,4.9,2.7,0.3,22.1,2012,Israeli BSL
37,Ido Kozikaro,GAL,26,14.3,8.5,16.1,0.528,0.0,0.0,0.0,4.3,6.9,0.623,3.3,8.3,5.4,7.7,13.1,1.7,1.8,0.4,21.4,2012,Israeli BSL
