#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Federico Bolzonella,CAN,1,4.0,22.1,22.1,1.0,11.1,11.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.3,2012,Italian Cup
2,Ksystof Lavrinovic,SANA,2,17.0,11.8,13.3,0.889,1.5,3.0,0.5,11.8,13.3,0.889,3.0,4.4,1.5,4.4,5.9,3.0,0.0,3.0,37.0,2012,Italian Cup
3,Giorgi Shermadini,CAN,3,15.3,14.3,16.4,0.875,0.0,0.0,0.0,8.2,9.2,0.889,8.2,13.3,4.1,6.1,10.2,2.0,1.0,2.0,36.8,2012,Italian Cup
4,Andrea Michelori,SANA,1,8.0,17.7,23.7,0.75,0.0,0.0,0.0,0.0,5.9,0.0,5.9,17.7,17.7,5.9,23.7,0.0,11.8,0.0,35.5,2012,Italian Cup
5,David Andersen,SANA,3,31.3,13.6,23.1,0.591,1.6,3.7,0.429,3.1,4.7,0.667,4.7,4.2,1.0,7.9,8.9,2.6,1.6,0.5,32.0,2012,Italian Cup
6,Jumaine Jones,PES,2,27.0,8.9,15.1,0.588,8.0,10.7,0.75,4.4,4.4,1.0,3.6,3.6,1.8,14.2,16.0,1.8,0.0,0.9,30.2,2012,Italian Cup
7,Nicolo Melli,MIL,2,13.5,11.1,18.4,0.6,3.7,11.1,0.33299999999999996,3.7,3.7,1.0,3.7,5.5,3.7,12.9,16.6,5.5,3.7,1.8,29.5,2012,Italian Cup
8,Szymon Szewczyk,VEN,1,28.0,10.4,20.7,0.5,3.5,5.2,0.667,5.2,5.2,1.0,6.9,3.5,5.2,8.6,13.8,1.7,1.7,0.0,29.4,2012,Italian Cup
9,Marco Cusin,PES,2,15.0,11.2,16.0,0.7,0.0,0.0,0.0,6.4,14.4,0.444,3.2,6.4,3.2,6.4,9.6,1.6,3.2,1.6,28.8,2012,Italian Cup
10,Petteri Koponen,BOL,1,39.0,11.2,21.2,0.529,5.0,10.0,0.5,1.2,2.5,0.5,5.0,0.0,2.5,3.7,6.2,10.0,3.7,0.0,28.7,2012,Italian Cup
11,Marques Green,AVE,1,39.0,10.2,18.2,0.562,5.7,6.8,0.833,1.1,1.1,1.0,3.4,2.3,2.3,6.8,9.1,5.7,3.4,0.0,27.2,2012,Italian Cup
12,Manuchar Markoishvili,CAN,3,23.0,9.5,19.1,0.5,4.8,9.5,0.5,2.7,4.1,0.667,6.8,6.1,1.4,6.1,7.5,4.8,2.0,0.0,26.6,2012,Italian Cup
13,Jurica Golemac,AVE,1,29.0,7.6,15.3,0.5,0.0,1.5,0.0,10.7,10.7,1.0,10.7,7.6,1.5,4.6,6.1,3.1,3.1,0.0,25.9,2012,Italian Cup
14,Vanja Plisnic,SAS,1,23.0,8.2,24.7,0.33299999999999996,4.1,8.2,0.5,4.1,4.1,1.0,2.1,2.1,6.2,4.1,10.3,0.0,2.1,2.1,24.7,2012,Italian Cup
15,Arminas Urbutis,PES,1,4.0,12.1,12.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.1,12.1,0.0,0.0,0.0,24.2,2012,Italian Cup
16,Timmy Bowers,VEN,1,30.0,9.7,19.3,0.5,3.2,4.8,0.667,1.6,3.2,0.5,3.2,0.0,1.6,6.4,8.1,1.6,1.6,1.6,24.2,2012,Italian Cup
17,Chris Douglas-Roberts,BOL,1,37.0,7.9,15.8,0.5,1.3,2.6,0.5,6.6,7.9,0.833,1.3,3.9,0.0,5.3,5.3,2.6,0.0,0.0,23.6,2012,Italian Cup
18,David Moss,SANA,3,27.0,8.5,17.6,0.483,4.9,8.5,0.5710000000000001,1.2,1.2,1.0,4.3,4.9,1.8,4.3,6.1,3.6,2.4,0.6,23.1,2012,Italian Cup
19,Bo McCalebb,SANA,3,28.7,8.6,15.5,0.556,0.6,3.4,0.16699999999999998,5.2,6.3,0.818,5.7,2.9,0.0,4.0,4.0,3.4,7.4,0.0,22.9,2012,Italian Cup
20,Richard Rocca,MIL,2,12.0,8.3,22.8,0.364,0.0,0.0,0.0,6.2,6.2,1.0,4.1,12.4,6.2,12.4,18.7,2.1,2.1,0.0,22.8,2012,Italian Cup
21,Kris Lang,BOL,1,24.0,10.1,14.2,0.7140000000000001,0.0,0.0,0.0,2.0,2.0,1.0,4.0,2.0,4.0,8.1,12.1,4.0,2.0,0.0,22.3,2012,Italian Cup
22,Alvin Young,VEN,1,31.0,9.4,18.7,0.5,0.0,3.1,0.0,3.1,6.2,0.5,3.1,3.1,3.1,4.7,7.8,0.0,1.6,0.0,21.8,2012,Italian Cup
23,Antonis Fotsis,MIL,2,33.0,9.0,17.3,0.522,1.5,6.0,0.25,0.8,0.8,1.0,0.0,3.8,3.8,5.3,9.0,1.5,0.8,0.0,20.3,2012,Italian Cup
24,Alessandro Gentile,MIL,2,21.0,8.3,22.5,0.368,2.4,10.7,0.222,1.2,3.6,0.33299999999999996,3.6,2.4,4.7,3.6,8.3,0.0,3.6,0.0,20.1,2012,Italian Cup
25,Quinton Hosley,SAS,1,36.0,5.3,18.4,0.28600000000000003,2.6,9.2,0.28600000000000003,6.6,10.5,0.625,7.9,2.6,2.6,9.2,11.8,3.9,6.6,0.0,19.7,2012,Italian Cup
26,Nicolas Mazzarino,CAN,3,14.3,4.4,9.9,0.444,4.4,9.9,0.444,6.6,6.6,1.0,7.7,3.3,0.0,2.2,2.2,5.5,1.1,0.0,19.7,2012,Italian Cup
27,Tautvydas Lydeka,PES,2,22.0,5.5,8.7,0.625,0.0,0.0,0.0,8.7,12.0,0.727,3.3,5.5,3.3,6.5,9.8,2.2,2.2,0.0,19.6,2012,Italian Cup
28,Malik Hairston,MIL,2,23.5,7.4,14.8,0.5,2.1,5.3,0.4,2.1,2.1,1.0,7.4,4.2,3.2,5.3,8.5,1.1,3.2,0.0,19.0,2012,Italian Cup
29,Angelo Gigli,BOL,1,23.0,8.5,14.8,0.5710000000000001,2.1,4.2,0.5,0.0,0.0,0.0,2.1,6.3,4.2,10.6,14.8,2.1,2.1,0.0,19.0,2012,Italian Cup
