#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Tomas Dimsa,ZAL,4,23.4,16.0,24.0,0.667,2.5,7.0,0.35700000000000004,5.5,8.0,0.688,3.5,4.5,2.0,5.5,7.5,6.0,2.5,2.0,40.0,2012,Kaunas Tournament (ANGT)
2,Justas Tamulis,ZAL,4,18.3,14.1,30.1,0.46799999999999997,7.0,17.9,0.39299999999999996,2.6,3.2,0.8,1.9,3.2,1.9,4.5,6.4,5.1,1.9,0.0,37.7,2012,Kaunas Tournament (ANGT)
3,Rasmus Larsen,VAE,3,9.2,12.1,20.8,0.583,1.7,1.7,1.0,8.7,10.4,0.833,5.2,3.5,1.7,10.4,12.1,3.5,1.7,3.5,34.7,2012,Kaunas Tournament (ANGT)
4,Peter Moller,VAE,4,33.6,11.5,25.6,0.451,2.2,5.8,0.375,4.3,5.4,0.8,4.7,1.4,2.9,6.9,9.7,4.3,1.1,0.0,29.6,2012,Kaunas Tournament (ANGT)
5,Rauls Avenitis,RIG,3,4.7,10.2,10.2,1.0,6.8,6.8,1.0,0.0,0.0,0.0,0.0,6.8,0.0,0.0,0.0,0.0,3.4,0.0,27.2,2012,Kaunas Tournament (ANGT)
6,Petr Herman,CBA,4,14.2,9.3,22.9,0.40700000000000003,5.1,10.2,0.5,3.4,5.1,0.667,3.4,2.5,4.2,11.9,16.1,0.8,4.2,2.5,27.1,2012,Kaunas Tournament (ANGT)
7,Davis Geks,RIG,4,35.2,9.1,19.5,0.46399999999999997,5.6,9.4,0.593,3.1,3.5,0.9,1.7,2.4,1.0,5.9,7.0,1.7,2.8,0.0,26.8,2012,Kaunas Tournament (ANGT)
8,Marius Grigonis,ZAL,4,23.3,7.0,14.1,0.5,2.0,5.5,0.364,10.0,12.1,0.833,5.5,4.0,2.0,10.6,12.6,14.6,3.5,1.0,26.1,2012,Kaunas Tournament (ANGT)
9,David Knudsen,VAE,4,31.3,8.5,22.1,0.386,1.2,4.3,0.273,7.4,8.5,0.8640000000000001,1.9,5.8,1.9,2.7,4.6,4.3,2.7,0.8,25.6,2012,Kaunas Tournament (ANGT)
10,Ervins Meznieks,RIG,1,5.4,8.5,8.5,1.0,8.5,8.5,1.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.5,2012,Kaunas Tournament (ANGT)
11,Lukas Lekavicius,ZAL,4,21.6,10.8,15.7,0.69,2.7,4.9,0.556,1.1,1.1,1.0,2.7,0.5,0.5,4.9,5.4,7.0,1.6,0.0,25.4,2012,Kaunas Tournament (ANGT)
12,Stanislav Ilnitskiy,KHI,4,38.1,9.2,21.1,0.43799999999999994,2.0,5.3,0.375,4.9,7.2,0.682,3.0,3.3,2.6,6.9,9.5,2.3,1.0,0.0,25.3,2012,Kaunas Tournament (ANGT)
13,Rokas Gustys,ZAL,4,19.2,9.1,11.6,0.789,0.0,0.0,0.0,6.7,7.3,0.917,2.4,6.7,5.5,5.5,11.0,1.8,1.8,4.3,25.0,2012,Kaunas Tournament (ANGT)
14,Simonas Januskis,ZAL,4,12.2,8.6,18.2,0.474,4.8,11.5,0.41700000000000004,2.9,3.8,0.75,2.9,3.8,2.9,3.8,6.7,1.9,1.9,0.0,24.9,2012,Kaunas Tournament (ANGT)
15,Stijn Stevens,TSS,4,31.0,8.8,17.3,0.511,2.2,5.2,0.429,4.8,7.0,0.684,4.4,2.6,0.4,2.9,3.3,1.5,1.5,0.4,24.7,2012,Kaunas Tournament (ANGT)
16,Petr Safarcik,FUT,2,32.5,9.5,24.9,0.382,2.2,11.0,0.2,2.2,4.4,0.5,6.6,2.9,0.0,3.7,3.7,4.4,2.2,2.2,23.4,2012,Kaunas Tournament (ANGT)
17,Shane Hammink,CBA,4,31.0,7.0,19.5,0.36,1.2,5.5,0.214,8.2,9.4,0.875,7.8,3.5,1.6,6.2,7.8,3.1,2.7,0.4,23.4,2012,Kaunas Tournament (ANGT)
18,Mantvydas Staselis,ZAL,4,12.1,9.7,14.5,0.667,1.9,4.8,0.4,1.0,2.9,0.33299999999999996,3.9,3.9,0.0,4.8,4.8,4.8,2.9,0.0,22.3,2012,Kaunas Tournament (ANGT)
19,Axel Bouteille,CHA,4,33.5,7.8,15.7,0.5,3.2,5.7,0.562,2.8,3.2,0.889,2.8,3.2,5.0,5.0,10.0,3.2,2.5,0.4,21.7,2012,Kaunas Tournament (ANGT)
20,Kristaps Gluditis,RIG,4,19.1,7.1,24.4,0.289,4.5,12.9,0.35,2.6,2.6,1.0,5.1,1.3,1.3,3.2,4.5,5.8,2.6,0.0,21.2,2012,Kaunas Tournament (ANGT)
21,Evgeniy Grishin,KHI,3,8.1,6.2,10.4,0.6,2.1,4.1,0.5,6.2,6.2,1.0,4.1,6.2,4.1,6.2,10.4,2.1,0.0,0.0,20.7,2012,Kaunas Tournament (ANGT)
22,Juraj Janosik,FUT,2,7.4,6.5,6.5,1.0,0.0,0.0,0.0,6.5,6.5,1.0,6.5,0.0,0.0,0.0,0.0,0.0,3.2,0.0,19.5,2012,Kaunas Tournament (ANGT)
23,Oleg Alferov,KHI,4,22.7,7.2,22.1,0.325,2.8,9.9,0.278,2.2,3.3,0.667,5.5,2.8,0.6,3.9,4.4,1.7,2.2,0.0,19.3,2012,Kaunas Tournament (ANGT)
24,Tomas Miskinis,ZAL,4,13.5,8.7,13.0,0.667,0.0,0.0,0.0,1.7,5.2,0.33299999999999996,4.3,2.6,7.0,7.8,14.8,0.9,0.0,0.0,19.1,2012,Kaunas Tournament (ANGT)
25,Clint Capela,CHA,4,25.8,7.9,18.5,0.425,0.0,0.5,0.0,2.8,8.3,0.33299999999999996,6.0,5.1,5.1,10.6,15.7,2.8,6.0,1.4,18.5,2012,Kaunas Tournament (ANGT)
26,Oskars Reinfelds,CBA,2,22.6,6.5,21.6,0.3,1.1,6.5,0.16699999999999998,4.3,6.5,0.667,9.7,3.2,2.2,2.2,4.3,3.2,3.2,0.0,18.3,2012,Kaunas Tournament (ANGT)
27,Ivars Zvigurs,RIG,4,32.9,6.3,16.4,0.386,1.1,3.7,0.3,4.5,7.8,0.5710000000000001,3.4,3.4,4.8,7.8,12.7,4.5,3.4,1.1,18.3,2012,Kaunas Tournament (ANGT)
28,David Michineau,CHA,4,28.9,7.4,20.7,0.36,0.8,4.1,0.2,2.5,4.6,0.545,5.4,3.7,1.2,2.9,4.1,1.7,3.3,0.0,18.2,2012,Kaunas Tournament (ANGT)
