#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Bleonis Tanushi,VELL,2,1.5,31.0,46.5,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,61.9,2017,Kosovo FBK
2,Liron Hyseni,PRIS,1,6.3,20.8,34.6,0.6,0.0,13.8,0.0,0.0,0.0,0.0,6.9,0.0,0.0,6.9,6.9,13.8,6.9,0.0,41.5,2017,Kosovo FBK
3,Marcel Jones,PRIS,6,14.9,15.6,26.3,0.5920000000000001,2.1,10.2,0.21100000000000002,5.9,9.1,0.647,2.1,1.6,4.8,10.2,15.0,5.4,2.7,1.1,39.2,2017,Kosovo FBK
4,Justin Black,BASH,17,26.1,13.9,25.8,0.539,2.2,7.5,0.29600000000000004,5.5,8.6,0.642,4.6,4.5,3.7,8.0,11.7,8.3,2.4,0.3,35.6,2017,Kosovo FBK
5,Blendi Matoshi,PEJ,8,15.9,14.1,20.9,0.6779999999999999,4.6,8.1,0.565,2.1,3.2,0.667,3.9,6.7,5.3,9.6,14.9,5.7,2.1,0.7,35.0,2017,Kosovo FBK
6,Kejuan Johnson,BASH,7,33.4,12.0,22.6,0.528,3.2,9.4,0.341,6.8,7.9,0.865,4.7,3.0,1.1,7.5,8.5,12.2,3.8,0.2,34.0,2017,Kosovo FBK
7,Eric Stutz,TREP,17,19.8,13.5,19.3,0.7020000000000001,1.5,4.6,0.33299999999999996,4.1,6.3,0.649,1.7,3.2,4.9,8.3,13.2,1.5,0.3,1.7,32.6,2017,Kosovo FBK
8,Mike Moser,PRIS,16,21.4,11.8,20.3,0.5820000000000001,4.2,8.5,0.49200000000000005,4.2,5.0,0.833,3.5,5.3,3.9,14.6,18.5,3.5,3.2,0.7,32.0,2017,Kosovo FBK
9,Arti Hajdari,PEJ,23,20.8,12.3,22.6,0.544,4.9,10.5,0.462,2.5,3.1,0.8059999999999999,2.5,3.4,1.4,3.4,4.8,5.2,1.7,0.2,31.9,2017,Kosovo FBK
10,Daylor Dehir,RAHO,1,32.9,10.6,19.9,0.5329999999999999,9.3,15.9,0.583,1.3,2.6,0.5,5.3,2.6,0.0,1.3,1.3,6.6,4.0,0.0,31.8,2017,Kosovo FBK
11,Trey Davis,PRIS,2,10.8,9.5,28.5,0.33299999999999996,4.7,16.6,0.28600000000000003,7.1,9.5,0.75,11.9,7.1,2.4,9.5,11.9,9.5,0.0,0.0,30.9,2017,Kosovo FBK
