#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Georges Geagea,BYB,1,1.5,35.3,35.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.3,35.3,0.0,0.0,0.0,70.6,2013,Lebanese Division A
2,Mark Hadchity,AMC,4,1.2,19.3,19.3,1.0,9.7,9.7,1.0,0.0,0.0,0.0,0.0,19.3,9.7,0.0,9.7,29.0,0.0,0.0,48.3,2013,Lebanese Division A
3,Andre Emmett,AMC,29,39.0,16.0,30.9,0.516,2.3,7.3,0.318,7.7,10.2,0.753,4.0,2.0,3.0,5.5,8.6,4.6,2.6,0.2,41.9,2013,Lebanese Division A
4,Quincy Douby,SAG,7,33.9,13.4,28.7,0.46799999999999997,6.7,14.8,0.452,5.3,5.9,0.897,2.4,1.6,0.8,3.3,4.1,6.5,2.8,1.2,38.8,2013,Lebanese Division A
5,Fadi El Khatib,CHA,36,35.8,12.4,25.3,0.489,2.2,6.2,0.358,9.0,11.6,0.7809999999999999,4.1,2.5,3.1,7.3,10.4,6.9,1.7,0.4,36.0,2013,Lebanese Division A
6,Paul Iskandar,CHA,1,2.6,17.9,35.8,0.5,0.0,17.9,0.0,0.0,0.0,0.0,17.9,17.9,17.9,0.0,17.9,0.0,0.0,0.0,35.8,2013,Lebanese Division A
7,Aaron Harper,SAG,28,36.5,11.9,25.4,0.467,4.8,12.3,0.391,6.8,8.4,0.812,3.0,1.8,2.6,6.2,8.8,5.0,2.5,0.1,35.4,2013,Lebanese Division A
8,Dewarick Spencer,SPO,14,35.4,12.1,25.0,0.484,5.4,13.2,0.409,4.7,4.9,0.9590000000000001,4.0,3.3,1.1,4.8,5.9,5.8,2.3,0.5,34.3,2013,Lebanese Division A
9,Amir Saoud,SPO,33,19.5,11.4,23.9,0.47600000000000003,5.9,13.1,0.451,5.2,6.4,0.802,2.4,3.4,1.3,3.4,4.7,4.6,2.5,0.3,33.8,2013,Lebanese Division A
10,Larry Blair,HOOP,32,38.9,12.9,28.0,0.462,2.8,9.5,0.298,4.0,5.2,0.777,4.4,1.9,1.3,5.1,6.3,7.9,3.9,0.2,32.7,2013,Lebanese Division A
