#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Martin Gareis,CAOS,1,3.0,17.0,17.0,1.0,0.0,0.0,0.0,33.9,33.9,1.0,0.0,17.0,17.0,0.0,17.0,0.0,0.0,0.0,67.9,2012,Liga Americas
2,Diego Lo Grippo,AAQ,2,26.0,16.2,29.4,0.552,6.1,12.1,0.5,14.2,15.2,0.9329999999999999,2.0,3.0,2.0,6.1,8.1,5.1,1.0,1.0,52.6,2012,Liga Americas
3,Sonys Reyes,BUC,2,7.5,12.8,22.4,0.5710000000000001,12.8,22.4,0.5710000000000001,0.0,0.0,0.0,3.2,9.6,0.0,3.2,3.2,0.0,3.2,0.0,38.4,2012,Liga Americas
4,Scott Rodgers,LQU,2,32.0,14.3,28.5,0.5,1.6,4.0,0.4,7.1,9.5,0.75,6.3,0.8,1.6,5.5,7.1,4.0,1.6,0.8,37.2,2012,Liga Americas
5,Fabio de Oliveira,BRA,1,15.0,11.9,23.8,0.5,3.0,14.9,0.2,8.9,11.9,0.75,3.0,3.0,0.0,8.9,8.9,5.9,3.0,0.0,35.7,2012,Liga Americas
6,Quentin Smith,PIO,3,13.3,13.2,21.6,0.611,0.0,1.2,0.0,7.2,12.0,0.6,1.2,6.0,2.4,4.8,7.2,1.2,1.2,0.0,33.6,2012,Liga Americas
7,Tony Washam,CAOS,8,28.6,11.2,23.2,0.48200000000000004,4.1,8.5,0.488,6.0,9.1,0.659,4.4,3.9,4.1,5.6,9.7,2.1,2.9,0.4,32.6,2012,Liga Americas
8,Ike Diogu,CAP,3,28.0,12.1,19.2,0.629,1.6,2.7,0.6,6.0,9.9,0.611,3.8,4.9,5.5,10.4,15.9,0.0,0.5,1.1,31.9,2012,Liga Americas
9,Fernando Fischer,BAU,3,34.0,9.4,18.8,0.5,4.4,10.9,0.409,7.9,10.4,0.762,0.5,1.0,0.0,3.0,3.0,3.0,2.5,0.0,31.1,2012,Liga Americas
10,Greg Lewis,FOR,9,28.1,11.7,22.2,0.525,0.0,0.2,0.0,6.0,8.3,0.727,4.1,5.3,2.8,11.9,14.7,1.7,2.8,1.5,29.4,2012,Liga Americas
