#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,German Silvarrey,MAL,2,5.5,17.6,22.0,0.8,17.6,22.0,0.8,4.4,8.8,0.5,8.8,8.8,0.0,0.0,0.0,4.4,4.4,0.0,57.3,2012,Liga Sudamericana
2,Tim Frost,MAL,2,14.0,17.3,29.4,0.588,0.0,0.0,0.0,6.9,8.7,0.8,6.9,10.4,5.2,19.0,24.2,0.0,1.7,0.0,41.5,2012,Liga Sudamericana
3,Agustin Jure,ADA,2,10.5,14.6,20.9,0.7,6.3,8.4,0.75,2.1,2.1,1.0,0.0,4.2,2.1,2.1,4.2,2.1,0.0,0.0,37.6,2012,Liga Sudamericana
4,Edwin Copa,AMI,3,1.7,17.6,26.4,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.8,8.8,0.0,0.0,0.0,35.3,2012,Liga Sudamericana
5,Wilson Montoya,AMI,3,1.7,8.8,8.8,1.0,8.8,8.8,1.0,8.8,26.4,0.33299999999999996,0.0,0.0,0.0,8.8,8.8,0.0,0.0,0.0,35.3,2012,Liga Sudamericana
6,Yorbis Umbria,CEN,2,8.5,11.5,23.0,0.5,2.9,5.8,0.5,8.6,14.4,0.6,5.8,2.9,14.4,8.6,23.0,5.8,0.0,0.0,34.5,2012,Liga Sudamericana
7,Tony Washam,CAOS,4,22.8,12.7,28.2,0.451,3.3,8.9,0.375,5.0,8.9,0.562,3.9,5.0,2.2,7.7,10.0,3.9,2.8,0.6,33.8,2012,Liga Sudamericana
8,Leandro Garcia-Morales,BIG,3,27.0,11.1,19.2,0.581,8.0,12.4,0.65,2.5,3.1,0.8,8.0,1.9,0.0,1.2,1.2,5.6,1.2,0.0,32.8,2012,Liga Sudamericana
9,Paulinho Boracini,PIN,7,14.1,10.8,23.7,0.457,5.2,13.9,0.37,4.6,5.7,0.818,5.7,7.7,1.5,3.1,4.6,4.1,2.1,0.0,31.5,2012,Liga Sudamericana
10,Hector Romero,CEN,3,27.3,10.4,18.5,0.562,0.6,2.9,0.2,9.8,14.4,0.68,2.9,2.3,4.0,11.0,15.0,1.7,1.7,1.2,31.2,2012,Liga Sudamericana
11,Leandro Barbosa,FLA,3,26.3,11.0,24.3,0.452,1.7,5.8,0.3,5.8,8.7,0.667,4.6,4.6,1.2,6.4,7.5,7.0,1.2,0.0,29.6,2012,Liga Sudamericana
12,Erik Carrasco,BOS,3,29.0,7.9,14.7,0.536,2.1,3.2,0.667,11.6,13.7,0.846,2.6,4.7,0.0,7.9,7.9,2.6,3.7,0.0,29.4,2012,Liga Sudamericana
13,Tony Danridge,UTE,3,34.0,11.9,20.0,0.596,0.0,0.4,0.0,4.3,5.5,0.769,3.0,0.9,0.9,2.1,3.0,1.7,1.7,0.0,28.1,2012,Liga Sudamericana
14,Marcelinho Machado,FLA,5,28.2,10.3,23.3,0.441,4.1,12.7,0.324,3.1,4.1,0.75,2.4,4.1,1.0,5.5,6.5,5.1,2.1,0.0,27.7,2012,Liga Sudamericana
15,Chris Hayes,ADA,3,23.3,10.0,17.4,0.5770000000000001,0.0,2.0,0.0,7.3,9.4,0.7859999999999999,2.7,4.7,0.7,8.0,8.7,2.0,4.0,0.7,27.4,2012,Liga Sudamericana
16,Juan Gutierrez,CAOS,7,23.0,10.0,20.4,0.493,0.9,3.6,0.25,6.4,7.9,0.8079999999999999,2.7,3.6,2.1,14.3,16.4,2.7,1.5,1.2,27.4,2012,Liga Sudamericana
17,Gene Shipley,BOS,3,19.3,11.8,22.9,0.517,0.0,0.8,0.0,3.2,8.7,0.364,2.4,3.2,2.4,7.9,10.2,0.0,0.8,0.8,26.8,2012,Liga Sudamericana
18,Tulio Cobos,CEN,3,18.3,12.1,21.5,0.56,0.0,2.6,0.0,2.6,4.3,0.6,1.7,1.7,2.6,9.5,12.1,1.7,1.7,0.9,26.7,2012,Liga Sudamericana
19,Ryan Humphrey,ADA,4,21.2,10.9,17.6,0.621,0.0,0.6,0.0,4.9,10.9,0.444,5.5,4.9,6.7,12.7,19.4,0.6,1.8,3.0,26.7,2012,Liga Sudamericana
20,Marcus Fleming,UTE,3,29.3,6.4,16.3,0.39399999999999996,2.0,4.9,0.4,11.9,14.8,0.8,4.0,4.0,2.0,4.9,6.9,1.0,1.5,0.0,26.7,2012,Liga Sudamericana
21,Murilo Veloso,PIN,2,2.0,13.2,13.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.2,13.2,0.0,0.0,0.0,26.4,2012,Liga Sudamericana
22,Alex Garcia,BRA,7,29.4,10.0,20.4,0.489,1.1,7.7,0.147,5.0,7.0,0.71,3.9,5.4,1.6,6.4,7.9,3.2,3.2,0.9,26.1,2012,Liga Sudamericana
