#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Povilas Butkevicius,ZAL,2,13.7,15.9,17.6,0.9,0.0,0.0,0.0,3.5,8.8,0.4,1.8,10.6,3.5,15.9,19.4,1.8,1.8,0.0,35.3,2012,Lithuanian LKL
2,Valdas Dabkus,PRI,12,14.4,9.2,19.9,0.46399999999999997,2.0,5.8,0.35,10.4,14.4,0.72,3.2,8.9,4.3,7.8,12.1,2.3,2.9,0.0,32.5,2012,Lithuanian LKL
3,Zydrunas Urbonas,JUV,15,20.3,10.5,19.6,0.536,1.1,2.5,0.43799999999999994,9.3,11.3,0.8190000000000001,5.3,6.9,2.2,7.1,9.3,3.6,3.1,0.9,31.4,2012,Lithuanian LKL
4,Milovan Rakovic,ZAL,23,15.6,12.3,18.6,0.664,0.1,0.4,0.33299999999999996,5.7,8.5,0.667,3.4,9.5,1.5,6.1,7.6,1.2,1.6,0.4,30.5,2012,Lithuanian LKL
5,Laurynas Mikalauskas,NEP,19,28.2,11.2,16.8,0.665,0.0,0.0,0.0,6.8,9.5,0.716,3.6,5.4,4.3,7.0,11.3,2.1,1.0,0.4,29.2,2012,Lithuanian LKL
6,Jonas Valanciunas,LIE,23,24.0,10.1,15.1,0.665,0.0,0.0,0.0,8.4,10.1,0.825,4.6,5.5,5.4,9.7,15.1,1.6,1.2,3.8,29.0,2012,Lithuanian LKL
7,Laurynas Mikalauskas,NAG,1,26.8,8.5,17.1,0.5,1.7,3.4,0.5,10.2,13.6,0.75,6.8,0.0,1.7,5.1,6.8,1.7,1.7,0.0,29.0,2012,Lithuanian LKL
8,Jonas Maciulis,LSU,7,33.3,10.3,23.2,0.445,2.7,7.0,0.39399999999999996,5.5,7.4,0.743,3.6,5.1,1.9,8.2,10.1,3.6,3.0,0.0,28.9,2012,Lithuanian LKL
9,Vaidas Cepukaitis,TEC,15,23.0,11.0,18.8,0.584,0.1,0.4,0.33299999999999996,6.6,9.5,0.696,3.8,7.0,6.2,7.3,13.4,2.2,1.1,1.8,28.7,2012,Lithuanian LKL
10,Edgaras Zelionis,PRI,28,12.0,11.2,17.5,0.642,0.6,2.3,0.25,5.2,6.8,0.7659999999999999,2.9,12.4,3.3,8.9,12.2,3.8,1.2,3.5,28.2,2012,Lithuanian LKL
11,Roman Gumenyuk,SIA,2,12.1,12.9,20.3,0.636,0.0,0.0,0.0,1.8,5.5,0.33299999999999996,0.0,3.7,3.7,14.8,18.5,1.8,0.0,1.8,27.7,2012,Lithuanian LKL
12,Trevon Hughes,PZV,22,26.8,9.7,20.9,0.462,3.2,8.3,0.384,5.2,6.9,0.7559999999999999,5.6,5.9,1.6,4.7,6.3,5.2,3.9,0.3,27.7,2012,Lithuanian LKL
13,Renaldas Seibutis,LIE,26,24.0,9.7,19.2,0.506,2.7,6.4,0.42,5.3,6.1,0.872,2.5,4.9,1.3,3.0,4.2,3.6,3.1,0.2,27.5,2012,Lithuanian LKL
