#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Jeffrey Fahnbulleh,NAG,6,19.4,13.4,22.9,0.586,0.0,0.0,0.0,9.5,11.5,0.828,8.7,7.9,2.0,11.5,13.4,3.2,3.2,0.0,36.4,2018,Lithuanian NKL
2,Edvinas Jezukevicius,VZS,41,20.7,10.6,18.9,0.562,2.8,6.0,0.467,8.1,9.8,0.8290000000000001,3.8,7.5,4.5,9.0,13.5,2.5,1.5,1.1,32.2,2018,Lithuanian NKL
3,Margiris Normantas,VILN,5,26.5,10.2,22.9,0.444,2.2,7.6,0.28600000000000003,9.1,10.5,0.862,3.3,4.4,2.2,6.9,9.1,6.9,3.3,1.1,31.6,2018,Lithuanian NKL
4,Antanas Udras,SUD,37,26.2,11.7,20.7,0.565,1.9,5.1,0.382,5.5,8.6,0.636,3.1,4.5,4.8,7.6,12.3,4.3,2.1,2.1,30.8,2018,Lithuanian NKL
5,Paulius Morkeliunas,TAU,45,24.6,10.8,23.5,0.461,1.1,3.6,0.298,6.7,13.6,0.49200000000000005,5.9,7.0,5.1,7.2,12.3,3.0,0.9,0.2,29.4,2018,Lithuanian NKL
6,Gytis Radzevicius,VZS,44,26.3,10.7,19.7,0.545,2.2,6.0,0.37200000000000005,5.5,6.3,0.882,3.7,3.5,3.5,8.4,11.8,3.5,2.3,0.7,29.2,2018,Lithuanian NKL
7,Gytis Masiulis,Z2,12,29.8,9.1,14.9,0.611,0.7,2.8,0.25,9.9,12.5,0.7909999999999999,3.7,3.6,5.2,11.9,17.1,2.1,1.4,3.2,28.8,2018,Lithuanian NKL
8,Rytis Biliartas,DJ,32,28.4,12.7,23.4,0.5429999999999999,0.0,0.3,0.0,3.1,6.9,0.457,4.6,5.4,4.2,10.3,14.5,3.8,2.2,0.2,28.6,2018,Lithuanian NKL
9,Aurelijus Pukelis,VZS,42,18.7,10.5,16.1,0.654,0.1,0.4,0.28600000000000003,7.1,8.8,0.807,4.5,8.3,6.3,9.9,16.3,2.2,2.2,3.1,28.2,2018,Lithuanian NKL
10,Matas Jogela,Z2,44,20.3,10.9,20.9,0.522,2.8,7.6,0.36200000000000004,3.4,4.4,0.785,2.7,5.3,3.8,8.5,12.2,2.6,1.4,0.8,28.1,2018,Lithuanian NKL
11,Martynas Maskolaitis,VILN,32,17.6,10.5,20.8,0.504,2.6,6.1,0.41700000000000004,4.4,5.7,0.7759999999999999,3.2,4.6,3.9,6.9,10.8,1.4,1.8,0.5,27.9,2018,Lithuanian NKL
12,Karolis Lukosiunas,EZM,41,29.6,9.6,21.7,0.441,5.7,14.2,0.39899999999999997,2.8,3.5,0.805,4.0,3.8,1.6,4.0,5.6,4.1,2.3,0.0,27.6,2018,Lithuanian NKL
13,Ignas Dauksys,KTU,21,25.9,11.2,24.2,0.46299999999999997,2.0,7.6,0.262,3.0,3.4,0.868,4.2,5.6,3.2,7.0,10.2,3.0,1.4,0.5,27.4,2018,Lithuanian NKL
14,Martynas Zigmantavicius,KTU,14,28.6,9.8,18.9,0.519,2.5,6.8,0.364,4.6,7.5,0.607,4.9,4.2,1.1,4.2,5.3,7.9,3.0,0.2,26.7,2018,Lithuanian NKL
15,Tomas Zdanavicius,MAZ,45,18.5,10.4,17.8,0.584,0.2,1.4,0.16,5.3,8.0,0.669,4.8,5.9,4.8,8.1,12.9,1.6,1.2,1.0,26.4,2018,Lithuanian NKL
16,Tadas Pazera,NAG,22,31.5,8.5,17.7,0.48200000000000004,2.1,6.2,0.344,7.1,8.4,0.8440000000000001,5.1,3.6,1.2,3.6,4.8,5.2,2.9,0.1,26.3,2018,Lithuanian NKL
17,Marius Valukonis,SUD,30,17.3,10.9,19.1,0.573,0.1,0.4,0.25,4.3,7.2,0.59,3.1,7.4,4.2,5.7,9.9,2.7,1.2,0.3,26.2,2018,Lithuanian NKL
18,Valdas Vasylius,NAK,35,24.7,9.3,17.9,0.519,1.3,4.1,0.32899999999999996,5.9,7.9,0.752,2.8,4.8,4.6,7.2,11.8,4.8,1.8,1.2,25.9,2018,Lithuanian NKL
19,Modestas Zauneriunas,SIL,41,21.0,8.3,18.7,0.44299999999999995,4.8,11.3,0.42200000000000004,3.7,4.7,0.779,2.2,5.3,1.4,4.6,6.0,3.0,1.9,0.3,25.0,2018,Lithuanian NKL
20,Aurimas Majauskas,VZS,18,17.7,9.1,17.9,0.512,0.4,1.3,0.33299999999999996,6.0,8.0,0.759,1.8,6.5,5.9,7.7,13.6,2.7,1.8,0.4,24.8,2018,Lithuanian NKL
21,Martynas Sajus,Z2,25,25.6,9.6,16.6,0.581,0.0,0.0,0.0,5.4,7.6,0.7170000000000001,5.0,5.6,6.6,7.0,13.7,2.1,1.4,2.9,24.6,2018,Lithuanian NKL
22,Petraitis Zilvinas,DJ,33,28.9,9.5,19.2,0.493,2.3,6.6,0.35100000000000003,3.2,4.7,0.685,3.2,4.5,1.5,4.2,5.7,2.4,1.9,0.9,24.5,2018,Lithuanian NKL
23,Rokas Stankevicius,SUD,42,28.0,9.6,16.6,0.5770000000000001,2.0,5.4,0.364,3.1,4.3,0.7140000000000001,3.0,4.5,2.1,5.9,8.0,3.7,1.6,0.8,24.2,2018,Lithuanian NKL
24,Arnas Berucka,VILN,40,21.9,8.7,21.4,0.408,2.4,8.6,0.28,4.3,6.3,0.6779999999999999,4.4,5.1,2.7,4.0,6.8,5.7,2.2,0.2,24.1,2018,Lithuanian NKL
25,Ignas Sargiunas,Z2,47,21.0,8.6,18.0,0.48100000000000004,1.0,3.9,0.253,5.8,7.3,0.7909999999999999,5.0,5.3,1.6,3.1,4.7,6.2,1.9,0.1,24.1,2018,Lithuanian NKL
26,Justas Nausedas,SIL,44,25.7,8.4,16.6,0.505,2.1,5.5,0.379,5.1,7.7,0.672,3.8,5.1,2.8,6.4,9.3,5.0,2.8,0.6,24.0,2018,Lithuanian NKL
27,Tadas Pazera,MAZ,23,27.2,7.8,15.1,0.518,2.1,5.4,0.39399999999999996,6.2,8.2,0.759,3.9,3.8,0.7,4.6,5.3,5.8,2.3,0.1,23.9,2018,Lithuanian NKL
