#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Jeron Belin,ABC,3,33.7,14.4,28.8,0.5,4.5,13.9,0.321,2.5,7.9,0.312,4.0,2.5,3.0,8.4,11.4,2.5,2.5,0.5,35.7,2013,Luxembourg Total League
2,Chris Dentzer,MUS,3,5.5,8.9,20.8,0.429,5.9,11.9,0.5,5.9,5.9,1.0,11.9,3.0,3.0,5.9,8.9,3.0,0.0,0.0,35.6,2013,Luxembourg Total League
3,Alexandre Caurla,ESC,1,25.0,11.5,23.0,0.5,7.7,15.4,0.5,3.8,3.8,1.0,1.9,0.0,0.0,9.6,9.6,1.9,1.9,0.0,34.6,2013,Luxembourg Total League
4,Tom Schumacher,T71,30,33.3,10.8,23.2,0.465,3.6,9.1,0.396,8.4,10.7,0.7879999999999999,4.3,3.6,1.2,3.6,4.8,6.5,2.5,0.1,33.6,2013,Luxembourg Total League
5,Mychal Green,SOL,22,39.0,11.2,22.4,0.502,3.3,8.6,0.38299999999999995,6.4,7.5,0.858,3.2,2.4,1.4,8.8,10.3,4.7,2.2,0.3,32.2,2013,Luxembourg Total League
6,Lawrence Wright,ESC,9,33.8,11.0,25.2,0.435,3.6,10.0,0.359,6.1,8.9,0.684,3.0,2.0,2.5,6.0,8.5,3.0,2.3,0.6,31.6,2013,Luxembourg Total League
7,Frank Muller,T71,3,29.2,12.8,24.5,0.522,1.6,5.9,0.273,3.2,4.8,0.667,3.7,6.4,2.7,4.8,7.5,3.7,0.5,0.5,30.4,2013,Luxembourg Total League
8,Jo Schumacher,T71,1,39.0,7.8,24.8,0.316,5.2,14.3,0.364,9.1,11.7,0.778,2.6,2.6,1.3,6.5,7.8,3.9,0.0,0.0,30.0,2013,Luxembourg Total League
9,Marcus Kennedy,RES,28,39.2,10.5,21.9,0.48100000000000004,3.6,8.9,0.405,5.3,6.4,0.8290000000000001,3.3,4.7,3.4,9.2,12.6,1.7,2.8,0.3,29.9,2013,Luxembourg Total League
10,Christian Mais,MUS,4,2.8,12.8,29.9,0.429,4.3,8.5,0.5,0.0,0.0,0.0,4.3,4.3,12.8,0.0,12.8,0.0,0.0,0.0,29.9,2013,Luxembourg Total League
11,Billy McDaniel,BSM,22,38.5,11.8,21.6,0.546,1.9,4.0,0.466,4.5,5.7,0.779,3.5,3.6,3.5,10.4,13.9,2.3,2.7,1.0,29.9,2013,Luxembourg Total League
12,Chad Tomko,ETZ,8,32.2,10.0,22.0,0.455,3.6,8.9,0.408,6.2,7.6,0.81,4.4,4.0,0.4,4.5,4.9,7.1,3.6,0.0,29.8,2013,Luxembourg Total League
13,Chris Gradnigo,T71,1,37.0,11.1,27.0,0.409,3.7,11.1,0.33299999999999996,3.7,4.9,0.75,1.2,2.5,3.7,9.8,13.5,2.5,1.2,2.5,29.5,2013,Luxembourg Total League
14,Elton Frazier,ABC,19,37.3,12.1,21.3,0.569,0.5,1.7,0.28,3.6,5.2,0.6970000000000001,4.4,4.2,5.2,7.9,13.1,1.8,1.0,1.0,28.3,2013,Luxembourg Total League
15,Chehales Tapscott,SOL,13,39.0,10.6,18.0,0.588,0.3,0.9,0.3,6.1,7.5,0.815,2.8,3.0,4.0,9.0,13.0,2.3,1.6,2.0,27.5,2013,Luxembourg Total League
16,Kasey Ulin,SPA,30,38.8,8.6,18.3,0.47200000000000003,3.4,8.3,0.405,6.4,7.8,0.823,2.7,2.8,1.5,6.4,7.9,6.7,1.5,0.1,27.0,2013,Luxembourg Total League
