#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,A. Georgievski,VAR,1,5.6,21.7,21.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,7.2,0.0,0.0,0.0,0.0,0.0,7.2,0.0,43.4,2012,Macedonian Superleague
2,Andrej Biljanovski,VAR,3,17.5,15.2,26.0,0.586,0.0,3.6,0.0,9.9,12.5,0.7859999999999999,0.9,0.9,6.3,7.2,13.4,2.7,0.9,0.0,40.3,2012,Macedonian Superleague
3,Dusan Domovic,KOZ,6,27.3,13.6,23.5,0.58,2.3,7.0,0.33299999999999996,7.3,7.8,0.9259999999999999,5.2,5.5,2.9,5.2,8.1,4.4,1.5,0.3,36.9,2012,Macedonian Superleague
4,Solomon Bozeman,FEN,2,4.3,5.8,29.0,0.2,0.0,0.0,0.0,23.2,23.2,1.0,5.8,23.2,0.0,0.0,0.0,5.8,0.0,0.0,34.8,2012,Macedonian Superleague
5,Tino Shabotic,KUM,2,8.2,13.7,24.0,0.5710000000000001,6.9,10.3,0.667,0.0,6.9,0.0,0.0,6.9,3.4,0.0,3.4,3.4,0.0,3.4,34.3,2012,Macedonian Superleague
6,Uros Lukovic,KUM,11,20.0,13.9,22.1,0.629,0.0,0.4,0.0,5.1,11.8,0.429,3.4,6.9,9.9,8.8,18.7,0.4,0.2,3.6,32.8,2012,Macedonian Superleague
7,Phillip Brooks,STR,6,33.3,10.8,20.8,0.518,2.2,7.1,0.31,7.1,8.6,0.8290000000000001,3.7,2.7,1.5,5.1,6.6,3.4,2.0,0.2,30.9,2012,Macedonian Superleague
8,Ervin Cogo,MZT,6,2.9,11.8,38.4,0.308,3.0,14.8,0.2,3.0,5.9,0.5,5.9,8.9,0.0,0.0,0.0,3.0,0.0,0.0,29.6,2012,Macedonian Superleague
9,Dimitar Mirakovski,RAB,1,15.6,11.7,26.4,0.444,5.9,14.7,0.4,0.0,0.0,0.0,0.0,8.8,0.0,0.0,0.0,0.0,2.9,0.0,29.3,2012,Macedonian Superleague
10,Miko Golubovic,KOZ,7,28.3,10.9,19.4,0.561,0.0,0.2,0.0,7.6,9.5,0.8,3.3,6.6,2.1,6.4,8.5,2.1,1.2,0.0,29.3,2012,Macedonian Superleague
11,Noah Dahlman,MZT,32,23.0,11.2,17.0,0.6609999999999999,0.0,0.2,0.0,6.5,8.8,0.742,2.0,3.4,6.4,8.3,14.7,0.9,1.0,0.3,29.0,2012,Macedonian Superleague
12,Todor Gechevski,MZT,25,27.8,10.8,20.0,0.541,2.4,5.8,0.42,4.9,6.0,0.821,3.6,4.1,3.3,10.7,13.9,3.4,1.4,1.1,29.0,2012,Macedonian Superleague
