#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Manuel Contreras,GCN,1,2.2,41.4,41.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.7,0.0,82.7,2012,Mexican CIBACOPA
2,Eric Valenzuela,FRA,3,2.2,19.4,45.4,0.429,0.0,0.0,0.0,0.0,19.4,0.0,0.0,13.0,0.0,6.5,6.5,0.0,0.0,0.0,38.9,2012,Mexican CIBACOPA
3,Devon Kobi Pearson,PIO,32,37.0,13.7,28.0,0.489,3.2,9.0,0.359,4.5,5.8,0.778,2.0,2.7,4.5,8.6,13.1,2.5,0.8,0.7,35.1,2012,Mexican CIBACOPA
4,Keith Simpson,FRA,1,28.8,12.4,22.8,0.545,4.1,6.2,0.667,4.1,10.3,0.4,2.1,4.1,6.2,10.3,16.5,2.1,0.0,0.0,33.1,2012,Mexican CIBACOPA
5,Ray Reese,COR,23,35.7,11.9,25.9,0.461,4.7,11.3,0.42100000000000004,3.9,4.7,0.8270000000000001,2.1,2.1,2.7,6.5,9.3,4.3,1.2,0.3,32.5,2012,Mexican CIBACOPA
6,Cheyenne Moore,MIN,10,31.9,12.3,22.7,0.542,2.7,6.8,0.391,6.7,9.2,0.726,1.2,4.6,2.2,5.9,8.2,2.8,1.3,0.4,32.2,2012,Mexican CIBACOPA
7,Rob Robinson,CAB,42,33.3,13.3,22.6,0.588,0.0,0.5,0.0,4.8,8.3,0.5770000000000001,3.8,4.0,2.8,8.3,11.0,3.2,1.4,1.1,31.3,2012,Mexican CIBACOPA
8,Derek Lee Thomas,MIN,38,37.5,11.4,20.4,0.561,2.8,6.7,0.418,5.6,7.7,0.735,1.5,2.8,2.1,5.4,7.5,4.1,2.0,0.5,31.3,2012,Mexican CIBACOPA
9,Seth Scott,PIO,32,34.4,12.1,22.4,0.541,1.6,4.6,0.349,5.3,7.1,0.7440000000000001,2.2,4.9,3.5,7.6,11.1,2.6,0.4,1.1,31.1,2012,Mexican CIBACOPA
10,Eniel Polynice,FRA,3,35.1,12.0,20.8,0.574,1.3,4.0,0.33299999999999996,5.8,7.5,0.765,3.5,0.9,2.7,6.2,8.9,5.8,0.9,0.4,31.0,2012,Mexican CIBACOPA
