#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Petar Saric,TEO,1,2.0,23.4,23.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,23.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,2012,Montenegrin Prva A Liga
2,Blagoje Zlajic,CIJ,3,5.7,14.1,33.7,0.41700000000000004,14.1,28.1,0.5,0.0,5.6,0.0,2.8,5.6,0.0,2.8,2.8,0.0,2.8,0.0,42.2,2012,Montenegrin Prva A Liga
3,Bojan Dubljevic,BUD,14,25.1,13.2,22.4,0.589,3.9,8.4,0.45899999999999996,6.3,8.3,0.767,2.9,3.6,5.0,9.4,14.3,1.4,2.6,1.5,36.6,2012,Montenegrin Prva A Liga
4,Nemanja Vranjes,SUT,16,29.8,11.5,28.6,0.401,4.5,15.9,0.285,8.7,11.2,0.7829999999999999,5.3,3.1,2.1,6.2,8.3,4.4,2.4,0.1,36.2,2012,Montenegrin Prva A Liga
5,Marko Kuveljic,ULC,3,17.3,13.4,26.8,0.5,3.8,13.4,0.28600000000000003,3.8,3.8,1.0,0.0,4.8,1.0,6.7,7.6,1.9,1.9,0.0,34.4,2012,Montenegrin Prva A Liga
6,Vasilije Seferovic,MOG,7,27.7,9.2,19.9,0.46299999999999997,4.2,10.7,0.395,9.0,11.5,0.7829999999999999,3.5,4.0,0.2,3.2,3.5,4.7,3.0,0.0,31.6,2012,Montenegrin Prva A Liga
7,Mihailo Boskovic,CIJ,1,3.0,15.5,15.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.5,15.5,0.0,0.0,0.0,31.0,2012,Montenegrin Prva A Liga
8,Milorad Sutulovic,POD,5,26.6,8.0,18.3,0.436,1.3,5.3,0.25,13.0,14.3,0.907,3.3,3.0,2.0,3.7,5.7,2.0,3.3,0.3,30.3,2012,Montenegrin Prva A Liga
9,Vladimir Starovlah,TEO,1,3.0,15.1,15.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.2,2012,Montenegrin Prva A Liga
10,Nemanja Radovic,BUD,14,11.4,11.2,18.7,0.597,2.7,6.9,0.391,2.4,3.3,0.727,1.8,13.3,6.6,8.8,15.4,1.5,2.1,1.5,27.5,2012,Montenegrin Prva A Liga
11,Milos Lopicic,LOV,23,29.7,10.2,17.1,0.596,0.1,0.6,0.222,6.8,8.7,0.779,2.9,4.3,5.4,8.8,14.1,1.3,0.9,2.0,27.3,2012,Montenegrin Prva A Liga
