#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Henri Drell,BRO,4,30.4,13.9,24.8,0.561,4.9,11.7,0.419,7.9,11.3,0.7,7.9,2.6,3.0,5.6,8.7,4.1,1.5,1.5,40.6,2018,Munich Tournament (ANGT)
2,Nikos Arsenopoulos,OLJR,4,32.3,11.5,24.8,0.46299999999999997,4.4,11.5,0.387,7.4,10.0,0.741,4.4,1.9,0.7,5.6,6.3,4.1,2.6,0.0,34.8,2018,Munich Tournament (ANGT)
3,Mert Akay,DAR,4,25.6,13.0,26.4,0.491,1.4,6.9,0.2,6.5,11.1,0.583,7.4,4.2,3.7,9.7,13.4,12.0,3.2,0.0,33.8,2018,Munich Tournament (ANGT)
4,Mario Nakic,RMB,4,22.9,13.1,22.9,0.5710000000000001,0.5,7.1,0.077,6.5,8.7,0.75,4.4,1.6,6.0,6.5,12.5,7.1,2.2,0.0,33.3,2018,Munich Tournament (ANGT)
5,Usman Garuba,RMB,4,23.9,10.4,17.7,0.588,0.0,2.1,0.0,10.4,15.1,0.69,4.7,4.2,5.2,9.9,15.1,4.2,3.7,2.6,31.3,2018,Munich Tournament (ANGT)
6,Franz Wagner,BER,4,25.9,10.1,22.6,0.449,5.1,12.4,0.40700000000000003,5.1,6.0,0.846,4.1,6.0,0.9,6.0,6.9,4.1,4.1,0.9,30.4,2018,Munich Tournament (ANGT)
7,Kilian Binapfl,MUNII,4,31.9,12.0,18.4,0.653,0.4,0.7,0.5,5.2,8.6,0.609,1.9,3.4,2.6,6.4,9.0,3.0,4.1,1.9,29.6,2018,Munich Tournament (ANGT)
8,Efe Arikan,DAR,4,18.9,10.0,24.4,0.41,5.0,14.4,0.348,4.4,5.6,0.778,5.0,8.8,0.0,3.1,3.1,3.1,5.0,0.6,29.5,2018,Munich Tournament (ANGT)
9,Patrick Antic,RJR,2,2.4,9.7,19.3,0.5,9.7,9.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,19.3,0.0,0.0,0.0,29.0,2018,Munich Tournament (ANGT)
10,Andrzej Pluta,SEV,4,29.1,10.1,26.0,0.387,5.5,18.0,0.302,2.9,4.2,0.7,3.8,3.4,0.4,4.6,5.0,3.4,2.1,0.0,28.5,2018,Munich Tournament (ANGT)
11,Hendrik Drescher,BER,4,29.2,11.5,21.7,0.528,2.0,5.7,0.35700000000000004,3.3,3.3,1.0,5.7,3.7,3.7,7.4,11.0,7.0,1.2,1.6,28.2,2018,Munich Tournament (ANGT)
12,Tomas Balciunas,SEV,4,27.0,9.9,22.6,0.44,0.5,3.2,0.14300000000000002,5.9,12.6,0.46399999999999997,4.1,5.0,9.5,9.9,19.4,0.9,4.5,0.9,26.2,2018,Munich Tournament (ANGT)
13,Ziga Samar,RMB,4,16.3,8.4,20.6,0.40700000000000003,5.4,15.3,0.35,3.8,4.6,0.833,3.8,2.3,0.8,7.6,8.4,10.7,3.1,0.0,26.0,2018,Munich Tournament (ANGT)
14,Bruno Vrcic,MUNII,4,27.2,10.1,19.3,0.523,3.1,5.7,0.5379999999999999,1.8,4.8,0.364,3.5,6.1,1.3,4.0,5.3,3.1,1.8,0.0,25.0,2018,Munich Tournament (ANGT)
