#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Chris Richard,CHI,2,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.1,18.2,27.3,0.0,0.0,0.0,0.0,2010,NBA_PLAYOFFS
2,Anthony Carter,DEN,1,6.9,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.1,0.0,0.0,0.0,2010,NBA_PLAYOFFS
3,Travis Diener,POR,2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.9,0.0,0.0,0.0,2010,NBA_PLAYOFFS
4,Malik Allen,DEN,4,2.8,0.0,4.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.5,8.5,4.2,12.7,0.0,4.2,0.0,0.0,2010,NBA_PLAYOFFS
5,Brian Scalabrine,BOS,1,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,NBA_PLAYOFFS
6,Kevin Ollie,OKC,1,5.5,0.0,8.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,NBA_PLAYOFFS
7,Joe Smith,ATL,5,4.7,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1,2.1,2.1,2.1,4.3,0.0,0.0,2.1,0.0,2010,NBA_PLAYOFFS
8,Jawad Williams,CLE,3,1.4,0.0,22.3,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,NBA_PLAYOFFS
9,Jamaal Magloire,MIA,1,4.5,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.2,11.2,0.0,11.2,11.2,0.0,0.0,0.0,0.0,2010,NBA_PLAYOFFS
10,Charlie Bell,MIL,3,2.7,0.0,12.6,0.0,0.0,6.3,0.0,0.0,0.0,0.0,0.0,12.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,NBA_PLAYOFFS
11,Stephen Graham,CHA,2,2.3,0.0,47.2,0.0,0.0,11.8,0.0,0.0,0.0,0.0,11.8,11.8,0.0,0.0,0.0,11.8,11.8,0.0,0.0,2010,NBA_PLAYOFFS
12,DeShawn Stevenson,DAL,2,3.1,0.0,22.9,0.0,0.0,22.9,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2010,NBA_PLAYOFFS
13,James Johnson,CHI,4,5.0,0.0,4.8,0.0,0.0,2.4,0.0,0.0,0.0,0.0,4.8,26.3,2.4,0.0,2.4,2.4,0.0,0.0,0.0,2010,NBA_PLAYOFFS
14,Erick Dampier,DAL,5,23.7,0.0,3.5,0.0,0.0,0.0,0.0,2.2,5.2,0.41700000000000004,2.6,8.2,7.8,6.5,14.3,1.3,0.4,2.2,2.2,2010,NBA_PLAYOFFS
15,Roger Mason,SAS,6,10.2,0.8,9.6,0.083,0.8,5.6,0.14300000000000002,0.0,0.0,0.0,1.6,9.6,0.0,3.2,3.2,1.6,0.8,0.0,2.4,2010,NBA_PLAYOFFS
16,Keith Bogans,SAS,8,6.9,1.7,8.7,0.2,0.9,5.2,0.16699999999999998,0.0,0.0,0.0,1.7,7.9,0.9,4.4,5.2,1.7,1.7,0.9,4.4,2010,NBA_PLAYOFFS
17,Jarron Collins,PHX,11,10.5,2.1,6.4,0.33299999999999996,0.0,0.0,0.0,0.9,0.9,1.0,1.3,9.4,3.8,3.4,7.3,0.0,0.4,0.4,5.1,2010,NBA_PLAYOFFS
18,Eduardo Najera,DAL,5,7.2,2.8,11.2,0.25,0.0,7.0,0.0,0.0,0.0,0.0,1.4,11.2,7.0,5.6,12.6,0.0,2.8,0.0,5.6,2010,NBA_PLAYOFFS
19,Michael Finley,BOS,18,6.0,2.3,9.1,0.25,1.4,5.0,0.273,0.9,0.9,1.0,0.0,1.8,0.5,4.6,5.0,1.8,1.8,0.0,6.8,2010,NBA_PLAYOFFS
20,Nick Collison,OKC,6,21.5,3.1,9.2,0.33299999999999996,0.0,0.4,0.0,1.1,2.7,0.429,1.5,7.6,4.6,6.1,10.7,0.8,1.9,0.4,7.3,2010,NBA_PLAYOFFS
21,Theo Ratliff,CHA,4,11.8,3.3,8.8,0.375,0.0,0.0,0.0,1.1,2.2,0.5,2.2,16.5,0.0,3.3,3.3,1.1,2.2,0.0,7.7,2010,NBA_PLAYOFFS
22,Kyle Weaver,OKC,1,12.0,4.0,15.8,0.25,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.9,0.0,7.9,7.9,7.9,0.0,0.0,7.9,2010,NBA_PLAYOFFS
23,Joel Anthony,MIA,5,15.7,3.1,4.4,0.7140000000000001,0.0,0.0,0.0,1.9,2.5,0.75,0.6,5.6,3.7,1.9,5.6,0.6,1.2,3.1,8.1,2010,NBA_PLAYOFFS
24,Zydrunas Ilgauskas,CLE,7,9.8,3.5,9.0,0.385,0.0,0.0,0.0,1.4,2.1,0.667,0.7,6.9,4.9,2.8,7.6,2.1,0.0,4.9,8.3,2010,NBA_PLAYOFFS
25,Kyrylo Fesenko,UTA,10,18.1,3.4,7.9,0.433,0.0,0.0,0.0,1.8,5.5,0.33299999999999996,3.7,7.9,2.1,8.1,10.2,3.1,0.0,1.3,8.6,2010,NBA_PLAYOFFS
26,Maurice Evans,ATL,11,13.5,3.8,12.9,0.297,1.0,3.5,0.3,0.0,0.0,0.0,1.7,6.6,1.4,3.1,4.5,0.7,3.1,0.0,8.7,2010,NBA_PLAYOFFS
27,Jermaine O'Neal,MIA,5,23.3,3.8,18.4,0.205,0.0,0.0,0.0,1.3,2.9,0.429,2.9,5.4,4.2,7.5,11.7,2.1,1.7,4.2,8.8,2010,NBA_PLAYOFFS
28,Luke Walton,LAL,16,6.0,3.6,11.9,0.304,1.0,4.7,0.222,1.0,2.1,0.5,2.1,6.7,0.0,4.1,4.1,7.2,0.5,1.0,9.3,2010,NBA_PLAYOFFS
29,Othyus Jeffers,UTA,6,1.6,4.8,28.6,0.16699999999999998,0.0,0.0,0.0,0.0,4.8,0.0,4.8,0.0,4.8,0.0,4.8,0.0,0.0,0.0,9.5,2010,NBA_PLAYOFFS
30,Jason Williams,ORL,14,13.7,3.5,10.1,0.342,1.6,6.4,0.25,1.3,1.3,1.0,1.3,2.1,0.8,2.1,2.9,6.1,1.1,0.0,9.8,2010,NBA_PLAYOFFS
31,Kurt Thomas,MIL,7,28.4,4.4,9.1,0.486,0.0,0.0,0.0,1.0,1.3,0.8,2.1,6.8,3.1,11.2,14.3,2.9,0.8,1.0,9.9,2010,NBA_PLAYOFFS
32,Jason Kidd,DAL,6,40.5,2.9,9.5,0.304,1.9,5.8,0.321,2.3,2.5,0.917,1.9,3.1,1.2,7.2,8.5,8.7,2.9,0.2,9.9,2010,NBA_PLAYOFFS
33,Marcus Camby,POR,6,29.6,4.6,10.9,0.42100000000000004,0.0,0.3,0.0,0.9,1.7,0.5,0.9,5.2,4.6,12.6,17.2,4.0,1.1,2.0,10.0,2010,NBA_PLAYOFFS
34,Marcin Gortat,ORL,14,15.2,4.1,6.3,0.654,0.0,0.0,0.0,1.9,2.6,0.727,0.7,7.0,5.8,9.1,14.9,2.2,0.7,1.0,10.1,2010,NBA_PLAYOFFS
