#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Lucas Hargrove,MMW,31,28.4,10.2,23.6,0.43200000000000005,2.0,7.3,0.266,4.9,7.0,0.705,3.6,4.5,2.4,8.7,11.0,2.6,2.3,0.4,27.3,2012,Netherlands DBL
2,Jevohn Shepherd,LEI,34,25.4,8.7,20.3,0.429,1.1,4.7,0.226,7.2,9.7,0.746,3.6,4.0,2.3,7.4,9.7,2.3,1.1,0.6,25.7,2012,Netherlands DBL
3,Tyrone Sally,RBC,25,36.1,8.7,19.9,0.439,1.9,6.2,0.316,5.6,7.7,0.72,4.2,4.1,2.1,5.1,7.1,3.0,1.6,0.6,25.0,2012,Netherlands DBL
4,DeMario Anderson,BSW,12,32.8,8.2,18.3,0.447,2.3,5.7,0.40399999999999997,6.2,8.3,0.7390000000000001,5.2,4.2,1.2,4.8,6.0,6.8,2.5,0.0,24.9,2012,Netherlands DBL
5,Tai Wesley,EDB,40,27.0,10.4,18.3,0.5660000000000001,0.2,0.5,0.364,3.7,6.6,0.556,2.8,6.4,4.2,7.1,11.4,4.7,3.3,1.9,24.6,2012,Netherlands DBL
6,Donte Minter,BSW,26,17.4,9.2,17.2,0.5329999999999999,0.0,0.1,0.0,6.3,10.1,0.622,3.8,6.6,3.6,8.3,12.0,2.5,2.6,1.9,24.6,2012,Netherlands DBL
7,Brandon Rozzell,ARI,13,27.6,8.0,19.8,0.40399999999999997,3.3,9.2,0.35700000000000004,5.0,5.9,0.8440000000000001,4.2,3.5,1.6,3.9,5.5,3.1,3.0,0.3,24.2,2012,Netherlands DBL
8,Manny Adako,ARI,31,25.3,9.9,17.1,0.578,1.2,2.4,0.5,2.9,3.5,0.831,3.0,5.8,2.2,6.2,8.4,1.8,2.4,0.5,24.0,2012,Netherlands DBL
9,Alex Wesby,GRON,36,28.7,9.4,17.0,0.555,1.9,4.6,0.414,2.6,4.4,0.585,2.3,4.4,2.3,5.5,7.7,2.3,2.2,0.4,23.3,2012,Netherlands DBL
10,Lance Jeter,ARI,32,34.1,7.9,15.6,0.508,2.2,6.0,0.36700000000000005,5.0,6.9,0.727,3.3,4.4,0.5,4.6,5.1,4.8,1.8,0.0,23.1,2012,Netherlands DBL
11,David Bell,GRON,36,28.4,7.2,17.3,0.415,3.2,9.2,0.345,5.5,6.6,0.843,4.7,3.5,0.6,6.3,6.9,4.4,1.7,0.0,23.0,2012,Netherlands DBL
12,Nick Oudendag,RBC,11,26.0,9.2,18.3,0.505,0.2,0.7,0.25,3.6,8.1,0.447,4.3,4.8,3.9,10.6,14.6,1.7,1.9,0.2,22.3,2012,Netherlands DBL
13,Seamus Boxley,LEI,40,32.2,8.1,17.6,0.45799999999999996,0.6,3.0,0.203,5.5,7.7,0.716,3.2,3.4,3.9,6.1,10.0,3.4,1.5,1.1,22.3,2012,Netherlands DBL
14,Maurice Acker,MMW,31,29.8,7.5,18.3,0.41,2.4,7.5,0.32,4.7,5.9,0.7929999999999999,4.0,3.3,0.7,2.9,3.6,6.4,2.2,0.0,22.1,2012,Netherlands DBL
15,Peter Van Paassen,EDB,31,15.8,7.2,14.9,0.486,0.2,0.3,0.667,7.0,9.5,0.742,2.8,8.3,3.8,11.7,15.5,2.9,2.1,0.6,21.7,2012,Netherlands DBL
16,Markel Humphrey,MMW,32,34.2,8.0,15.6,0.508,2.0,5.4,0.365,3.5,6.3,0.551,2.6,2.0,2.6,6.5,9.1,3.5,1.5,0.2,21.6,2012,Netherlands DBL
17,Gerald Robinson,LAN,32,27.3,7.3,21.0,0.34700000000000003,2.8,10.1,0.276,4.2,6.9,0.603,4.1,4.3,4.7,9.4,14.1,1.1,1.5,0.4,21.5,2012,Netherlands DBL
18,Rogier Jansen,EDB,41,26.5,6.7,18.0,0.374,3.6,11.1,0.321,4.3,5.5,0.785,3.7,3.3,0.5,3.2,3.7,6.2,1.7,0.0,21.4,2012,Netherlands DBL
19,Patrick Hilliman,LEI,35,19.6,8.0,14.0,0.574,0.0,0.1,0.0,4.7,6.9,0.68,3.0,6.0,5.6,8.4,14.0,0.8,0.9,1.8,20.7,2012,Netherlands DBL
20,Ross Bekkering,MMW,19,26.1,6.6,13.8,0.479,1.8,4.6,0.396,5.5,8.6,0.637,2.9,6.9,3.4,8.8,12.2,1.9,1.5,1.6,20.6,2012,Netherlands DBL
21,Jason Dourisseau,GRON,37,29.1,7.6,15.5,0.491,1.2,3.5,0.33299999999999996,3.7,7.2,0.519,3.1,3.5,3.8,6.7,10.5,2.8,2.1,0.3,20.1,2012,Netherlands DBL
22,Chip Jones,RBC,26,31.2,7.5,16.1,0.46399999999999997,2.1,4.8,0.425,2.9,4.4,0.6579999999999999,3.2,3.8,2.4,4.9,7.3,1.5,2.2,0.1,19.9,2012,Netherlands DBL
23,Kareem Maddox,LAN,18,23.2,7.0,14.6,0.48,0.8,2.2,0.368,4.7,6.3,0.745,3.4,4.0,2.8,6.9,9.7,1.8,2.0,3.3,19.5,2012,Netherlands DBL
24,Jeroen van der List,EDB,37,11.1,7.7,14.9,0.516,1.4,4.0,0.364,2.5,2.8,0.9129999999999999,3.1,7.9,3.6,10.9,14.5,2.3,1.7,2.3,19.3,2012,Netherlands DBL
25,Henry Bekkering,MMW,30,25.7,6.2,14.8,0.42,2.0,6.7,0.297,4.8,6.7,0.718,2.8,6.3,4.1,5.0,9.2,2.1,1.4,0.7,19.2,2012,Netherlands DBL
26,Frank Turner,EDB,40,32.3,6.6,14.3,0.46299999999999997,1.1,2.7,0.408,4.7,6.3,0.7440000000000001,2.7,2.8,1.0,4.7,5.7,7.2,2.7,0.0,19.1,2012,Netherlands DBL
27,Kees Akerboom,EDB,40,28.1,5.9,13.5,0.433,3.4,8.1,0.418,3.9,4.6,0.846,0.9,4.3,1.2,3.9,5.1,1.3,1.5,0.4,19.0,2012,Netherlands DBL
28,Stefan Wessels,EDB,41,30.0,6.8,13.5,0.503,1.2,4.2,0.295,3.9,4.9,0.81,2.0,5.1,2.6,6.6,9.2,2.7,2.8,1.0,18.8,2012,Netherlands DBL
29,Jessey Voorn,GRON,28,18.4,6.5,16.2,0.39899999999999997,3.4,8.7,0.387,2.5,3.4,0.75,3.4,3.6,1.1,3.5,4.6,4.5,1.6,0.4,18.8,2012,Netherlands DBL
30,Yamene Coleman,BSW,28,27.2,7.8,13.9,0.561,0.0,0.0,0.0,2.9,5.4,0.539,3.2,4.2,4.9,12.4,17.3,1.1,2.4,0.6,18.6,2012,Netherlands DBL
