#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Jacob Walsh,IMS,1,2.6,0.0,20.9,0.0,0.0,0.0,0.0,41.8,41.8,1.0,20.9,0.0,0.0,0.0,0.0,20.9,0.0,0.0,41.8,2012,New Zealand NBL
2,Tom Ingham,OGN,1,4.5,9.5,18.9,0.5,0.0,9.5,0.0,18.9,18.9,1.0,9.5,18.9,0.0,9.5,9.5,0.0,9.5,0.0,37.8,2012,New Zealand NBL
3,Alex Pledger,AUC,8,23.9,13.5,21.5,0.625,0.0,0.0,0.0,6.6,9.0,0.73,3.7,4.4,7.1,10.3,17.4,0.0,0.5,1.7,33.5,2012,New Zealand NBL
4,Anthony Gurley,SAI,6,33.0,11.7,24.2,0.486,4.6,11.1,0.41700000000000004,5.1,6.9,0.733,3.5,3.9,2.3,5.1,7.4,3.2,2.8,0.2,33.2,2012,New Zealand NBL
5,Marcel Jones,HUB,6,32.7,13.2,29.5,0.447,0.5,3.4,0.14300000000000002,5.3,8.6,0.611,5.5,4.6,4.3,9.8,14.1,5.0,2.4,0.5,32.1,2012,New Zealand NBL
6,Isma'il Muhammad,AUC,18,25.5,12.5,22.9,0.546,0.9,2.3,0.391,5.2,10.7,0.486,5.1,5.0,5.3,8.9,14.2,4.4,2.9,1.8,31.2,2012,New Zealand NBL
7,Josh Pace,HUB,16,36.7,11.2,23.8,0.47100000000000003,0.7,2.8,0.257,6.5,8.4,0.7709999999999999,3.7,2.8,4.1,5.2,9.3,4.7,1.9,0.3,29.6,2012,New Zealand NBL
8,Steve Hansen,HUB,5,1.3,14.6,22.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,7.3,7.3,14.6,0.0,14.6,0.0,0.0,0.0,29.3,2012,New Zealand NBL
9,Phillip Jones,NEL,16,37.2,9.5,21.6,0.43799999999999994,3.0,8.4,0.35700000000000004,6.8,8.2,0.8320000000000001,3.8,3.6,1.7,4.9,6.6,6.9,1.6,0.3,28.8,2012,New Zealand NBL
10,Darryl Hudson,TAR,16,35.2,10.6,22.4,0.473,1.1,3.9,0.28300000000000003,6.2,9.2,0.682,3.3,2.9,1.9,6.8,8.7,5.1,1.7,0.3,28.6,2012,New Zealand NBL
11,Jack Leasure,TAR,16,35.9,10.7,24.9,0.428,4.7,13.3,0.354,2.5,3.4,0.75,2.7,2.5,1.3,5.0,6.4,4.0,2.7,0.1,28.5,2012,New Zealand NBL
12,Justin Bailey,LZHH,16,31.0,9.9,20.7,0.48100000000000004,0.5,1.5,0.312,7.5,9.2,0.821,4.2,3.5,0.8,4.5,5.3,6.1,3.3,0.1,27.9,2012,New Zealand NBL
13,Mika Vukona,NEL,5,27.6,11.4,20.4,0.561,0.4,1.4,0.25,4.7,7.2,0.65,6.1,6.4,4.7,8.6,13.2,3.9,0.4,1.4,27.9,2012,New Zealand NBL
14,Akeem Wright,OGN,16,37.9,10.5,23.3,0.449,1.1,4.7,0.23,5.8,8.9,0.652,4.1,3.6,2.7,8.8,11.5,5.7,2.7,1.5,27.8,2012,New Zealand NBL
15,Paora Winitana,IMS,15,31.7,10.2,21.2,0.48100000000000004,2.1,6.7,0.318,5.2,6.3,0.823,4.1,3.9,2.1,6.6,8.7,4.6,1.3,0.2,27.7,2012,New Zealand NBL
16,Lindsay Tait,AUC,18,32.2,9.6,17.5,0.5479999999999999,2.5,5.1,0.484,5.8,7.4,0.785,4.4,2.0,1.2,4.8,6.0,10.6,2.4,0.4,27.5,2012,New Zealand NBL
17,Bronson Beri,NEL,4,9.0,9.1,19.6,0.462,9.1,16.6,0.545,0.0,0.0,0.0,1.5,3.0,4.5,6.0,10.6,1.5,3.0,1.5,27.2,2012,New Zealand NBL
18,Antoine Tisby,OGN,16,38.1,11.0,20.5,0.534,0.0,0.0,0.0,5.2,9.0,0.586,2.9,2.9,4.2,10.8,15.0,1.8,1.3,2.0,27.2,2012,New Zealand NBL
19,Alonzo Burton,IMS,13,8.9,9.2,19.2,0.478,5.8,15.4,0.37799999999999995,2.9,4.2,0.7,2.1,3.8,1.3,5.0,6.3,2.5,1.3,0.0,27.1,2012,New Zealand NBL
20,Craig Bradshaw,ZER,16,30.6,9.5,20.9,0.455,2.8,6.8,0.406,5.3,8.1,0.6459999999999999,2.9,4.4,2.5,6.1,8.6,1.8,0.6,0.1,27.1,2012,New Zealand NBL
21,Tohi Smith-Milner,AUC,5,5.8,9.5,17.4,0.545,3.2,6.3,0.5,4.7,9.5,0.5,1.6,0.0,4.7,4.7,9.5,0.0,0.0,4.7,26.9,2012,New Zealand NBL
22,Chris Hagan,HUB,5,32.4,10.7,23.4,0.457,3.2,7.5,0.423,2.0,3.2,0.636,4.0,2.6,0.6,2.3,2.9,12.4,4.6,0.0,26.6,2012,New Zealand NBL
23,Kareem Johnson,IMS,17,25.7,11.0,16.7,0.66,0.0,0.4,0.0,4.6,6.2,0.732,2.6,4.2,4.0,11.7,15.7,1.1,1.4,1.0,26.6,2012,New Zealand NBL
24,Lawrence Abney,ZER,16,35.7,10.5,18.0,0.585,0.1,0.3,0.33299999999999996,5.4,9.0,0.604,3.1,3.0,3.4,10.6,14.0,1.6,2.0,1.4,26.6,2012,New Zealand NBL
25,Nick Horvath,HUB,17,34.7,10.3,20.0,0.516,0.3,1.0,0.308,5.6,7.8,0.7140000000000001,4.0,3.5,7.2,14.3,21.5,2.1,1.3,0.6,26.5,2012,New Zealand NBL
26,Ronald Dorsey,AUC,13,29.5,9.6,21.1,0.45399999999999996,4.2,12.0,0.354,2.9,3.8,0.774,1.3,2.9,2.4,4.6,7.0,3.0,2.2,0.7,26.3,2012,New Zealand NBL
27,Kevin Smith,LZHH,16,29.8,10.5,20.8,0.507,1.4,3.8,0.368,3.6,4.8,0.75,3.3,4.1,1.1,6.4,7.5,2.0,1.4,0.8,26.1,2012,New Zealand NBL
28,Shea Ili,AUC,4,5.4,6.5,10.9,0.6,0.0,2.2,0.0,13.0,19.5,0.667,8.7,8.7,4.3,0.0,4.3,2.2,2.2,4.3,26.1,2012,New Zealand NBL
29,Everard Bartlett,IMS,13,32.6,9.2,19.9,0.462,4.2,10.3,0.41100000000000003,3.3,3.9,0.853,3.0,2.5,1.7,3.4,5.2,4.8,1.7,0.2,26.0,2012,New Zealand NBL
30,Brad Anderson,LZHH,6,16.1,9.1,16.8,0.5429999999999999,4.3,7.7,0.562,3.4,3.4,1.0,3.8,1.0,0.5,1.9,2.4,6.7,1.9,0.0,25.9,2012,New Zealand NBL
31,Kevin Braswell,ZER,16,39.5,9.1,21.9,0.418,3.8,10.7,0.353,3.3,4.1,0.7959999999999999,4.0,2.5,0.8,4.0,4.8,6.2,3.7,0.2,25.3,2012,New Zealand NBL
32,Hayden Allen,AUC,18,28.3,9.1,21.4,0.424,3.3,9.6,0.349,3.2,3.8,0.857,3.2,4.8,2.0,5.8,7.8,4.1,2.3,0.2,24.8,2012,New Zealand NBL
33,Casey Frank,SAI,18,30.7,10.4,18.2,0.574,1.3,4.3,0.3,2.3,3.4,0.6920000000000001,3.5,5.4,3.4,10.2,13.6,3.6,1.7,1.1,24.5,2012,New Zealand NBL
34,Link Abrams,TAR,16,23.5,10.7,17.2,0.619,0.0,0.1,0.0,2.7,6.7,0.40399999999999997,1.9,4.9,4.7,9.0,13.7,1.8,1.0,0.8,24.0,2012,New Zealand NBL
35,Brooke Ruscoe,AUC,18,15.6,8.8,19.6,0.45,3.9,10.6,0.369,2.1,2.6,0.812,2.8,2.8,1.5,5.4,6.9,2.6,2.6,0.0,23.7,2012,New Zealand NBL
36,Ernest Scott,SAI,12,30.2,8.9,17.9,0.496,4.5,11.1,0.40700000000000003,1.4,1.9,0.7140000000000001,2.3,4.2,1.2,5.2,6.4,2.2,2.0,1.6,23.6,2012,New Zealand NBL
37,Pete Campbell,NEL,16,32.3,8.1,19.6,0.414,4.8,11.7,0.40700000000000003,2.2,2.9,0.759,1.7,4.6,2.6,6.6,9.2,2.0,1.2,0.2,23.2,2012,New Zealand NBL
38,Jason Crowe,SAI,18,36.0,7.5,18.9,0.39799999999999996,3.3,10.6,0.308,4.9,6.3,0.7759999999999999,4.8,2.9,1.0,7.6,8.6,11.7,3.7,0.1,23.2,2012,New Zealand NBL
