#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Peter Bergseth,ASK,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,45.5,45.5,1.0,0.0,0.0,0.0,22.7,22.7,0.0,0.0,0.0,45.5,2012,Norwegian BLNO
2,Avery Jukes,GIM,3,22.7,14.9,27.1,0.55,1.4,4.1,0.33299999999999996,14.2,19.6,0.7240000000000001,5.4,2.0,4.7,21.0,25.7,3.4,0.7,2.0,45.3,2012,Norwegian BLNO
3,Aivaras Simkunas,CEN,3,3.7,13.4,22.3,0.6,0.0,0.0,0.0,17.8,17.8,1.0,0.0,4.5,0.0,0.0,0.0,0.0,0.0,0.0,44.5,2012,Norwegian BLNO
4,Donny Calton,LAN,5,29.3,11.8,30.6,0.385,1.3,4.8,0.267,8.3,13.4,0.619,5.7,6.4,7.3,10.2,17.5,2.6,3.5,1.0,33.2,2012,Norwegian BLNO
5,Cooper Land,ASK,23,32.9,11.5,22.5,0.511,2.2,5.9,0.366,6.0,8.0,0.754,5.7,4.1,3.6,9.4,13.0,2.8,1.7,0.4,31.2,2012,Norwegian BLNO
6,Ronny Karlsen,CEN,17,33.6,11.7,23.4,0.502,2.7,6.9,0.38799999999999996,4.0,5.8,0.701,3.7,4.0,3.3,10.1,13.4,2.7,2.2,1.1,30.2,2012,Norwegian BLNO
7,Donald Oatis,BAE,8,26.1,12.7,22.2,0.5710000000000001,0.0,0.7,0.0,3.8,6.3,0.607,4.1,3.8,6.6,10.6,17.2,3.4,1.4,6.1,29.2,2012,Norwegian BLNO
8,Marius Sumskis,GIM,5,24.4,11.7,21.8,0.537,2.4,7.3,0.33299999999999996,2.8,2.8,1.0,6.4,6.4,2.8,7.3,10.1,0.4,4.0,1.2,28.6,2012,Norwegian BLNO
9,Stian Mjoes,BAE,20,35.8,9.8,21.1,0.466,4.6,9.6,0.47600000000000003,3.7,4.5,0.821,3.7,3.4,0.9,2.2,3.1,5.7,3.0,0.1,28.5,2012,Norwegian BLNO
10,Anthony Lee-Ingram,ASK,23,35.1,10.2,18.5,0.55,1.5,4.5,0.33299999999999996,6.7,8.4,0.8009999999999999,4.1,3.3,4.1,12.8,16.9,3.6,1.9,1.1,28.4,2012,Norwegian BLNO
11,Parnell Smith,GIM,8,31.6,9.9,20.2,0.49,0.2,0.8,0.25,4.7,6.4,0.727,5.4,3.5,5.2,9.1,14.4,1.9,1.9,1.4,28.2,2012,Norwegian BLNO
12,Gary Wallace,TRO,21,33.3,10.0,22.1,0.45299999999999996,1.3,3.7,0.34600000000000003,6.4,8.2,0.7759999999999999,3.3,3.7,2.6,7.1,9.7,4.3,1.6,0.4,27.7,2012,Norwegian BLNO
13,David Crouch,LAN,11,25.8,10.9,23.0,0.474,1.3,4.9,0.276,4.4,6.0,0.722,4.0,3.4,2.5,4.7,7.2,1.5,3.0,0.0,27.5,2012,Norwegian BLNO
14,Marco Sanders,CEN,10,20.7,10.3,16.1,0.636,0.0,0.2,0.0,6.6,11.5,0.574,3.9,5.4,5.1,7.1,12.2,3.9,1.2,1.2,27.1,2012,Norwegian BLNO
15,Elias Westerlund,AMM,18,34.7,9.7,21.6,0.451,1.6,5.8,0.278,5.8,8.6,0.684,5.1,3.7,2.9,5.0,7.9,1.8,2.2,0.4,26.9,2012,Norwegian BLNO
16,Miilah Kombat,FRO,23,29.2,10.7,22.0,0.489,0.8,2.4,0.324,4.1,9.3,0.44299999999999995,4.5,4.0,4.8,8.2,13.0,2.8,2.0,0.7,26.3,2012,Norwegian BLNO
17,Ryan Ferranti,BAE,20,31.0,9.5,21.0,0.452,1.1,4.2,0.259,5.2,7.8,0.67,3.7,5.4,3.5,8.6,12.1,4.0,3.2,0.9,25.3,2012,Norwegian BLNO
18,Anders Stien,GIM,19,31.8,8.8,19.1,0.462,2.6,8.5,0.302,4.7,6.3,0.7440000000000001,5.5,5.1,1.4,6.7,8.1,5.1,1.1,0.3,24.9,2012,Norwegian BLNO
19,Adrian Schonning,GIM,1,11.9,12.3,24.6,0.5,0.0,4.1,0.0,0.0,0.0,0.0,0.0,4.1,8.2,8.2,16.4,0.0,0.0,0.0,24.6,2012,Norwegian BLNO
20,Emari O'Garrow,LAN,11,26.1,8.8,21.2,0.414,3.3,8.4,0.392,3.1,4.6,0.679,4.1,5.5,2.1,5.6,7.8,5.0,2.1,0.7,24.0,2012,Norwegian BLNO
21,Peter Midtvedt,ASK,1,23.4,4.3,10.8,0.4,0.0,2.2,0.0,15.2,15.2,1.0,2.2,2.2,2.2,15.2,17.3,8.7,6.5,0.0,23.8,2012,Norwegian BLNO
22,Morten Sahlertz,TRO,23,29.4,9.6,21.2,0.452,1.2,4.2,0.276,3.5,5.3,0.667,2.6,3.9,3.1,5.3,8.4,2.0,2.6,0.6,23.8,2012,Norwegian BLNO
23,Peter Bullock,FRO,23,32.1,9.0,17.7,0.507,0.4,1.7,0.26899999999999996,5.0,6.6,0.757,3.4,3.8,3.7,9.0,12.7,3.2,3.4,1.3,23.4,2012,Norwegian BLNO
24,Brad Byerson,TRO,23,29.7,10.6,20.7,0.51,0.0,0.8,0.0,2.2,4.9,0.44799999999999995,4.6,4.1,3.3,12.2,15.5,5.4,2.3,1.7,23.3,2012,Norwegian BLNO
25,Frank Nyborg,CEN,21,30.2,8.7,17.5,0.498,1.3,4.3,0.309,3.9,6.3,0.625,2.5,3.7,2.2,6.4,8.6,2.7,1.6,1.5,22.8,2012,Norwegian BLNO
26,Edmunds Gabrans,FRO,23,31.5,7.9,13.2,0.599,3.7,7.5,0.496,3.1,4.1,0.758,2.6,4.2,0.8,5.0,5.8,6.4,2.9,0.1,22.7,2012,Norwegian BLNO
27,Simen Lie,BAE,2,5.3,9.0,9.0,1.0,4.5,4.5,1.0,0.0,0.0,0.0,13.4,4.5,0.0,0.0,0.0,0.0,0.0,0.0,22.4,2012,Norwegian BLNO
28,Korgba Kanu,CEN,10,7.4,7.9,19.1,0.414,2.6,6.6,0.4,3.9,6.6,0.6,5.3,5.9,0.0,2.6,2.6,3.3,1.3,0.0,22.3,2012,Norwegian BLNO
29,Mustafa Mahnin,CEN,19,33.7,7.2,18.6,0.39,2.5,8.3,0.306,4.8,6.1,0.797,4.8,4.2,1.8,5.7,7.5,6.6,2.2,0.2,21.9,2012,Norwegian BLNO
30,Isak Petter Brodahl,CEN,15,8.2,8.7,20.3,0.431,0.4,0.8,0.5,4.0,12.3,0.32299999999999995,7.2,6.4,4.0,5.6,9.5,2.0,2.8,0.4,21.9,2012,Norwegian BLNO
31,Chris-Ebou Ndow,FRO,6,11.5,8.1,25.0,0.324,0.0,6.7,0.0,5.4,6.1,0.889,6.1,3.4,1.3,8.8,10.1,1.3,1.3,0.7,21.6,2012,Norwegian BLNO
32,Mattia Bradascio,CEN,3,18.1,8.6,18.9,0.455,0.0,0.9,0.0,3.4,5.1,0.667,2.6,8.6,2.6,4.3,6.9,3.4,0.9,0.0,20.6,2012,Norwegian BLNO
33,Oyvind Fritzen,BAE,18,16.4,7.7,15.7,0.49,1.0,3.8,0.261,3.3,4.6,0.7140000000000001,3.1,2.9,5.7,3.9,9.6,3.1,2.1,0.0,19.6,2012,Norwegian BLNO
34,Filip Sjostrom,BAE,20,23.0,7.9,16.5,0.478,0.6,2.7,0.231,2.2,3.6,0.618,2.1,4.6,3.7,9.0,12.7,2.3,1.4,2.5,19.5,2012,Norwegian BLNO
35,Galin Mihaylov,TRO,23,21.6,7.3,18.4,0.395,3.8,11.4,0.33,0.7,1.0,0.7,2.9,3.8,0.8,2.5,3.3,3.9,2.4,0.5,19.4,2012,Norwegian BLNO
36,Yassin Ouakkaha,FRO,3,21.3,6.7,16.3,0.409,2.2,4.4,0.5,3.7,6.7,0.556,4.4,4.4,5.9,3.7,9.6,4.4,0.7,0.0,19.3,2012,Norwegian BLNO
37,Daniel Berg,GIM,18,27.7,6.3,13.4,0.47100000000000003,2.0,5.0,0.41200000000000003,4.7,5.9,0.787,2.0,4.8,1.5,5.0,6.4,2.7,1.7,0.1,19.2,2012,Norwegian BLNO
38,Thomas Mjos,BAE,18,30.5,6.4,16.8,0.379,2.7,8.2,0.32299999999999995,3.8,5.0,0.768,2.9,4.1,0.8,3.1,3.9,5.5,2.4,0.4,19.2,2012,Norwegian BLNO
39,Mladen Pavlovic,GIM,14,25.1,6.8,17.5,0.386,2.1,6.9,0.3,3.6,4.5,0.7879999999999999,3.9,5.2,2.1,7.0,9.1,4.4,4.1,0.0,19.2,2012,Norwegian BLNO
40,Stian Enge,GIM,15,24.0,7.7,16.7,0.46299999999999997,0.7,2.8,0.23800000000000002,3.0,4.7,0.629,3.5,4.5,3.1,5.3,8.4,3.2,1.6,0.3,19.1,2012,Norwegian BLNO
41,Roy Nwachukwu,AMM,2,39.0,5.2,16.9,0.308,1.3,3.9,0.33299999999999996,7.2,11.7,0.611,5.9,2.0,2.0,7.2,9.1,1.3,0.7,1.3,18.9,2012,Norwegian BLNO
42,Espen Stien,ASK,22,31.3,6.5,14.9,0.43700000000000006,1.5,5.2,0.28,4.3,6.7,0.635,5.0,3.6,0.6,4.7,5.3,6.8,1.7,0.2,18.7,2012,Norwegian BLNO
43,Nicholas Phillip,FRO,22,21.0,6.2,13.0,0.47700000000000004,1.1,3.3,0.344,4.6,6.4,0.7140000000000001,3.4,5.7,1.7,3.5,5.2,2.3,0.9,0.0,18.1,2012,Norwegian BLNO
44,Alain Nzeyimana,FRO,7,5.8,6.0,13.3,0.455,0.0,2.4,0.0,6.0,7.2,0.833,0.0,3.6,0.0,1.2,1.2,3.6,1.2,0.0,18.1,2012,Norwegian BLNO
45,Hani Issalhi,TRO,23,30.6,7.4,15.3,0.484,0.3,1.4,0.2,3.0,4.6,0.662,4.6,3.7,1.3,6.7,8.0,6.3,3.1,0.5,18.1,2012,Norwegian BLNO
46,Viktor Schonning,GIM,5,10.9,7.1,9.8,0.727,0.9,0.9,1.0,2.7,2.7,1.0,4.5,3.6,7.1,1.8,8.9,1.8,1.8,0.0,17.8,2012,Norwegian BLNO
47,Tellef Storebakken,ASK,4,6.8,5.3,14.2,0.375,1.8,5.3,0.33299999999999996,5.3,8.9,0.6,1.8,1.8,1.8,1.8,3.5,0.0,1.8,0.0,17.7,2012,Norwegian BLNO
48,Orji Okoroafor,AMM,18,32.2,6.6,19.6,0.336,1.5,7.8,0.192,3.1,5.1,0.609,9.7,4.3,0.6,6.0,6.6,4.8,1.7,0.1,17.7,2012,Norwegian BLNO
49,Ole Egeland,LAN,16,24.7,7.4,15.7,0.473,1.7,4.4,0.37799999999999995,1.1,1.2,0.9,3.7,3.8,1.4,3.8,5.3,1.8,1.4,0.2,17.6,2012,Norwegian BLNO
50,Reno Silavs,FRO,22,28.0,5.9,14.6,0.402,2.9,9.3,0.317,2.5,2.9,0.892,2.8,2.2,0.5,3.6,4.2,4.2,3.6,0.0,17.2,2012,Norwegian BLNO
51,Thor Hagen,AMM,13,34.1,6.2,14.3,0.43,0.1,1.3,0.083,4.8,8.3,0.5770000000000001,3.8,3.4,2.3,7.5,9.9,2.4,2.0,1.4,17.2,2012,Norwegian BLNO
52,Marco Elsafadi,FRO,19,17.0,7.4,15.4,0.48100000000000004,0.4,1.0,0.429,1.8,3.7,0.48,3.7,7.4,3.8,6.4,10.2,3.7,3.7,0.3,17.0,2012,Norwegian BLNO
53,Magnus Midtvedt,ASK,22,32.9,5.6,12.8,0.44,1.3,4.3,0.308,4.3,5.4,0.79,2.7,3.3,0.9,5.1,6.0,4.5,1.4,0.0,16.9,2012,Norwegian BLNO
54,Karl Otabor,FRO,23,16.8,5.0,18.1,0.27899999999999997,3.1,10.4,0.294,3.7,4.9,0.75,3.1,5.3,1.7,3.2,4.9,1.4,1.1,0.1,16.8,2012,Norwegian BLNO
55,Fredrik Bohn,ASK,22,25.5,6.3,13.2,0.47700000000000004,2.5,6.6,0.377,1.3,1.7,0.75,3.5,3.3,2.1,6.5,8.6,2.0,0.9,0.1,16.4,2012,Norwegian BLNO
56,Gisle Klubnes,LAN,19,25.3,7.6,19.8,0.384,0.0,0.2,0.0,1.1,2.3,0.45799999999999996,4.1,5.2,2.9,7.2,10.2,1.1,1.8,0.2,16.3,2012,Norwegian BLNO
57,Vegard Hansen,TRO,11,13.8,5.7,14.6,0.386,0.0,2.7,0.0,4.7,6.3,0.737,1.3,9.0,3.7,8.3,12.0,1.3,0.3,0.3,16.0,2012,Norwegian BLNO
58,Mathias Eckhoff,BAE,8,8.9,5.5,6.9,0.8,2.7,2.7,1.0,2.1,3.4,0.6,4.1,8.2,1.4,4.1,5.5,6.9,0.7,0.0,15.8,2012,Norwegian BLNO
59,Terrance Randolph,LAN,17,26.1,5.1,13.7,0.375,1.8,5.6,0.327,3.5,4.2,0.846,5.4,3.3,1.0,5.5,6.4,6.9,2.1,0.5,15.6,2012,Norwegian BLNO
60,Nicholas Seach,GIM,7,7.8,5.5,11.9,0.462,3.6,9.1,0.4,0.9,1.8,0.5,2.7,3.6,1.8,2.7,4.6,0.0,0.0,0.0,15.5,2012,Norwegian BLNO
61,Bendik Aunan,CEN,23,15.3,4.6,14.0,0.33,2.1,7.4,0.28300000000000003,3.8,5.6,0.675,4.2,4.2,1.8,5.3,7.1,3.2,2.7,0.1,15.1,2012,Norwegian BLNO
62,Ali Ouakkaha,FRO,19,22.2,4.8,11.1,0.434,0.2,2.1,0.105,5.2,7.5,0.687,4.8,5.8,4.0,5.2,9.2,5.6,2.4,0.1,15.1,2012,Norwegian BLNO
