#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Rey Guevarra,FUEL,2,8.1,14.2,19.9,0.7140000000000001,8.5,14.2,0.6,2.8,8.5,0.33299999999999996,2.8,14.2,0.0,5.7,5.7,5.7,0.0,0.0,39.8,2019,PBA - Commissioners Cup
2,Tony Mitchell,NLEX,6,36.0,13.8,25.8,0.534,1.8,6.5,0.276,7.1,11.8,0.604,4.7,3.8,4.0,12.9,16.9,3.6,1.3,2.0,36.5,2019,PBA - Commissioners Cup
3,Kenneth Bono,TNT,1,2.5,18.2,18.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,18.2,0.0,0.0,0.0,36.4,2019,PBA - Commissioners Cup
4,Chris McCullough,SMB,16,43.0,12.9,27.6,0.466,2.6,7.3,0.349,7.6,10.2,0.748,6.3,4.1,4.6,12.2,16.7,3.9,1.5,2.6,35.9,2019,PBA - Commissioners Cup
5,Delroy James,MER,4,41.6,13.2,27.8,0.473,4.2,10.2,0.41200000000000003,5.4,8.1,0.667,5.4,3.3,0.9,9.0,9.9,8.4,1.8,1.8,35.9,2019,PBA - Commissioners Cup
6,Denzel Bowles,ROS,9,39.5,13.0,23.7,0.547,1.1,4.8,0.22899999999999998,8.8,14.9,0.593,5.9,3.3,3.6,11.0,14.6,5.4,1.0,1.7,35.8,2019,PBA - Commissioners Cup
7,Lester Prosper,KIA,7,43.8,13.3,26.5,0.5,3.5,8.7,0.397,5.4,6.8,0.8,4.4,3.8,3.8,14.0,17.8,1.8,1.1,1.7,35.4,2019,PBA - Commissioners Cup
8,Stanley Pringle,NPB,2,21.4,13.1,23.9,0.55,7.2,15.5,0.462,1.2,3.6,0.33299999999999996,3.6,1.2,1.2,3.6,4.8,6.0,1.2,0.0,34.6,2019,PBA - Commissioners Cup
9,Gani Lawal,MER,7,38.8,14.5,27.1,0.537,0.0,1.5,0.0,5.2,10.7,0.483,6.4,4.1,11.1,15.8,26.9,1.5,1.5,0.9,34.3,2019,PBA - Commissioners Cup
10,Justin Brownlee,BGK,17,45.2,13.3,25.1,0.529,2.9,8.4,0.348,4.6,6.4,0.713,3.3,2.0,1.8,12.4,14.2,6.3,2.9,1.8,34.1,2019,PBA - Commissioners Cup
11,Terrence Jones,TNT,23,44.7,11.8,25.9,0.457,2.6,8.0,0.322,7.8,13.4,0.5820000000000001,5.5,3.7,3.7,12.9,16.6,7.8,2.0,3.2,34.0,2019,PBA - Commissioners Cup
12,Olu Ashaolu,NLEX,3,35.8,11.7,22.6,0.519,0.4,3.9,0.111,8.3,14.8,0.5589999999999999,5.7,4.8,3.5,16.1,19.6,6.1,1.7,0.4,32.2,2019,PBA - Commissioners Cup
13,Charles Rhodes,SMB,7,37.8,12.9,24.2,0.5329999999999999,0.7,3.2,0.222,5.7,8.0,0.711,5.5,4.1,5.1,11.8,17.0,3.4,1.1,3.0,32.2,2019,PBA - Commissioners Cup
14,Kyle Barone,KIA,4,40.2,11.1,23.4,0.475,3.2,7.3,0.44,6.1,9.9,0.618,2.6,0.9,6.7,10.8,17.5,3.5,1.5,1.8,31.6,2019,PBA - Commissioners Cup
15,Vic Manuel,ALA,10,21.6,13.3,27.2,0.48700000000000004,0.0,0.0,0.0,3.4,4.6,0.75,4.1,6.4,1.6,9.2,10.8,1.8,1.8,0.7,30.0,2019,PBA - Commissioners Cup
16,Richard Howell,FUEL,9,36.3,12.2,25.4,0.48,1.3,5.2,0.25,4.1,6.1,0.667,5.1,4.2,5.7,16.1,21.8,3.6,2.6,1.0,29.8,2019,PBA - Commissioners Cup
