#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Julian Sargent,BGK,1,2.2,40.4,40.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,20.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.8,2019,PBA - Governors Cup
2,Eugene Phelps,FUEL,2,36.9,17.7,31.0,0.5710000000000001,0.6,1.9,0.33299999999999996,13.9,22.2,0.629,4.4,5.1,7.0,12.0,19.0,4.4,1.3,0.6,50.0,2019,PBA - Governors Cup
3,Dez Wells,SMB,1,38.8,16.6,32.0,0.519,2.4,10.7,0.222,14.2,16.6,0.857,2.4,4.7,2.4,7.1,9.5,8.3,1.2,0.0,49.8,2019,PBA - Governors Cup
4,Ray Parks,BLAC,1,42.9,17.2,35.6,0.483,7.4,14.7,0.5,6.1,11.0,0.556,1.2,3.7,0.0,2.5,2.5,3.7,1.2,0.0,47.8,2019,PBA - Governors Cup
5,Mark Borboran,ROS,1,10.3,18.0,40.6,0.444,4.5,18.0,0.25,0.0,0.0,0.0,4.5,4.5,4.5,0.0,4.5,0.0,0.0,4.5,40.6,2019,PBA - Governors Cup
6,Justin Watts,ALA,2,38.2,14.4,31.7,0.45299999999999996,4.2,9.6,0.43799999999999994,4.2,6.0,0.7,4.8,4.2,2.4,13.2,15.6,3.0,1.2,1.2,37.1,2019,PBA - Governors Cup
7,Peter Simon,PURE,1,17.1,15.3,27.6,0.556,6.1,12.2,0.5,0.0,0.0,0.0,0.0,6.1,3.1,0.0,3.1,3.1,3.1,0.0,36.7,2019,PBA - Governors Cup
8,Philip Paniamogan,NLEX,1,18.6,12.6,20.2,0.625,10.1,12.6,0.8,0.0,0.0,0.0,2.5,7.6,0.0,5.1,5.1,7.6,0.0,0.0,35.4,2019,PBA - Governors Cup
9,Joel Wright,ROS,2,36.5,12.1,28.8,0.419,0.7,4.0,0.16699999999999998,10.0,18.1,0.556,2.7,6.0,7.4,8.7,16.1,4.0,1.3,2.0,34.8,2019,PBA - Governors Cup
10,Paul Lee Dalistan,PURE,1,30.1,13.9,27.8,0.5,3.5,13.9,0.25,3.5,3.5,1.0,3.5,3.5,1.7,3.5,5.2,1.7,0.0,0.0,34.8,2019,PBA - Governors Cup
11,Khapri Alston,KIA,2,41.3,11.7,18.4,0.636,0.6,1.1,0.5,10.1,15.1,0.667,4.5,3.9,6.1,14.5,20.7,5.0,1.7,0.0,34.1,2019,PBA - Governors Cup
12,Roi Sumang,BLAC,1,21.6,12.2,24.3,0.5,0.0,0.0,0.0,9.7,12.2,0.8,2.4,4.9,0.0,4.9,4.9,4.9,0.0,0.0,34.0,2019,PBA - Governors Cup
13,Mychal Ammons,NPB,1,38.4,12.1,24.3,0.5,2.7,4.0,0.667,6.7,10.8,0.625,1.3,6.7,6.7,18.9,25.6,5.4,1.3,2.7,33.7,2019,PBA - Governors Cup
14,Olu Ashaolu,NLEX,1,40.8,11.5,16.1,0.7140000000000001,0.0,1.2,0.0,10.4,13.8,0.75,6.9,5.8,0.0,12.7,12.7,6.9,0.0,1.2,33.4,2019,PBA - Governors Cup
15,Justin Brownlee,BGK,1,40.9,13.3,30.0,0.444,2.2,11.1,0.2,4.4,5.6,0.8,4.4,3.3,3.3,21.1,24.5,4.4,5.6,0.0,33.4,2019,PBA - Governors Cup
16,Reynel Hugnatan,MER,1,4.8,11.0,32.9,0.33299999999999996,11.0,21.9,0.5,0.0,0.0,0.0,0.0,0.0,0.0,21.9,21.9,0.0,0.0,0.0,32.9,2019,PBA - Governors Cup
17,Mark Barroca,PURE,1,29.4,12.5,26.7,0.467,3.6,8.9,0.4,3.6,3.6,1.0,5.3,1.8,3.6,8.9,12.5,3.6,1.8,0.0,32.1,2019,PBA - Governors Cup
18,Robert Bolick,NPB,1,32.9,11.0,23.6,0.467,1.6,7.9,0.2,7.9,9.4,0.833,3.1,1.6,1.6,4.7,6.3,7.9,0.0,3.1,31.5,2019,PBA - Governors Cup
19,Alex Cabagnot,SMB,1,33.9,13.6,25.8,0.526,2.7,5.4,0.5,1.4,2.7,0.5,2.7,1.4,1.4,5.4,6.8,4.1,1.4,0.0,31.2,2019,PBA - Governors Cup
20,Jose Raymar,BLAC,1,13.7,11.6,23.1,0.5,0.0,0.0,0.0,7.7,7.7,1.0,0.0,0.0,7.7,11.6,19.3,3.9,0.0,0.0,30.8,2019,PBA - Governors Cup
21,Mike DiGregorio,BLAC,1,19.3,10.9,24.5,0.444,8.2,16.3,0.5,0.0,0.0,0.0,2.7,0.0,0.0,5.4,5.4,2.7,0.0,0.0,29.9,2019,PBA - Governors Cup
22,Allein Maliksi,BLAC,1,26.4,7.9,17.9,0.444,4.0,9.9,0.4,9.9,11.9,0.833,0.0,6.0,4.0,6.0,9.9,2.0,0.0,0.0,29.8,2019,PBA - Governors Cup
23,Larry Fonacier,NLEX,1,17.4,10.8,16.2,0.667,8.1,10.8,0.75,0.0,0.0,0.0,5.4,0.0,2.7,2.7,5.4,2.7,2.7,0.0,29.7,2019,PBA - Governors Cup
24,Jaymar Perez,KIA,2,39.2,8.8,19.4,0.455,3.5,7.6,0.462,8.2,12.3,0.667,3.5,4.7,5.3,8.2,13.5,2.9,2.4,0.6,29.4,2019,PBA - Governors Cup
25,Raymond Almazan,MER,1,34.0,10.8,16.9,0.636,1.5,4.6,0.33299999999999996,6.2,13.9,0.444,1.5,4.6,10.8,9.2,20.0,3.1,0.0,1.5,29.2,2019,PBA - Governors Cup
26,Chris Newsome,MER,1,39.4,11.9,21.2,0.562,5.3,9.3,0.5710000000000001,0.0,0.0,0.0,0.0,2.7,1.3,11.9,13.3,4.0,1.3,1.3,29.2,2019,PBA - Governors Cup
27,Celedonio Trollano,TNT,1,25.3,11.6,23.2,0.5,5.0,9.9,0.5,0.0,0.0,0.0,0.0,5.0,1.7,5.0,6.6,1.7,0.0,0.0,28.1,2019,PBA - Governors Cup
28,Arwind Santos,SMB,1,29.5,10.9,17.1,0.636,3.1,7.8,0.4,3.1,3.1,1.0,0.0,4.7,3.1,9.3,12.5,1.6,3.1,3.1,28.0,2019,PBA - Governors Cup
29,Arthur Dela Cruz,BGK,1,19.5,11.7,21.0,0.556,4.7,7.0,0.667,0.0,0.0,0.0,0.0,7.0,4.7,2.3,7.0,4.7,0.0,0.0,28.0,2019,PBA - Governors Cup
30,Kiefer Isaac Ravena,NLEX,1,33.6,8.4,23.8,0.353,5.6,14.0,0.4,5.6,7.0,0.8,2.8,0.0,2.8,9.8,12.6,9.8,4.2,0.0,28.0,2019,PBA - Governors Cup
31,Jerramy King,NPB,1,15.0,10.3,20.7,0.5,0.0,3.4,0.0,6.9,6.9,1.0,0.0,6.9,3.4,10.3,13.8,3.4,0.0,0.0,27.5,2019,PBA - Governors Cup
32,Bryan Faundo,MER,1,15.2,13.7,17.2,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4,6.9,0.0,27.5,2019,PBA - Governors Cup
33,Matthew Wright,FUEL,2,36.0,9.7,25.3,0.385,3.9,9.7,0.4,3.9,7.1,0.545,6.5,3.2,2.6,1.9,4.5,9.1,2.6,0.0,27.3,2019,PBA - Governors Cup
