#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Michael Calisaan,PURE,7,4.8,14.4,25.8,0.556,1.4,7.2,0.2,1.4,8.6,0.16699999999999998,1.4,2.9,5.7,10.0,15.8,0.0,0.0,0.0,31.6,2019,PBA - Philippine Cup
2,Jon Jon Gabriel,KIA,4,4.2,11.1,16.6,0.667,0.0,2.8,0.0,8.3,13.9,0.6,2.8,2.8,5.5,8.3,13.9,0.0,0.0,0.0,30.5,2019,PBA - Philippine Cup
3,Raymond Aguilar,BGK,4,2.1,11.6,29.0,0.4,5.8,23.2,0.25,0.0,0.0,0.0,0.0,11.6,0.0,0.0,0.0,0.0,0.0,0.0,29.0,2019,PBA - Philippine Cup
4,Joseph Casio,ALA,5,18.4,11.4,20.6,0.5529999999999999,4.9,9.8,0.5,1.1,2.7,0.4,2.7,3.8,1.1,6.0,7.0,4.3,2.2,0.0,28.7,2019,PBA - Philippine Cup
5,June Mar Fajardo,SMB,26,35.1,10.1,16.4,0.614,0.1,0.1,1.0,8.0,11.5,0.698,5.2,3.6,8.0,11.5,19.6,3.1,0.7,2.4,28.3,2019,PBA - Philippine Cup
6,Allein Maliksi,BLAC,11,27.4,10.1,22.5,0.44799999999999995,2.2,7.0,0.311,5.8,7.0,0.8220000000000001,3.1,5.6,2.6,7.6,10.3,4.2,1.1,0.8,28.1,2019,PBA - Philippine Cup
7,Chico Lanete,SMB,2,1.7,14.0,28.0,0.5,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,14.0,14.0,0.0,0.0,28.0,2019,PBA - Philippine Cup
8,Nino Canaleta,MER,9,12.5,10.3,23.4,0.442,3.6,10.8,0.33299999999999996,3.6,4.0,0.889,1.8,4.5,2.2,8.1,10.3,3.1,1.3,0.4,27.9,2019,PBA - Philippine Cup
9,Sean Anthony,NPB,11,34.9,9.6,21.6,0.446,2.7,8.8,0.306,5.9,7.0,0.8420000000000001,4.6,5.4,3.0,8.9,12.0,4.6,3.7,0.2,27.8,2019,PBA - Philippine Cup
10,Roger Ray Pogoy,TNT,13,33.2,10.5,24.7,0.423,3.1,9.9,0.315,3.4,6.0,0.574,1.9,4.4,2.8,8.0,10.8,2.3,1.8,0.3,27.5,2019,PBA - Philippine Cup
11,Eric James Camson,KIA,11,15.8,10.8,28.6,0.377,2.7,11.6,0.233,3.0,3.5,0.846,3.5,5.9,3.8,7.0,10.8,2.7,2.4,0.5,27.2,2019,PBA - Philippine Cup
12,Terrence Romeo,SMB,22,22.8,9.3,25.0,0.371,3.9,11.8,0.33299999999999996,4.8,6.9,0.6890000000000001,3.9,5.0,0.7,4.4,5.0,5.5,1.3,0.4,27.2,2019,PBA - Philippine Cup
13,James Yap,ROS,19,26.2,8.9,23.7,0.376,3.9,11.7,0.33,4.4,6.4,0.6829999999999999,2.3,4.1,1.3,5.8,7.1,3.3,1.1,0.2,26.1,2019,PBA - Philippine Cup
14,Japeth Aguilar,BGK,14,29.7,10.2,19.9,0.515,0.6,1.4,0.41700000000000004,4.2,7.7,0.5539999999999999,5.2,2.7,4.0,8.7,12.7,3.2,1.5,2.1,25.3,2019,PBA - Philippine Cup
