#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Diogo Soares,TER,1,1.6,29.5,29.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.5,0.0,29.5,0.0,0.0,0.0,59.1,2012,Portuguese LPB
2,Artur Castela,SLB,1,2.0,27.0,27.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,0.0,54.0,2012,Portuguese LPB
3,Jose Carlos Bettencourt,CAB,4,2.0,17.2,28.7,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.5,0.0,0.0,0.0,0.0,5.7,0.0,34.5,2012,Portuguese LPB
4,Joao Couceiro,SAM,2,2.5,9.9,29.8,0.33299999999999996,9.9,9.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.9,0.0,0.0,29.8,2012,Portuguese LPB
5,Greg Stempin,FCP,29,26.5,11.3,20.3,0.556,1.1,3.2,0.34,6.0,7.9,0.76,3.5,5.2,4.8,8.5,13.4,2.7,1.5,1.3,29.6,2012,Portuguese LPB
6,Ted Scott,SLB,34,29.1,10.1,23.0,0.439,2.9,8.4,0.33899999999999997,5.0,6.0,0.823,3.8,3.5,1.2,3.9,5.1,3.3,2.2,0.4,28.0,2012,Portuguese LPB
7,Rick Cardoso,SAM,3,14.4,8.6,19.3,0.444,0.0,2.1,0.0,9.7,22.5,0.429,7.5,6.4,7.5,6.4,13.9,0.0,1.1,1.1,26.8,2012,Portuguese LPB
8,Brian Addison,SAM,22,31.4,11.2,20.5,0.547,0.3,0.9,0.28600000000000003,4.1,7.6,0.535,3.3,4.1,5.9,6.3,12.2,1.0,1.4,1.2,26.8,2012,Portuguese LPB
9,Anthony Hill,BAR,25,28.2,9.3,20.4,0.45299999999999996,0.8,1.9,0.429,6.5,8.7,0.748,4.4,4.0,3.0,8.8,11.8,2.3,1.4,0.6,26.0,2012,Portuguese LPB
10,Austin Kenon,CAB,23,26.2,8.4,20.5,0.40700000000000003,4.6,12.1,0.382,4.1,4.6,0.879,4.4,4.6,1.4,2.9,4.2,6.4,3.4,0.2,25.4,2012,Portuguese LPB
11,Antonio Monteiro,SLB,23,9.0,9.2,18.7,0.494,2.5,6.9,0.36700000000000005,4.2,6.9,0.6,1.2,6.5,3.0,6.0,9.0,2.3,1.6,0.9,25.1,2012,Portuguese LPB
12,Pedro Soares,OVA,3,2.2,8.3,24.9,0.33299999999999996,0.0,0.0,0.0,8.3,16.6,0.5,8.3,8.3,0.0,8.3,8.3,8.3,0.0,0.0,24.9,2012,Portuguese LPB
13,Tyronne McNeal,SAM,14,27.2,9.5,20.2,0.47,0.0,0.1,0.0,5.6,7.1,0.7929999999999999,2.8,4.5,3.0,7.3,10.4,1.3,1.6,0.7,24.6,2012,Portuguese LPB
14,Nuno Cortez,OVA,21,13.9,9.9,18.3,0.542,1.0,2.7,0.375,3.3,5.3,0.613,3.3,8.1,3.6,8.9,12.5,0.9,3.6,0.5,24.2,2012,Portuguese LPB
15,Brian Morris,VIT,15,32.3,9.6,18.7,0.516,1.4,3.6,0.37799999999999995,3.5,5.3,0.667,2.3,4.6,4.4,11.7,16.0,1.3,2.2,0.9,24.1,2012,Portuguese LPB
16,Heshimu Evans,SLB,33,19.7,8.7,14.5,0.602,0.0,0.4,0.0,6.6,9.3,0.7140000000000001,4.0,6.0,5.3,6.0,11.4,3.5,1.8,0.4,24.0,2012,Portuguese LPB
17,Carlos Ferreirinho,SLB,16,8.9,8.3,20.0,0.41700000000000004,5.0,10.7,0.469,2.3,2.7,0.875,3.0,6.0,1.3,4.0,5.3,2.7,1.0,0.3,24.0,2012,Portuguese LPB
18,Candido Sa,SLB,1,4.6,11.8,23.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,23.7,2012,Portuguese LPB
19,Chris Lee,OVA,25,28.3,8.9,16.9,0.529,0.0,0.1,0.0,5.6,7.7,0.7340000000000001,3.9,3.9,6.2,11.6,17.8,3.7,2.1,1.1,23.5,2012,Portuguese LPB
20,Ricky Franklin,SCL,25,34.6,8.0,20.3,0.392,2.9,10.5,0.276,4.5,5.9,0.76,5.5,4.0,0.9,3.6,4.4,5.1,2.4,0.1,23.3,2012,Portuguese LPB
21,Dillion Sneed,ACA,11,33.2,10.2,16.6,0.612,0.0,0.0,0.0,2.8,8.6,0.32799999999999996,3.3,3.1,4.6,9.0,13.6,2.3,2.6,0.3,23.1,2012,Portuguese LPB
22,James Crowder,OVA,2,20.9,9.9,22.0,0.45,1.1,11.0,0.1,2.2,2.2,1.0,5.5,4.4,3.3,9.9,13.2,3.3,3.3,0.0,23.1,2012,Portuguese LPB
23,Richard Oruche,ACA,26,31.7,7.9,19.6,0.402,2.3,7.7,0.299,5.0,6.7,0.741,3.6,2.0,1.8,3.1,4.9,2.0,1.2,0.1,23.0,2012,Portuguese LPB
24,Nuno Marcal,FCP,18,11.0,8.1,17.7,0.45799999999999996,4.2,10.8,0.386,2.5,3.2,0.769,3.0,6.6,2.2,5.4,7.6,3.4,2.7,1.0,22.9,2012,Portuguese LPB
25,Austen Powers,OVA,25,32.0,8.6,17.9,0.479,1.9,5.9,0.326,3.7,4.6,0.8109999999999999,4.7,4.5,3.3,6.8,10.1,1.4,1.9,0.7,22.8,2012,Portuguese LPB
26,Jaime Silva,CAB,20,31.1,7.7,17.6,0.439,5.1,13.6,0.375,2.2,3.0,0.718,3.4,4.7,0.8,2.6,3.4,5.7,4.9,0.5,22.7,2012,Portuguese LPB
27,Augusto Matos,BHT,16,25.0,7.5,21.8,0.344,2.2,8.9,0.25,5.5,7.3,0.758,3.0,3.0,2.1,4.6,6.7,1.5,2.8,0.0,22.7,2012,Portuguese LPB
28,Nate Bowie,TER,16,38.7,7.2,19.8,0.365,2.1,7.9,0.264,6.1,7.8,0.7809999999999999,4.2,3.3,1.0,3.3,4.2,4.6,1.9,0.0,22.6,2012,Portuguese LPB
29,Curtis Terry,ACA,4,24.1,8.2,17.3,0.47200000000000003,3.8,11.1,0.348,2.4,3.4,0.7140000000000001,4.3,5.8,0.5,3.4,3.8,4.3,1.4,0.0,22.6,2012,Portuguese LPB
30,Jorge Coelho,CAB,25,29.5,7.9,16.1,0.49200000000000005,0.7,2.1,0.344,6.0,7.4,0.8140000000000001,3.6,5.2,3.3,4.9,8.1,2.3,1.2,1.3,22.6,2012,Portuguese LPB
31,Mario Goncalves,OVA,22,8.9,8.3,14.1,0.589,0.0,0.0,0.0,5.8,7.5,0.767,3.8,11.8,6.8,5.5,12.3,1.5,3.5,0.5,22.4,2012,Portuguese LPB
32,Brian Mills,SCL,29,32.4,9.1,16.5,0.552,0.5,1.5,0.31,3.6,4.8,0.747,3.4,4.9,3.5,6.3,9.8,2.0,1.7,0.8,22.2,2012,Portuguese LPB
33,Tony Murphy,TER,16,38.3,7.4,19.2,0.384,2.6,7.8,0.327,4.9,6.2,0.7929999999999999,4.1,1.6,1.4,3.8,5.3,3.2,1.4,0.0,22.2,2012,Portuguese LPB
34,Joao Soares,FCP,23,10.4,7.4,18.0,0.414,2.9,7.6,0.37799999999999995,4.3,6.0,0.7240000000000001,4.7,6.6,4.7,7.2,12.0,2.5,2.9,0.0,22.1,2012,Portuguese LPB
35,Ivan Almeida,SAM,11,27.4,7.7,16.5,0.46399999999999997,2.3,5.4,0.41700000000000004,4.4,5.7,0.763,3.3,5.9,1.5,5.9,7.4,2.3,3.2,1.4,21.9,2012,Portuguese LPB
36,Sergi Coll,BHT,21,31.6,9.0,17.6,0.51,0.6,2.7,0.205,3.2,5.2,0.622,3.3,5.5,3.8,7.2,11.0,1.9,2.0,0.6,21.8,2012,Portuguese LPB
37,Seth Doliboa,SLB,31,29.7,7.4,15.2,0.486,2.6,5.9,0.439,4.3,5.4,0.8059999999999999,2.6,2.4,2.3,8.1,10.4,2.0,1.7,1.2,21.7,2012,Portuguese LPB
38,Antonio Tavares,BAR,18,20.7,7.4,19.8,0.37200000000000005,2.5,9.1,0.278,4.4,5.3,0.833,3.6,3.4,0.6,3.8,4.4,3.3,3.0,0.3,21.7,2012,Portuguese LPB
39,Cavel Witter,BAR,19,22.0,6.6,15.3,0.433,2.1,5.8,0.353,6.2,7.8,0.794,5.2,5.7,1.3,3.7,4.9,6.2,3.2,0.2,21.5,2012,Portuguese LPB
40,Augusto Sobrinho,SCL,28,27.7,8.2,17.6,0.466,2.9,8.1,0.354,2.2,2.9,0.7390000000000001,3.9,4.0,0.4,3.5,3.9,4.5,2.0,0.1,21.4,2012,Portuguese LPB
41,Tauras Skripkauskas,CAS,3,34.5,8.1,24.7,0.327,1.0,9.6,0.105,4.0,5.6,0.727,7.6,5.6,2.5,2.5,5.0,1.5,2.0,0.0,21.2,2012,Portuguese LPB
