#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Dragan Apic,FMP,2,17.9,12.9,16.7,0.769,0.0,0.0,0.0,11.6,12.9,0.9,6.4,9.0,2.6,11.6,14.2,1.3,5.1,0.0,37.3,2018,Serbian Cup
2,Aleksandar Todorovic,DYNA,1,25.9,11.0,18.3,0.6,9.2,14.6,0.625,5.5,9.2,0.6,5.5,7.3,1.8,7.3,9.2,1.8,3.7,0.0,36.6,2018,Serbian Cup
3,Stefan Jankovic,ZVE,1,8.6,11.5,17.3,0.667,0.0,0.0,0.0,11.5,17.3,0.667,0.0,11.5,0.0,17.3,17.3,0.0,0.0,5.8,34.6,2018,Serbian Cup
4,Filip Covic,FMP,2,25.9,10.6,22.1,0.48,7.1,14.2,0.5,4.4,7.1,0.625,12.4,5.3,0.9,1.8,2.7,8.0,0.9,0.0,32.8,2018,Serbian Cup
5,Dylan Ennis,ZVE,3,15.8,11.5,24.1,0.478,6.3,14.7,0.429,2.1,2.1,1.0,1.0,7.3,1.0,7.3,8.4,6.3,1.0,0.0,31.4,2018,Serbian Cup
6,Dorde Gagic,PAR,3,19.6,10.1,17.6,0.5710000000000001,0.8,0.8,1.0,9.2,15.9,0.579,6.7,8.4,12.6,5.9,18.5,0.8,0.8,0.0,30.2,2018,Serbian Cup
7,Nikola Rebic,MEG,2,22.4,9.6,20.2,0.474,3.2,8.5,0.375,7.5,9.6,0.778,3.2,3.2,1.1,1.1,2.1,6.4,1.1,0.0,29.8,2018,Serbian Cup
8,Ognjen Carapic,MEG,2,17.6,8.1,16.2,0.5,2.7,8.1,0.33299999999999996,9.5,12.2,0.778,5.4,2.7,2.7,1.4,4.1,2.7,0.0,0.0,28.4,2018,Serbian Cup
9,Vuk Vulikic,DYNA,1,16.9,11.2,14.0,0.8,5.6,5.6,1.0,0.0,0.0,0.0,2.8,2.8,0.0,2.8,2.8,5.6,0.0,0.0,28.1,2018,Serbian Cup
10,Darko Balaban,BOR,1,14.2,13.8,24.2,0.5710000000000001,0.0,0.0,0.0,0.0,0.0,0.0,3.5,17.3,3.5,0.0,3.5,0.0,0.0,0.0,27.7,2018,Serbian Cup
11,Nikola Miskovic,MEG,2,12.2,7.8,15.6,0.5,3.9,5.9,0.667,7.8,7.8,1.0,0.0,7.8,2.0,2.0,3.9,2.0,2.0,2.0,27.4,2018,Serbian Cup
12,Vlatko Cancar,MEG,2,27.3,9.6,18.3,0.524,6.1,10.5,0.583,1.7,3.5,0.5,4.4,4.4,1.7,8.7,10.5,2.6,2.6,0.0,27.0,2018,Serbian Cup
13,Dusan Beslac,DYNA,1,14.1,10.1,10.1,1.0,3.4,3.4,1.0,3.4,6.7,0.5,3.4,3.4,3.4,6.7,10.1,6.7,0.0,0.0,26.9,2018,Serbian Cup
14,Nemanja Nenadic,FMP,2,19.8,9.3,13.9,0.667,1.2,4.6,0.25,7.0,9.3,0.75,4.6,5.8,0.0,7.0,7.0,10.5,1.2,0.0,26.7,2018,Serbian Cup
15,Milos Dimic,BOR,1,26.4,11.1,16.7,0.667,1.9,5.6,0.33299999999999996,1.9,5.6,0.33299999999999996,5.6,5.6,0.0,11.1,11.1,3.7,3.7,1.9,26.0,2018,Serbian Cup
16,Nemanja Gudzic,ZLAT,1,27.2,9.3,20.4,0.455,7.4,13.0,0.5710000000000001,0.0,0.0,0.0,7.4,0.0,1.9,7.4,9.3,0.0,1.9,1.9,26.0,2018,Serbian Cup
17,Milko Bjelica,ZVE,3,27.4,7.8,12.7,0.619,1.8,5.4,0.33299999999999996,7.2,10.3,0.706,2.4,2.4,3.6,5.4,9.1,3.6,2.4,1.2,24.8,2018,Serbian Cup
18,Nikola Pesakovic,BOR,1,24.4,10.1,16.1,0.625,4.0,6.0,0.667,0.0,0.0,0.0,4.0,10.1,2.0,2.0,4.0,6.0,2.0,0.0,24.1,2018,Serbian Cup
19,Dukan Dukanovic,MET,1,40.0,7.4,11.7,0.636,2.1,2.1,1.0,6.4,7.4,0.857,2.1,2.1,0.0,3.2,3.2,5.3,4.2,0.0,23.3,2018,Serbian Cup
20,Michael Ojo,FMP,2,18.1,8.9,12.7,0.7,0.0,0.0,0.0,5.1,6.3,0.8,3.8,6.3,5.1,13.9,19.0,0.0,2.5,2.5,22.8,2018,Serbian Cup
