#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Lukas Melotik,PATR,1,4.0,12.0,24.0,0.5,12.0,12.0,1.0,24.0,24.0,1.0,0.0,0.0,0.0,12.0,12.0,0.0,0.0,0.0,59.9,2012,Slovakian Extraliga
2,Filip Dratva,SVIT,3,2.0,15.4,30.9,0.5,15.4,23.1,0.667,0.0,0.0,0.0,0.0,7.7,0.0,7.7,7.7,0.0,0.0,0.0,46.3,2012,Slovakian Extraliga
3,Anthony Jones,HAN,35,38.0,11.1,22.7,0.49,3.5,8.4,0.41200000000000003,9.2,11.5,0.799,4.3,2.1,2.2,4.2,6.4,8.9,3.1,0.3,34.9,2012,Slovakian Extraliga
4,Andrian Stefek,VAH,2,1.5,16.3,32.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.7,2012,Slovakian Extraliga
5,Marcus Neal,BAN,3,35.0,11.5,27.0,0.426,2.2,8.0,0.278,6.2,7.1,0.875,5.8,4.0,1.8,0.9,2.7,5.3,0.9,1.3,31.5,2012,Slovakian Extraliga
6,Ondrej Soska,VAH,27,29.5,12.4,22.5,0.551,1.3,4.1,0.324,3.9,5.3,0.7390000000000001,3.3,5.4,3.0,7.7,10.7,1.7,1.4,0.5,30.1,2012,Slovakian Extraliga
7,Keaton Grant,PATR,13,28.2,10.2,21.8,0.469,2.0,6.2,0.326,6.9,9.0,0.7609999999999999,4.9,3.8,2.7,5.8,8.5,4.3,3.6,1.2,29.4,2012,Slovakian Extraliga
8,Lamar Roberson,SVIT,18,29.9,10.2,23.2,0.43700000000000006,1.8,6.4,0.278,7.0,8.8,0.79,4.9,3.9,2.7,10.2,13.0,4.9,3.4,1.9,29.1,2012,Slovakian Extraliga
9,Dominique Keller,PATR,14,23.1,12.7,25.0,0.509,0.5,1.9,0.25,3.1,5.4,0.5710000000000001,3.4,5.4,4.5,6.5,11.0,2.2,1.7,1.7,29.0,2012,Slovakian Extraliga
10,Kenneth Henderson,SVIT,18,30.3,11.4,24.2,0.47,0.9,3.4,0.25,4.6,6.4,0.73,4.4,4.7,3.0,6.1,9.1,4.3,2.0,0.9,28.2,2012,Slovakian Extraliga
11,Dior Lowhorn,PATR,6,22.3,12.0,24.7,0.485,0.7,3.7,0.2,3.4,4.5,0.75,2.6,2.2,5.2,10.9,16.1,3.0,1.1,1.9,28.1,2012,Slovakian Extraliga
12,Lester Prosper,PRI,2,9.0,9.4,28.1,0.33299999999999996,0.0,0.0,0.0,9.4,9.4,1.0,2.3,4.7,9.4,11.7,21.0,0.0,0.0,2.3,28.1,2012,Slovakian Extraliga
13,Parish Petty,VAH,15,31.1,9.4,19.3,0.48700000000000004,2.2,6.9,0.313,7.0,10.8,0.648,7.3,4.7,2.9,7.1,10.0,9.2,5.1,0.4,27.9,2012,Slovakian Extraliga
14,Vince Polakovic,SVIT,38,22.2,10.5,18.4,0.57,0.2,1.0,0.235,6.0,7.8,0.77,3.0,4.4,1.9,5.3,7.2,2.3,1.3,0.4,27.2,2012,Slovakian Extraliga
15,Sean Hampton,HAN,32,33.9,9.7,20.4,0.475,2.4,7.3,0.32899999999999996,4.0,5.2,0.7709999999999999,3.4,3.3,3.3,5.6,8.9,2.4,2.0,0.0,25.8,2012,Slovakian Extraliga
16,Denis Clemente,NIT,36,33.4,9.2,21.0,0.44,2.7,9.3,0.293,4.5,6.3,0.7120000000000001,3.6,3.9,0.8,4.0,4.8,5.3,2.1,0.0,25.8,2012,Slovakian Extraliga
17,Darren Duncan,SNV,2,19.5,3.5,8.3,0.429,1.2,3.5,0.33299999999999996,16.6,17.7,0.9329999999999999,4.7,4.7,0.0,4.7,4.7,9.5,3.5,0.0,24.8,2012,Slovakian Extraliga
18,Richard Grznar,BAN,28,25.9,8.4,18.9,0.447,1.6,5.7,0.281,6.2,9.5,0.653,6.6,5.3,1.3,3.6,4.9,7.2,1.2,0.5,24.6,2012,Slovakian Extraliga
19,Dominique Keller,KOM,21,21.8,10.7,21.3,0.503,0.1,0.8,0.14300000000000002,3.0,4.8,0.636,3.7,5.7,5.2,8.0,13.2,2.3,2.2,2.4,24.5,2012,Slovakian Extraliga
20,Esian Henderson,PATR,2,26.5,7.5,17.9,0.42100000000000004,1.9,9.4,0.2,7.5,8.5,0.889,5.7,3.8,4.7,7.5,12.2,1.9,1.9,2.8,24.5,2012,Slovakian Extraliga
21,Mike Bernard,PATR,17,22.8,9.7,17.2,0.5670000000000001,0.0,0.5,0.0,5.0,7.4,0.672,4.1,5.0,4.5,4.5,9.0,1.2,1.7,2.7,24.5,2012,Slovakian Extraliga
22,Robert Vaden,NIT,18,31.9,8.9,19.6,0.455,3.0,7.8,0.38299999999999995,3.5,4.1,0.857,4.2,3.7,1.1,6.4,7.5,3.7,2.8,0.9,24.3,2012,Slovakian Extraliga
23,Sinisa Bilic,KOM,41,26.1,9.1,17.8,0.513,1.9,5.8,0.33299999999999996,4.0,5.9,0.674,3.7,4.6,1.7,6.5,8.2,3.7,1.8,0.2,24.3,2012,Slovakian Extraliga
24,Andrew Jones,SNV,24,32.5,9.9,16.6,0.597,0.0,0.0,0.0,4.5,7.5,0.597,5.3,3.9,5.5,11.7,17.2,2.5,1.4,0.7,24.3,2012,Slovakian Extraliga
25,Marcus Kitts,BAN,27,32.6,9.2,17.9,0.512,0.2,0.8,0.25,5.6,9.0,0.622,3.4,4.6,7.4,10.2,17.6,1.6,2.3,1.4,24.2,2012,Slovakian Extraliga
26,Adam Waleskowski,PATR,4,9.0,11.0,16.5,0.667,0.0,0.0,0.0,1.4,9.6,0.14300000000000002,1.4,6.9,4.1,2.7,6.9,1.4,1.4,4.1,23.3,2012,Slovakian Extraliga
27,Martin Bilik,KOM,39,21.9,7.5,19.6,0.385,3.8,12.7,0.299,4.4,5.8,0.752,2.6,6.8,2.4,3.7,6.1,2.6,2.1,0.3,23.2,2012,Slovakian Extraliga
28,Branislav Tomek,NIT,41,22.3,9.2,16.9,0.544,0.1,0.8,0.125,4.6,6.5,0.7070000000000001,4.0,6.3,6.5,8.0,14.4,1.3,1.5,1.3,23.1,2012,Slovakian Extraliga
29,Johnathon Jones,KOM,41,34.8,7.4,14.5,0.508,2.7,6.1,0.43799999999999994,5.3,6.6,0.797,3.5,3.6,1.0,4.1,5.1,7.9,2.9,0.5,22.9,2012,Slovakian Extraliga
30,Sullivan Phillips,PRI,45,31.3,6.6,14.2,0.461,1.0,3.8,0.263,8.6,12.0,0.723,4.8,5.1,2.1,6.5,8.6,7.1,2.4,0.8,22.8,2012,Slovakian Extraliga
31,Louis Johnson,KOM,40,27.9,8.7,15.9,0.546,0.4,1.2,0.29600000000000004,5.0,7.8,0.644,2.7,4.5,5.2,9.4,14.7,2.6,1.7,1.6,22.8,2012,Slovakian Extraliga
32,Johndre Jefferson,SVIT,21,25.9,8.6,16.3,0.527,0.0,0.3,0.0,5.5,9.1,0.61,3.3,4.9,6.2,10.1,16.3,1.6,1.6,5.7,22.7,2012,Slovakian Extraliga
33,Sinisa Stemberger,PATR,13,22.6,7.0,18.4,0.38,3.7,11.7,0.319,4.4,6.1,0.722,4.1,7.1,0.9,4.4,5.3,4.6,2.7,0.3,22.1,2012,Slovakian Extraliga
34,Pavol Losonsky,SNV,31,32.9,8.0,17.7,0.45299999999999996,0.4,2.0,0.18600000000000003,5.7,6.8,0.836,4.2,3.7,2.0,8.1,10.1,3.0,1.6,0.0,22.0,2012,Slovakian Extraliga
35,Michal Batka,SNV,34,33.4,8.6,16.8,0.515,2.0,5.9,0.34,2.6,3.8,0.6890000000000001,1.5,4.7,2.8,7.4,10.2,2.5,1.4,2.0,22.0,2012,Slovakian Extraliga
36,Viliam Kosa,VAH,27,21.5,6.9,16.7,0.414,3.6,10.9,0.331,4.2,6.4,0.6579999999999999,4.7,6.4,0.3,2.8,3.0,4.4,1.5,0.0,21.6,2012,Slovakian Extraliga
37,Dejan Stojanovic,VAH,32,29.0,7.3,15.1,0.486,2.0,5.5,0.36200000000000004,4.9,6.3,0.782,3.5,4.5,2.0,8.4,10.4,2.4,2.2,0.1,21.6,2012,Slovakian Extraliga
38,Milan Ziak,NIT,41,24.7,7.2,17.6,0.408,2.5,7.5,0.33799999999999997,4.5,6.1,0.742,5.7,4.9,1.8,3.3,5.1,3.3,1.8,0.3,21.4,2012,Slovakian Extraliga
