#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Valentin Tratnik,MAR,2,2.2,22.2,22.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.1,0.0,11.1,11.1,0.0,0.0,0.0,44.5,2012,Slovenian SKL
2,Matic Rebec,DOM,3,4.0,8.2,12.4,0.667,8.2,8.2,1.0,8.2,8.2,1.0,12.4,8.2,4.1,0.0,4.1,4.1,0.0,0.0,33.0,2012,Slovenian SKL
3,Bojan Tepic,POL,7,4.4,10.4,14.9,0.7,7.4,8.9,0.833,3.0,6.0,0.5,6.0,3.0,3.0,3.0,6.0,3.0,0.0,0.0,31.3,2012,Slovenian SKL
4,Aldin Delic,LTH,2,8.1,8.7,17.5,0.5,0.0,2.9,0.0,11.7,11.7,1.0,0.0,14.6,2.9,11.7,14.6,0.0,0.0,0.0,29.1,2012,Slovenian SKL
5,Drago Pasalic,DOM,30,22.4,11.6,20.8,0.555,1.7,5.7,0.3,2.6,3.9,0.667,4.1,8.3,3.0,8.8,11.8,1.6,1.0,0.9,27.4,2012,Slovenian SKL
6,Travis Nelson,SEN,26,30.9,10.4,17.2,0.605,0.0,0.0,0.0,6.5,7.4,0.878,2.3,5.7,4.1,6.7,10.9,1.9,0.9,2.0,27.3,2012,Slovenian SKL
7,Nejc Skoberne,SEN,3,1.2,0.0,13.2,0.0,0.0,13.2,0.0,26.4,26.4,1.0,0.0,0.0,13.2,0.0,13.2,0.0,0.0,0.0,26.4,2012,Slovenian SKL
8,Klemen Prepelic,DOM,30,31.6,7.1,15.7,0.45,3.6,9.3,0.38799999999999996,7.7,8.8,0.879,4.1,3.6,1.0,3.5,4.4,5.7,1.6,0.1,25.5,2012,Slovenian SKL
9,Marko Spica,MAR,27,19.2,9.2,17.2,0.5329999999999999,0.0,0.0,0.0,6.0,7.6,0.79,4.2,6.9,3.9,6.5,10.4,2.3,1.4,0.9,24.3,2012,Slovenian SKL
10,Dmitry Sviridov,POL,28,21.9,7.8,15.0,0.518,0.1,0.2,0.33299999999999996,8.6,10.2,0.8440000000000001,4.8,7.7,5.3,9.0,14.3,1.7,0.8,2.1,24.2,2012,Slovenian SKL
