#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Edward Kim,SKK,2,1.6,30.4,30.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,15.2,0.0,0.0,60.8,2012,South Korean KBL
2,Alexander Johnson,SKK,29,36.4,13.0,22.4,0.5820000000000001,0.0,0.4,0.0,9.1,12.4,0.732,5.3,4.2,6.2,12.3,18.5,2.7,1.9,1.6,35.2,2012,South Korean KBL
3,Aaron Haynes,CHA,43,38.9,12.8,21.8,0.5870000000000001,0.0,0.3,0.111,8.1,9.2,0.877,3.4,3.4,4.3,10.2,14.4,4.0,1.6,1.9,33.6,2012,South Korean KBL
4,Terrence Leather,MOB,44,37.2,12.9,24.7,0.52,0.3,0.9,0.29,4.9,6.2,0.789,5.0,4.8,4.8,12.2,17.0,3.0,1.4,2.0,30.9,2012,South Korean KBL
5,Ira Clark,SAM,39,38.9,12.1,21.6,0.5579999999999999,0.8,2.6,0.29100000000000004,5.8,7.4,0.7929999999999999,4.3,4.1,3.5,8.0,11.5,2.5,1.3,1.3,30.7,2012,South Korean KBL
6,DeShawn Sims,KCC,48,37.4,12.9,24.9,0.517,0.9,3.3,0.28800000000000003,3.5,4.9,0.7020000000000001,3.8,3.5,4.2,7.9,12.0,2.4,1.7,0.9,30.1,2012,South Korean KBL
7,Charles Rhodes,SON,57,35.8,12.8,20.6,0.623,0.1,0.4,0.267,3.9,5.3,0.727,4.2,4.2,5.1,11.3,16.4,2.1,1.4,3.5,29.6,2012,South Korean KBL
8,Chris Williams,GOY,54,38.7,11.2,19.0,0.589,0.2,1.4,0.177,6.2,8.2,0.752,4.6,3.6,3.6,8.6,12.1,7.3,3.2,1.5,28.8,2012,South Korean KBL
9,Herbert Hill,INC,36,38.7,11.9,19.8,0.602,0.0,0.1,0.0,3.9,5.8,0.6809999999999999,3.0,2.8,4.1,9.9,14.0,2.5,1.2,3.0,27.7,2012,South Korean KBL
10,Peter John Ramos,SAM,15,37.1,11.9,19.4,0.612,0.0,0.1,0.0,2.7,4.4,0.611,5.8,4.1,3.4,8.6,12.0,3.9,0.5,1.5,26.4,2012,South Korean KBL
11,Tae-Jong Moon,INC,58,31.8,9.4,20.0,0.467,2.6,7.7,0.33299999999999996,5.1,6.2,0.8220000000000001,3.9,2.8,1.8,6.0,7.8,4.5,2.1,0.8,26.4,2012,South Korean KBL
12,Malcolm Thomas,MOB,17,37.9,9.9,19.3,0.511,0.1,1.1,0.067,6.3,9.0,0.6970000000000001,5.0,3.2,3.0,10.3,13.3,3.9,2.0,3.5,26.1,2012,South Korean KBL
13,Rod Benson,DON,63,37.6,10.8,18.9,0.5710000000000001,0.0,0.1,0.0,4.5,7.3,0.61,3.4,3.5,6.0,11.2,17.2,1.8,2.2,1.6,26.1,2012,South Korean KBL
14,Rodney White,ANY,32,36.2,10.8,20.3,0.53,1.4,3.9,0.35100000000000003,2.8,4.2,0.667,3.6,3.9,3.1,7.0,10.2,3.6,2.1,1.6,25.7,2012,South Korean KBL
15,Jae-Hyun Park,SAM,16,6.0,9.8,18.5,0.526,3.4,9.8,0.35,2.0,2.4,0.8,1.5,4.9,1.0,1.5,2.4,1.0,1.5,0.0,24.9,2012,South Korean KBL
16,Chris Daniels,ANY,26,36.0,10.3,17.6,0.586,0.6,2.0,0.282,3.3,4.6,0.7190000000000001,3.1,3.9,4.7,10.3,15.1,2.5,1.2,2.3,24.5,2012,South Korean KBL
17,"Alan Wiggins, Jr.",ANY,6,28.6,10.8,21.8,0.494,0.3,1.3,0.2,2.7,5.1,0.526,4.3,5.9,4.0,6.5,10.5,0.5,1.9,1.1,24.5,2012,South Korean KBL
18,Reggie Okosa,SON,5,30.3,10.4,21.2,0.49200000000000005,0.0,0.0,0.0,3.6,6.5,0.55,5.9,5.9,6.5,7.2,13.7,3.6,1.3,0.3,24.4,2012,South Korean KBL
19,Jackson Vroman,INC,19,34.2,9.7,18.5,0.528,0.0,0.4,0.0,4.1,7.6,0.5329999999999999,4.6,4.8,4.7,8.7,13.4,4.2,1.5,1.2,23.5,2012,South Korean KBL
20,Sung-Min Cho,SON,62,28.8,8.0,17.8,0.44799999999999995,3.2,8.5,0.38,4.1,4.7,0.8859999999999999,3.2,4.9,0.8,3.4,4.3,4.8,2.3,0.1,23.3,2012,South Korean KBL
21,Ho Dong Gyu,KCC,1,6.0,7.8,31.0,0.25,7.8,31.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.8,0.0,23.3,2012,South Korean KBL
22,Jameel Watkins,KCC,9,35.3,10.3,18.2,0.565,0.0,0.6,0.0,2.6,5.1,0.514,5.7,4.8,3.5,9.2,12.8,3.8,0.7,2.3,23.2,2012,South Korean KBL
23,Il-Young Heo,GOY,30,18.2,9.4,19.2,0.489,2.0,6.0,0.32899999999999996,2.4,3.3,0.718,1.3,4.6,3.8,2.6,6.5,1.8,1.7,0.2,23.1,2012,South Korean KBL
24,Seung-Chan Kim,SKK,16,16.4,8.7,17.7,0.495,0.9,4.1,0.22699999999999998,4.5,6.5,0.6859999999999999,3.5,4.1,2.6,2.4,5.0,4.7,1.7,0.7,22.9,2012,South Korean KBL
25,Tony Akins,KCC,51,30.8,8.0,16.0,0.502,2.5,6.0,0.41100000000000003,4.1,5.0,0.8140000000000001,3.7,3.5,0.6,3.7,4.3,7.5,2.0,0.1,22.6,2012,South Korean KBL
26,Sun-Hyung Kim,SKK,39,31.5,8.5,17.6,0.48200000000000004,2.1,5.7,0.366,3.5,4.9,0.7120000000000001,3.2,3.0,1.2,3.1,4.4,5.0,2.0,0.9,22.5,2012,South Korean KBL
27,Sek-Eun Oh,ANY,62,32.3,9.6,17.2,0.557,0.0,0.1,0.25,3.3,4.5,0.727,2.3,3.9,4.1,7.6,11.8,2.5,2.2,1.7,22.5,2012,South Korean KBL
28,Seung-Jun Lee,SAM,41,34.5,9.0,16.8,0.535,0.5,1.7,0.314,3.8,5.6,0.69,4.6,3.7,2.8,9.8,12.6,4.3,0.6,1.6,22.3,2012,South Korean KBL
29,Tae-Young Moon,CHA,53,38.2,9.1,17.4,0.52,0.1,0.8,0.147,4.0,5.4,0.755,2.6,2.3,2.8,5.0,7.8,3.8,2.2,0.6,22.3,2012,South Korean KBL
30,Amal McCaskill,SKK,19,38.4,9.5,16.3,0.583,0.0,0.1,0.0,3.1,4.5,0.687,3.5,3.1,3.9,12.1,16.1,3.6,0.2,0.7,22.1,2012,South Korean KBL
31,Jin-Soo Choi,GOY,54,31.6,8.0,16.2,0.49700000000000005,0.9,2.8,0.317,4.4,5.1,0.855,2.0,5.2,2.4,4.8,7.2,1.8,1.7,1.7,21.4,2012,South Korean KBL
32,Hyeonmin Kim,SON,44,9.1,8.4,14.1,0.593,0.2,0.9,0.28600000000000003,4.2,7.7,0.5479999999999999,3.7,8.2,4.5,6.9,11.3,1.4,1.4,1.6,21.2,2012,South Korean KBL
33,Kwang-Jae Lee,DON,21,25.7,7.5,16.3,0.456,3.3,7.4,0.451,2.9,3.7,0.78,2.3,4.1,0.4,2.4,2.8,2.4,1.3,0.1,21.1,2012,South Korean KBL
34,Sang-Oh Park,SON,62,27.7,7.7,18.0,0.42700000000000005,1.7,5.9,0.295,3.8,5.1,0.746,2.5,4.3,2.0,5.1,7.1,3.7,1.6,0.7,20.9,2012,South Korean KBL
35,Ha Seung-Jin,KCC,47,30.6,8.9,15.4,0.581,0.0,0.1,0.25,3.0,5.3,0.5579999999999999,3.3,3.6,5.9,9.4,15.3,2.2,0.5,1.9,20.9,2012,South Korean KBL
36,Jung-Suk Lee,SAM,16,34.4,7.1,14.6,0.489,1.1,2.5,0.452,4.6,5.8,0.789,4.8,3.4,2.0,9.4,11.4,3.3,0.7,1.2,20.0,2012,South Korean KBL
37,Donggeun Yang,MOB,61,37.3,7.2,15.8,0.45899999999999996,2.5,6.7,0.37799999999999995,2.5,3.0,0.8290000000000001,2.3,2.9,1.2,3.3,4.5,7.6,2.0,0.1,19.4,2012,South Korean KBL
38,Min-soo Kim,SKK,38,30.4,7.6,15.6,0.489,1.6,4.1,0.38,2.4,2.9,0.8290000000000001,3.0,4.4,1.6,5.2,6.8,2.4,0.7,1.4,19.2,2012,South Korean KBL
39,Min-Seop Kim,GOY,46,9.6,6.6,14.8,0.446,2.5,6.5,0.39299999999999996,3.2,3.9,0.8109999999999999,3.0,8.0,1.7,4.0,5.7,3.0,1.4,0.0,18.9,2012,South Korean KBL
40,Donguk Kim,SAM,17,28.4,7.1,16.6,0.43,2.4,6.7,0.35700000000000004,2.2,2.8,0.7929999999999999,2.8,2.3,1.2,2.6,3.8,4.5,1.3,0.1,18.9,2012,South Korean KBL
41,Joo-sung Kim,DON,63,35.1,7.6,14.0,0.546,0.0,0.3,0.154,3.4,4.8,0.708,3.4,3.9,2.3,5.8,8.1,4.7,1.3,1.7,18.8,2012,South Korean KBL
42,Donguk Kim,GOY,32,35.1,7.3,16.4,0.446,1.8,5.3,0.331,2.4,3.3,0.7090000000000001,2.9,2.9,1.0,4.0,5.0,6.0,2.1,0.1,18.8,2012,South Korean KBL
43,Byung-Kook Jung,INC,40,16.8,7.7,15.6,0.495,1.8,4.1,0.429,1.3,1.8,0.75,3.1,5.1,1.2,2.8,4.0,3.4,2.0,0.1,18.5,2012,South Korean KBL
44,Dong-Jun Lee,GOY,32,23.7,8.3,16.0,0.515,0.1,0.1,0.5,1.9,2.7,0.705,3.3,4.7,2.1,6.9,9.0,2.1,0.7,1.5,18.5,2012,South Korean KBL
45,Yong-Woong Kwon,SKK,25,7.6,7.3,14.3,0.509,1.0,4.0,0.25,2.5,2.8,0.909,2.8,3.5,2.0,1.5,3.5,3.5,2.3,0.8,18.1,2012,South Korean KBL
46,Jang-Sap Shin,DON,18,3.3,5.7,14.0,0.41200000000000003,0.8,4.1,0.2,5.7,9.8,0.583,3.3,4.9,0.0,1.6,1.6,6.6,0.8,0.0,18.1,2012,South Korean KBL
47,Koahn-Huhi Ngi,SAM,45,12.3,7.2,15.0,0.483,0.7,2.5,0.3,2.7,3.7,0.711,2.7,5.4,2.5,3.3,5.8,2.9,2.4,0.4,17.9,2012,South Korean KBL
48,Kwang-Won Kim,ANY,4,1.9,6.0,11.9,0.5,0.0,0.0,0.0,6.0,11.9,0.5,0.0,23.8,6.0,0.0,6.0,0.0,0.0,0.0,17.9,2012,South Korean KBL
