#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Albert Sabat,OBR,1,18.6,10.2,15.4,0.667,7.7,7.7,1.0,7.7,10.2,0.75,2.6,0.0,0.0,7.7,7.7,0.0,0.0,0.0,35.9,2019,Spanish ACB SuperCup
2,Sergio Llull,RMB,2,22.0,14.1,28.3,0.5,5.4,15.2,0.35700000000000004,1.1,2.2,0.5,4.3,1.1,0.0,3.3,3.3,9.8,3.3,1.1,34.8,2019,Spanish ACB SuperCup
3,Patricio Garino,CAJ,2,15.1,12.8,14.4,0.889,8.0,9.6,0.833,0.0,0.0,0.0,1.6,4.8,0.0,3.2,3.2,0.0,4.8,0.0,33.5,2019,Spanish ACB SuperCup
4,Klemen Prepelic,RMB,2,11.6,10.3,14.5,0.7140000000000001,6.2,10.3,0.6,4.1,4.1,1.0,2.1,10.3,0.0,2.1,2.1,0.0,2.1,0.0,31.0,2019,Spanish ACB SuperCup
5,Kyle Kuric,FCB,1,25.3,7.6,17.1,0.444,5.7,13.3,0.429,9.5,9.5,1.0,1.9,3.8,1.9,3.8,5.7,0.0,3.8,0.0,30.4,2019,Spanish ACB SuperCup
6,Kendall Stephens,OBR,1,9.5,10.0,35.1,0.28600000000000003,10.0,30.1,0.33299999999999996,0.0,0.0,0.0,5.0,5.0,5.0,5.0,10.0,0.0,0.0,0.0,30.1,2019,Spanish ACB SuperCup
7,Tornike Shengelia,CAJ,2,16.1,9.0,19.4,0.462,4.5,7.5,0.6,6.0,11.9,0.5,4.5,7.5,1.5,9.0,10.4,4.5,0.0,0.0,28.3,2019,Spanish ACB SuperCup
8,Ante Tomic,FCB,1,16.0,12.0,21.1,0.5710000000000001,0.0,0.0,0.0,3.0,6.0,0.5,3.0,9.0,9.0,12.0,21.1,3.0,3.0,3.0,27.1,2019,Spanish ACB SuperCup
9,Kostas Vasiliadis,OBR,1,26.6,7.2,14.4,0.5,5.4,10.8,0.5,7.2,7.2,1.0,0.0,3.6,0.0,3.6,3.6,1.8,1.8,0.0,26.9,2019,Spanish ACB SuperCup
10,Ilimane Diop,CAJ,2,14.9,9.7,16.1,0.6,1.6,3.2,0.5,4.8,6.4,0.75,3.2,6.4,3.2,3.2,6.4,1.6,0.0,3.2,25.7,2019,Spanish ACB SuperCup
11,Anthony Randolph,RMB,2,19.1,8.8,15.1,0.583,3.8,8.8,0.429,3.8,3.8,1.0,1.3,3.8,1.3,8.8,10.1,2.5,2.5,0.0,25.1,2019,Spanish ACB SuperCup
12,Shavon Shields,CAJ,2,26.0,9.2,20.3,0.455,1.8,5.5,0.33299999999999996,4.6,4.6,1.0,1.8,1.8,3.7,0.9,4.6,1.8,0.9,0.0,25.0,2019,Spanish ACB SuperCup
13,Rolands Smits,FCB,1,18.1,8.0,13.3,0.6,2.7,5.3,0.5,5.3,5.3,1.0,5.3,2.7,5.3,5.3,10.6,0.0,2.7,2.7,23.9,2019,Spanish ACB SuperCup
14,Vincent Poirier,CAJ,2,24.0,6.0,17.0,0.353,0.0,0.0,0.0,9.0,12.0,0.75,1.0,4.0,4.0,11.0,15.0,2.0,0.0,3.0,21.0,2019,Spanish ACB SuperCup
15,Aleix Font,FCB,1,4.6,10.5,10.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.9,0.0,10.5,10.5,0.0,0.0,0.0,20.9,2019,Spanish ACB SuperCup
16,Kevin Pangos,FCB,1,23.1,8.3,8.3,1.0,4.2,4.2,1.0,0.0,0.0,0.0,2.1,2.1,2.1,0.0,2.1,16.7,0.0,0.0,20.9,2019,Spanish ACB SuperCup
17,Victor Claver,FCB,1,30.1,6.4,9.6,0.667,1.6,4.8,0.33299999999999996,6.4,6.4,1.0,0.0,6.4,3.2,3.2,6.4,3.2,1.6,0.0,20.8,2019,Spanish ACB SuperCup
18,Pierre Oriola,FCB,1,18.6,7.8,23.3,0.33299999999999996,0.0,2.6,0.0,5.2,5.2,1.0,2.6,5.2,2.6,10.4,13.0,0.0,0.0,2.6,20.7,2019,Spanish ACB SuperCup
