#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Alvaro Munoz,MON,1,1.4,36.1,72.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.1,72.2,0.0,72.2,0.0,0.0,0.0,72.2,2012,Spanish Cup
2,Nedzad Sinanovic,UNI,1,4.9,18.4,18.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,18.4,18.4,27.6,0.0,27.6,0.0,0.0,0.0,36.8,2012,Spanish Cup
3,Jimmy Baron,GBC,1,28.7,13.3,24.9,0.5329999999999999,6.6,14.9,0.444,3.3,3.3,1.0,1.7,1.7,0.0,1.7,1.7,0.0,0.0,0.0,36.5,2012,Spanish Cup
4,Xavi Rabaseda,FCB,3,11.5,10.0,17.1,0.583,5.7,10.0,0.5710000000000001,7.1,11.4,0.625,2.8,4.3,0.0,2.8,2.8,1.4,0.0,0.0,32.7,2012,Spanish Cup
5,Quim Colom,MON,1,18.9,7.9,26.4,0.3,0.0,10.5,0.0,15.8,15.8,1.0,0.0,2.6,2.6,2.6,5.3,5.3,2.6,0.0,31.6,2012,Spanish Cup
6,Novica Velickovic,RMB,3,9.2,14.2,23.1,0.615,0.0,3.5,0.0,1.8,5.3,0.33299999999999996,5.3,12.4,1.8,8.9,10.6,5.3,1.8,0.0,30.2,2012,Spanish Cup
7,Erazem Lorbek,FCB,3,31.6,11.4,21.3,0.537,4.7,8.3,0.562,2.6,3.6,0.7140000000000001,2.6,4.7,0.5,5.2,5.7,2.6,0.5,1.0,30.1,2012,Spanish Cup
8,Kosta Perovic,FCB,1,8.1,11.7,17.5,0.667,0.0,0.0,0.0,5.8,5.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2,2012,Spanish Cup
9,Jaycee Carroll,RMB,3,22.2,9.6,16.9,0.565,4.4,8.1,0.545,5.2,5.2,1.0,3.7,5.2,2.2,3.7,5.9,1.5,1.5,0.7,28.7,2012,Spanish Cup
10,Andy Panko,GBC,1,24.5,11.7,31.1,0.375,3.9,11.7,0.33299999999999996,0.0,0.0,0.0,3.9,7.8,3.9,5.8,9.7,0.0,0.0,1.9,27.2,2012,Spanish Cup
11,Maciej Lampe,CAJ,2,9.0,13.5,19.0,0.7140000000000001,0.0,2.7,0.0,0.0,0.0,0.0,0.0,13.5,0.0,5.4,5.4,0.0,2.7,0.0,27.1,2012,Spanish Cup
12,Nikola Mirotic,RMB,3,22.9,8.5,18.5,0.462,5.7,10.7,0.5329999999999999,3.6,4.3,0.833,1.4,3.6,5.7,5.0,10.7,1.4,1.4,0.7,26.3,2012,Spanish Cup
13,Luka Bogdanovic,ENER,2,22.5,8.1,14.2,0.5710000000000001,5.1,9.1,0.556,5.1,6.1,0.833,1.0,3.0,2.0,4.1,6.1,2.0,0.0,0.0,26.3,2012,Spanish Cup
14,Milko Bjelica,CAJ,2,28.9,10.1,19.4,0.522,1.7,5.1,0.33299999999999996,4.2,5.9,0.7140000000000001,4.2,5.1,4.2,5.9,10.1,0.0,1.7,0.8,26.2,2012,Spanish Cup
15,Sergio Llull,RMB,3,30.5,9.6,18.2,0.529,4.3,8.6,0.5,2.1,2.7,0.8,2.7,2.1,1.1,2.1,3.2,8.0,0.5,0.0,25.7,2012,Spanish Cup
16,Boniface Ndong,FCB,3,24.8,10.6,15.2,0.696,0.0,0.0,0.0,3.3,4.0,0.833,2.0,2.6,7.9,5.9,13.9,0.7,0.0,4.6,24.4,2012,Spanish Cup
17,Mirza Teletovic,CAJ,2,32.2,10.6,21.2,0.5,2.3,6.1,0.375,0.8,6.8,0.111,3.8,3.8,2.3,6.8,9.1,3.0,0.8,0.0,24.2,2012,Spanish Cup
18,Fran Vazquez,FCB,3,12.4,9.2,15.8,0.583,0.0,0.0,0.0,5.3,5.3,1.0,2.6,0.0,5.3,7.9,13.2,5.3,0.0,4.0,23.7,2012,Spanish Cup
19,Matt Walsh,CAJ,1,4.2,11.8,11.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.8,0.0,0.0,11.8,11.8,0.0,11.8,0.0,23.7,2012,Spanish Cup
20,Nemanja Bjelica,CAJ,2,6.5,7.4,14.9,0.5,7.4,11.2,0.667,0.0,0.0,0.0,0.0,11.2,0.0,7.4,7.4,0.0,0.0,0.0,22.3,2012,Spanish Cup
21,Kirk Penney,MON,1,27.1,7.4,23.9,0.308,3.7,11.0,0.33299999999999996,3.7,3.7,1.0,1.8,1.8,0.0,0.0,0.0,3.7,0.0,0.0,22.1,2012,Spanish Cup
22,Earl Calloway,ENER,2,28.5,7.2,16.0,0.45,0.8,4.8,0.16699999999999998,6.4,7.2,0.889,1.6,4.0,0.0,4.8,4.8,8.8,4.8,0.0,21.6,2012,Spanish Cup
23,Kristaps Valters,UNI,1,25.3,7.1,14.1,0.5,3.5,10.6,0.33299999999999996,3.5,3.5,1.0,5.3,5.3,0.0,8.8,8.8,3.5,0.0,0.0,21.2,2012,Spanish Cup
24,Carl English,ENER,2,12.0,5.7,17.1,0.33299999999999996,5.7,7.6,0.75,3.8,3.8,1.0,5.7,7.6,0.0,3.8,3.8,1.9,3.8,0.0,20.9,2012,Spanish Cup
25,Kyle Singler,RMB,3,16.5,8.9,13.8,0.643,3.0,3.9,0.75,0.0,0.0,0.0,2.0,10.8,1.0,4.9,5.9,3.0,2.0,2.0,20.7,2012,Spanish Cup
26,Tremmell Darden,UNI,1,26.4,8.5,18.7,0.455,1.7,3.4,0.5,1.7,3.4,0.5,6.8,3.4,1.7,5.1,6.8,0.0,0.0,0.0,20.4,2012,Spanish Cup
27,Juan Carlos Navarro,FCB,3,23.4,4.9,21.7,0.226,2.1,13.3,0.158,8.4,10.5,0.8,2.1,2.1,0.0,4.9,4.9,8.4,1.4,0.0,20.3,2012,Spanish Cup
28,Leonardo Mainoldi,MON,1,32.4,3.1,7.7,0.4,3.1,7.7,0.4,10.8,12.3,0.875,1.5,3.1,0.0,6.2,6.2,0.0,0.0,0.0,20.0,2012,Spanish Cup
29,Felipe Reyes,RMB,3,15.6,8.4,13.6,0.615,0.0,0.0,0.0,3.1,4.2,0.75,2.1,8.4,5.2,9.4,14.6,4.2,2.1,1.0,19.9,2012,Spanish Cup
30,Guille Rubio,ENER,2,18.5,8.7,11.1,0.778,1.2,2.5,0.5,1.2,1.2,1.0,1.2,8.7,2.5,8.7,11.1,1.2,1.2,0.0,19.8,2012,Spanish Cup
31,Mirza Begic,RMB,3,17.9,9.1,13.7,0.667,0.0,0.0,0.0,0.9,1.8,0.5,0.9,7.3,1.8,5.5,7.3,0.0,0.9,2.7,19.2,2012,Spanish Cup
32,Pedro Llompart,LUC,1,35.1,9.4,20.2,0.467,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.3,2.7,6.7,9.4,4.0,1.3,0.0,18.9,2012,Spanish Cup
33,Juan Jose Triguero,ENER,2,17.1,6.7,10.7,0.625,0.0,0.0,0.0,5.3,6.7,0.8,4.0,8.0,5.3,4.0,9.3,1.3,1.3,1.3,18.7,2012,Spanish Cup
