#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Stephen McDowell,SOL,9,31.8,11.6,27.3,0.42700000000000005,5.2,10.6,0.484,6.0,7.6,0.7829999999999999,4.5,4.7,2.2,5.5,7.6,3.2,2.7,0.0,34.4,2012,Swedish Basketligan
2,Filip Kovacek,SOD,10,1.9,7.9,15.9,0.5,2.6,5.3,0.5,13.2,21.2,0.625,26.5,5.3,0.0,2.6,2.6,2.6,5.3,0.0,31.7,2012,Swedish Basketligan
3,Evaldas Zabas,JAM,36,32.8,10.7,21.0,0.511,2.3,6.5,0.36,7.4,9.5,0.779,4.0,3.2,0.9,4.9,5.8,6.5,2.2,0.2,31.2,2012,Swedish Basketligan
4,Marcus Relphorde,BCLF,19,31.3,11.6,23.0,0.504,1.9,5.8,0.324,5.2,6.1,0.853,3.6,3.8,1.4,4.9,6.2,2.7,1.9,0.1,30.2,2012,Swedish Basketligan
5,Tyler Laser,SOL,11,25.2,11.4,22.6,0.504,3.1,7.6,0.4,4.1,4.1,1.0,5.8,6.1,1.5,4.8,6.3,5.4,0.8,0.5,29.9,2012,Swedish Basketligan
6,Hannes Widell,JAM,2,1.6,14.7,29.5,0.5,0.0,14.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.7,0.0,0.0,29.5,2012,Swedish Basketligan
7,Sylvester Seay,NOR,11,18.4,11.3,22.2,0.511,1.4,4.7,0.3,5.0,6.1,0.8079999999999999,4.7,5.7,2.4,6.1,8.5,3.5,2.1,2.1,29.0,2012,Swedish Basketligan
8,Terrence Oglesby,ECO,12,27.5,8.9,21.5,0.414,5.4,14.0,0.384,5.7,6.7,0.851,3.0,5.1,0.3,2.0,2.3,5.5,1.3,0.0,28.9,2012,Swedish Basketligan
9,Johnell Smith,SOD,46,31.5,11.1,21.4,0.518,0.3,1.2,0.235,5.9,7.3,0.818,3.5,3.0,0.9,6.7,7.6,5.4,4.3,0.5,28.4,2012,Swedish Basketligan
10,Jonte Flowers,SOL,18,32.0,10.9,23.8,0.457,1.6,5.2,0.297,4.0,5.2,0.778,2.5,4.5,3.0,7.0,10.0,3.3,4.2,0.6,28.0,2012,Swedish Basketligan
11,Joakim Svensson,SOL,1,8.0,11.2,16.8,0.667,5.6,11.2,0.5,0.0,0.0,0.0,0.0,11.2,0.0,5.6,5.6,0.0,0.0,0.0,28.0,2012,Swedish Basketligan
12,Omar Krayem,BOR,44,31.6,9.7,20.6,0.47100000000000003,3.5,8.6,0.405,5.1,6.9,0.7340000000000001,6.6,5.8,1.6,4.8,6.5,9.3,2.9,0.2,27.9,2012,Swedish Basketligan
13,Oskar Andersson,BOR,4,1.7,6.9,13.8,0.5,0.0,6.9,0.0,13.8,13.8,1.0,6.9,20.8,6.9,0.0,6.9,0.0,6.9,0.0,27.7,2012,Swedish Basketligan
14,Oladapo Ayuba,NOR,37,23.6,10.2,20.4,0.503,1.0,2.8,0.36700000000000005,6.1,8.3,0.73,3.7,6.0,4.3,9.1,13.4,3.0,1.4,1.4,27.6,2012,Swedish Basketligan
15,Petras Balocka,NOR,48,16.1,11.2,20.8,0.5379999999999999,0.1,0.1,0.5,4.6,6.0,0.7659999999999999,4.1,5.5,6.5,8.1,14.6,1.9,1.1,0.1,27.0,2012,Swedish Basketligan
16,Johan Akesson,08S,39,25.4,10.5,19.1,0.55,0.1,0.3,0.33299999999999996,5.7,7.6,0.755,4.3,5.7,2.9,8.0,10.9,3.6,0.9,1.3,26.9,2012,Swedish Basketligan
17,Kyle Austin,BOR,3,30.4,10.0,20.4,0.48700000000000004,2.6,5.2,0.5,4.2,8.4,0.5,3.7,3.7,4.2,3.7,7.9,1.6,1.0,0.5,26.7,2012,Swedish Basketligan
18,Johan Jeansson,UPP,35,29.8,9.5,20.9,0.452,4.1,9.6,0.426,3.0,3.7,0.825,2.2,4.4,1.8,4.1,5.9,1.9,1.9,0.4,26.1,2012,Swedish Basketligan
19,Michael Palm,BOR,44,31.3,9.5,18.0,0.531,0.9,2.5,0.37,5.7,6.8,0.8390000000000001,2.6,3.8,5.0,9.9,15.0,2.9,0.7,1.5,25.8,2012,Swedish Basketligan
20,Demond Watt,ECO,36,30.5,10.5,16.2,0.647,0.0,0.0,0.0,4.8,7.1,0.687,3.4,3.4,5.0,8.2,13.2,1.6,1.3,1.6,25.8,2012,Swedish Basketligan
21,Chris McKnight,BOR,39,31.8,9.1,16.7,0.542,0.7,2.0,0.358,6.4,8.3,0.7709999999999999,1.8,3.2,4.3,7.4,11.6,1.6,1.9,0.6,25.2,2012,Swedish Basketligan
22,Jakob Sigurdarson,SUN,41,35.1,8.5,19.4,0.44,3.6,9.1,0.39799999999999996,4.2,4.6,0.93,2.9,3.2,0.6,3.0,3.6,3.6,1.6,0.1,25.1,2012,Swedish Basketligan
23,Kenny Simms,SOD,49,29.8,9.7,15.9,0.609,0.0,0.2,0.2,5.6,7.7,0.726,3.5,6.6,5.9,9.0,14.9,1.3,1.6,2.5,25.0,2012,Swedish Basketligan
24,Dino Pita,SOD,48,29.5,7.8,17.3,0.45299999999999996,3.3,8.3,0.391,6.0,6.9,0.875,1.9,5.7,0.6,2.8,3.4,2.0,1.5,0.0,24.9,2012,Swedish Basketligan
25,Andrew Mitchell,NOR,45,29.6,8.4,19.6,0.426,2.3,7.6,0.305,5.9,6.7,0.883,4.3,3.3,1.2,4.0,5.2,7.0,3.1,0.4,24.9,2012,Swedish Basketligan
26,William Walker,SOL,30,29.2,10.3,20.5,0.504,2.2,4.6,0.47100000000000003,1.8,2.4,0.7559999999999999,3.0,5.4,3.6,7.4,11.0,3.2,2.3,1.0,24.6,2012,Swedish Basketligan
27,Brandon McKnight,JAM,9,29.3,9.1,21.9,0.415,2.1,7.5,0.28600000000000003,4.3,5.5,0.774,3.0,2.1,1.1,6.9,8.0,5.9,2.0,0.2,24.6,2012,Swedish Basketligan
28,Avery Jukes,SOL,9,25.5,8.5,23.2,0.366,2.5,9.3,0.267,5.0,6.4,0.774,3.7,5.0,4.4,9.5,13.9,0.6,0.8,0.6,24.5,2012,Swedish Basketligan
29,Drazen Klaric,JAM,35,30.4,10.4,20.1,0.516,1.3,3.4,0.37200000000000005,2.5,3.0,0.838,2.2,4.4,2.1,6.6,8.7,2.4,1.0,0.5,24.5,2012,Swedish Basketligan
30,Rhys Carter,UPP,41,31.2,8.1,20.4,0.4,3.6,10.5,0.344,4.5,4.9,0.915,4.1,3.3,1.2,5.3,6.5,8.5,3.9,0.0,24.4,2012,Swedish Basketligan
31,Logi Gunnarsson,SOL,39,31.3,8.4,20.0,0.418,3.8,10.5,0.365,3.6,4.1,0.868,3.1,4.1,1.7,3.3,5.0,3.8,0.9,0.1,24.1,2012,Swedish Basketligan
32,Marcus Johnson,SUN,13,27.6,8.8,19.6,0.452,1.9,5.3,0.35700000000000004,4.5,7.2,0.632,4.3,5.8,2.1,5.6,7.7,2.8,3.0,0.4,24.1,2012,Swedish Basketligan
33,Ryan Zamroz,BOR,44,32.4,8.5,19.1,0.444,3.4,8.2,0.415,3.5,4.0,0.875,2.5,3.7,0.6,2.6,3.1,3.0,0.8,0.1,23.9,2012,Swedish Basketligan
34,Rudy Mbemba,BCLF,28,29.2,8.7,21.0,0.41600000000000004,3.8,10.9,0.34600000000000003,2.6,4.1,0.634,5.5,3.6,1.2,4.7,5.9,10.1,3.5,0.2,23.8,2012,Swedish Basketligan
35,Justin Safford,BCLF,22,32.1,9.0,21.0,0.42700000000000005,1.6,5.1,0.312,4.1,5.4,0.753,2.8,3.0,2.3,9.2,11.4,2.8,1.3,0.6,23.6,2012,Swedish Basketligan
36,Urule Igbavboa,BCLF,45,22.9,9.3,15.8,0.589,0.0,0.1,0.0,4.5,7.1,0.634,2.9,4.9,3.5,7.6,11.1,1.5,1.4,1.1,23.2,2012,Swedish Basketligan
37,Pierre Hampton,ECO,30,23.4,7.6,17.1,0.44299999999999995,2.5,6.5,0.385,5.0,6.3,0.7959999999999999,3.0,5.1,1.5,5.4,6.9,3.2,2.0,0.3,22.6,2012,Swedish Basketligan
