#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Mohammed Abukar,LUG,32,32.6,10.1,19.1,0.53,1.4,3.5,0.392,7.2,8.2,0.8759999999999999,2.7,3.2,1.5,6.4,7.9,2.3,1.3,0.4,28.8,2012,Swiss LNA
2,Dusan Mladjan,LUG,37,24.7,9.6,18.1,0.529,4.5,9.8,0.45899999999999996,3.9,4.8,0.8190000000000001,1.7,6.0,1.8,5.1,6.9,3.6,1.9,0.3,27.6,2012,Swiss LNA
3,Sean Finn,MON,22,25.1,12.5,18.7,0.667,0.0,0.0,0.0,2.2,4.3,0.521,3.5,5.3,5.2,9.4,14.6,1.7,0.4,0.4,27.2,2012,Swiss LNA
4,Patrick Bianchi,LUG,1,3.0,13.6,27.1,0.5,0.0,0.0,0.0,0.0,0.0,0.0,27.1,13.6,0.0,27.1,27.1,0.0,0.0,0.0,27.1,2012,Swiss LNA
5,John Sharper,BON,17,34.3,8.0,19.7,0.409,4.7,11.2,0.42,5.9,7.2,0.82,3.6,2.8,0.6,3.2,3.7,3.6,1.9,0.0,26.7,2012,Swiss LNA
6,Mike Efevberha,LUG,11,31.5,8.6,20.6,0.41600000000000004,2.8,8.2,0.344,4.7,5.9,0.795,5.0,3.5,0.8,5.9,6.7,5.6,3.5,0.3,24.6,2012,Swiss LNA
7,Ron Yates,FRI,33,30.0,10.0,18.6,0.537,0.1,0.4,0.33299999999999996,4.3,6.4,0.664,4.5,5.2,3.6,6.2,9.8,3.5,1.9,0.4,24.4,2012,Swiss LNA
8,Jaraun Burrows,STA,25,36.0,9.5,18.3,0.521,0.4,1.5,0.259,5.0,7.8,0.6409999999999999,4.6,3.9,4.2,6.7,10.9,3.1,1.8,1.3,24.4,2012,Swiss LNA
9,Travele Jones,MAS,26,32.2,8.6,17.5,0.49200000000000005,1.1,3.8,0.27899999999999997,6.1,9.2,0.665,4.5,3.6,4.3,6.3,10.6,2.7,3.2,0.7,24.4,2012,Swiss LNA
10,Marcus Allen,BON,9,29.7,9.2,19.6,0.46799999999999997,2.5,5.8,0.43799999999999994,3.2,4.3,0.75,4.0,5.9,4.9,7.6,12.4,3.2,2.7,0.4,24.1,2012,Swiss LNA
11,Matthias Manz,FRI,2,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.1,48.2,0.5,0.0,12.0,0.0,12.0,12.0,0.0,0.0,0.0,24.1,2012,Swiss LNA
12,Nemanja Calasan,BON,22,35.4,9.5,19.0,0.502,0.5,2.3,0.21600000000000003,4.4,6.0,0.742,3.6,3.8,3.1,9.3,12.4,3.2,1.7,0.2,24.0,2012,Swiss LNA
13,Sean Barnette,LLG,36,33.7,9.4,19.0,0.496,1.3,3.5,0.382,3.8,5.7,0.655,3.1,3.6,1.9,7.4,9.3,3.7,1.9,1.2,24.0,2012,Swiss LNA
14,Amedeo Giussani,SAV,4,3.8,12.0,21.0,0.5710000000000001,0.0,3.0,0.0,0.0,0.0,0.0,9.0,15.0,6.0,3.0,9.0,3.0,3.0,0.0,23.9,2012,Swiss LNA
15,Terry Smith,MON,34,34.0,8.7,18.8,0.461,2.3,7.1,0.327,3.9,5.1,0.78,4.1,3.3,0.8,3.6,4.4,4.1,2.6,0.1,23.6,2012,Swiss LNA
16,Oliver Vogt,FRI,33,23.0,8.5,15.9,0.536,1.1,3.0,0.36200000000000004,5.4,7.6,0.706,3.7,4.6,5.6,7.5,13.1,1.5,0.8,1.5,23.6,2012,Swiss LNA
17,Brandon Jenkins,STA,20,37.5,8.4,15.4,0.5489999999999999,0.1,0.4,0.16699999999999998,6.1,8.1,0.752,3.8,3.3,1.2,4.7,5.9,6.9,2.7,0.6,23.0,2012,Swiss LNA
18,Chris Dunn,LLG,14,31.3,7.6,15.7,0.483,3.0,6.3,0.483,4.7,5.3,0.878,3.1,4.6,1.0,3.5,4.4,7.4,2.0,0.0,22.9,2012,Swiss LNA
19,Marko Mladjan,LUG,22,9.8,8.6,17.5,0.494,4.0,8.4,0.475,1.5,2.3,0.636,2.5,6.7,3.0,5.3,8.2,0.8,3.6,1.1,22.8,2012,Swiss LNA
20,Tarick Johnson,FRI,10,26.8,8.7,19.9,0.435,1.8,6.6,0.278,3.3,5.5,0.6,2.9,2.2,2.0,4.8,6.8,2.8,1.7,0.4,22.5,2012,Swiss LNA
21,Rokas Uzas,SAV,23,30.6,7.4,17.4,0.424,3.1,7.8,0.4,4.2,5.6,0.747,4.0,3.7,3.3,6.0,9.3,4.7,2.2,0.2,22.1,2012,Swiss LNA
22,Nathan Connolly,NYO,7,29.9,8.5,19.7,0.43,1.6,4.1,0.389,3.4,3.9,0.882,5.9,2.5,1.8,4.1,5.9,5.3,1.4,0.2,21.9,2012,Swiss LNA
23,Jules Aw,LLG,32,22.2,9.5,16.8,0.562,0.0,0.3,0.0,2.8,4.5,0.627,3.3,5.3,6.7,7.8,14.5,2.6,1.8,1.7,21.7,2012,Swiss LNA
24,Babacar Toure,LLG,29,23.2,8.1,14.3,0.5670000000000001,0.0,0.1,0.0,5.4,6.7,0.809,3.3,6.4,7.2,11.4,18.5,2.8,2.8,3.9,21.6,2012,Swiss LNA
25,Tony Brown,LLG,37,31.6,7.7,19.0,0.40299999999999997,2.6,8.3,0.307,3.7,4.5,0.818,3.0,4.1,0.6,2.1,2.7,4.8,1.2,0.3,21.6,2012,Swiss LNA
26,Julien Burkhalter,BON,5,8.4,8.4,16.7,0.5,1.2,1.2,1.0,3.6,7.2,0.5,3.6,7.2,2.4,2.4,4.8,1.2,1.2,2.4,21.5,2012,Swiss LNA
