#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Maxim Mutaf,BES,1,5.8,17.4,34.7,0.5,17.4,34.7,0.5,0.0,0.0,0.0,0.0,0.0,0.0,8.7,8.7,0.0,0.0,0.0,52.1,2018,Turkish Cup
2,Lazeric Jones,SAK,1,15.8,11.2,19.6,0.5710000000000001,5.6,8.4,0.667,11.2,14.0,0.8,5.6,8.4,2.8,5.6,8.4,2.8,0.0,0.0,39.2,2018,Turkish Cup
3,Adonis Thomas,BVS,1,22.9,13.1,21.8,0.6,8.7,13.1,0.667,0.0,0.0,0.0,0.0,0.0,0.0,4.4,4.4,2.2,2.2,0.0,34.9,2018,Turkish Cup
4,D.J. Strawberry,BES,2,29.8,11.6,19.9,0.583,7.5,11.6,0.643,1.7,3.3,0.5,2.5,3.3,0.8,5.0,5.8,5.0,0.8,0.0,32.4,2018,Turkish Cup
5,Gian Clavell,SAK,1,26.4,8.4,23.5,0.35700000000000004,6.7,18.4,0.364,8.4,10.1,0.833,6.7,5.0,0.0,10.1,10.1,1.7,0.0,0.0,31.9,2018,Turkish Cup
6,Jan Vesely,FEN,1,31.1,12.2,15.7,0.778,0.0,0.0,0.0,7.0,10.5,0.667,3.5,3.5,5.2,5.2,10.5,5.2,0.0,0.0,31.4,2018,Turkish Cup
7,Errick McCollum,EFE,3,26.8,11.5,26.6,0.43200000000000005,4.8,12.7,0.381,3.6,4.8,0.75,5.4,6.6,1.8,4.2,6.0,3.0,1.2,0.0,31.4,2018,Turkish Cup
8,Krunoslav Simon,EFE,3,34.4,9.9,16.0,0.618,6.1,10.8,0.565,3.8,4.2,0.889,2.4,3.8,1.4,6.6,8.0,9.4,0.5,0.5,29.6,2018,Turkish Cup
9,Damian Kulig,BVS,1,27.1,11.1,18.5,0.6,1.8,5.5,0.33299999999999996,5.5,5.5,1.0,0.0,5.5,3.7,3.7,7.4,1.8,3.7,1.8,29.5,2018,Turkish Cup
10,Berkan Durmaz,TOF,3,6.1,12.8,25.7,0.5,0.0,7.7,0.0,2.6,7.7,0.33299999999999996,0.0,5.1,0.0,10.3,10.3,2.6,2.6,2.6,28.2,2018,Turkish Cup
11,Nicolo Melli,FEN,1,23.1,9.4,11.7,0.8,2.3,4.7,0.5,7.0,9.4,0.75,0.0,9.4,2.3,2.3,4.7,4.7,0.0,0.0,28.2,2018,Turkish Cup
12,Marko Guduric,FEN,1,34.5,9.5,15.8,0.6,4.7,6.3,0.75,3.2,3.2,1.0,3.2,3.2,1.6,4.7,6.3,11.0,0.0,0.0,26.8,2018,Turkish Cup
13,James Bell,DBI,2,23.6,8.8,15.6,0.562,2.9,6.8,0.429,4.9,7.8,0.625,0.0,6.8,1.0,5.9,6.8,3.9,1.0,0.0,25.4,2018,Turkish Cup
14,Earl Clark,BES,2,21.6,9.2,22.9,0.4,4.6,11.5,0.4,2.3,2.3,1.0,2.3,2.3,2.3,6.9,9.2,3.4,2.3,0.0,25.2,2018,Turkish Cup
15,C.J. Harris,SAK,1,33.3,6.7,16.0,0.41700000000000004,2.7,6.7,0.4,8.0,8.0,1.0,1.3,2.7,2.7,1.3,4.0,6.7,1.3,0.0,24.0,2018,Turkish Cup
16,Kenan Sipahi,BES,2,19.9,10.0,12.4,0.8,3.7,6.2,0.6,0.0,0.0,0.0,2.5,6.2,1.2,5.0,6.2,8.7,0.0,0.0,23.7,2018,Turkish Cup
17,Cady Lalanne,BES,2,28.3,7.0,14.0,0.5,0.0,0.9,0.0,9.6,13.1,0.733,4.4,4.4,6.1,2.6,8.8,0.0,0.9,2.6,23.6,2018,Turkish Cup
18,Berke Atar,BVS,1,4.3,11.7,11.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,0.0,0.0,0.0,11.7,0.0,0.0,23.5,2018,Turkish Cup
19,Andy Rautins,BVS,1,17.4,5.8,14.4,0.4,5.8,14.4,0.4,5.8,5.8,1.0,5.8,14.4,2.9,5.8,8.7,2.9,0.0,0.0,23.1,2018,Turkish Cup
20,Gigi Datome,FEN,1,30.6,8.9,15.9,0.556,5.3,8.9,0.6,0.0,3.5,0.0,3.5,1.8,1.8,10.6,12.4,1.8,0.0,1.8,23.0,2018,Turkish Cup
