#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Sergei Rudometkin,DON,1,2.1,41.5,62.3,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83.1,2012,Ukrainian Superleague
2,Alexander Ivanchevskyy,KHI,1,0.7,0.0,0.0,0.0,0.0,0.0,0.0,61.7,123.5,0.5,61.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.7,2012,Ukrainian Superleague
3,Olexandr Belikov,KHI,1,2.4,19.9,19.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.8,2012,Ukrainian Superleague
4,Louis Hinnant,KHI,1,20.1,12.8,30.8,0.41700000000000004,2.6,10.3,0.25,5.1,5.1,1.0,5.1,5.1,0.0,2.6,2.6,5.1,0.0,0.0,33.4,2012,Ukrainian Superleague
5,Will Solomon,SCM,22,33.3,9.7,22.7,0.428,3.7,11.1,0.337,8.7,11.1,0.787,5.1,4.0,1.2,4.7,5.8,6.7,2.5,0.3,31.9,2012,Ukrainian Superleague
6,Randy Culpepper,ZNTU,51,33.1,10.4,23.4,0.444,3.2,9.4,0.345,7.9,10.1,0.7859999999999999,3.8,3.5,0.9,2.7,3.6,5.3,2.3,0.4,31.9,2012,Ukrainian Superleague
7,Rodney Green,MYK,36,27.0,10.4,21.2,0.491,0.9,3.8,0.244,7.8,11.5,0.675,4.5,3.9,1.6,7.1,8.7,5.2,1.8,0.5,29.5,2012,Ukrainian Superleague
8,Kenny Adeleke,SCM,12,29.5,11.8,23.6,0.5,0.0,0.0,0.0,5.9,9.9,0.595,5.0,5.2,8.4,10.7,19.2,1.5,1.6,1.3,29.5,2012,Ukrainian Superleague
9,R.T. Guinn,ZNTU,52,27.8,9.8,20.4,0.478,3.8,8.9,0.423,5.7,6.8,0.8370000000000001,2.3,4.4,2.5,8.1,10.6,2.6,1.4,1.0,28.9,2012,Ukrainian Superleague
10,Luis Flores,BUD,20,23.2,10.8,21.5,0.502,1.2,2.7,0.462,5.8,7.0,0.8240000000000001,4.1,5.3,2.0,4.4,6.4,4.7,1.2,0.2,28.6,2012,Ukrainian Superleague
11,Steve Burtt,DNI,40,32.4,9.6,20.1,0.48,2.6,7.3,0.364,6.1,7.6,0.805,5.0,3.7,0.4,4.2,4.7,7.5,2.1,0.2,28.1,2012,Ukrainian Superleague
12,Oleksiy Pecherov,ASH,43,21.6,10.3,21.5,0.478,3.0,7.2,0.413,4.5,5.3,0.8420000000000001,2.1,3.7,2.9,9.8,12.8,2.0,0.7,2.6,28.0,2012,Ukrainian Superleague
13,Matt Walsh,ASH,21,28.1,8.7,17.8,0.486,3.3,8.2,0.408,7.3,8.2,0.889,4.3,4.9,1.3,6.4,7.7,8.2,2.1,0.5,28.0,2012,Ukrainian Superleague
14,Vladan Vukosavljevic,POL,29,30.4,9.9,17.9,0.5539999999999999,0.4,1.5,0.28600000000000003,7.6,9.5,0.807,3.4,4.0,6.4,10.5,16.9,2.4,1.2,1.8,27.9,2012,Ukrainian Superleague
