#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Marcel Mustafin,U2,2,0.8,29.1,58.1,0.5,0.0,29.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.1,2018,VTB Youth United League
2,Nikita Mikhailovskii,AV2,14,27.7,11.2,19.1,0.586,2.3,4.4,0.528,9.9,12.4,0.794,8.5,4.6,3.4,9.3,12.7,5.8,1.9,0.9,34.6,2018,VTB Youth United League
3,Alexander Kurbatov,CSK,15,21.3,11.9,20.6,0.5760000000000001,0.3,0.9,0.33299999999999996,6.7,8.6,0.782,2.8,3.8,6.1,13.1,19.2,1.4,1.4,2.0,30.8,2018,VTB Youth United League
4,Kirill Popov,LK2,39,25.6,12.3,22.4,0.5489999999999999,0.0,0.3,0.0,6.1,9.8,0.625,5.2,4.5,6.6,10.6,17.1,1.5,1.3,1.2,30.7,2018,VTB Youth United League
5,Dmitrii Khaldeev,SAM2,39,25.0,12.9,23.1,0.556,0.0,0.3,0.16699999999999998,4.7,8.5,0.552,3.3,5.3,6.7,10.6,17.3,2.8,1.5,2.1,30.5,2018,VTB Youth United League
6,Igor Volkhin,KHI2,27,22.3,10.1,21.8,0.465,4.7,11.7,0.40399999999999997,5.4,7.3,0.747,2.7,3.9,3.3,5.8,9.0,2.6,2.2,0.2,30.4,2018,VTB Youth United League
7,Agasiy Tonoyan,SAM2,8,27.0,9.6,28.6,0.336,2.5,9.6,0.262,7.3,9.6,0.762,5.0,2.5,4.8,8.0,12.8,8.7,4.6,1.1,29.1,2018,VTB Youth United League
8,Timofei Gerasimov,LK2,13,24.8,9.3,19.6,0.475,2.1,5.9,0.35700000000000004,7.3,8.2,0.897,5.9,3.7,3.0,8.6,11.5,9.3,5.5,0.1,28.0,2018,VTB Youth United League
9,Yury Umrikhin,CSK,8,22.6,9.7,19.9,0.486,2.5,5.2,0.474,5.8,7.4,0.778,6.3,5.2,1.4,5.5,6.9,6.3,0.6,0.6,27.6,2018,VTB Youth United League
10,Zakhar Vedishchev,LK2,29,20.1,9.7,26.3,0.368,6.0,15.7,0.381,1.9,2.7,0.727,3.0,3.5,0.6,3.9,4.4,3.0,1.5,0.2,27.3,2018,VTB Youth United League
11,Aleksandr Platunov,P2,31,35.9,9.7,23.1,0.42200000000000004,3.7,11.2,0.325,4.0,5.0,0.7979999999999999,4.8,2.6,1.2,6.6,7.8,9.5,4.6,0.4,27.1,2018,VTB Youth United League
