#,Player,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,SEASON,LEAGUE
1,Aleix Haro Val,DSJ,4,26.3,8.5,22.0,0.385,3.4,11.9,0.28600000000000003,9.7,11.4,0.852,5.1,3.0,0.4,4.2,4.7,8.5,3.4,0.0,30.1,2019,Valencia Tournament (ANGT)
2,Haris Bratanovic,FCB,4,28.8,12.3,24.3,0.508,1.2,4.1,0.3,2.5,3.7,0.667,4.9,3.3,8.2,7.8,16.0,3.3,0.4,2.1,28.4,2019,Valencia Tournament (ANGT)
3,Filip Siewruk,FCB,2,9.0,10.1,15.1,0.667,2.5,2.5,1.0,5.0,7.5,0.667,10.1,10.1,7.5,5.0,12.6,0.0,2.5,0.0,27.7,2019,Valencia Tournament (ANGT)
4,Ariel Hukporti,BBA,4,32.2,12.4,22.6,0.55,0.0,0.4,0.0,2.3,6.4,0.353,6.0,6.0,9.0,13.9,23.0,2.3,3.8,2.6,27.1,2019,Valencia Tournament (ANGT)
5,David Bohm,FUT,4,39.3,9.2,26.8,0.342,3.7,13.6,0.275,3.7,4.1,0.917,5.8,1.7,0.7,6.8,7.5,2.4,3.4,1.0,25.8,2019,Valencia Tournament (ANGT)
6,Tom Digbeu,FCB,4,27.1,9.6,23.6,0.40700000000000003,2.2,9.6,0.22699999999999998,4.4,7.9,0.556,7.0,2.6,3.9,6.1,10.0,7.0,2.2,1.3,25.8,2019,Valencia Tournament (ANGT)
7,Matthew Strazel,ELY,4,32.8,7.0,22.0,0.316,2.7,12.0,0.226,8.5,10.8,0.7859999999999999,5.0,2.3,1.2,5.8,7.0,3.9,4.3,0.0,25.1,2019,Valencia Tournament (ANGT)
8,Jacob Patrick,BBA,4,10.2,8.3,21.4,0.389,8.3,19.0,0.43799999999999994,0.0,0.0,0.0,4.8,7.1,0.0,7.1,7.1,0.0,2.4,0.0,25.0,2019,Valencia Tournament (ANGT)
9,Alejandro Ruiz,VJT,4,28.5,7.6,18.2,0.419,3.0,8.9,0.33299999999999996,5.5,8.0,0.684,1.3,5.5,2.5,3.8,6.3,0.8,1.3,0.0,23.6,2019,Valencia Tournament (ANGT)
10,Millan Jimenez,VJT,2,19.9,9.2,26.6,0.348,1.2,9.2,0.125,3.5,5.8,0.6,2.3,1.2,3.5,5.8,9.2,3.5,4.6,0.0,23.1,2019,Valencia Tournament (ANGT)
